date,symbol,sector,open,high,low,close
2016-05-13,A,Health Care,42.55,42.93,42.39,42.62
2016-05-13,ABBV,Health Care,62.15,62.86,61.8215,62.0
2016-05-13,ABC,Health Care,74.71,75.07,73.54,73.66
2016-05-13,ABMD,Health Care,94.0,95.39,93.52,94.08
2016-05-13,ABT,Health Care,37.86,38.0561,37.47,37.6
2016-05-13,ALGN,Health Care,75.47,76.8,75.47,76.08
2016-05-13,ALXN,Health Care,138.65,140.27,138.0,139.74
2016-05-13,AMGN,Health Care,151.22,154.08,151.22,152.35
2016-05-13,ANTM,Health Care,136.18,137.2,134.77,135.51
2016-05-13,BAX,Health Care,45.56,45.91,45.225,45.52
2016-05-13,BDX,Health Care,167.1,167.58,165.82,166.29
2016-05-13,BIIB,Health Care,240.6273,243.9135,239.4215,241.198
2016-05-13,BIO,Health Care,142.34,144.585,142.12,143.07
2016-05-13,BMY,Health Care,71.27,71.9,71.0,71.18
2016-05-13,BSX,Health Care,22.0,22.36,21.92,22.35
2016-05-13,CAH,Health Care,77.04,77.31,76.18,76.25
2016-05-13,CERN,Health Care,54.27,54.61,53.72,53.74
2016-05-13,CI,Health Care,128.37,129.27,126.07,128.36
2016-05-13,CNC,Health Care,28.14,28.625,27.92,28.32
2016-05-13,COO,Health Care,155.69,157.9,155.29,155.97
2016-05-13,CTLT,Health Care,23.82,24.24,23.67,23.85
2016-05-13,CVS,Health Care,104.38,104.85,103.47,103.67
2016-05-13,DGX,Health Care,75.77,76.32,75.38,75.95
2016-05-13,DHR,Health Care,97.99,98.47,97.08,97.37
2016-05-13,DVA,Health Care,75.58,76.08,75.14,75.42
2016-05-13,DXCM,Health Care,60.88,61.43,60.13,60.63
2016-05-13,EW,Health Care,35.1733,35.3333,34.3067,34.33
2016-05-13,GILD,Health Care,82.66,83.87,82.41,82.7
2016-05-13,HCA,Health Care,77.86,78.57,77.45,77.92
2016-05-13,HOLX,Health Care,33.82,34.25,33.695,33.75
2016-05-13,HSIC,Health Care,67.4553,68.2319,66.9965,67.4436
2016-05-13,HUM,Health Care,165.88,166.61,160.65,165.23
2016-05-13,IDXX,Health Care,87.03,87.53,86.52,86.67
2016-05-13,ILMN,Health Care,136.63,138.32,135.55,136.92
