,date,symbol,sector,open,high,low,close
0,2021-05-12,AAL,Industrials,21.36,21.69,20.69,20.76
1,2021-05-11,AAL,Industrials,21.07,21.7,20.91,21.57
2,2021-05-10,AAL,Industrials,22.23,22.54,21.96,22.0
3,2021-05-07,AAL,Industrials,21.4,22.19,21.27,22.0
4,2021-05-06,AAL,Industrials,21.51,21.75,21.16,21.49
5,2021-05-05,AAL,Industrials,21.35,21.87,21.19,21.57
6,2021-05-04,AAL,Industrials,21.78,21.989,20.94,21.42
7,2021-05-03,AAL,Industrials,21.87,22.01,21.4,21.95
8,2021-04-30,AAL,Industrials,21.17,21.88,21.075,21.72
9,2021-04-29,AAL,Industrials,21.94,22.15,21.21,21.3
10,2021-04-28,AAL,Industrials,21.64,21.89,21.48,21.7
11,2021-04-27,AAL,Industrials,22.01,22.07,21.6,21.76
12,2021-04-26,AAL,Industrials,21.52,22.05,21.48,22.04
13,2021-04-23,AAL,Industrials,20.27,21.2,20.18,21.11
14,2021-04-22,AAL,Industrials,21.58,21.61,20.04,20.07
15,2021-04-21,AAL,Industrials,20.005,21.03,19.64,21.01
16,2021-04-20,AAL,Industrials,21.02,21.02,19.96,20.37
17,2021-04-19,AAL,Industrials,21.97,21.985,21.37,21.55
18,2021-04-16,AAL,Industrials,22.06,22.36,21.87,22.03
19,2021-04-15,AAL,Industrials,22.65,22.6669,21.695,22.13
20,2021-04-14,AAL,Industrials,22.95,23.35,22.2,22.37
21,2021-04-13,AAL,Industrials,22.18,22.65,21.66,22.56
22,2021-04-12,AAL,Industrials,23.232,23.32,22.72,22.91
23,2021-04-09,AAL,Industrials,23.445,23.665,23.25,23.54
24,2021-04-08,AAL,Industrials,23.88,23.88,22.63,23.65
25,2021-04-07,AAL,Industrials,24.19,24.59,23.82,23.93
26,2021-04-06,AAL,Industrials,24.2,24.5,23.91,24.06
27,2021-04-05,AAL,Industrials,24.46,24.85,24.16,24.23
28,2021-04-01,AAL,Industrials,24.02,24.225,23.645,23.86
29,2021-03-31,AAL,Industrials,24.03,24.121,23.61,23.9
30,2021-03-30,AAL,Industrials,23.1,24.195,23.023,24.12
31,2021-03-29,AAL,Industrials,23.16,23.1899,22.395,22.91
32,2021-03-26,AAL,Industrials,23.14,23.29,22.28,22.93
33,2021-03-25,AAL,Industrials,21.25,22.915,21.02,22.77
34,2021-03-24,AAL,Industrials,22.79,23.18,21.76,21.81
