,date,symbol,sector,open,high,low,close
0,2021-05-12,AAP,Consumer Discretionary,204.75,205.91,201.27,201.79
1,2021-05-11,AAP,Consumer Discretionary,207.93,207.94,201.83,204.21
2,2021-05-10,AAP,Consumer Discretionary,204.81,210.18,204.81,208.59
3,2021-05-07,AAP,Consumer Discretionary,202.9,204.98,202.88,204.47
4,2021-05-06,AAP,Consumer Discretionary,204.19,204.88,202.07,204.16
5,2021-05-05,AAP,Consumer Discretionary,204.11,204.37,202.11,202.81
6,2021-05-04,AAP,Consumer Discretionary,205.01,205.2,201.97,204.15
7,2021-05-03,AAP,Consumer Discretionary,201.34,203.625,201.34,201.86
8,2021-04-30,AAP,Consumer Discretionary,199.89,202.4672,199.11,200.16
9,2021-04-29,AAP,Consumer Discretionary,200.0,201.535,198.19,200.68
10,2021-04-28,AAP,Consumer Discretionary,196.97,199.27,196.13,197.63
11,2021-04-27,AAP,Consumer Discretionary,198.56,199.1609,197.06,197.28
12,2021-04-26,AAP,Consumer Discretionary,199.07,199.49,196.32,197.14
13,2021-04-23,AAP,Consumer Discretionary,200.98,201.39,197.27,199.75
14,2021-04-22,AAP,Consumer Discretionary,199.0,201.12,197.15,200.3
15,2021-04-21,AAP,Consumer Discretionary,194.45,202.54,194.45,199.87
16,2021-04-20,AAP,Consumer Discretionary,198.0,198.52,190.91,193.91
17,2021-04-19,AAP,Consumer Discretionary,193.59,196.17,192.35,192.54
18,2021-04-16,AAP,Consumer Discretionary,191.28,193.17,190.55,192.92
19,2021-04-15,AAP,Consumer Discretionary,188.29,190.2,188.09,189.46
20,2021-04-14,AAP,Consumer Discretionary,187.47,189.49,187.1,187.77
21,2021-04-13,AAP,Consumer Discretionary,188.77,188.91,185.44,187.41
22,2021-04-12,AAP,Consumer Discretionary,184.05,188.53,184.05,188.06
23,2021-04-09,AAP,Consumer Discretionary,182.16,184.46,181.24,183.97
24,2021-04-08,AAP,Consumer Discretionary,183.05,183.05,179.6,180.5
25,2021-04-07,AAP,Consumer Discretionary,184.49,184.73,181.05,182.62
26,2021-04-06,AAP,Consumer Discretionary,181.26,184.47,180.68,183.65
27,2021-04-05,AAP,Consumer Discretionary,187.5,187.8,182.28,183.23
28,2021-04-01,AAP,Consumer Discretionary,183.25,186.785,181.57,185.96
29,2021-03-31,AAP,Consumer Discretionary,186.69,186.77,183.49,183.49
30,2021-03-30,AAP,Consumer Discretionary,185.36,186.92,182.47,186.07
31,2021-03-29,AAP,Consumer Discretionary,187.48,187.91,183.98,185.06
32,2021-03-26,AAP,Consumer Discretionary,186.79,187.68,184.825,187.32
33,2021-03-25,AAP,Consumer Discretionary,180.48,186.51,179.5,185.65
34,2021-03-24,AAP,Consumer Discretionary,179.53,183.72,179.53,181.73
35,2021-03-23,AAP,Consumer Discretionary,182.87,185.13,179.03,179.53
36,2021-03-22,AAP,Consumer Discretionary,185.02,187.33,180.02,182.99
37,2021-03-19,AAP,Consumer Discretionary,182.05,187.18,181.445,186.0
38,2021-03-18,AAP,Consumer Discretionary,181.14,184.91,181.14,183.73
39,2021-03-17,AAP,Consumer Discretionary,180.77,183.09,178.99,181.96
40,2021-03-16,AAP,Consumer Discretionary,182.59,182.88,177.22,179.11
41,2021-03-15,AAP,Consumer Discretionary,179.06,181.83,178.19,181.69
42,2021-03-12,AAP,Consumer Discretionary,174.14,179.75,173.65,179.58
43,2021-03-11,AAP,Consumer Discretionary,176.34,177.44,173.37,173.64
44,2021-03-10,AAP,Consumer Discretionary,173.99,177.25,170.91,176.34
45,2021-03-09,AAP,Consumer Discretionary,178.01,178.36,172.93,173.05
46,2021-03-08,AAP,Consumer Discretionary,172.52,177.695,171.95,176.5
47,2021-03-05,AAP,Consumer Discretionary,167.04,172.105,165.23,171.51
48,2021-03-04,AAP,Consumer Discretionary,165.89,167.83,162.44,165.54
49,2021-03-03,AAP,Consumer Discretionary,164.19,169.08,164.15,165.83
50,2021-03-02,AAP,Consumer Discretionary,163.13,166.245,161.19,164.84
51,2021-03-01,AAP,Consumer Discretionary,162.13,163.74,161.77,162.66
52,2021-02-26,AAP,Consumer Discretionary,162.36,163.31,160.0316,160.35
53,2021-02-25,AAP,Consumer Discretionary,166.53,166.68,160.05,160.67
54,2021-02-24,AAP,Consumer Discretionary,166.94,167.1,163.46,166.15
55,2021-02-23,AAP,Consumer Discretionary,169.41,169.41,163.85,166.19
56,2021-02-22,AAP,Consumer Discretionary,165.13,169.31,164.5,167.7
57,2021-02-19,AAP,Consumer Discretionary,167.55,167.67,164.05,165.98
58,2021-02-18,AAP,Consumer Discretionary,160.02,167.68,159.71,167.55
59,2021-02-17,AAP,Consumer Discretionary,154.82,162.93,154.43,161.82
60,2021-02-16,AAP,Consumer Discretionary,151.01,157.99,151.01,155.51
61,2021-02-12,AAP,Consumer Discretionary,154.95,155.67,152.66,152.81
62,2021-02-11,AAP,Consumer Discretionary,161.0,161.78,154.07,154.46
63,2021-02-10,AAP,Consumer Discretionary,161.77,163.5,158.4,161.86
64,2021-02-09,AAP,Consumer Discretionary,158.0,162.14,157.4,160.67
65,2021-02-08,AAP,Consumer Discretionary,158.38,160.02,157.56,158.44
66,2021-02-05,AAP,Consumer Discretionary,159.98,160.25,156.5,157.28
67,2021-02-04,AAP,Consumer Discretionary,156.53,159.54,155.51,158.48
68,2021-02-03,AAP,Consumer Discretionary,155.11,156.33,152.135,155.28
69,2021-02-02,AAP,Consumer Discretionary,151.87,156.58,151.08,154.08
70,2021-02-01,AAP,Consumer Discretionary,151.13,155.5,150.031,150.97
71,2021-01-29,AAP,Consumer Discretionary,153.0,154.55,148.28,149.14
72,2021-01-28,AAP,Consumer Discretionary,149.62,154.67,148.5,153.34
73,2021-01-27,AAP,Consumer Discretionary,152.65,154.45,143.15,147.93
74,2021-01-26,AAP,Consumer Discretionary,160.01,160.11,156.56,157.63
75,2021-01-25,AAP,Consumer Discretionary,163.68,164.6736,156.385,159.66
76,2021-01-22,AAP,Consumer Discretionary,165.59,166.45,163.15,163.76
77,2021-01-21,AAP,Consumer Discretionary,165.02,167.78,165.02,166.68
78,2021-01-20,AAP,Consumer Discretionary,166.04,166.48,164.21,165.18
79,2021-01-19,AAP,Consumer Discretionary,165.11,167.12,163.19,165.93
80,2021-01-15,AAP,Consumer Discretionary,167.4,168.0,164.94,165.25
