,date,symbol,sector,open,high,low,close
0,2021-05-12,ABBV,Health Care,114.85,116.0,114.44,114.96
1,2021-05-11,ABBV,Health Care,115.48,116.57,114.38,114.89
2,2021-05-10,ABBV,Health Care,116.38,117.2,115.965,116.22
3,2021-05-07,ABBV,Health Care,116.38,116.93,114.9601,115.75
4,2021-05-06,ABBV,Health Care,115.0,116.18,114.16,116.08
5,2021-05-05,ABBV,Health Care,114.31,116.2799,115.17,115.78
6,2021-05-04,ABBV,Health Care,114.62,115.94,113.05,113.9
7,2021-05-03,ABBV,Health Care,112.4,115.1,111.59,114.68
8,2021-04-30,ABBV,Health Care,111.47,112.31,110.11,111.5
9,2021-04-29,ABBV,Health Care,112.38,112.61,110.33,110.89
10,2021-04-28,ABBV,Health Care,111.68,112.57,111.32,111.93
11,2021-04-27,ABBV,Health Care,111.25,111.85,110.58,111.44
12,2021-04-26,ABBV,Health Care,111.56,112.04,110.85,111.39
13,2021-04-23,ABBV,Health Care,109.71,111.7699,109.55,111.38
14,2021-04-22,ABBV,Health Care,110.65,111.09,109.61,110.05
15,2021-04-21,ABBV,Health Care,109.79,111.44,109.35,110.8
16,2021-04-20,ABBV,Health Care,108.12,109.56,108.05,109.03
17,2021-04-19,ABBV,Health Care,107.97,108.73,107.12,108.61
18,2021-04-16,ABBV,Health Care,107.49,108.5499,107.14,107.91
19,2021-04-15,ABBV,Health Care,105.99,106.95,105.62,106.89
20,2021-04-14,ABBV,Health Care,106.22,106.67,105.58,105.9
21,2021-04-13,ABBV,Health Care,108.03,108.355,107.03,108.22
22,2021-04-12,ABBV,Health Care,107.82,108.57,107.36,108.25
23,2021-04-09,ABBV,Health Care,106.39,107.72,106.05,107.54
24,2021-04-08,ABBV,Health Care,105.4,106.92,105.35,106.1
25,2021-04-07,ABBV,Health Care,105.53,106.13,104.17,105.21
26,2021-04-06,ABBV,Health Care,105.85,106.28,104.88,105.38
27,2021-04-05,ABBV,Health Care,109.08,109.08,105.4,106.14
28,2021-04-01,ABBV,Health Care,108.92,108.9822,107.32,108.52
29,2021-03-31,ABBV,Health Care,106.88,109.18,106.8,108.22
30,2021-03-30,ABBV,Health Care,106.86,107.03,105.8701,106.79
31,2021-03-29,ABBV,Health Care,105.76,107.0,105.49,106.73
32,2021-03-26,ABBV,Health Care,103.87,106.12,103.84,105.98
33,2021-03-25,ABBV,Health Care,102.9,104.15,102.05,103.88
34,2021-03-24,ABBV,Health Care,104.82,105.33,103.05,103.06
35,2021-03-23,ABBV,Health Care,105.37,105.94,104.51,104.84
36,2021-03-22,ABBV,Health Care,103.5,106.4,102.88,105.9
37,2021-03-19,ABBV,Health Care,103.93,104.43,102.92,103.42
38,2021-03-18,ABBV,Health Care,104.0,104.99,103.42,103.77
39,2021-03-17,ABBV,Health Care,103.76,105.09,102.8,105.04
40,2021-03-16,ABBV,Health Care,109.95,111.08,109.9,110.84
41,2021-03-15,ABBV,Health Care,108.67,110.36,108.36,110.26
42,2021-03-12,ABBV,Health Care,107.8,108.58,107.3717,108.22
43,2021-03-11,ABBV,Health Care,108.13,108.63,107.34,107.87
44,2021-03-10,ABBV,Health Care,107.39,108.36,107.05,108.0
45,2021-03-09,ABBV,Health Care,106.48,108.69,106.44,106.79
46,2021-03-08,ABBV,Health Care,106.85,108.155,105.804,106.11
47,2021-03-05,ABBV,Health Care,106.01,106.99,104.07,106.7
48,2021-03-04,ABBV,Health Care,106.5,107.75,104.95,105.65
49,2021-03-03,ABBV,Health Care,106.86,107.14,105.46,106.71
50,2021-03-02,ABBV,Health Care,108.85,109.38,107.81,107.85
51,2021-03-01,ABBV,Health Care,108.53,109.21,108.0738,108.41
52,2021-02-26,ABBV,Health Care,107.68,108.58,105.36,107.74
53,2021-02-25,ABBV,Health Care,108.48,109.3,107.0658,107.33
54,2021-02-24,ABBV,Health Care,106.0,109.44,105.6016,108.69
55,2021-02-23,ABBV,Health Care,106.97,107.6,105.96,106.27
56,2021-02-22,ABBV,Health Care,104.66,107.68,104.23,107.06
57,2021-02-19,ABBV,Health Care,106.23,106.7,104.91,105.01
58,2021-02-18,ABBV,Health Care,105.32,106.61,105.21,106.06
59,2021-02-17,ABBV,Health Care,104.7,106.75,104.15,106.29
60,2021-02-16,ABBV,Health Care,105.33,106.19,104.02,104.2
61,2021-02-12,ABBV,Health Care,103.76,104.57,103.15,104.44
62,2021-02-11,ABBV,Health Care,104.57,104.68,103.32,103.75
63,2021-02-10,ABBV,Health Care,105.98,106.13,103.72,104.05
64,2021-02-09,ABBV,Health Care,106.0,106.5,105.11,105.4
65,2021-02-08,ABBV,Health Care,108.885,108.98,105.81,106.84
66,2021-02-05,ABBV,Health Care,109.63,110.27,108.44,108.73
67,2021-02-04,ABBV,Health Care,106.87,108.875,105.25,108.53
68,2021-02-03,ABBV,Health Care,106.2,107.57,104.01,106.95
69,2021-02-02,ABBV,Health Care,102.88,104.31,102.5,103.47
70,2021-02-01,ABBV,Health Care,103.0,103.8927,101.86,102.3
71,2021-01-29,ABBV,Health Care,104.0,104.49,101.8117,102.48
72,2021-01-28,ABBV,Health Care,104.0,105.1381,103.11,104.21
73,2021-01-27,ABBV,Health Care,106.28,106.7,102.59,102.79
74,2021-01-26,ABBV,Health Care,111.3,111.3,108.56,108.8
75,2021-01-25,ABBV,Health Care,109.73,111.23,109.21,110.5
76,2021-01-22,ABBV,Health Care,110.65,111.6,109.48,110.86
77,2021-01-21,ABBV,Health Care,112.63,112.75,110.76,111.26
78,2021-01-20,ABBV,Health Care,112.91,113.1,111.47,112.62
79,2021-01-19,ABBV,Health Care,111.25,112.31,110.26,112.18
80,2021-01-15,ABBV,Health Care,111.2,111.56,109.48,110.52
81,2021-01-14,ABBV,Health Care,110.7,112.69,109.5,111.63
82,2021-01-13,ABBV,Health Care,109.8,113.41,109.7,112.45
83,2021-01-12,ABBV,Health Care,109.22,110.78,109.12,109.78
84,2021-01-11,ABBV,Health Care,107.065,109.56,107.065,109.02
85,2021-01-08,ABBV,Health Care,106.84,107.53,105.762,107.27
