,date,symbol,sector,open,high,low,close
0,2021-05-12,ABC,Health Care,120.04,120.66,119.09,120.09
1,2021-05-11,ABC,Health Care,122.87,123.33,119.51,120.1
2,2021-05-10,ABC,Health Care,120.52,124.85,120.43,123.25
3,2021-05-07,ABC,Health Care,118.15,121.37,117.26,120.86
4,2021-05-06,ABC,Health Care,117.4,118.18,114.0654,117.63
5,2021-05-05,ABC,Health Care,120.61,120.1,116.85,118.82
6,2021-05-04,ABC,Health Care,123.95,125.86,122.99,125.85
7,2021-05-03,ABC,Health Care,121.52,124.28,121.51,123.79
8,2021-04-30,ABC,Health Care,121.06,122.0943,120.48,120.8
9,2021-04-29,ABC,Health Care,120.42,121.39,119.21,121.25
10,2021-04-28,ABC,Health Care,119.12,119.6899,118.14,119.33
11,2021-04-27,ABC,Health Care,119.3,119.765,117.78,118.8
12,2021-04-26,ABC,Health Care,121.78,121.78,119.51,119.73
13,2021-04-23,ABC,Health Care,120.86,121.82,120.229,121.65
14,2021-04-22,ABC,Health Care,121.48,121.48,119.845,120.89
15,2021-04-21,ABC,Health Care,121.0,121.66,120.32,121.16
16,2021-04-20,ABC,Health Care,119.3,120.94,119.065,120.5
17,2021-04-19,ABC,Health Care,120.0,120.8,118.92,119.5
18,2021-04-16,ABC,Health Care,119.5,119.91,118.665,119.69
19,2021-04-15,ABC,Health Care,118.44,119.54,118.03,119.04
20,2021-04-14,ABC,Health Care,116.94,118.3834,116.82,118.0
21,2021-04-13,ABC,Health Care,116.89,117.27,116.26,117.12
22,2021-04-12,ABC,Health Care,116.56,118.5053,116.395,117.54
23,2021-04-09,ABC,Health Care,115.92,116.94,115.58,116.81
24,2021-04-08,ABC,Health Care,116.26,116.505,114.8,115.45
25,2021-04-07,ABC,Health Care,116.44,117.14,115.43,116.48
26,2021-04-06,ABC,Health Care,117.01,117.93,115.77,115.99
27,2021-04-05,ABC,Health Care,117.26,118.09,115.15,117.01
28,2021-04-01,ABC,Health Care,117.94,118.0,114.72,116.89
29,2021-03-31,ABC,Health Care,118.7,119.51,117.855,118.07
30,2021-03-30,ABC,Health Care,119.06,120.54,118.65,119.06
31,2021-03-29,ABC,Health Care,118.15,119.81,117.78,119.05
32,2021-03-26,ABC,Health Care,118.0,118.85,117.24,118.73
33,2021-03-25,ABC,Health Care,115.38,117.635,114.11,117.34
34,2021-03-24,ABC,Health Care,113.66,116.85,113.43,115.37
35,2021-03-23,ABC,Health Care,116.0,116.33,113.18,113.77
36,2021-03-22,ABC,Health Care,115.87,116.42,114.19,116.35
37,2021-03-19,ABC,Health Care,115.35,117.12,115.025,115.92
38,2021-03-18,ABC,Health Care,113.71,116.7,113.28,115.63
39,2021-03-17,ABC,Health Care,113.5,114.63,112.7,114.0
40,2021-03-16,ABC,Health Care,113.62,113.7324,111.8201,112.86
41,2021-03-15,ABC,Health Care,113.14,114.08,112.09,113.86
42,2021-03-12,ABC,Health Care,110.77,113.385,110.0,112.92
43,2021-03-11,ABC,Health Care,110.68,111.43,108.52,109.86
44,2021-03-10,ABC,Health Care,110.0,113.565,109.72,111.83
45,2021-03-09,ABC,Health Care,107.79,111.14,107.72,110.13
46,2021-03-08,ABC,Health Care,105.59,109.16,105.565,107.51
47,2021-03-05,ABC,Health Care,103.73,105.45,101.84,104.83
48,2021-03-04,ABC,Health Care,102.7,104.85,101.85,102.99
49,2021-03-03,ABC,Health Care,104.13,104.94,103.315,103.34
50,2021-03-02,ABC,Health Care,103.22,104.36,102.63,104.25
51,2021-03-01,ABC,Health Care,101.92,103.86,101.92,103.17
52,2021-02-26,ABC,Health Care,102.96,103.4,100.71,101.22
53,2021-02-25,ABC,Health Care,105.86,106.82,102.54,102.85
54,2021-02-24,ABC,Health Care,106.13,107.35,104.7,105.2
55,2021-02-23,ABC,Health Care,106.76,108.0,104.5,106.47
56,2021-02-22,ABC,Health Care,105.28,106.62,104.05,106.12
57,2021-02-19,ABC,Health Care,105.61,106.32,105.0,105.87
58,2021-02-18,ABC,Health Care,104.72,105.73,104.31,105.26
59,2021-02-17,ABC,Health Care,102.71,105.7,102.68,105.31
60,2021-02-16,ABC,Health Care,105.62,105.62,103.08,103.37
61,2021-02-12,ABC,Health Care,103.75,105.45,103.61,105.18
62,2021-02-11,ABC,Health Care,106.63,106.72,104.22,104.53
63,2021-02-10,ABC,Health Care,108.25,108.25,106.04,106.27
64,2021-02-09,ABC,Health Care,108.13,108.84,106.25,107.43
65,2021-02-08,ABC,Health Care,109.7,110.42,107.7,108.49
66,2021-02-05,ABC,Health Care,112.2,112.33,108.08,109.69
67,2021-02-04,ABC,Health Care,106.14,112.88,106.14,111.92
68,2021-02-03,ABC,Health Care,105.18,106.08,103.4,105.53
69,2021-02-02,ABC,Health Care,108.1,110.0,105.54,105.62
70,2021-02-01,ABC,Health Care,104.86,107.38,104.81,106.89
71,2021-01-29,ABC,Health Care,106.81,107.62,103.8,104.2
72,2021-01-28,ABC,Health Care,107.38,109.645,106.82,106.9
73,2021-01-27,ABC,Health Care,107.91,109.76,106.61,106.84
74,2021-01-26,ABC,Health Care,107.67,109.62,106.935,108.84
75,2021-01-25,ABC,Health Care,107.09,107.52,106.0,106.87
76,2021-01-22,ABC,Health Care,104.66,108.72,104.66,107.76
77,2021-01-21,ABC,Health Care,103.67,105.41,102.725,104.91
78,2021-01-20,ABC,Health Care,103.19,104.39,102.77,103.79
79,2021-01-19,ABC,Health Care,107.49,107.89,103.24,103.5
80,2021-01-15,ABC,Health Care,105.6,107.89,104.53,106.8
81,2021-01-14,ABC,Health Care,105.68,106.66,105.35,105.64
82,2021-01-13,ABC,Health Care,106.32,106.52,105.4,105.62
83,2021-01-12,ABC,Health Care,107.49,107.77,106.15,106.52
84,2021-01-11,ABC,Health Care,109.17,110.49,106.1,107.35
85,2021-01-08,ABC,Health Care,110.07,112.48,109.54,110.03
86,2021-01-07,ABC,Health Care,106.55,110.39,106.2405,110.13
87,2021-01-06,ABC,Health Care,100.16,107.15,100.16,106.17
88,2021-01-05,ABC,Health Care,96.73,98.88,94.89,97.76
89,2021-01-04,ABC,Health Care,97.85,97.95,95.07,96.5
90,2020-12-31,ABC,Health Care,96.75,97.9731,96.08,97.76
91,2020-12-30,ABC,Health Care,97.21,97.56,96.4,96.96
92,2020-12-29,ABC,Health Care,97.64,98.26,96.32,97.12
93,2020-12-28,ABC,Health Care,97.71,98.2,96.37,96.8
94,2020-12-24,ABC,Health Care,97.33,97.58,96.08,96.97
95,2020-12-23,ABC,Health Care,97.04,98.08,96.67,97.24
96,2020-12-22,ABC,Health Care,97.62,98.38,96.46,96.72
97,2020-12-21,ABC,Health Care,97.32,97.8408,95.765,97.67
98,2020-12-18,ABC,Health Care,98.76,99.85,97.51,98.61
99,2020-12-17,ABC,Health Care,98.91,99.09,97.46,98.74
100,2020-12-16,ABC,Health Care,99.11,99.11,98.01,98.37
101,2020-12-15,ABC,Health Care,97.56,99.34,97.56,99.03
102,2020-12-14,ABC,Health Care,99.07,99.07,97.09,97.12
103,2020-12-11,ABC,Health Care,98.85,99.38,97.58,98.06
104,2020-12-10,ABC,Health Care,100.49,101.565,99.29,99.37
105,2020-12-09,ABC,Health Care,100.48,101.47,100.01,101.11
106,2020-12-08,ABC,Health Care,99.02,100.99,98.37,100.43
