,date,symbol,sector,open,high,low,close
0,2021-05-12,ABMD,Health Care,276.59,280.83,271.64,272.25
1,2021-05-11,ABMD,Health Care,279.12,282.29,276.01,280.3
2,2021-05-10,ABMD,Health Care,296.41,297.0,282.15,282.72
3,2021-05-07,ABMD,Health Care,299.24,303.8609,296.35,296.81
4,2021-05-06,ABMD,Health Care,300.88,301.28,288.01,295.72
5,2021-05-05,ABMD,Health Care,305.49,306.52,299.76,300.79
6,2021-05-04,ABMD,Health Care,307.67,310.19,302.0194,305.0
7,2021-05-03,ABMD,Health Care,317.88,319.92,305.51,308.64
8,2021-04-30,ABMD,Health Care,320.09,327.0,319.52,320.73
9,2021-04-29,ABMD,Health Care,349.22,350.88,320.01,322.94
10,2021-04-28,ABMD,Health Care,340.64,352.57,338.25,351.17
11,2021-04-27,ABMD,Health Care,348.79,349.14,340.16,340.63
12,2021-04-26,ABMD,Health Care,352.63,353.2,346.65,348.2
13,2021-04-23,ABMD,Health Care,345.59,355.94,344.79,351.03
14,2021-04-22,ABMD,Health Care,340.89,345.947,339.18,343.4
15,2021-04-21,ABMD,Health Care,331.72,344.36,330.06,342.64
16,2021-04-20,ABMD,Health Care,330.79,334.39,328.65,330.1
17,2021-04-19,ABMD,Health Care,328.01,333.05,327.1825,329.42
18,2021-04-16,ABMD,Health Care,334.55,339.08,329.82,330.53
19,2021-04-15,ABMD,Health Care,333.48,339.46,332.815,337.59
20,2021-04-14,ABMD,Health Care,329.28,333.39,328.21,330.6
21,2021-04-13,ABMD,Health Care,334.13,336.77,328.425,329.97
22,2021-04-12,ABMD,Health Care,335.09,335.09,327.34,333.11
23,2021-04-09,ABMD,Health Care,328.54,333.9999,326.07,333.81
24,2021-04-08,ABMD,Health Care,324.34,331.22,320.67,329.75
25,2021-04-07,ABMD,Health Care,325.23,325.3405,317.215,320.62
26,2021-04-06,ABMD,Health Care,321.42,329.02,317.45,323.62
27,2021-04-05,ABMD,Health Care,315.63,322.285,311.48,321.5
28,2021-04-01,ABMD,Health Care,321.1,322.588,314.61,315.34
29,2021-03-31,ABMD,Health Care,311.76,321.8299,307.795,318.73
30,2021-03-30,ABMD,Health Care,301.74,310.32,298.96,309.88
31,2021-03-29,ABMD,Health Care,301.94,307.96,301.4,305.77
32,2021-03-26,ABMD,Health Care,295.73,302.05,290.47,301.4
33,2021-03-25,ABMD,Health Care,294.43,296.31,284.59,294.14
34,2021-03-24,ABMD,Health Care,298.74,301.4949,291.8482,294.21
35,2021-03-23,ABMD,Health Care,305.17,308.89,297.1,298.62
36,2021-03-22,ABMD,Health Care,302.87,307.31,302.235,306.16
37,2021-03-19,ABMD,Health Care,299.91,303.36,295.3,299.81
38,2021-03-18,ABMD,Health Care,301.53,302.32,296.12,298.86
39,2021-03-17,ABMD,Health Care,305.76,308.9054,300.4753,304.66
40,2021-03-16,ABMD,Health Care,309.03,315.34,305.96,308.69
41,2021-03-15,ABMD,Health Care,300.85,308.56,299.6,307.18
42,2021-03-12,ABMD,Health Care,300.34,304.76,297.245,303.55
43,2021-03-11,ABMD,Health Care,300.91,306.14,298.0404,304.37
44,2021-03-10,ABMD,Health Care,297.56,305.5114,295.57,296.28
45,2021-03-09,ABMD,Health Care,291.48,307.0,290.83,296.8
46,2021-03-08,ABMD,Health Care,296.45,305.415,285.33,285.92
47,2021-03-05,ABMD,Health Care,296.5,302.57,280.9962,301.22
48,2021-03-04,ABMD,Health Care,306.29,311.65,289.52,295.63
49,2021-03-03,ABMD,Health Care,323.14,325.26,306.7,307.6
50,2021-03-02,ABMD,Health Care,325.56,327.78,318.46,325.31
51,2021-03-01,ABMD,Health Care,329.59,330.98,322.94,324.26
52,2021-02-26,ABMD,Health Care,322.01,327.82,314.43,324.55
53,2021-02-25,ABMD,Health Care,324.02,326.93,317.59,320.47
54,2021-02-24,ABMD,Health Care,320.4,327.73,316.75,323.78
55,2021-02-23,ABMD,Health Care,319.54,323.01,310.5,321.69
56,2021-02-22,ABMD,Health Care,330.39,332.84,321.92,322.75
57,2021-02-19,ABMD,Health Care,320.88,333.62,317.01,331.97
58,2021-02-18,ABMD,Health Care,312.14,326.0,311.89,322.08
59,2021-02-17,ABMD,Health Care,314.01,321.735,314.0,316.3
60,2021-02-16,ABMD,Health Care,330.67,334.49,319.22,322.78
61,2021-02-12,ABMD,Health Care,324.54,328.98,321.9,328.36
62,2021-02-11,ABMD,Health Care,324.735,327.43,319.49,322.93
63,2021-02-10,ABMD,Health Care,326.29,327.31,321.67,324.51
64,2021-02-09,ABMD,Health Care,326.6,327.91,321.84,324.48
65,2021-02-08,ABMD,Health Care,330.4,331.56,323.59,325.86
66,2021-02-05,ABMD,Health Care,326.8518,331.3,323.85,327.85
67,2021-02-04,ABMD,Health Care,327.73,332.89,323.07,324.78
68,2021-02-03,ABMD,Health Care,327.92,335.9664,321.01,326.23
69,2021-02-02,ABMD,Health Care,346.13,351.45,339.66,347.84
70,2021-02-01,ABMD,Health Care,345.64,353.075,341.67,341.86
71,2021-01-29,ABMD,Health Care,348.4,354.69,337.93,348.25
72,2021-01-28,ABMD,Health Care,340.0,387.4,334.37,355.13
73,2021-01-27,ABMD,Health Care,334.38,342.69,327.13,328.6
