,date,symbol,sector,open,high,low,close
0,2021-05-12,ALGN,Health Care,553.42,557.575,547.51,548.64
1,2021-05-11,ALGN,Health Care,539.91,570.12,536.23,566.26
2,2021-05-10,ALGN,Health Care,596.16,596.16,551.28,554.5
3,2021-05-07,ALGN,Health Care,586.08,604.0,586.08,598.34
4,2021-05-06,ALGN,Health Care,568.69,584.95,560.58,584.72
5,2021-05-05,ALGN,Health Care,587.0,587.24,568.26,569.25
6,2021-05-04,ALGN,Health Care,594.18,594.18,560.5,582.15
7,2021-05-03,ALGN,Health Care,599.14,610.12,595.6,599.77
8,2021-04-30,ALGN,Health Care,597.76,615.75,594.22,595.53
9,2021-04-29,ALGN,Health Care,643.16,647.2,590.44,604.34
10,2021-04-28,ALGN,Health Care,616.12,623.11,611.65,613.36
11,2021-04-27,ALGN,Health Care,620.41,625.79,613.73,621.76
12,2021-04-26,ALGN,Health Care,620.98,625.61,613.55,617.24
13,2021-04-23,ALGN,Health Care,616.0,624.79,616.0,620.12
14,2021-04-22,ALGN,Health Care,621.52,627.525,609.75,615.31
15,2021-04-21,ALGN,Health Care,595.63,618.0,593.18,616.08
16,2021-04-20,ALGN,Health Care,603.85,604.5,588.29,596.2
17,2021-04-19,ALGN,Health Care,608.31,609.9999,593.67,603.72
18,2021-04-16,ALGN,Health Care,607.14,608.0,599.02,606.33
19,2021-04-15,ALGN,Health Care,598.57,608.2,598.57,606.23
20,2021-04-14,ALGN,Health Care,595.7,604.165,589.26,594.93
21,2021-04-13,ALGN,Health Care,602.49,608.02,591.63,595.63
22,2021-04-12,ALGN,Health Care,593.59,602.07,585.66,601.11
23,2021-04-09,ALGN,Health Care,576.52,592.99,575.0,592.56
24,2021-04-08,ALGN,Health Care,558.87,577.9199,556.82,575.75
25,2021-04-07,ALGN,Health Care,556.01,559.38,545.95,552.56
26,2021-04-06,ALGN,Health Care,551.54,563.96,547.56,553.84
27,2021-04-05,ALGN,Health Care,550.33,554.49,544.51,547.94
28,2021-04-01,ALGN,Health Care,546.24,557.15,544.0,545.05
29,2021-03-31,ALGN,Health Care,532.0,545.21,529.25,541.53
30,2021-03-30,ALGN,Health Care,516.22,526.11,511.13,524.33
31,2021-03-29,ALGN,Health Care,523.19,526.7899,502.23,516.0
32,2021-03-26,ALGN,Health Care,518.81,528.78,511.97,528.34
33,2021-03-25,ALGN,Health Care,502.06,520.24,498.0,517.87
34,2021-03-24,ALGN,Health Care,521.0,522.49,504.58,506.17
35,2021-03-23,ALGN,Health Care,528.32,531.93,517.18,518.88
36,2021-03-22,ALGN,Health Care,532.34,538.91,528.19,530.6
37,2021-03-19,ALGN,Health Care,520.97,533.81,513.02,529.46
