,date,symbol,sector,open,high,low,close
0,2021-05-12,ALK,Industrials,65.23,66.49,64.55,64.77
1,2021-05-11,ALK,Industrials,65.3,66.05,63.64,65.54
2,2021-05-10,ALK,Industrials,68.0,68.53,67.03,67.09
3,2021-05-07,ALK,Industrials,66.5,68.57,66.4959,67.9
4,2021-05-06,ALK,Industrials,67.02,67.4,65.78,67.04
5,2021-05-05,ALK,Industrials,65.98,67.8,66.88,66.91
6,2021-05-04,ALK,Industrials,68.12,68.89,65.87,66.56
7,2021-05-03,ALK,Industrials,69.46,69.8,68.05,68.69
8,2021-04-30,ALK,Industrials,67.96,69.72,67.85,69.14
9,2021-04-29,ALK,Industrials,69.27,69.51,68.19,68.57
10,2021-04-28,ALK,Industrials,68.86,69.0,68.05,68.65
11,2021-04-27,ALK,Industrials,69.0,69.7175,68.49,69.08
12,2021-04-26,ALK,Industrials,70.4,70.95,68.71,69.48
13,2021-04-23,ALK,Industrials,67.55,69.55,67.2,69.21
14,2021-04-22,ALK,Industrials,70.0,70.24,66.96,66.96
15,2021-04-21,ALK,Industrials,66.5,68.83,64.81,68.83
16,2021-04-20,ALK,Industrials,67.89,68.025,65.44,66.9
17,2021-04-19,ALK,Industrials,69.0,69.175,67.88,68.77
18,2021-04-16,ALK,Industrials,69.7,70.55,68.6862,69.33
19,2021-04-15,ALK,Industrials,71.51,71.66,68.47,69.43
20,2021-04-14,ALK,Industrials,71.59,72.4,70.41,70.57
21,2021-04-13,ALK,Industrials,70.52,70.8347,67.76,70.22
22,2021-04-12,ALK,Industrials,72.0,72.47,70.66,71.3
23,2021-04-09,ALK,Industrials,72.7,72.95,71.59,72.63
24,2021-04-08,ALK,Industrials,71.78,72.95,70.36,72.69
25,2021-04-07,ALK,Industrials,73.7,74.25,71.717,72.36
26,2021-04-06,ALK,Industrials,72.44,73.9,71.85,73.74
27,2021-04-05,ALK,Industrials,70.74,72.75,70.488,71.09
28,2021-04-01,ALK,Industrials,69.67,70.44,68.95,69.49
29,2021-03-31,ALK,Industrials,70.02,70.05,68.57,69.21
30,2021-03-30,ALK,Industrials,68.01,70.34,67.75,69.94
31,2021-03-29,ALK,Industrials,68.65,68.83,66.35,67.5
32,2021-03-26,ALK,Industrials,68.6,69.54,66.88,68.32
33,2021-03-25,ALK,Industrials,64.25,67.97,63.5,67.75
34,2021-03-24,ALK,Industrials,66.7,68.64,65.37,65.42
