,date,symbol,sector,open,high,low,close
0,2021-05-12,ALLE,Industrials,139.55,139.65,134.92,135.39
1,2021-05-11,ALLE,Industrials,141.65,142.03,139.07,139.74
2,2021-05-10,ALLE,Industrials,141.96,144.76,141.96,142.55
3,2021-05-07,ALLE,Industrials,140.11,142.2,139.9,141.25
4,2021-05-06,ALLE,Industrials,136.65,140.3,136.3056,140.16
5,2021-05-05,ALLE,Industrials,137.72,137.02,135.425,136.24
6,2021-05-04,ALLE,Industrials,135.64,137.77,135.6152,137.41
7,2021-05-03,ALLE,Industrials,135.81,137.13,135.175,136.07
8,2021-04-30,ALLE,Industrials,136.28,136.53,133.93,134.38
9,2021-04-29,ALLE,Industrials,137.27,138.23,136.735,137.22
10,2021-04-28,ALLE,Industrials,137.83,137.83,135.98,136.5
11,2021-04-27,ALLE,Industrials,136.29,138.6332,135.0,137.65
12,2021-04-26,ALLE,Industrials,139.26,140.21,135.65,136.25
13,2021-04-23,ALLE,Industrials,134.78,138.83,134.3,138.35
14,2021-04-22,ALLE,Industrials,134.66,139.73,134.66,135.49
15,2021-04-21,ALLE,Industrials,132.69,134.83,132.57,133.09
16,2021-04-20,ALLE,Industrials,132.7,133.3,131.55,132.45
17,2021-04-19,ALLE,Industrials,133.22,133.37,131.9,132.34
18,2021-04-16,ALLE,Industrials,132.0,133.13,131.55,133.01
19,2021-04-15,ALLE,Industrials,130.1,130.86,129.48,130.53
20,2021-04-14,ALLE,Industrials,129.37,131.22,129.31,130.24
21,2021-04-13,ALLE,Industrials,130.67,130.8213,128.94,129.34
22,2021-04-12,ALLE,Industrials,132.16,132.43,130.8906,131.61
23,2021-04-09,ALLE,Industrials,131.77,132.78,130.68,131.69
24,2021-04-08,ALLE,Industrials,131.23,131.53,129.535,130.85
25,2021-04-07,ALLE,Industrials,130.75,131.93,129.69,131.36
26,2021-04-06,ALLE,Industrials,133.63,134.44,131.01,131.5
27,2021-04-05,ALLE,Industrials,128.95,130.06,128.45,130.03
28,2021-04-01,ALLE,Industrials,125.85,128.0,124.62,127.75
29,2021-03-31,ALLE,Industrials,124.75,126.65,124.09,125.62
30,2021-03-30,ALLE,Industrials,125.83,126.3,124.44,125.29
31,2021-03-29,ALLE,Industrials,126.74,128.41,125.7,126.28
32,2021-03-26,ALLE,Industrials,124.56,126.82,123.75,126.75
33,2021-03-25,ALLE,Industrials,122.04,123.68,120.52,123.48
34,2021-03-24,ALLE,Industrials,120.43,123.3099,119.85,121.65
35,2021-03-23,ALLE,Industrials,119.38,121.07,119.02,119.29
36,2021-03-22,ALLE,Industrials,119.38,120.94,118.23,120.45
37,2021-03-19,ALLE,Industrials,121.74,121.74,119.72,119.92
38,2021-03-18,ALLE,Industrials,121.9,123.42,121.53,121.98
39,2021-03-17,ALLE,Industrials,121.19,123.56,121.03,122.56
40,2021-03-16,ALLE,Industrials,118.9,122.74,118.5188,121.33
41,2021-03-15,ALLE,Industrials,116.52,118.16,116.42,118.13
42,2021-03-12,ALLE,Industrials,116.29,117.3,115.6,117.29
