,date,symbol,sector,open,high,low,close
0,2021-05-12,ALXN,Health Care,172.0,173.24,171.8,171.99
1,2021-05-11,ALXN,Health Care,170.93,171.81,169.94,171.41
2,2021-05-10,ALXN,Health Care,171.79,172.59,171.18,171.81
3,2021-05-07,ALXN,Health Care,170.0,171.15,169.73,170.43
4,2021-05-06,ALXN,Health Care,169.52,169.93,168.58,169.86
5,2021-05-05,ALXN,Health Care,169.3,169.95,168.77,169.91
6,2021-05-04,ALXN,Health Care,169.54,169.69,168.11,168.49
7,2021-05-03,ALXN,Health Care,168.51,170.29,168.51,170.27
8,2021-04-30,ALXN,Health Care,168.98,172.08,168.06,168.68
9,2021-04-29,ALXN,Health Care,166.75,166.97,164.83,165.58
10,2021-04-28,ALXN,Health Care,167.02,167.48,166.25,166.73
11,2021-04-27,ALXN,Health Care,167.55,168.18,166.95,167.06
12,2021-04-26,ALXN,Health Care,166.8,167.43,166.225,167.0
13,2021-04-23,ALXN,Health Care,167.3,167.77,166.57,166.92
14,2021-04-22,ALXN,Health Care,167.83,168.48,167.02,167.65
15,2021-04-21,ALXN,Health Care,167.72,168.515,167.39,168.44
16,2021-04-20,ALXN,Health Care,165.94,166.81,165.58,166.54
17,2021-04-19,ALXN,Health Care,164.51,165.95,164.51,165.47
18,2021-04-16,ALXN,Health Care,164.05,164.6,163.54,163.68
19,2021-04-15,ALXN,Health Care,156.61,158.36,156.2,157.54
20,2021-04-14,ALXN,Health Care,154.34,156.32,154.34,155.29
21,2021-04-13,ALXN,Health Care,153.85,154.51,153.01,153.73
22,2021-04-12,ALXN,Health Care,154.69,155.0,153.94,154.01
23,2021-04-09,ALXN,Health Care,154.89,155.525,154.55,155.01
24,2021-04-08,ALXN,Health Care,154.25,155.29,153.71,154.47
25,2021-04-07,ALXN,Health Care,153.685,153.685,151.75,152.35
26,2021-04-06,ALXN,Health Care,153.54,154.79,153.21,153.41
27,2021-04-05,ALXN,Health Care,153.4,154.29,152.95,154.12
28,2021-04-01,ALXN,Health Care,152.81,153.73,152.41,153.21
29,2021-03-31,ALXN,Health Care,153.6,154.39,152.77,152.91
30,2021-03-30,ALXN,Health Care,154.86,154.86,153.165,153.45
31,2021-03-29,ALXN,Health Care,154.03,155.96,154.03,155.57
32,2021-03-26,ALXN,Health Care,151.8,154.92,151.8,154.875
33,2021-03-25,ALXN,Health Care,151.97,153.45,151.75,152.97
34,2021-03-24,ALXN,Health Care,152.03,152.32,151.14,151.54
35,2021-03-23,ALXN,Health Care,152.39,153.36,151.25,152.18
36,2021-03-22,ALXN,Health Care,151.99,155.33,151.99,155.25
