,date,symbol,sector,open,high,low,close
0,2021-05-12,AME,Industrials,135.78,135.86,130.47,130.84
1,2021-05-11,AME,Industrials,135.67,136.42,134.15,136.14
2,2021-05-10,AME,Industrials,137.8,139.07,136.92,137.09
3,2021-05-07,AME,Industrials,135.39,138.06,134.785,137.33
4,2021-05-06,AME,Industrials,136.21,137.29,134.69,135.84
5,2021-05-05,AME,Industrials,136.94,137.4,135.74,136.88
6,2021-05-04,AME,Industrials,133.82,136.89,133.13,136.03
7,2021-05-03,AME,Industrials,136.1,136.1,133.8602,134.31
8,2021-04-30,AME,Industrials,135.86,136.275,134.56,134.93
9,2021-04-29,AME,Industrials,136.08,137.84,135.2,137.09
10,2021-04-28,AME,Industrials,134.97,136.05,134.46,135.07
11,2021-04-27,AME,Industrials,134.92,135.35,133.64,135.1
12,2021-04-26,AME,Industrials,135.28,136.04,134.44,134.69
13,2021-04-23,AME,Industrials,133.79,135.61,133.51,135.01
14,2021-04-22,AME,Industrials,133.64,134.24,132.93,133.53
15,2021-04-21,AME,Industrials,131.05,133.17,130.67,133.09
16,2021-04-20,AME,Industrials,131.5,132.22,130.13,130.89
17,2021-04-19,AME,Industrials,133.0,133.28,130.91,132.12
18,2021-04-16,AME,Industrials,134.33,134.8,132.29,132.85
19,2021-04-15,AME,Industrials,131.48,133.95,131.48,133.15
20,2021-04-14,AME,Industrials,132.39,132.6,131.01,131.11
21,2021-04-13,AME,Industrials,132.38,132.585,130.98,131.86
22,2021-04-12,AME,Industrials,131.33,133.095,131.33,132.99
23,2021-04-09,AME,Industrials,130.92,131.48,130.09,131.29
24,2021-04-08,AME,Industrials,129.03,131.09,128.43,130.32
25,2021-04-07,AME,Industrials,129.66,130.11,128.65,129.55
26,2021-04-06,AME,Industrials,130.61,131.79,129.37,129.79
27,2021-04-05,AME,Industrials,129.78,130.79,128.83,130.71
28,2021-04-01,AME,Industrials,128.33,128.99,127.0,128.66
29,2021-03-31,AME,Industrials,127.79,128.95,126.28,127.73
30,2021-03-30,AME,Industrials,127.96,129.13,127.14,127.44
31,2021-03-29,AME,Industrials,126.51,128.84,126.06,128.21
