,date,symbol,sector,open,high,low,close
0,2021-05-12,AMGN,Health Care,251.4097,253.72,249.68,250.83
1,2021-05-11,AMGN,Health Care,253.16,255.96,251.62,252.3
2,2021-05-10,AMGN,Health Care,256.0,258.81,252.06,252.62
3,2021-05-07,AMGN,Health Care,251.78,255.73,251.78,254.21
4,2021-05-06,AMGN,Health Care,249.28,251.48,246.96,251.3
5,2021-05-05,AMGN,Health Care,246.29,249.98,245.91,249.35
6,2021-05-04,AMGN,Health Care,247.27,247.58,242.87,247.36
7,2021-05-03,AMGN,Health Care,240.67,247.02,240.55,245.38
8,2021-04-30,AMGN,Health Care,234.27,240.66,234.2,239.64
9,2021-04-29,AMGN,Health Care,235.07,236.0,231.03,234.71
10,2021-04-28,AMGN,Health Care,241.52,243.97,233.76,236.71
11,2021-04-27,AMGN,Health Care,255.1886,256.53,253.76,255.13
12,2021-04-26,AMGN,Health Care,256.65,256.75,254.415,255.52
13,2021-04-23,AMGN,Health Care,254.98,258.14,253.67,257.03
14,2021-04-22,AMGN,Health Care,257.54,258.475,253.66,255.05
15,2021-04-21,AMGN,Health Care,260.41,261.0,257.75,258.78
16,2021-04-20,AMGN,Health Care,254.84,260.36,254.84,259.14
17,2021-04-19,AMGN,Health Care,252.85,256.11,252.64,255.97
18,2021-04-16,AMGN,Health Care,256.44,258.82,254.67,255.71
19,2021-04-15,AMGN,Health Care,251.1,257.0,250.5,255.13
20,2021-04-14,AMGN,Health Care,249.98,251.5,249.0,249.62
21,2021-04-13,AMGN,Health Care,249.15,250.35,247.09,249.95
22,2021-04-12,AMGN,Health Care,248.52,250.0,247.79,248.94
23,2021-04-09,AMGN,Health Care,247.71,249.1,245.81,248.95
24,2021-04-08,AMGN,Health Care,249.1,249.4802,245.98,246.88
25,2021-04-07,AMGN,Health Care,248.17,250.22,247.1,248.12
26,2021-04-06,AMGN,Health Care,251.74,252.54,248.24,249.1
27,2021-04-05,AMGN,Health Care,249.06,252.63,249.06,252.02
28,2021-04-01,AMGN,Health Care,249.73,250.0,246.405,249.17
29,2021-03-31,AMGN,Health Care,249.23,249.95,247.36,248.81
30,2021-03-30,AMGN,Health Care,253.18,254.0075,248.83,249.75
31,2021-03-29,AMGN,Health Care,251.53,256.595,251.45,254.96
32,2021-03-26,AMGN,Health Care,245.97,253.28,245.54,252.86
33,2021-03-25,AMGN,Health Care,247.04,247.54,244.98,246.25
34,2021-03-24,AMGN,Health Care,245.0,247.389,243.82,245.47
35,2021-03-23,AMGN,Health Care,249.99,250.0,244.9,245.04
36,2021-03-22,AMGN,Health Care,242.36,249.77,242.36,249.69
37,2021-03-19,AMGN,Health Care,245.74,247.4,241.63,245.94
38,2021-03-18,AMGN,Health Care,240.5,247.14,240.5,244.42
39,2021-03-17,AMGN,Health Care,240.31,245.9,239.22,244.27
40,2021-03-16,AMGN,Health Care,238.115,242.02,236.62,240.32
41,2021-03-15,AMGN,Health Care,230.0,236.16,229.8,235.96
42,2021-03-12,AMGN,Health Care,230.24,230.76,228.69,230.36
43,2021-03-11,AMGN,Health Care,230.66,233.96,228.7781,231.17
44,2021-03-10,AMGN,Health Care,231.4637,233.49,229.02,229.96
45,2021-03-09,AMGN,Health Care,230.0,233.12,228.78,228.99
46,2021-03-08,AMGN,Health Care,228.08,232.2,226.7,227.81
47,2021-03-05,AMGN,Health Care,222.45,228.15,221.45,227.73
48,2021-03-04,AMGN,Health Care,227.82,227.87,220.2533,221.91
49,2021-03-03,AMGN,Health Care,223.52,225.6878,221.31,223.94
50,2021-03-02,AMGN,Health Care,227.0,227.89,225.28,225.69
51,2021-03-01,AMGN,Health Care,225.88,227.9289,225.23,227.04
52,2021-02-26,AMGN,Health Care,230.3134,230.3134,223.615,224.92
53,2021-02-25,AMGN,Health Care,229.99,230.5,226.9,227.52
54,2021-02-24,AMGN,Health Care,229.87,230.7879,227.71,229.99
55,2021-02-23,AMGN,Health Care,232.65,238.0,230.9675,232.46
56,2021-02-22,AMGN,Health Care,230.33,233.8,230.12,231.47
57,2021-02-19,AMGN,Health Care,232.01,233.15,230.85,231.69
58,2021-02-18,AMGN,Health Care,235.43,235.43,232.3,232.53
59,2021-02-17,AMGN,Health Care,232.33,235.84,231.24,235.61
60,2021-02-16,AMGN,Health Care,236.01,237.69,232.53,232.84
61,2021-02-12,AMGN,Health Care,235.04,237.35,233.485,237.21
62,2021-02-11,AMGN,Health Care,238.64,239.1319,233.985,235.04
63,2021-02-10,AMGN,Health Care,238.4,240.295,236.7,238.46
64,2021-02-09,AMGN,Health Care,237.28,237.67,234.79,236.65
65,2021-02-08,AMGN,Health Care,237.99,239.63,235.85,237.57
66,2021-02-05,AMGN,Health Care,238.31,238.88,235.38,236.32
67,2021-02-04,AMGN,Health Care,236.28,237.855,233.745,237.22
68,2021-02-03,AMGN,Health Care,231.5595,239.87,231.391,237.08
69,2021-02-02,AMGN,Health Care,240.0,241.9482,236.8,240.49
70,2021-02-01,AMGN,Health Care,244.3,245.48,239.58,240.43
71,2021-01-29,AMGN,Health Care,244.93,246.47,240.25,241.43
72,2021-01-28,AMGN,Health Care,252.48,276.69,243.45,247.75
73,2021-01-27,AMGN,Health Care,255.47,259.44,250.32,251.06
74,2021-01-26,AMGN,Health Care,256.59,259.07,254.86,258.6
75,2021-01-25,AMGN,Health Care,252.05,257.11,251.85,257.1
76,2021-01-22,AMGN,Health Care,252.26,255.23,250.56,253.5
77,2021-01-21,AMGN,Health Care,252.0,252.73,249.52,252.03
78,2021-01-20,AMGN,Health Care,247.42,253.35,246.12,252.36
79,2021-01-19,AMGN,Health Care,246.5,249.0,246.38,248.27
80,2021-01-15,AMGN,Health Care,241.18,246.84,240.0197,245.49
81,2021-01-14,AMGN,Health Care,236.5,243.49,235.675,241.66
82,2021-01-13,AMGN,Health Care,235.99,238.5,235.22,237.74
83,2021-01-12,AMGN,Health Care,237.12,238.78,235.35,236.59
84,2021-01-11,AMGN,Health Care,240.0,240.35,234.43,237.57
85,2021-01-08,AMGN,Health Care,235.53,238.86,235.1,238.49
86,2021-01-07,AMGN,Health Care,231.86,235.37,231.465,234.02
87,2021-01-06,AMGN,Health Care,225.0,233.53,225.0,233.25
88,2021-01-05,AMGN,Health Care,226.94,228.895,224.35,227.76
89,2021-01-04,AMGN,Health Care,231.25,231.25,223.67,226.66
90,2020-12-31,AMGN,Health Care,227.31,230.25,225.89,229.92
91,2020-12-30,AMGN,Health Care,227.98,229.03,226.58,227.17
92,2020-12-29,AMGN,Health Care,225.88,229.47,225.2733,226.87
93,2020-12-28,AMGN,Health Care,223.03,226.9,223.03,223.65
94,2020-12-24,AMGN,Health Care,223.24,224.58,222.29,222.93
95,2020-12-23,AMGN,Health Care,221.48,223.58,220.66,222.94
96,2020-12-22,AMGN,Health Care,225.72,226.475,220.08,220.99
97,2020-12-21,AMGN,Health Care,225.68,227.94,221.58,227.31
98,2020-12-18,AMGN,Health Care,232.04,232.04,227.25,228.49
99,2020-12-17,AMGN,Health Care,229.12,231.38,228.83,231.24
100,2020-12-16,AMGN,Health Care,229.99,231.28,228.11,228.44
101,2020-12-15,AMGN,Health Care,229.01,231.28,227.0,230.53
102,2020-12-14,AMGN,Health Care,229.48,232.19,227.58,229.46
103,2020-12-11,AMGN,Health Care,226.47,227.8,225.495,227.4
104,2020-12-10,AMGN,Health Care,229.62,230.0,227.52,228.16
105,2020-12-09,AMGN,Health Care,229.78,231.59,227.88,229.85
106,2020-12-08,AMGN,Health Care,229.01,229.1,226.345,228.94
107,2020-12-07,AMGN,Health Care,229.0,229.21,225.11,226.45
108,2020-12-04,AMGN,Health Care,225.75,230.33,225.75,229.21
109,2020-12-03,AMGN,Health Care,226.0,228.45,225.52,226.91
110,2020-12-02,AMGN,Health Care,225.08,230.0799,224.6092,226.56
111,2020-12-01,AMGN,Health Care,224.88,225.78,222.72,225.08
112,2020-11-30,AMGN,Health Care,224.33,225.2775,219.45,222.04
113,2020-11-27,AMGN,Health Care,221.41,226.21,221.39,224.81
114,2020-11-25,AMGN,Health Care,221.095,223.77,218.92,220.31
115,2020-11-24,AMGN,Health Care,222.45,223.05,219.82,220.46
116,2020-11-23,AMGN,Health Care,222.0622,223.17,220.3396,222.22
117,2020-11-20,AMGN,Health Care,223.22,225.0909,221.48,223.17
118,2020-11-19,AMGN,Health Care,226.97,226.97,223.59,224.67
119,2020-11-18,AMGN,Health Care,234.05,234.37,227.64,227.76
120,2020-11-17,AMGN,Health Care,235.01,236.9299,232.12,232.44
121,2020-11-16,AMGN,Health Care,237.42,239.815,235.26,236.66
122,2020-11-13,AMGN,Health Care,236.89,238.59,235.0,237.36
123,2020-11-12,AMGN,Health Care,240.55,240.89,235.64,237.14
124,2020-11-11,AMGN,Health Care,242.52,245.67,238.5,240.69
125,2020-11-10,AMGN,Health Care,244.0,245.84,239.47,241.6
126,2020-11-09,AMGN,Health Care,242.94,244.8,234.0,235.0
127,2020-11-06,AMGN,Health Care,232.66,233.21,230.04,231.67
128,2020-11-05,AMGN,Health Care,233.77,233.8273,230.0,231.97
