,date,symbol,sector,open,high,low,close
0,2021-05-12,AMZN,Consumer Discretionary,3185.0,3207.94,3133.1,3151.94
1,2021-05-11,AMZN,Consumer Discretionary,3136.28,3238.0,3127.37,3223.91
2,2021-05-10,AMZN,Consumer Discretionary,3282.32,3283.0,3190.0,3190.49
3,2021-05-07,AMZN,Consumer Discretionary,3319.09,3330.89,3289.0704,3291.61
4,2021-05-06,AMZN,Consumer Discretionary,3270.0,3314.4,3247.2,3306.37
5,2021-05-05,AMZN,Consumer Discretionary,3338.855,3354.695,3264.36,3270.54
6,2021-05-04,AMZN,Consumer Discretionary,3356.19,3367.975,3272.13,3311.87
7,2021-05-03,AMZN,Consumer Discretionary,3484.73,3486.645,3372.7012,3386.49
8,2021-04-30,AMZN,Consumer Discretionary,3525.12,3554.0,3462.5,3467.42
9,2021-04-29,AMZN,Consumer Discretionary,3505.0981,3514.445,3435.0,3471.31
10,2021-04-28,AMZN,Consumer Discretionary,3434.8,3489.88,3425.0,3458.5
11,2021-04-27,AMZN,Consumer Discretionary,3443.47,3460.0,3398.01,3417.43
12,2021-04-26,AMZN,Consumer Discretionary,3348.0,3428.45,3330.94,3409.0
13,2021-04-23,AMZN,Consumer Discretionary,3319.1,3375.0,3308.5,3340.88
14,2021-04-22,AMZN,Consumer Discretionary,3371.68,3372.87,3301.45,3309.04
15,2021-04-21,AMZN,Consumer Discretionary,3316.0,3362.86,3303.8061,3362.02
16,2021-04-20,AMZN,Consumer Discretionary,3373.6,3382.99,3316.0,3334.69
17,2021-04-19,AMZN,Consumer Discretionary,3390.33,3435.9333,3360.16,3372.01
18,2021-04-16,AMZN,Consumer Discretionary,3380.0,3406.8,3355.59,3399.44
19,2021-04-15,AMZN,Consumer Discretionary,3371.0,3396.9999,3352.0,3379.09
20,2021-04-14,AMZN,Consumer Discretionary,3404.04,3404.13,3326.0,3333.0
21,2021-04-13,AMZN,Consumer Discretionary,3400.845,3432.0,3395.63,3400.0
22,2021-04-12,AMZN,Consumer Discretionary,3355.21,3395.04,3351.15,3379.39
23,2021-04-09,AMZN,Consumer Discretionary,3304.7,3372.2,3288.9,3372.2
24,2021-04-08,AMZN,Consumer Discretionary,3310.9,3324.5,3292.0,3299.3
25,2021-04-07,AMZN,Consumer Discretionary,3233.8,3303.6125,3223.65,3279.39
26,2021-04-06,AMZN,Consumer Discretionary,3223.75,3247.31,3217.04,3223.82
27,2021-04-05,AMZN,Consumer Discretionary,3173.0,3235.955,3161.24,3226.73
28,2021-04-01,AMZN,Consumer Discretionary,3117.94,3162.44,3115.55,3161.0
29,2021-03-31,AMZN,Consumer Discretionary,3064.06,3119.33,3062.5,3094.08
30,2021-03-30,AMZN,Consumer Discretionary,3070.01,3073.0,3034.0,3055.29
31,2021-03-29,AMZN,Consumer Discretionary,3055.4394,3091.25,3028.445,3075.73
32,2021-03-26,AMZN,Consumer Discretionary,3044.06,3056.66,2996.0,3052.03
33,2021-03-25,AMZN,Consumer Discretionary,3072.99,3109.78,3037.14,3046.26
34,2021-03-24,AMZN,Consumer Discretionary,3151.04,3160.31,3085.15,3087.07
35,2021-03-23,AMZN,Consumer Discretionary,3127.0,3182.0,3120.8501,3137.5
36,2021-03-22,AMZN,Consumer Discretionary,3067.85,3126.58,3060.05,3110.87
37,2021-03-19,AMZN,Consumer Discretionary,3029.23,3077.285,3016.63,3074.96
38,2021-03-18,AMZN,Consumer Discretionary,3101.0,3116.63,3025.0,3027.99
39,2021-03-17,AMZN,Consumer Discretionary,3073.22,3173.05,3070.22,3135.73
40,2021-03-16,AMZN,Consumer Discretionary,3104.97,3128.91,3075.8601,3091.86
41,2021-03-15,AMZN,Consumer Discretionary,3074.57,3082.24,3032.09,3081.68
42,2021-03-12,AMZN,Consumer Discretionary,3075.0,3098.98,3045.5,3089.49
43,2021-03-11,AMZN,Consumer Discretionary,3104.01,3131.7843,3082.93,3113.59
44,2021-03-10,AMZN,Consumer Discretionary,3098.45,3116.46,3030.05,3057.64
45,2021-03-09,AMZN,Consumer Discretionary,3017.99,3090.96,3005.1474,3062.85
46,2021-03-08,AMZN,Consumer Discretionary,3015.0,3064.59,2951.31,2951.95
47,2021-03-05,AMZN,Consumer Discretionary,3005.0,3009.0,2881.0001,3000.46
48,2021-03-04,AMZN,Consumer Discretionary,3012.0,3058.13,2945.43,2977.57
49,2021-03-03,AMZN,Consumer Discretionary,3081.18,3107.775,2995.0,3005.0
50,2021-03-02,AMZN,Consumer Discretionary,3143.47,3163.52,3087.1201,3094.53
51,2021-03-01,AMZN,Consumer Discretionary,3127.89,3149.56,3097.99,3146.14
52,2021-02-26,AMZN,Consumer Discretionary,3095.2,3122.44,3036.7,3092.93
53,2021-02-25,AMZN,Consumer Discretionary,3136.74,3178.26,3047.76,3057.16
54,2021-02-24,AMZN,Consumer Discretionary,3166.75,3171.23,3125.38,3159.53
55,2021-02-23,AMZN,Consumer Discretionary,3127.03,3204.73,3093.6,3194.5
56,2021-02-22,AMZN,Consumer Discretionary,3208.13,3232.3199,3172.26,3180.74
57,2021-02-19,AMZN,Consumer Discretionary,3328.23,3333.5,3245.75,3249.9
58,2021-02-18,AMZN,Consumer Discretionary,3282.42,3338.0,3273.94,3328.23
59,2021-02-17,AMZN,Consumer Discretionary,3263.6,3320.91,3259.4996,3308.64
60,2021-02-16,AMZN,Consumer Discretionary,3254.05,3308.3,3253.591,3268.95
