,date,symbol,sector,open,high,low,close
0,2021-05-12,ANTM,Health Care,393.78,395.79,388.84,390.17
1,2021-05-11,ANTM,Health Care,400.7,403.01,391.83,394.49
2,2021-05-10,ANTM,Health Care,397.82,406.0,397.82,401.9
3,2021-05-07,ANTM,Health Care,388.38,397.68,388.38,396.57
4,2021-05-06,ANTM,Health Care,390.02,393.6,386.54,388.72
5,2021-05-05,ANTM,Health Care,390.2,390.94,387.49,389.12
6,2021-05-04,ANTM,Health Care,385.93,393.31,384.39,391.67
7,2021-05-03,ANTM,Health Care,383.43,389.31,382.08,386.58
8,2021-04-30,ANTM,Health Care,382.45,383.05,377.11,379.39
9,2021-04-29,ANTM,Health Care,377.59,383.21,377.59,383.03
10,2021-04-28,ANTM,Health Care,377.52,379.49,372.9,375.28
11,2021-04-27,ANTM,Health Care,375.76,377.7,373.66,376.86
12,2021-04-26,ANTM,Health Care,382.09,383.25,377.21,377.51
13,2021-04-23,ANTM,Health Care,378.39,383.87,376.26,381.95
14,2021-04-22,ANTM,Health Care,384.64,385.35,378.64,379.78
15,2021-04-21,ANTM,Health Care,381.92,386.74,377.85,384.84
16,2021-04-20,ANTM,Health Care,379.38,386.78,378.07,381.88
17,2021-04-19,ANTM,Health Care,375.45,379.84,374.465,379.66
18,2021-04-16,ANTM,Health Care,373.97,376.54,371.19,375.62
19,2021-04-15,ANTM,Health Care,364.45,374.68,364.45,372.6
20,2021-04-14,ANTM,Health Care,360.48,363.89,359.26,362.62
21,2021-04-13,ANTM,Health Care,358.97,361.85,357.75,359.02
22,2021-04-12,ANTM,Health Care,360.16,363.1,358.515,359.42
23,2021-04-09,ANTM,Health Care,354.68,361.33,353.5301,361.01
24,2021-04-08,ANTM,Health Care,350.95,355.19,350.95,352.89
25,2021-04-07,ANTM,Health Care,351.79,353.75,350.46,352.19
26,2021-04-06,ANTM,Health Care,354.0,354.48,349.05,352.27
27,2021-04-05,ANTM,Health Care,356.45,359.39,354.1,354.89
28,2021-04-01,ANTM,Health Care,359.93,360.005,351.88,353.76
29,2021-03-31,ANTM,Health Care,363.21,365.87,358.21,358.95
30,2021-03-30,ANTM,Health Care,368.84,370.0,362.58,364.09
31,2021-03-29,ANTM,Health Care,369.97,379.13,368.42,369.37
32,2021-03-26,ANTM,Health Care,367.69,372.25,365.18,371.31
33,2021-03-25,ANTM,Health Care,361.47,367.91,356.47,366.87
34,2021-03-24,ANTM,Health Care,351.03,362.285,351.03,360.87
35,2021-03-23,ANTM,Health Care,351.25,354.44,348.46,351.83
36,2021-03-22,ANTM,Health Care,352.84,352.84,345.34,351.14
37,2021-03-19,ANTM,Health Care,352.23,359.14,348.9,354.13
38,2021-03-18,ANTM,Health Care,340.96,353.33,340.865,353.32
39,2021-03-17,ANTM,Health Care,344.56,345.24,340.52,341.92
40,2021-03-16,ANTM,Health Care,341.11,344.27,338.445,343.57
41,2021-03-15,ANTM,Health Care,343.14,344.285,336.49,342.81
42,2021-03-12,ANTM,Health Care,336.6,343.12,335.2,341.72
43,2021-03-11,ANTM,Health Care,333.22,338.0,330.85,335.02
44,2021-03-10,ANTM,Health Care,335.66,337.74,329.75,333.53
45,2021-03-09,ANTM,Health Care,339.21,344.17,333.33,333.78
46,2021-03-08,ANTM,Health Care,334.5,342.29,332.29,339.59
47,2021-03-05,ANTM,Health Care,323.72,335.78,322.75,333.6
48,2021-03-04,ANTM,Health Care,317.84,325.7055,315.11,321.49
49,2021-03-03,ANTM,Health Care,310.0,318.74,309.14,314.71
50,2021-03-02,ANTM,Health Care,309.97,316.61,308.65,311.66
51,2021-03-01,ANTM,Health Care,307.66,315.98,306.36,311.48
52,2021-02-26,ANTM,Health Care,302.27,313.85,301.52,303.19
53,2021-02-25,ANTM,Health Care,306.0,308.525,298.5992,300.24
54,2021-02-24,ANTM,Health Care,302.05,306.96,301.265,305.79
55,2021-02-23,ANTM,Health Care,298.09,307.9,296.34,304.58
56,2021-02-22,ANTM,Health Care,292.78,297.18,290.86,295.69
57,2021-02-19,ANTM,Health Care,296.92,297.8,291.16,294.97
58,2021-02-18,ANTM,Health Care,288.93,298.45,288.93,296.33
59,2021-02-17,ANTM,Health Care,288.73,295.47,288.32,290.25
60,2021-02-16,ANTM,Health Care,293.4,293.84,288.475,289.62
61,2021-02-12,ANTM,Health Care,292.05,293.01,287.4,290.68
62,2021-02-11,ANTM,Health Care,299.08,301.66,291.81,292.84
63,2021-02-10,ANTM,Health Care,299.57,302.42,297.96,298.17
64,2021-02-09,ANTM,Health Care,287.5,299.42,286.81,298.7
65,2021-02-08,ANTM,Health Care,292.08,292.68,286.04,287.7
66,2021-02-05,ANTM,Health Care,297.03,297.88,288.2,290.85
67,2021-02-04,ANTM,Health Care,299.0,300.47,293.6,294.36
68,2021-02-03,ANTM,Health Care,297.13,300.17,293.515,298.36
69,2021-02-02,ANTM,Health Care,296.4,306.25,296.115,298.99
70,2021-02-01,ANTM,Health Care,298.97,302.44,291.6,292.56
71,2021-01-29,ANTM,Health Care,298.26,301.3,292.17,296.98
72,2021-01-28,ANTM,Health Care,296.5,306.01,292.2601,300.51
73,2021-01-27,ANTM,Health Care,303.67,308.77,288.01,290.17
74,2021-01-26,ANTM,Health Care,317.6,318.295,309.85,312.52
75,2021-01-25,ANTM,Health Care,313.47,315.9746,311.65,315.37
76,2021-01-22,ANTM,Health Care,320.51,321.3,313.96,314.09
77,2021-01-21,ANTM,Health Care,320.95,325.34,319.12,321.7
78,2021-01-20,ANTM,Health Care,323.34,323.5,317.51,321.52
79,2021-01-19,ANTM,Health Care,330.0,330.87,323.105,323.69
80,2021-01-15,ANTM,Health Care,322.52,327.21,319.38,326.42
81,2021-01-14,ANTM,Health Care,331.9,333.0,321.715,322.52
82,2021-01-13,ANTM,Health Care,334.47,335.585,329.265,330.43
83,2021-01-12,ANTM,Health Care,337.3,340.36,333.96,334.78
84,2021-01-11,ANTM,Health Care,335.45,340.98,335.45,338.77
85,2021-01-08,ANTM,Health Care,338.19,340.67,332.71,337.08
86,2021-01-07,ANTM,Health Care,329.01,338.55,328.46,337.38
87,2021-01-06,ANTM,Health Care,309.0,330.23,308.0,328.32
88,2021-01-05,ANTM,Health Care,317.62,320.11,313.68,315.1
89,2021-01-04,ANTM,Health Care,321.11,324.23,311.3831,318.58
90,2020-12-31,ANTM,Health Care,315.15,322.19,314.34,321.09
91,2020-12-30,ANTM,Health Care,314.0,316.37,313.88,314.05
92,2020-12-29,ANTM,Health Care,315.4,319.06,313.61,314.33
93,2020-12-28,ANTM,Health Care,310.63,315.39,309.46,312.89
94,2020-12-24,ANTM,Health Care,307.97,309.6,307.895,308.67
95,2020-12-23,ANTM,Health Care,306.43,311.67,306.43,308.35
96,2020-12-22,ANTM,Health Care,305.89,307.36,302.56,303.3
97,2020-12-21,ANTM,Health Care,303.34,306.64,298.6,306.38
98,2020-12-18,ANTM,Health Care,314.06,315.32,306.4,308.64
99,2020-12-17,ANTM,Health Care,309.78,315.39,309.78,314.08
100,2020-12-16,ANTM,Health Care,312.46,312.89,306.84,310.24
101,2020-12-15,ANTM,Health Care,312.99,314.66,310.52,313.22
102,2020-12-14,ANTM,Health Care,314.14,316.22,309.595,310.1
103,2020-12-11,ANTM,Health Care,312.16,315.91,310.16,311.4
104,2020-12-10,ANTM,Health Care,317.66,319.05,313.48,313.75
105,2020-12-09,ANTM,Health Care,322.75,324.07,316.25,318.44
106,2020-12-08,ANTM,Health Care,316.66,322.99,315.9,322.69
