,date,symbol,sector,open,high,low,close
0,2021-05-12,AOS,Industrials,70.75,70.91,68.39,68.49
1,2021-05-11,AOS,Industrials,71.54,71.59,70.61,70.87
2,2021-05-10,AOS,Industrials,71.34,73.05,71.25,72.25
3,2021-05-07,AOS,Industrials,70.9,71.74,70.21,71.13
4,2021-05-06,AOS,Industrials,71.55,71.55,70.69,71.34
5,2021-05-05,AOS,Industrials,71.77,71.39,70.53,71.22
6,2021-05-04,AOS,Industrials,69.8,71.57,69.52,71.53
7,2021-05-03,AOS,Industrials,68.65,70.64,68.1301,70.29
8,2021-04-30,AOS,Industrials,68.35,69.01,67.37,67.75
9,2021-04-29,AOS,Industrials,66.3,68.99,66.0779,68.41
10,2021-04-28,AOS,Industrials,68.18,68.18,66.52,66.54
11,2021-04-27,AOS,Industrials,67.67,68.19,67.17,68.12
12,2021-04-26,AOS,Industrials,68.68,69.57,67.82,67.9
13,2021-04-23,AOS,Industrials,67.9,68.87,67.56,68.36
14,2021-04-22,AOS,Industrials,68.41,68.935,67.58,67.75
15,2021-04-21,AOS,Industrials,67.27,67.9709,66.85,67.93
16,2021-04-20,AOS,Industrials,67.79,68.09,66.44,67.11
17,2021-04-19,AOS,Industrials,68.39,68.52,67.13,67.87
18,2021-04-16,AOS,Industrials,67.98,68.3467,67.52,68.23
19,2021-04-15,AOS,Industrials,67.62,67.76,66.97,67.56
20,2021-04-14,AOS,Industrials,67.47,67.94,67.07,67.3
21,2021-04-13,AOS,Industrials,68.17,68.17,67.16,67.65
22,2021-04-12,AOS,Industrials,67.46,68.4499,67.36,68.41
23,2021-04-09,AOS,Industrials,67.05,67.515,66.48,67.27
24,2021-04-08,AOS,Industrials,67.26,67.49,66.53,66.83
25,2021-04-07,AOS,Industrials,68.91,69.0002,67.38,67.4
26,2021-04-06,AOS,Industrials,68.17,69.03,67.83,68.9
27,2021-04-05,AOS,Industrials,66.47,68.155,66.42,67.98
28,2021-04-01,AOS,Industrials,67.47,68.06,66.76,67.87
29,2021-03-31,AOS,Industrials,68.91,69.31,67.56,67.61
30,2021-03-30,AOS,Industrials,69.09,69.97,68.99,69.19
31,2021-03-29,AOS,Industrials,69.35,70.13,68.83,69.22
32,2021-03-26,AOS,Industrials,67.38,69.59,67.38,69.49
33,2021-03-25,AOS,Industrials,64.98,67.04,64.28,66.73
34,2021-03-24,AOS,Industrials,65.91,66.885,65.24,65.26
35,2021-03-23,AOS,Industrials,67.03,68.47,65.37,65.62
36,2021-03-22,AOS,Industrials,67.04,67.78,66.65,67.48
37,2021-03-19,AOS,Industrials,67.52,67.97,67.01,67.48
38,2021-03-18,AOS,Industrials,66.53,68.16,66.39,67.46
39,2021-03-17,AOS,Industrials,65.78,67.12,65.47,66.72
40,2021-03-16,AOS,Industrials,65.03,65.74,64.77,65.63
41,2021-03-15,AOS,Industrials,64.23,65.29,63.53,65.28
42,2021-03-12,AOS,Industrials,65.24,65.83,64.34,64.38
43,2021-03-11,AOS,Industrials,65.04,65.5,64.8501,64.98
44,2021-03-10,AOS,Industrials,63.51,65.35,63.26,64.99
45,2021-03-09,AOS,Industrials,63.38,64.37,63.04,63.39
46,2021-03-08,AOS,Industrials,62.93,64.21,62.2,63.72
47,2021-03-05,AOS,Industrials,61.73,62.57,61.09,62.48
