,date,symbol,sector,open,high,low,close
0,2021-05-12,APTV,Consumer Discretionary,139.43,141.4,133.45,134.37
1,2021-05-11,APTV,Consumer Discretionary,140.66,141.94,137.57,140.63
2,2021-05-10,APTV,Consumer Discretionary,147.94,148.19,143.78,143.78
3,2021-05-07,APTV,Consumer Discretionary,142.11,148.89,141.82,148.77
4,2021-05-06,APTV,Consumer Discretionary,140.5,143.92,137.09,141.46
5,2021-05-05,APTV,Consumer Discretionary,141.65,143.88,141.85,142.92
6,2021-05-04,APTV,Consumer Discretionary,141.33,142.39,138.145,139.74
7,2021-05-03,APTV,Consumer Discretionary,145.05,145.94,143.061,143.44
8,2021-04-30,APTV,Consumer Discretionary,143.55,146.29,142.685,143.89
9,2021-04-29,APTV,Consumer Discretionary,147.45,148.08,143.3,144.54
10,2021-04-28,APTV,Consumer Discretionary,145.78,147.5,145.11,146.92
11,2021-04-27,APTV,Consumer Discretionary,145.78,147.86,145.02,146.71
12,2021-04-26,APTV,Consumer Discretionary,145.75,147.0,144.43,145.2
13,2021-04-23,APTV,Consumer Discretionary,140.71,145.77,139.19,144.89
14,2021-04-22,APTV,Consumer Discretionary,139.8,140.63,137.49,138.93
15,2021-04-21,APTV,Consumer Discretionary,134.76,139.48,133.55,139.18
16,2021-04-20,APTV,Consumer Discretionary,140.0,140.16,133.67,135.04
17,2021-04-19,APTV,Consumer Discretionary,141.0,141.17,139.28,140.32
18,2021-04-16,APTV,Consumer Discretionary,143.87,145.25,140.88,141.05
19,2021-04-15,APTV,Consumer Discretionary,142.48,142.82,139.68,141.84
20,2021-04-14,APTV,Consumer Discretionary,141.82,145.04,141.3,142.25
21,2021-04-13,APTV,Consumer Discretionary,143.6,144.14,139.64,141.2
22,2021-04-12,APTV,Consumer Discretionary,142.92,143.6,141.61,143.15
23,2021-04-09,APTV,Consumer Discretionary,140.44,142.51,139.96,142.43
24,2021-04-08,APTV,Consumer Discretionary,139.98,141.22,138.09,140.15
25,2021-04-07,APTV,Consumer Discretionary,143.55,144.77,140.09,140.71
26,2021-04-06,APTV,Consumer Discretionary,142.61,145.43,142.02,144.28
27,2021-04-05,APTV,Consumer Discretionary,142.0,144.02,141.48,142.01
28,2021-04-01,APTV,Consumer Discretionary,139.71,141.71,138.95,140.74
29,2021-03-31,APTV,Consumer Discretionary,139.51,139.7773,137.5,137.9
30,2021-03-30,APTV,Consumer Discretionary,135.31,137.5,133.63,137.29
31,2021-03-29,APTV,Consumer Discretionary,139.85,140.54,134.86,135.08
32,2021-03-26,APTV,Consumer Discretionary,142.75,143.555,137.345,140.64
33,2021-03-25,APTV,Consumer Discretionary,138.0,143.36,137.075,142.68
34,2021-03-24,APTV,Consumer Discretionary,141.2,143.36,139.83,139.85
35,2021-03-23,APTV,Consumer Discretionary,143.42,144.7,138.23,139.48
36,2021-03-22,APTV,Consumer Discretionary,146.23,146.36,143.11,145.04
37,2021-03-19,APTV,Consumer Discretionary,143.57,147.77,143.57,145.94
38,2021-03-18,APTV,Consumer Discretionary,152.73,155.58,148.66,148.9
39,2021-03-17,APTV,Consumer Discretionary,147.8,153.65,146.2412,153.23
40,2021-03-16,APTV,Consumer Discretionary,152.575,152.575,146.67,147.35
