,date,symbol,sector,open,high,low,close
0,2021-05-12,AZO,Consumer Discretionary,1505.25,1519.76,1488.88,1495.88
1,2021-05-11,AZO,Consumer Discretionary,1513.89,1516.11,1478.68,1495.13
2,2021-05-10,AZO,Consumer Discretionary,1513.17,1542.3,1507.28,1519.62
3,2021-05-07,AZO,Consumer Discretionary,1491.47,1510.08,1480.26,1507.2
4,2021-05-06,AZO,Consumer Discretionary,1478.0,1493.0088,1474.84,1488.85
5,2021-05-05,AZO,Consumer Discretionary,1481.01,1472.11,1457.585,1472.11
6,2021-05-04,AZO,Consumer Discretionary,1479.86,1488.49,1469.86,1477.0
7,2021-05-03,AZO,Consumer Discretionary,1475.6,1488.24,1467.46,1475.83
8,2021-04-30,AZO,Consumer Discretionary,1472.45,1477.805,1463.34,1464.12
9,2021-04-29,AZO,Consumer Discretionary,1468.27,1478.5625,1452.065,1474.96
10,2021-04-28,AZO,Consumer Discretionary,1464.25,1478.85,1453.14,1460.0
11,2021-04-27,AZO,Consumer Discretionary,1451.33,1462.16,1441.7,1455.79
12,2021-04-26,AZO,Consumer Discretionary,1466.52,1467.001,1443.18,1443.88
13,2021-04-23,AZO,Consumer Discretionary,1487.02,1487.02,1451.77,1471.35
14,2021-04-22,AZO,Consumer Discretionary,1488.61,1490.73,1465.095,1478.87
15,2021-04-21,AZO,Consumer Discretionary,1500.97,1515.87,1483.55,1486.89
16,2021-04-20,AZO,Consumer Discretionary,1512.35,1524.98,1501.69,1514.11
17,2021-04-19,AZO,Consumer Discretionary,1495.74,1516.59,1494.2,1504.3
18,2021-04-16,AZO,Consumer Discretionary,1475.84,1499.74,1468.8829,1495.84
19,2021-04-15,AZO,Consumer Discretionary,1451.01,1470.93,1450.72,1467.44
20,2021-04-14,AZO,Consumer Discretionary,1437.85,1455.36,1424.1,1450.89
21,2021-04-13,AZO,Consumer Discretionary,1454.91,1454.91,1430.5,1435.91
22,2021-04-12,AZO,Consumer Discretionary,1439.8,1458.18,1433.49,1454.19
23,2021-04-09,AZO,Consumer Discretionary,1422.27,1441.89,1409.73,1438.5
24,2021-04-08,AZO,Consumer Discretionary,1421.22,1423.315,1408.12,1417.15
