,date,symbol,sector,open,high,low,close
0,2021-05-12,BA,Industrials,227.25,229.74,220.63,220.78
1,2021-05-11,BA,Industrials,226.56,230.1299,223.85,228.88
2,2021-05-10,BA,Industrials,236.84,241.1049,232.5,232.93
3,2021-05-07,BA,Industrials,229.8,235.905,227.99,235.47
4,2021-05-06,BA,Industrials,229.3,231.165,226.545,229.81
5,2021-05-05,BA,Industrials,232.45,231.156,227.56,228.18
6,2021-05-04,BA,Industrials,235.75,236.65,225.65,233.63
7,2021-05-03,BA,Industrials,234.11,237.1,233.81,235.19
8,2021-04-30,BA,Industrials,233.68,236.77,232.7,234.31
9,2021-04-29,BA,Industrials,237.0,237.68,231.8,235.94
10,2021-04-28,BA,Industrials,239.0,239.65,232.85,235.46
11,2021-04-27,BA,Industrials,241.88,243.49,239.41,242.47
12,2021-04-26,BA,Industrials,240.24,244.65,240.1,241.44
13,2021-04-23,BA,Industrials,233.89,238.58,233.11,238.38
14,2021-04-22,BA,Industrials,235.955,239.6499,233.38,234.33
15,2021-04-21,BA,Industrials,232.22,236.76,230.22,235.92
16,2021-04-20,BA,Industrials,241.03,241.088,232.34,234.06
17,2021-04-19,BA,Industrials,247.0,247.0,242.22,244.15
18,2021-04-16,BA,Industrials,252.0,253.05,246.2312,248.18
19,2021-04-15,BA,Industrials,253.56,254.12,249.43,251.11
20,2021-04-14,BA,Industrials,255.32,258.37,251.28,252.43
21,2021-04-13,BA,Industrials,248.33,254.4873,246.1,253.27
22,2021-04-12,BA,Industrials,250.57,251.55,246.29,249.52
23,2021-04-09,BA,Industrials,250.51,252.8399,249.438,252.36
24,2021-04-08,BA,Industrials,251.7,254.95,249.31,254.95
25,2021-04-07,BA,Industrials,255.31,255.9,250.83,252.58
26,2021-04-06,BA,Industrials,257.21,259.35,254.6643,255.17
27,2021-04-05,BA,Industrials,256.56,260.48,256.25,259.36
28,2021-04-01,BA,Industrials,256.67,257.88,251.31,252.96
29,2021-03-31,BA,Industrials,254.7,257.88,253.36,254.72
30,2021-03-30,BA,Industrials,251.24,253.5,248.91,252.01
31,2021-03-29,BA,Industrials,251.3,254.71,248.03,250.52
32,2021-03-26,BA,Industrials,249.62,250.9,240.3,244.87
33,2021-03-25,BA,Industrials,234.34,247.58,231.7,247.19
34,2021-03-24,BA,Industrials,243.75,248.8,239.06,239.24
35,2021-03-23,BA,Industrials,249.26,251.3,239.43,241.25
36,2021-03-22,BA,Industrials,255.82,257.6699,250.16,251.23
37,2021-03-19,BA,Industrials,257.75,258.88,251.31,255.82
38,2021-03-18,BA,Industrials,261.32,267.3693,254.73,256.06
39,2021-03-17,BA,Industrials,254.7,263.61,253.68,263.59
40,2021-03-16,BA,Industrials,263.23,264.17,254.02,255.21
41,2021-03-15,BA,Industrials,274.15,278.5671,264.33,265.63
42,2021-03-12,BA,Industrials,253.86,269.72,253.5,269.19
43,2021-03-11,BA,Industrials,248.77,256.65,246.55,252.0
44,2021-03-10,BA,Industrials,233.81,246.8,232.88,245.34
45,2021-03-09,BA,Industrials,226.81,234.06,222.5801,230.61
46,2021-03-08,BA,Industrials,226.67,229.89,223.71,224.03
47,2021-03-05,BA,Industrials,229.01,229.92,213.8,223.22
48,2021-03-04,BA,Industrials,232.73,237.1027,218.7,224.71
49,2021-03-03,BA,Industrials,226.36,235.4,225.04,228.56
50,2021-03-02,BA,Industrials,224.79,227.19,222.15,223.14
