,date,symbol,sector,open,high,low,close
0,2021-05-12,BBY,Consumer Discretionary,121.01,121.2,115.67,116.15
1,2021-05-11,BBY,Consumer Discretionary,123.95,123.96,120.01,121.67
2,2021-05-10,BBY,Consumer Discretionary,122.56,128.575,122.03,125.79
3,2021-05-07,BBY,Consumer Discretionary,120.03,122.59,119.56,122.34
4,2021-05-06,BBY,Consumer Discretionary,117.47,120.22,116.89,120.04
5,2021-05-05,BBY,Consumer Discretionary,118.35,117.27,116.29,116.38
6,2021-05-04,BBY,Consumer Discretionary,117.32,117.8,116.15,117.73
7,2021-05-03,BBY,Consumer Discretionary,117.37,119.18,116.9878,117.47
8,2021-04-30,BBY,Consumer Discretionary,117.51,117.66,115.7907,116.27
9,2021-04-29,BBY,Consumer Discretionary,117.73,118.785,117.07,118.29
10,2021-04-28,BBY,Consumer Discretionary,118.77,119.45,117.03,117.19
11,2021-04-27,BBY,Consumer Discretionary,117.45,119.275,117.0,118.35
12,2021-04-26,BBY,Consumer Discretionary,117.51,117.625,114.38,117.02
13,2021-04-23,BBY,Consumer Discretionary,118.17,118.31,116.53,117.74
14,2021-04-22,BBY,Consumer Discretionary,119.2,120.92,117.75,118.04
15,2021-04-21,BBY,Consumer Discretionary,118.81,119.77,118.17,118.97
16,2021-04-20,BBY,Consumer Discretionary,118.8,119.2047,116.51,118.45
17,2021-04-19,BBY,Consumer Discretionary,120.35,120.65,117.85,118.84
18,2021-04-16,BBY,Consumer Discretionary,119.93,120.13,117.99,119.87
19,2021-04-15,BBY,Consumer Discretionary,120.91,121.42,119.0401,119.3
20,2021-04-14,BBY,Consumer Discretionary,120.55,121.34,119.42,120.17
21,2021-04-13,BBY,Consumer Discretionary,121.87,121.87,119.25,120.82
22,2021-04-12,BBY,Consumer Discretionary,122.3,123.87,121.2,121.56
23,2021-04-09,BBY,Consumer Discretionary,120.06,122.83,119.63,122.48
24,2021-04-08,BBY,Consumer Discretionary,120.91,120.9899,119.11,119.62
25,2021-04-07,BBY,Consumer Discretionary,120.5,121.73,118.51,120.59
26,2021-04-06,BBY,Consumer Discretionary,117.94,121.7,117.55,120.74
27,2021-04-05,BBY,Consumer Discretionary,116.31,118.475,115.7,117.99
28,2021-04-01,BBY,Consumer Discretionary,115.94,116.3,114.01,115.76
29,2021-03-31,BBY,Consumer Discretionary,116.31,116.31,114.23,114.81
30,2021-03-30,BBY,Consumer Discretionary,114.19,116.055,113.34,115.72
31,2021-03-29,BBY,Consumer Discretionary,119.45,120.09,114.52,114.8
32,2021-03-26,BBY,Consumer Discretionary,116.55,119.35,116.18,119.26
33,2021-03-25,BBY,Consumer Discretionary,114.43,116.52,113.44,116.18
34,2021-03-24,BBY,Consumer Discretionary,119.1,119.5,114.22,114.32
35,2021-03-23,BBY,Consumer Discretionary,120.65,121.38,118.24,118.81
36,2021-03-22,BBY,Consumer Discretionary,118.1,121.285,117.11,120.96
37,2021-03-19,BBY,Consumer Discretionary,113.83,120.29,113.6768,118.19
38,2021-03-18,BBY,Consumer Discretionary,111.61,116.26,111.31,113.38
39,2021-03-17,BBY,Consumer Discretionary,112.16,112.85,109.98,112.25
40,2021-03-16,BBY,Consumer Discretionary,113.66,114.46,112.7,113.45
41,2021-03-15,BBY,Consumer Discretionary,111.49,114.59,111.25,113.92
42,2021-03-12,BBY,Consumer Discretionary,108.95,111.29,107.8,110.99
43,2021-03-11,BBY,Consumer Discretionary,108.64,109.44,107.47,108.58
44,2021-03-10,BBY,Consumer Discretionary,107.45,109.48,106.62,108.15
45,2021-03-09,BBY,Consumer Discretionary,106.55,109.64,105.65,105.82
46,2021-03-08,BBY,Consumer Discretionary,103.29,107.415,102.73,106.57
47,2021-03-05,BBY,Consumer Discretionary,99.61,103.2,97.285,102.85
48,2021-03-04,BBY,Consumer Discretionary,99.74,100.41,95.93,98.24
49,2021-03-03,BBY,Consumer Discretionary,102.37,102.73,100.0,100.37
50,2021-03-02,BBY,Consumer Discretionary,102.12,103.75,101.4601,102.52
51,2021-03-01,BBY,Consumer Discretionary,100.5,102.59,100.5,101.69
52,2021-02-26,BBY,Consumer Discretionary,101.1,102.36,99.79,100.35
53,2021-02-25,BBY,Consumer Discretionary,103.82,112.3,101.46,102.94
54,2021-02-24,BBY,Consumer Discretionary,116.1,117.14,112.7,113.46
55,2021-02-23,BBY,Consumer Discretionary,115.85,115.886,113.13,115.5
56,2021-02-22,BBY,Consumer Discretionary,117.11,118.2,115.8981,116.73
57,2021-02-19,BBY,Consumer Discretionary,117.63,119.02,117.43,118.0
58,2021-02-18,BBY,Consumer Discretionary,117.89,118.45,116.42,116.76
59,2021-02-17,BBY,Consumer Discretionary,120.19,122.21,118.22,118.34
60,2021-02-16,BBY,Consumer Discretionary,120.53,123.3,120.49,120.75
61,2021-02-12,BBY,Consumer Discretionary,118.71,121.125,118.5,120.51
62,2021-02-11,BBY,Consumer Discretionary,119.0,120.94,118.57,119.59
63,2021-02-10,BBY,Consumer Discretionary,118.79,119.29,116.99,118.81
64,2021-02-09,BBY,Consumer Discretionary,117.83,119.37,116.74,118.46
65,2021-02-08,BBY,Consumer Discretionary,115.0,117.96,114.98,117.9
66,2021-02-05,BBY,Consumer Discretionary,114.2,114.9,113.3417,114.53
67,2021-02-04,BBY,Consumer Discretionary,112.64,114.76,112.01,113.84
68,2021-02-03,BBY,Consumer Discretionary,109.36,111.16,108.85,110.32
69,2021-02-02,BBY,Consumer Discretionary,107.95,110.93,106.64,108.78
70,2021-02-01,BBY,Consumer Discretionary,109.45,110.0,105.66,107.69
71,2021-01-29,BBY,Consumer Discretionary,112.11,112.39,108.37,108.82
72,2021-01-28,BBY,Consumer Discretionary,113.53,116.563,112.25,112.31
73,2021-01-27,BBY,Consumer Discretionary,113.54,116.23,112.8305,113.57
74,2021-01-26,BBY,Consumer Discretionary,114.15,115.505,113.01,114.7
75,2021-01-25,BBY,Consumer Discretionary,114.78,117.98,113.45,113.74
76,2021-01-22,BBY,Consumer Discretionary,114.13,115.35,112.37,114.93
77,2021-01-21,BBY,Consumer Discretionary,113.09,116.02,112.28,114.5
78,2021-01-20,BBY,Consumer Discretionary,112.16,112.65,110.785,112.23
79,2021-01-19,BBY,Consumer Discretionary,115.0,115.0,111.16,111.62
80,2021-01-15,BBY,Consumer Discretionary,113.64,115.75,111.59,114.0
81,2021-01-14,BBY,Consumer Discretionary,113.35,115.22,113.0245,113.92
82,2021-01-13,BBY,Consumer Discretionary,114.42,115.07,113.13,113.22
83,2021-01-12,BBY,Consumer Discretionary,110.39,115.49,110.3,114.71
84,2021-01-11,BBY,Consumer Discretionary,107.17,111.2,106.5718,110.78
85,2021-01-08,BBY,Consumer Discretionary,108.0,109.45,106.16,107.57
86,2021-01-07,BBY,Consumer Discretionary,106.25,108.4343,105.91,107.71
87,2021-01-06,BBY,Consumer Discretionary,100.0,106.04,100.0,105.91
88,2021-01-05,BBY,Consumer Discretionary,100.63,101.68,100.1266,101.0
