,date,symbol,sector,open,high,low,close
0,2021-05-12,BDX,Health Care,240.04,243.56,240.04,241.64
1,2021-05-11,BDX,Health Care,247.32,248.63,240.58,241.2
2,2021-05-10,BDX,Health Care,239.42,248.85,239.12,246.63
3,2021-05-07,BDX,Health Care,239.39,244.95,238.94,239.39
4,2021-05-06,BDX,Health Care,241.99,244.89,238.2,240.81
5,2021-05-05,BDX,Health Care,251.67,251.05,246.89,249.77
6,2021-05-04,BDX,Health Care,252.71,252.78,249.32,251.52
7,2021-05-03,BDX,Health Care,249.71,253.755,249.08,253.12
8,2021-04-30,BDX,Health Care,250.34,251.71,247.35,248.81
9,2021-04-29,BDX,Health Care,258.16,258.27,251.08,251.42
10,2021-04-28,BDX,Health Care,258.53,259.9,256.72,257.51
11,2021-04-27,BDX,Health Care,257.14,259.44,253.28,258.21
12,2021-04-26,BDX,Health Care,255.99,258.36,255.85,257.45
13,2021-04-23,BDX,Health Care,257.55,257.55,252.13,255.85
14,2021-04-22,BDX,Health Care,257.03,258.48,256.09,257.13
15,2021-04-21,BDX,Health Care,257.55,259.69,257.17,258.14
16,2021-04-20,BDX,Health Care,258.72,260.6,256.18,256.44
17,2021-04-19,BDX,Health Care,260.29,260.83,257.28,258.96
18,2021-04-16,BDX,Health Care,258.99,262.01,257.9641,260.94
19,2021-04-15,BDX,Health Care,250.82,258.95,250.77,257.85
20,2021-04-14,BDX,Health Care,250.67,251.0,248.54,249.82
21,2021-04-13,BDX,Health Care,246.76,251.46,246.5047,250.7
22,2021-04-12,BDX,Health Care,247.36,247.72,245.88,247.41
23,2021-04-09,BDX,Health Care,243.08,247.99,243.08,247.93
24,2021-04-08,BDX,Health Care,244.02,244.48,242.43,242.87
25,2021-04-07,BDX,Health Care,244.69,245.11,242.3509,244.02
26,2021-04-06,BDX,Health Care,245.14,247.22,243.38,244.62
27,2021-04-05,BDX,Health Care,242.38,247.115,242.38,245.09
28,2021-04-01,BDX,Health Care,243.55,244.58,240.57,241.58
29,2021-03-31,BDX,Health Care,245.17,245.79,242.34,243.15
30,2021-03-30,BDX,Health Care,246.13,248.37,244.12,245.19
31,2021-03-29,BDX,Health Care,245.67,248.41,243.54,247.14
32,2021-03-26,BDX,Health Care,242.19,245.34,239.27,245.12
33,2021-03-25,BDX,Health Care,243.65,243.65,238.56,241.73
34,2021-03-24,BDX,Health Care,239.33,242.32,238.765,241.77
35,2021-03-23,BDX,Health Care,241.96,241.99,239.46,240.26
36,2021-03-22,BDX,Health Care,238.5,241.69,238.0,241.62
37,2021-03-19,BDX,Health Care,239.94,241.325,237.87,239.02
38,2021-03-18,BDX,Health Care,238.62,240.99,238.03,239.2
39,2021-03-17,BDX,Health Care,239.25,240.97,238.63,239.36
40,2021-03-16,BDX,Health Care,241.24,241.52,238.66,239.55
41,2021-03-15,BDX,Health Care,238.39,241.0,237.92,240.76
42,2021-03-12,BDX,Health Care,239.37,240.12,236.31,238.24
43,2021-03-11,BDX,Health Care,238.0,239.73,236.03,238.2
44,2021-03-10,BDX,Health Care,245.17,245.17,236.82,237.89
45,2021-03-09,BDX,Health Care,247.1,248.09,242.71,242.85
46,2021-03-08,BDX,Health Care,245.81,249.64,244.015,246.1
47,2021-03-05,BDX,Health Care,241.84,247.61,240.95,246.45
48,2021-03-04,BDX,Health Care,241.82,243.88,238.46,240.88
49,2021-03-03,BDX,Health Care,243.99,244.53,241.23,241.66
50,2021-03-02,BDX,Health Care,247.12,247.12,243.37,244.73
51,2021-03-01,BDX,Health Care,242.71,246.14,241.85,246.06
52,2021-02-26,BDX,Health Care,246.11,247.5,241.01,241.15
53,2021-02-25,BDX,Health Care,246.74,250.195,245.4,247.15
54,2021-02-24,BDX,Health Care,247.4,248.14,244.68,246.71
55,2021-02-23,BDX,Health Care,246.87,248.86,243.26,247.7
56,2021-02-22,BDX,Health Care,248.13,248.26,241.85,246.02
57,2021-02-19,BDX,Health Care,255.91,256.055,247.78,247.93
58,2021-02-18,BDX,Health Care,256.71,257.98,254.0,255.82
59,2021-02-17,BDX,Health Care,256.71,257.305,254.28,256.82
60,2021-02-16,BDX,Health Care,256.44,257.81,255.07,257.34
61,2021-02-12,BDX,Health Care,253.76,257.02,252.38,256.32
62,2021-02-11,BDX,Health Care,254.26,254.26,250.7175,253.39
63,2021-02-10,BDX,Health Care,256.23,256.8,252.08,252.9
64,2021-02-09,BDX,Health Care,256.43,257.237,253.04,254.17
65,2021-02-08,BDX,Health Care,255.03,258.37,255.03,256.82
66,2021-02-05,BDX,Health Care,255.29,258.19,252.14,254.68
67,2021-02-04,BDX,Health Care,259.91,261.924,252.49,254.89
68,2021-02-03,BDX,Health Care,258.49,263.63,257.07,260.93
69,2021-02-02,BDX,Health Care,262.44,264.055,258.095,258.24
70,2021-02-01,BDX,Health Care,262.45,265.025,260.85,261.37
71,2021-01-29,BDX,Health Care,256.45,264.59,254.92,261.79
72,2021-01-28,BDX,Health Care,252.67,258.99,251.83,256.21
73,2021-01-27,BDX,Health Care,256.25,257.67,250.495,250.89
74,2021-01-26,BDX,Health Care,260.0,260.23,255.47,258.35
75,2021-01-25,BDX,Health Care,258.5,261.24,257.34,260.24
76,2021-01-22,BDX,Health Care,261.58,262.36,258.69,258.75
77,2021-01-21,BDX,Health Care,262.29,264.0,260.17,261.9
78,2021-01-20,BDX,Health Care,260.16,263.58,259.0001,263.3
79,2021-01-19,BDX,Health Care,263.98,265.23,259.3,260.77
80,2021-01-15,BDX,Health Care,257.86,262.07,257.58,261.74
81,2021-01-14,BDX,Health Care,262.61,262.99,257.42,257.77
82,2021-01-13,BDX,Health Care,262.44,266.19,262.0,263.01
83,2021-01-12,BDX,Health Care,261.74,267.37,259.6,263.08
84,2021-01-11,BDX,Health Care,255.63,257.795,255.0,257.11
85,2021-01-08,BDX,Health Care,254.56,256.67,253.625,255.06
86,2021-01-07,BDX,Health Care,254.46,255.87,251.21,253.5
87,2021-01-06,BDX,Health Care,250.29,254.62,250.0,253.64
88,2021-01-05,BDX,Health Care,251.25,252.7,247.42,251.03
89,2021-01-04,BDX,Health Care,251.0,251.71,246.75,250.7
90,2020-12-31,BDX,Health Care,247.23,250.78,246.76,250.22
91,2020-12-30,BDX,Health Care,248.61,249.34,246.59,246.68
92,2020-12-29,BDX,Health Care,249.41,250.75,247.28,248.35
93,2020-12-28,BDX,Health Care,248.8,249.865,247.2901,248.15
94,2020-12-24,BDX,Health Care,244.9,249.25,244.9,247.99
95,2020-12-23,BDX,Health Care,247.08,247.23,244.18,244.25
96,2020-12-22,BDX,Health Care,247.41,248.48,245.23,245.9
97,2020-12-21,BDX,Health Care,249.36,250.4,245.27,247.86
98,2020-12-18,BDX,Health Care,248.45,253.23,247.0,252.09
99,2020-12-17,BDX,Health Care,246.45,249.63,246.01,248.7
100,2020-12-16,BDX,Health Care,244.95,247.065,242.25,245.29
101,2020-12-15,BDX,Health Care,240.44,245.5899,239.8405,244.13
102,2020-12-14,BDX,Health Care,243.46,246.74,239.88,240.0
