,date,symbol,sector,open,high,low,close
0,2021-05-12,BIIB,Health Care,277.17,280.6902,273.07,274.02
1,2021-05-11,BIIB,Health Care,274.26,281.53,273.5,278.39
2,2021-05-10,BIIB,Health Care,274.86,278.73,273.694,275.61
3,2021-05-07,BIIB,Health Care,270.66,279.2,270.66,274.04
4,2021-05-06,BIIB,Health Care,268.67,273.03,268.495,272.11
5,2021-05-05,BIIB,Health Care,271.0,273.32,269.47,271.57
6,2021-05-04,BIIB,Health Care,273.7,273.7,269.94,271.02
7,2021-05-03,BIIB,Health Care,267.87,275.55,267.725,275.31
8,2021-04-30,BIIB,Health Care,264.38,269.71,264.02,267.33
9,2021-04-29,BIIB,Health Care,268.42,269.12,264.4,265.33
10,2021-04-28,BIIB,Health Care,268.25,270.86,265.81,267.6
11,2021-04-27,BIIB,Health Care,269.07,270.6833,265.88,267.39
12,2021-04-26,BIIB,Health Care,264.45,270.49,261.22,269.46
13,2021-04-23,BIIB,Health Care,260.33,263.94,258.292,262.63
14,2021-04-22,BIIB,Health Care,260.0,264.52,257.03,259.0
15,2021-04-21,BIIB,Health Care,272.63,273.385,266.5,269.85
16,2021-04-20,BIIB,Health Care,269.01,274.81,268.21,273.2
17,2021-04-19,BIIB,Health Care,269.55,270.77,265.44,269.05
18,2021-04-16,BIIB,Health Care,270.61,273.83,269.79,270.31
19,2021-04-15,BIIB,Health Care,265.71,272.0,265.71,270.44
20,2021-04-14,BIIB,Health Care,267.44,270.38,264.63,265.79
21,2021-04-13,BIIB,Health Care,264.91,266.97,262.42,266.19
22,2021-04-12,BIIB,Health Care,267.31,268.275,262.55,262.8
23,2021-04-09,BIIB,Health Care,265.73,268.59,263.5,268.17
24,2021-04-08,BIIB,Health Care,272.2,272.2,265.37,265.73
25,2021-04-07,BIIB,Health Care,272.0,272.0,267.18,268.02
26,2021-04-06,BIIB,Health Care,276.17,276.5,271.3,271.76
27,2021-04-05,BIIB,Health Care,279.24,279.92,276.63,277.88
28,2021-04-01,BIIB,Health Care,280.0,281.88,278.0,278.71
29,2021-03-31,BIIB,Health Care,276.32,280.83,274.39,279.75
30,2021-03-30,BIIB,Health Care,273.79,279.45,273.065,276.01
31,2021-03-29,BIIB,Health Care,275.75,278.6,273.135,276.08
32,2021-03-26,BIIB,Health Care,272.21,277.11,271.027,276.63
33,2021-03-25,BIIB,Health Care,267.47,279.9994,264.36,273.97
34,2021-03-24,BIIB,Health Care,267.04,270.745,265.66,265.69
35,2021-03-23,BIIB,Health Care,272.73,273.1,266.0,267.21
36,2021-03-22,BIIB,Health Care,267.34,273.86,266.0,272.34
37,2021-03-19,BIIB,Health Care,261.43,269.35,261.115,267.07
38,2021-03-18,BIIB,Health Care,262.01,267.03,261.52,262.27
39,2021-03-17,BIIB,Health Care,258.5,267.29,257.22,264.15
40,2021-03-16,BIIB,Health Care,261.81,265.99,258.07,259.92
41,2021-03-15,BIIB,Health Care,268.02,271.43,250.42,260.13
42,2021-03-12,BIIB,Health Care,266.66,267.49,261.72,266.13
43,2021-03-11,BIIB,Health Care,263.06,268.0,260.55,267.44
44,2021-03-10,BIIB,Health Care,269.52,269.52,262.6,262.61
45,2021-03-09,BIIB,Health Care,272.59,278.24,266.385,266.49
46,2021-03-08,BIIB,Health Care,270.7,278.87,267.485,270.01
47,2021-03-05,BIIB,Health Care,265.83,273.33,262.445,270.71
48,2021-03-04,BIIB,Health Care,266.57,270.3,262.48,263.57
49,2021-03-03,BIIB,Health Care,267.8,269.28,263.8,266.6
50,2021-03-02,BIIB,Health Care,273.0,275.64,269.5,269.85
51,2021-03-01,BIIB,Health Care,274.42,275.645,271.39,273.24
52,2021-02-26,BIIB,Health Care,278.28,278.92,269.31,272.88
53,2021-02-25,BIIB,Health Care,284.26,284.4,274.71,277.26
54,2021-02-24,BIIB,Health Care,278.75,285.705,276.675,282.74
55,2021-02-23,BIIB,Health Care,281.99,284.87,275.67,279.08
56,2021-02-22,BIIB,Health Care,276.06,288.08,274.53,284.63
57,2021-02-19,BIIB,Health Care,278.54,281.45,275.86,278.35
58,2021-02-18,BIIB,Health Care,274.85,277.97,272.0,275.9
59,2021-02-17,BIIB,Health Care,276.07,280.06,273.7,276.67
60,2021-02-16,BIIB,Health Care,275.0,282.995,275.0,279.32
61,2021-02-12,BIIB,Health Care,278.12,280.22,274.835,278.03
62,2021-02-11,BIIB,Health Care,278.51,282.75,276.69,278.81
63,2021-02-10,BIIB,Health Care,271.45,277.25,268.46,275.0
64,2021-02-09,BIIB,Health Care,268.23,269.39,265.9,269.31
65,2021-02-08,BIIB,Health Care,266.56,270.17,265.0,268.93
66,2021-02-05,BIIB,Health Care,268.14,268.14,263.89,265.09
67,2021-02-04,BIIB,Health Care,262.16,270.39,260.97,267.39
68,2021-02-03,BIIB,Health Care,269.99,278.545,262.08,263.25
69,2021-02-02,BIIB,Health Care,281.3,282.5,276.83,277.72
70,2021-02-01,BIIB,Health Care,283.2,284.75,274.72,278.46
71,2021-01-29,BIIB,Health Care,294.427,296.38,281.5055,282.61
72,2021-01-28,BIIB,Health Care,265.13,270.89,264.765,267.87
73,2021-01-27,BIIB,Health Care,267.7,268.66,262.99,265.15
74,2021-01-26,BIIB,Health Care,274.5,275.75,268.29,271.67
75,2021-01-25,BIIB,Health Care,271.79,277.025,271.0,275.54
76,2021-01-22,BIIB,Health Care,270.34,272.705,268.48,269.44
77,2021-01-21,BIIB,Health Care,270.25,270.68,267.77,270.12
78,2021-01-20,BIIB,Health Care,274.31,274.54,267.665,270.28
79,2021-01-19,BIIB,Health Care,276.75,282.43,272.57,273.84
80,2021-01-15,BIIB,Health Care,280.0,282.6,275.425,275.84
81,2021-01-14,BIIB,Health Care,269.49,280.49,268.0,280.29
82,2021-01-13,BIIB,Health Care,269.61,269.73,265.035,266.67
83,2021-01-12,BIIB,Health Care,268.78,268.78,263.33,267.39
84,2021-01-11,BIIB,Health Care,255.86,275.49,253.3124,267.52
85,2021-01-08,BIIB,Health Care,249.88,252.635,248.795,252.54
86,2021-01-07,BIIB,Health Care,247.45,251.44,247.06,250.44
87,2021-01-06,BIIB,Health Care,244.7,248.04,243.02,247.75
88,2021-01-05,BIIB,Health Care,243.88,247.26,240.34,246.39
89,2021-01-04,BIIB,Health Care,245.74,246.3999,238.4,242.95
90,2020-12-31,BIIB,Health Care,243.47,245.1899,241.1,244.86
91,2020-12-30,BIIB,Health Care,244.5,245.055,242.3606,243.58
92,2020-12-29,BIIB,Health Care,245.36,246.2381,242.54,243.46
93,2020-12-28,BIIB,Health Care,248.48,249.1099,243.03,244.15
94,2020-12-24,BIIB,Health Care,250.27,251.2,247.51,248.89
95,2020-12-23,BIIB,Health Care,247.0,253.41,247.0,251.2
96,2020-12-22,BIIB,Health Care,246.44,249.38,244.6,247.87
97,2020-12-21,BIIB,Health Care,246.75,249.0,242.585,248.32
98,2020-12-18,BIIB,Health Care,251.78,254.0,248.5,249.62
99,2020-12-17,BIIB,Health Care,247.16,251.61,245.665,250.24
