,date,symbol,sector,open,high,low,close
0,2021-05-12,BIO,Health Care,592.03,598.52,582.495,583.89
1,2021-05-11,BIO,Health Care,593.93,598.16,590.28,596.38
2,2021-05-10,BIO,Health Care,611.32,615.59,602.2114,603.65
3,2021-05-07,BIO,Health Care,607.05,615.32,605.88,608.01
4,2021-05-06,BIO,Health Care,598.14,605.64,592.07,602.17
5,2021-05-05,BIO,Health Care,600.83,606.14,592.085,601.37
6,2021-05-04,BIO,Health Care,603.87,607.96,593.29,598.1
7,2021-05-03,BIO,Health Care,631.97,634.4918,607.15,610.0
8,2021-04-30,BIO,Health Care,640.03,657.79,622.905,630.13
9,2021-04-29,BIO,Health Care,651.81,651.81,625.0,640.73
10,2021-04-28,BIO,Health Care,645.2,651.72,640.83,649.04
11,2021-04-27,BIO,Health Care,648.0,650.68,641.8,648.72
12,2021-04-26,BIO,Health Care,640.7,648.48,638.63,648.34
13,2021-04-23,BIO,Health Care,641.6,645.58,634.36,640.42
14,2021-04-22,BIO,Health Care,632.41,640.37,629.93,639.73
15,2021-04-21,BIO,Health Care,627.17,637.17,626.27,634.31
16,2021-04-20,BIO,Health Care,632.54,634.335,621.425,628.3
17,2021-04-19,BIO,Health Care,626.49,633.63,621.33,629.59
18,2021-04-16,BIO,Health Care,624.75,627.96,618.53,626.12
19,2021-04-15,BIO,Health Care,617.8,632.27,616.5113,624.79
20,2021-04-14,BIO,Health Care,613.32,620.225,604.19,612.11
21,2021-04-13,BIO,Health Care,607.11,621.0,607.11,614.85
22,2021-04-12,BIO,Health Care,602.05,606.27,599.02,603.99
23,2021-04-09,BIO,Health Care,596.27,602.85,593.53,602.57
24,2021-04-08,BIO,Health Care,581.86,595.37,581.035,592.23
25,2021-04-07,BIO,Health Care,586.92,586.92,575.85,576.64
26,2021-04-06,BIO,Health Care,579.95,593.81,578.27,587.55
27,2021-04-05,BIO,Health Care,582.49,588.59,580.87,582.8
28,2021-04-01,BIO,Health Care,572.84,582.34,569.46,579.91
