,date,symbol,sector,open,high,low,close
0,2021-05-12,BKNG,Consumer Discretionary,2231.31,2236.55,2163.475,2172.25
1,2021-05-11,BKNG,Consumer Discretionary,2230.0,2262.77,2205.08,2247.68
2,2021-05-10,BKNG,Consumer Discretionary,2331.64,2333.0,2261.69,2263.1
3,2021-05-07,BKNG,Consumer Discretionary,2312.24,2361.42,2290.74,2327.08
4,2021-05-06,BKNG,Consumer Discretionary,2297.71,2324.0,2255.15,2279.35
5,2021-05-05,BKNG,Consumer Discretionary,2402.05,2403.745,2327.19,2337.92
6,2021-05-04,BKNG,Consumer Discretionary,2409.79,2427.815,2368.83,2382.94
7,2021-05-03,BKNG,Consumer Discretionary,2484.07,2486.99,2435.31,2440.44
8,2021-04-30,BKNG,Consumer Discretionary,2497.7,2497.7,2436.14,2466.08
9,2021-04-29,BKNG,Consumer Discretionary,2507.47,2516.0,2476.01,2501.43
10,2021-04-28,BKNG,Consumer Discretionary,2475.0,2514.99,2461.0,2505.1
11,2021-04-27,BKNG,Consumer Discretionary,2458.0,2469.12,2441.67,2464.15
12,2021-04-26,BKNG,Consumer Discretionary,2424.89,2460.93,2407.0,2458.25
13,2021-04-23,BKNG,Consumer Discretionary,2367.19,2404.33,2350.46,2395.43
14,2021-04-22,BKNG,Consumer Discretionary,2353.72,2395.0,2343.0,2347.05
15,2021-04-21,BKNG,Consumer Discretionary,2359.92,2365.99,2343.06,2357.73
16,2021-04-20,BKNG,Consumer Discretionary,2433.75,2436.49,2317.29,2345.0
17,2021-04-19,BKNG,Consumer Discretionary,2480.43,2488.32,2443.11,2456.2
18,2021-04-16,BKNG,Consumer Discretionary,2443.73,2489.41,2435.83,2476.9
19,2021-04-15,BKNG,Consumer Discretionary,2467.54,2468.93,2426.18,2433.21
20,2021-04-14,BKNG,Consumer Discretionary,2413.1,2482.82,2407.48,2454.22
21,2021-04-13,BKNG,Consumer Discretionary,2403.92,2415.79,2367.15,2404.29
22,2021-04-12,BKNG,Consumer Discretionary,2436.0,2450.2003,2396.49,2409.05
23,2021-04-09,BKNG,Consumer Discretionary,2434.0,2454.72,2405.55,2450.06
24,2021-04-08,BKNG,Consumer Discretionary,2392.0,2435.43,2392.0,2427.99
25,2021-04-07,BKNG,Consumer Discretionary,2429.06,2440.21,2395.57,2410.64
26,2021-04-06,BKNG,Consumer Discretionary,2415.0,2447.41,2407.23,2422.0
27,2021-04-05,BKNG,Consumer Discretionary,2410.0,2436.88,2386.86,2409.18
28,2021-04-01,BKNG,Consumer Discretionary,2354.28,2389.725,2348.23,2382.46
29,2021-03-31,BKNG,Consumer Discretionary,2345.68,2363.9246,2319.31,2329.84
30,2021-03-30,BKNG,Consumer Discretionary,2343.25,2370.23,2316.79,2334.89
31,2021-03-29,BKNG,Consumer Discretionary,2311.0,2375.0,2307.41,2351.36
32,2021-03-26,BKNG,Consumer Discretionary,2275.94,2329.33,2246.64,2323.53
33,2021-03-25,BKNG,Consumer Discretionary,2186.7,2282.88,2173.0,2268.91
34,2021-03-24,BKNG,Consumer Discretionary,2231.8,2278.0,2199.01,2202.73
35,2021-03-23,BKNG,Consumer Discretionary,2250.62,2250.62,2184.47,2215.0
36,2021-03-22,BKNG,Consumer Discretionary,2340.0,2340.0,2225.0,2231.89
37,2021-03-19,BKNG,Consumer Discretionary,2332.82,2350.09,2265.81,2287.74
38,2021-03-18,BKNG,Consumer Discretionary,2428.03,2447.46,2344.0,2346.95
39,2021-03-17,BKNG,Consumer Discretionary,2373.5,2469.58,2370.0,2461.78
40,2021-03-16,BKNG,Consumer Discretionary,2416.35,2429.53,2380.01,2396.56
41,2021-03-15,BKNG,Consumer Discretionary,2412.76,2443.52,2374.01,2439.5
42,2021-03-12,BKNG,Consumer Discretionary,2358.99,2412.83,2350.88,2401.04
43,2021-03-11,BKNG,Consumer Discretionary,2398.28,2447.465,2343.78,2362.06
44,2021-03-10,BKNG,Consumer Discretionary,2379.35,2420.0,2363.91,2369.32
45,2021-03-09,BKNG,Consumer Discretionary,2380.14,2441.75,2344.01,2366.79
46,2021-03-08,BKNG,Consumer Discretionary,2303.43,2412.34,2298.355,2368.74
47,2021-03-05,BKNG,Consumer Discretionary,2235.77,2312.7997,2178.88,2307.1
48,2021-03-04,BKNG,Consumer Discretionary,2277.165,2277.165,2163.4,2219.35
49,2021-03-03,BKNG,Consumer Discretionary,2286.23,2334.94,2272.14,2275.0
50,2021-03-02,BKNG,Consumer Discretionary,2338.0,2342.0,2275.0,2282.21
51,2021-03-01,BKNG,Consumer Discretionary,2372.99,2382.3,2300.205,2320.5
52,2021-02-26,BKNG,Consumer Discretionary,2343.9,2345.0,2251.7082,2328.51
53,2021-02-25,BKNG,Consumer Discretionary,2419.93,2438.95,2261.47,2273.2
54,2021-02-24,BKNG,Consumer Discretionary,2343.77,2450.26,2324.18,2443.5
55,2021-02-23,BKNG,Consumer Discretionary,2348.36,2367.0,2292.17,2359.37
56,2021-02-22,BKNG,Consumer Discretionary,2265.67,2392.97,2265.67,2350.02
57,2021-02-19,BKNG,Consumer Discretionary,2273.0,2322.04,2259.85,2293.05
58,2021-02-18,BKNG,Consumer Discretionary,2190.03,2275.91,2190.03,2259.79
59,2021-02-17,BKNG,Consumer Discretionary,2183.39,2237.95,2174.15,2233.77
60,2021-02-16,BKNG,Consumer Discretionary,2139.19,2198.03,2133.71,2184.16
61,2021-02-12,BKNG,Consumer Discretionary,2126.35,2188.99,2110.01,2150.58
62,2021-02-11,BKNG,Consumer Discretionary,2145.34,2183.66,2132.84,2159.26
63,2021-02-10,BKNG,Consumer Discretionary,2116.3,2161.21,2091.175,2141.76
64,2021-02-09,BKNG,Consumer Discretionary,2082.88,2104.85,2051.64,2085.28
65,2021-02-08,BKNG,Consumer Discretionary,2117.05,2131.6556,2070.79,2099.56
66,2021-02-05,BKNG,Consumer Discretionary,2109.29,2129.99,2073.88,2096.42
67,2021-02-04,BKNG,Consumer Discretionary,2036.19,2085.895,2015.66,2082.94
68,2021-02-03,BKNG,Consumer Discretionary,2079.53,2094.8,2024.72,2027.3
69,2021-02-02,BKNG,Consumer Discretionary,2035.0,2112.91,2025.405,2065.53
70,2021-02-01,BKNG,Consumer Discretionary,1996.19,2006.38,1965.0,1990.46
71,2021-01-29,BKNG,Consumer Discretionary,2036.0,2039.9999,1938.796,1944.33
72,2021-01-28,BKNG,Consumer Discretionary,1979.04,2048.77,1935.88,2034.1
73,2021-01-27,BKNG,Consumer Discretionary,1949.33,1975.96,1860.73,1886.09
74,2021-01-26,BKNG,Consumer Discretionary,2033.37,2056.73,1974.65,1983.16
75,2021-01-25,BKNG,Consumer Discretionary,2044.86,2060.35,1947.0891,2018.43
76,2021-01-22,BKNG,Consumer Discretionary,2101.83,2109.51,2065.0,2066.24
77,2021-01-21,BKNG,Consumer Discretionary,2140.9,2157.01,2105.0,2109.94
78,2021-01-20,BKNG,Consumer Discretionary,2179.98,2179.98,2124.56,2160.05
79,2021-01-19,BKNG,Consumer Discretionary,2135.0,2169.95,2108.9624,2163.04
80,2021-01-15,BKNG,Consumer Discretionary,2179.29,2179.29,2116.0,2119.23
81,2021-01-14,BKNG,Consumer Discretionary,2185.27,2215.78,2178.77,2182.59
82,2021-01-13,BKNG,Consumer Discretionary,2168.4,2208.08,2168.4,2182.42
83,2021-01-12,BKNG,Consumer Discretionary,2237.36,2243.6395,2191.63,2196.34
84,2021-01-11,BKNG,Consumer Discretionary,2252.43,2290.035,2214.03,2221.27
85,2021-01-08,BKNG,Consumer Discretionary,2256.34,2289.98,2248.47,2281.54
86,2021-01-07,BKNG,Consumer Discretionary,2278.15,2288.0,2219.77,2239.85
87,2021-01-06,BKNG,Consumer Discretionary,2175.89,2288.49,2160.0,2249.81
88,2021-01-05,BKNG,Consumer Discretionary,2164.0,2225.94,2154.56,2188.07
89,2021-01-04,BKNG,Consumer Discretionary,2250.0,2257.185,2121.21,2164.08
90,2020-12-31,BKNG,Consumer Discretionary,2198.07,2227.97,2185.0,2227.27
91,2020-12-30,BKNG,Consumer Discretionary,2200.0,2214.01,2174.965,2205.26
92,2020-12-29,BKNG,Consumer Discretionary,2165.98,2200.0,2153.96,2185.4
93,2020-12-28,BKNG,Consumer Discretionary,2129.45,2152.26,2124.46,2137.92
94,2020-12-24,BKNG,Consumer Discretionary,2119.0,2119.0,2081.0,2088.35
95,2020-12-23,BKNG,Consumer Discretionary,2055.39,2114.15,2050.43,2100.85
96,2020-12-22,BKNG,Consumer Discretionary,2068.35,2069.355,2031.39,2052.82
97,2020-12-21,BKNG,Consumer Discretionary,2050.0,2071.82,2024.02,2068.2
98,2020-12-18,BKNG,Consumer Discretionary,2118.75,2118.75,2087.93,2099.65
99,2020-12-17,BKNG,Consumer Discretionary,2117.95,2126.95,2070.515,2113.43
100,2020-12-16,BKNG,Consumer Discretionary,2118.2,2118.2,2077.395,2098.71
101,2020-12-15,BKNG,Consumer Discretionary,2078.22,2105.815,2055.005,2098.05
102,2020-12-14,BKNG,Consumer Discretionary,2120.09,2143.06,2065.08,2066.01
103,2020-12-11,BKNG,Consumer Discretionary,2090.22,2104.02,2050.125,2089.21
104,2020-12-10,BKNG,Consumer Discretionary,2094.99,2151.58,2079.19,2104.87
105,2020-12-09,BKNG,Consumer Discretionary,2100.47,2170.03,2076.81,2107.11
106,2020-12-08,BKNG,Consumer Discretionary,2093.06,2128.2102,2082.45,2086.65
107,2020-12-07,BKNG,Consumer Discretionary,2119.97,2137.43,2085.0,2128.78
