,date,symbol,sector,open,high,low,close
0,2021-05-12,BMY,Health Care,64.43,65.23,64.25,64.53
1,2021-05-11,BMY,Health Care,64.43,64.9,64.05,64.26
2,2021-05-10,BMY,Health Care,64.64,65.29,64.59,64.7
3,2021-05-07,BMY,Health Care,64.7,65.39,64.19,64.44
4,2021-05-06,BMY,Health Care,64.6,64.72,64.05,64.46
5,2021-05-05,BMY,Health Care,63.9,64.85,64.105,64.68
6,2021-05-04,BMY,Health Care,63.38,64.21,63.34,63.95
7,2021-05-03,BMY,Health Care,62.7,63.585,62.6501,63.48
8,2021-04-30,BMY,Health Care,62.0,62.765,61.51,62.42
9,2021-04-29,BMY,Health Care,65.0,65.26,62.405,62.89
10,2021-04-28,BMY,Health Care,66.1,66.385,65.7501,66.03
11,2021-04-27,BMY,Health Care,66.0,66.28,65.6,65.96
12,2021-04-26,BMY,Health Care,65.96,66.0,65.08,65.89
13,2021-04-23,BMY,Health Care,66.3,66.93,65.86,66.01
14,2021-04-22,BMY,Health Care,66.15,66.56,65.82,66.32
15,2021-04-21,BMY,Health Care,66.52,66.89,66.08,66.32
16,2021-04-20,BMY,Health Care,65.45,66.53,65.42,66.08
17,2021-04-19,BMY,Health Care,65.42,65.925,65.21,65.6
18,2021-04-16,BMY,Health Care,64.93,65.6389,64.7387,65.46
19,2021-04-15,BMY,Health Care,64.0,64.73,63.92,64.44
20,2021-04-14,BMY,Health Care,63.75,63.96,63.58,63.81
21,2021-04-13,BMY,Health Care,62.91,63.74,62.75,63.58
22,2021-04-12,BMY,Health Care,62.53,62.7766,62.27,62.69
23,2021-04-09,BMY,Health Care,61.8,62.64,61.68,62.61
24,2021-04-08,BMY,Health Care,62.2,62.42,61.76,61.91
25,2021-04-07,BMY,Health Care,62.01,62.54,61.93,62.06
26,2021-04-06,BMY,Health Care,63.21,63.3,61.89,61.98
27,2021-04-05,BMY,Health Care,62.9,63.6,62.88,63.16
28,2021-04-01,BMY,Health Care,63.18,63.34,62.54,62.93
29,2021-03-31,BMY,Health Care,62.9,63.77,62.78,63.13
30,2021-03-30,BMY,Health Care,64.0,64.08,63.17,63.31
31,2021-03-29,BMY,Health Care,63.86,64.415,63.655,64.07
32,2021-03-26,BMY,Health Care,62.95,63.98,62.83,63.94
33,2021-03-25,BMY,Health Care,63.0,63.0,61.98,62.79
34,2021-03-24,BMY,Health Care,62.46,62.89,62.27,62.3
35,2021-03-23,BMY,Health Care,63.38,63.53,62.59,62.62
36,2021-03-22,BMY,Health Care,62.2,63.52,62.11,63.38
37,2021-03-19,BMY,Health Care,62.07,62.75,61.365,62.7
38,2021-03-18,BMY,Health Care,61.98,63.235,61.86,62.33
39,2021-03-17,BMY,Health Care,62.09,62.54,61.45,62.18
40,2021-03-16,BMY,Health Care,61.34,62.1401,61.34,61.9
41,2021-03-15,BMY,Health Care,60.66,61.44,60.29,61.39
42,2021-03-12,BMY,Health Care,60.43,60.94,60.2,60.64
43,2021-03-11,BMY,Health Care,61.0,61.19,60.35,60.35
44,2021-03-10,BMY,Health Care,61.14,61.2801,60.46,60.93
45,2021-03-09,BMY,Health Care,60.79,61.86,60.56,60.57
46,2021-03-08,BMY,Health Care,60.6,61.715,60.13,60.45
47,2021-03-05,BMY,Health Care,59.51,60.59,59.33,60.43
