,date,symbol,sector,open,high,low,close
0,2021-05-12,BWA,Consumer Discretionary,51.42,51.62,49.5,49.75
1,2021-05-11,BWA,Consumer Discretionary,52.0,52.5625,50.66,51.65
2,2021-05-10,BWA,Consumer Discretionary,53.94,54.21,52.89,52.93
3,2021-05-07,BWA,Consumer Discretionary,51.91,53.93,51.02,53.8
4,2021-05-06,BWA,Consumer Discretionary,51.24,52.48,51.01,52.23
5,2021-05-05,BWA,Consumer Discretionary,49.49,51.18,50.23,51.12
6,2021-05-04,BWA,Consumer Discretionary,48.79,48.96,47.58,48.5
7,2021-05-03,BWA,Consumer Discretionary,48.92,49.46,48.54,49.26
8,2021-04-30,BWA,Consumer Discretionary,49.03,49.53,48.335,48.58
9,2021-04-29,BWA,Consumer Discretionary,50.6,50.6,48.68,49.36
10,2021-04-28,BWA,Consumer Discretionary,50.06,50.9,50.03,50.46
11,2021-04-27,BWA,Consumer Discretionary,50.29,50.63,50.02,50.11
12,2021-04-26,BWA,Consumer Discretionary,51.25,51.88,50.38,50.49
13,2021-04-23,BWA,Consumer Discretionary,49.87,51.21,49.75,50.97
14,2021-04-22,BWA,Consumer Discretionary,50.44,50.52,48.91,49.54
15,2021-04-21,BWA,Consumer Discretionary,47.76,50.27,47.62,50.14
16,2021-04-20,BWA,Consumer Discretionary,49.15,49.34,47.4175,47.93
17,2021-04-19,BWA,Consumer Discretionary,48.65,49.58,48.17,49.32
18,2021-04-16,BWA,Consumer Discretionary,48.2,49.3,48.17,48.96
19,2021-04-15,BWA,Consumer Discretionary,47.68,48.04,47.18,47.88
20,2021-04-14,BWA,Consumer Discretionary,47.05,48.31,47.05,47.46
21,2021-04-13,BWA,Consumer Discretionary,47.79,48.03,46.52,47.18
22,2021-04-12,BWA,Consumer Discretionary,47.98,47.99,46.755,47.58
23,2021-04-09,BWA,Consumer Discretionary,46.35,46.69,45.93,46.48
24,2021-04-08,BWA,Consumer Discretionary,45.31,46.16,44.62,46.0
25,2021-04-07,BWA,Consumer Discretionary,46.58,46.89,45.26,45.5
26,2021-04-06,BWA,Consumer Discretionary,46.8,47.27,46.49,46.67
27,2021-04-05,BWA,Consumer Discretionary,46.61,47.0999,46.1285,46.79
28,2021-04-01,BWA,Consumer Discretionary,46.61,46.775,45.16,46.3
29,2021-03-31,BWA,Consumer Discretionary,46.61,46.8,45.8645,46.36
30,2021-03-30,BWA,Consumer Discretionary,45.46,46.64,45.1,46.53
31,2021-03-29,BWA,Consumer Discretionary,46.05,46.79,45.19,45.3
32,2021-03-26,BWA,Consumer Discretionary,44.89,45.82,44.21,45.74
33,2021-03-25,BWA,Consumer Discretionary,42.73,44.0,42.53,43.7
34,2021-03-24,BWA,Consumer Discretionary,44.63,45.13,43.47,43.5
35,2021-03-23,BWA,Consumer Discretionary,47.23,47.23,44.13,44.3
36,2021-03-22,BWA,Consumer Discretionary,48.58,48.89,47.45,48.13
37,2021-03-19,BWA,Consumer Discretionary,48.13,49.205,47.65,49.02
38,2021-03-18,BWA,Consumer Discretionary,49.32,49.83,47.94,48.16
39,2021-03-17,BWA,Consumer Discretionary,48.77,49.66,48.41,49.66
40,2021-03-16,BWA,Consumer Discretionary,50.32,50.46,48.63,48.77
41,2021-03-15,BWA,Consumer Discretionary,50.43,50.5978,49.7,50.55
42,2021-03-12,BWA,Consumer Discretionary,49.3,50.44,48.95,50.33
43,2021-03-11,BWA,Consumer Discretionary,49.87,50.0,48.18,49.15
44,2021-03-10,BWA,Consumer Discretionary,48.98,50.34,48.805,49.9
45,2021-03-09,BWA,Consumer Discretionary,49.61,50.37,48.91,48.91
46,2021-03-08,BWA,Consumer Discretionary,49.32,50.53,49.1,49.71
47,2021-03-05,BWA,Consumer Discretionary,46.91,48.98,46.7,48.84
48,2021-03-04,BWA,Consumer Discretionary,47.23,47.46,45.395,46.51
49,2021-03-03,BWA,Consumer Discretionary,46.52,48.39,46.32,47.32
50,2021-03-02,BWA,Consumer Discretionary,45.35,46.87,45.04,46.22
51,2021-03-01,BWA,Consumer Discretionary,45.39,45.73,44.65,45.23
52,2021-02-26,BWA,Consumer Discretionary,45.15,45.52,43.88,45.0
53,2021-02-25,BWA,Consumer Discretionary,46.23,46.32,44.66,45.11
54,2021-02-24,BWA,Consumer Discretionary,45.1,46.19,44.96,46.0
55,2021-02-23,BWA,Consumer Discretionary,44.2,44.93,43.02,44.88
56,2021-02-22,BWA,Consumer Discretionary,43.25,44.7,43.2,44.64
57,2021-02-19,BWA,Consumer Discretionary,43.7,44.16,42.93,43.56
58,2021-02-18,BWA,Consumer Discretionary,44.21,44.5,42.97,43.06
59,2021-02-17,BWA,Consumer Discretionary,43.81,44.95,43.29,44.57
60,2021-02-16,BWA,Consumer Discretionary,44.0,44.38,42.66,43.78
61,2021-02-12,BWA,Consumer Discretionary,42.58,42.8499,41.14,41.99
62,2021-02-11,BWA,Consumer Discretionary,45.5,45.75,41.685,42.84
63,2021-02-10,BWA,Consumer Discretionary,43.33,44.355,42.97,43.69
64,2021-02-09,BWA,Consumer Discretionary,43.18,43.32,42.61,42.91
65,2021-02-08,BWA,Consumer Discretionary,43.26,43.67,42.76,43.44
66,2021-02-05,BWA,Consumer Discretionary,43.21,43.32,42.39,43.1
67,2021-02-04,BWA,Consumer Discretionary,43.04,43.304,42.315,42.71
68,2021-02-03,BWA,Consumer Discretionary,41.42,42.79,41.02,42.7
69,2021-02-02,BWA,Consumer Discretionary,42.46,42.54,41.3,41.34
70,2021-02-01,BWA,Consumer Discretionary,42.21,42.52,41.48,42.08
71,2021-01-29,BWA,Consumer Discretionary,42.16,43.54,41.63,41.99
72,2021-01-28,BWA,Consumer Discretionary,44.79,45.05,42.04,42.41
73,2021-01-27,BWA,Consumer Discretionary,43.85,46.48,43.53,44.9
74,2021-01-26,BWA,Consumer Discretionary,44.05,44.7,43.44,43.96
75,2021-01-25,BWA,Consumer Discretionary,42.57,43.59,42.21,43.51
76,2021-01-22,BWA,Consumer Discretionary,43.33,43.45,42.41,42.8
77,2021-01-21,BWA,Consumer Discretionary,40.91,43.9,40.9,43.6
78,2021-01-20,BWA,Consumer Discretionary,40.01,40.92,39.55,40.88
79,2021-01-19,BWA,Consumer Discretionary,38.96,39.54,38.38,39.3
80,2021-01-15,BWA,Consumer Discretionary,39.12,39.35,38.015,38.6
81,2021-01-14,BWA,Consumer Discretionary,40.44,40.6,39.285,39.6
82,2021-01-13,BWA,Consumer Discretionary,41.07,41.4,39.95,40.15
83,2021-01-12,BWA,Consumer Discretionary,40.73,41.84,40.45,41.17
84,2021-01-11,BWA,Consumer Discretionary,39.68,40.41,39.5,40.18
85,2021-01-08,BWA,Consumer Discretionary,40.98,41.14,39.86,40.29
86,2021-01-07,BWA,Consumer Discretionary,40.79,41.38,40.39,41.1
87,2021-01-06,BWA,Consumer Discretionary,39.0,40.415,39.0,40.17
88,2021-01-05,BWA,Consumer Discretionary,37.87,39.23,37.87,38.96
89,2021-01-04,BWA,Consumer Discretionary,38.99,39.14,37.76,38.06
90,2020-12-31,BWA,Consumer Discretionary,39.31,39.31,38.59,38.64
91,2020-12-30,BWA,Consumer Discretionary,38.64,39.27,38.55,39.19
92,2020-12-29,BWA,Consumer Discretionary,39.49,39.55,38.36,38.55
93,2020-12-28,BWA,Consumer Discretionary,39.32,39.74,39.2,39.24
94,2020-12-24,BWA,Consumer Discretionary,39.6,39.6,38.64,38.96
95,2020-12-23,BWA,Consumer Discretionary,39.5,40.32,39.28,39.62
96,2020-12-22,BWA,Consumer Discretionary,38.56,39.235,38.22,39.11
97,2020-12-21,BWA,Consumer Discretionary,37.94,38.54,37.46,38.54
98,2020-12-18,BWA,Consumer Discretionary,39.0,39.005,38.18,38.62
99,2020-12-17,BWA,Consumer Discretionary,38.58,39.01,38.255,39.0
100,2020-12-16,BWA,Consumer Discretionary,38.04,38.49,37.645,38.41
101,2020-12-15,BWA,Consumer Discretionary,36.87,37.72,36.68,37.7
102,2020-12-14,BWA,Consumer Discretionary,37.15,37.3285,36.26,36.34
103,2020-12-11,BWA,Consumer Discretionary,37.92,38.01,36.5,36.52
104,2020-12-10,BWA,Consumer Discretionary,39.56,39.56,38.21,38.28
105,2020-12-09,BWA,Consumer Discretionary,39.46,39.945,39.36,39.86
106,2020-12-08,BWA,Consumer Discretionary,39.28,40.13,39.1,39.35
107,2020-12-07,BWA,Consumer Discretionary,39.79,40.05,38.86,39.22
108,2020-12-04,BWA,Consumer Discretionary,38.87,39.92,38.87,39.87
109,2020-12-03,BWA,Consumer Discretionary,38.75,38.97,38.39,38.69
110,2020-12-02,BWA,Consumer Discretionary,38.42,38.84,38.31,38.61
111,2020-12-01,BWA,Consumer Discretionary,39.63,39.68,38.69,38.71
112,2020-11-30,BWA,Consumer Discretionary,39.29,39.5,38.46,38.85
113,2020-11-27,BWA,Consumer Discretionary,39.12,39.5,38.9,39.5
114,2020-11-25,BWA,Consumer Discretionary,40.07,40.27,39.06,39.11
115,2020-11-24,BWA,Consumer Discretionary,39.79,40.55,39.45,40.47
116,2020-11-23,BWA,Consumer Discretionary,37.87,39.17,37.87,39.06
117,2020-11-20,BWA,Consumer Discretionary,37.53,37.755,37.24,37.56
118,2020-11-19,BWA,Consumer Discretionary,38.04,38.55,37.31,37.71
119,2020-11-18,BWA,Consumer Discretionary,38.15,39.07,38.0,38.36
120,2020-11-17,BWA,Consumer Discretionary,38.12,38.595,37.57,38.0
121,2020-11-16,BWA,Consumer Discretionary,38.43,38.75,37.915,38.74
122,2020-11-13,BWA,Consumer Discretionary,36.64,37.9,36.575,37.66
123,2020-11-12,BWA,Consumer Discretionary,37.43,37.86,35.79,36.27
124,2020-11-11,BWA,Consumer Discretionary,39.19,39.345,38.16,38.56
125,2020-11-10,BWA,Consumer Discretionary,38.51,39.2,37.96,38.8
126,2020-11-09,BWA,Consumer Discretionary,38.33,39.4,37.735,37.99
127,2020-11-06,BWA,Consumer Discretionary,37.26,37.52,36.23,36.43
128,2020-11-05,BWA,Consumer Discretionary,36.3,37.26,36.3,37.02
129,2020-11-04,BWA,Consumer Discretionary,35.85,36.365,35.2,35.84
130,2020-11-03,BWA,Consumer Discretionary,36.21,37.06,36.01,36.34
131,2020-11-02,BWA,Consumer Discretionary,35.32,36.27,35.32,35.6
132,2020-10-30,BWA,Consumer Discretionary,35.43,35.71,34.3,34.98
133,2020-10-29,BWA,Consumer Discretionary,36.88,36.905,34.95,35.44
134,2020-10-28,BWA,Consumer Discretionary,36.5,37.02,36.08,36.65
