,date,symbol,sector,open,high,low,close
0,2021-05-12,CARR,Industrials,44.24,44.44,42.39,42.43
1,2021-05-11,CARR,Industrials,45.12,45.12,44.01,44.5
2,2021-05-10,CARR,Industrials,44.89,45.65,44.89,45.41
3,2021-05-07,CARR,Industrials,44.12,45.265,43.87,44.84
4,2021-05-06,CARR,Industrials,43.34,44.19,43.16,44.16
5,2021-05-05,CARR,Industrials,43.47,43.48,43.15,43.27
6,2021-05-04,CARR,Industrials,43.16,43.36,42.78,43.13
7,2021-05-03,CARR,Industrials,44.12,44.19,43.18,43.46
8,2021-04-30,CARR,Industrials,43.68,43.85,42.99,43.58
9,2021-04-29,CARR,Industrials,43.97,44.88,43.39,44.15
10,2021-04-28,CARR,Industrials,44.94,45.32,44.47,44.49
11,2021-04-27,CARR,Industrials,44.15,45.04,44.0,44.96
12,2021-04-26,CARR,Industrials,44.82,45.16,44.02,44.1
13,2021-04-23,CARR,Industrials,43.36,44.56,43.07,44.47
14,2021-04-22,CARR,Industrials,43.24,43.71,42.85,43.09
15,2021-04-21,CARR,Industrials,42.5,43.125,42.2,43.06
16,2021-04-20,CARR,Industrials,43.58,43.67,42.01,42.52
17,2021-04-19,CARR,Industrials,44.0,44.645,43.67,43.87
18,2021-04-16,CARR,Industrials,43.88,44.28,43.44,43.88
19,2021-04-15,CARR,Industrials,43.2,43.77,42.7,43.59
20,2021-04-14,CARR,Industrials,43.13,43.78,43.06,43.13
21,2021-04-13,CARR,Industrials,42.49,43.37,42.24,43.16
22,2021-04-12,CARR,Industrials,42.8,43.005,42.48,42.6
23,2021-04-09,CARR,Industrials,42.85,43.06,42.26,42.75
24,2021-04-08,CARR,Industrials,42.58,43.0,42.05,42.53
25,2021-04-07,CARR,Industrials,42.56,42.84,42.14,42.69
26,2021-04-06,CARR,Industrials,42.64,43.3,42.3,42.81
27,2021-04-05,CARR,Industrials,42.39,42.92,42.33,42.58
28,2021-04-01,CARR,Industrials,42.23,42.4,41.86,42.02
29,2021-03-31,CARR,Industrials,43.0,43.48,42.03,42.22
30,2021-03-30,CARR,Industrials,42.07,42.92,41.79,42.36
31,2021-03-29,CARR,Industrials,42.21,42.98,41.9517,42.34
32,2021-03-26,CARR,Industrials,40.82,41.14,39.83,41.09
33,2021-03-25,CARR,Industrials,40.19,40.475,39.58,40.35
34,2021-03-24,CARR,Industrials,40.5,41.23,40.13,40.14
35,2021-03-23,CARR,Industrials,40.92,41.49,40.055,40.29
36,2021-03-22,CARR,Industrials,40.62,41.69,39.85,41.41
37,2021-03-19,CARR,Industrials,41.23,41.31,40.5806,40.91
38,2021-03-18,CARR,Industrials,39.4,41.6,39.4,41.0
39,2021-03-17,CARR,Industrials,38.81,39.36,38.43,39.35
40,2021-03-16,CARR,Industrials,39.62,39.65,38.31,38.57
41,2021-03-15,CARR,Industrials,39.22,39.74,39.1,39.6
42,2021-03-12,CARR,Industrials,39.0,39.62,38.92,39.59
43,2021-03-11,CARR,Industrials,39.27,39.57,38.61,39.23
44,2021-03-10,CARR,Industrials,37.61,39.1,37.48,38.78
45,2021-03-09,CARR,Industrials,37.35,37.71,37.1,37.12
46,2021-03-08,CARR,Industrials,36.79,37.79,36.3,37.06
47,2021-03-05,CARR,Industrials,36.12,37.04,34.75,36.94
48,2021-03-04,CARR,Industrials,36.95,37.21,35.06,35.52
49,2021-03-03,CARR,Industrials,36.85,37.578,36.63,37.12
50,2021-03-02,CARR,Industrials,37.4,37.42,36.68,37.14
51,2021-03-01,CARR,Industrials,36.76,37.565,36.72,37.2
52,2021-02-26,CARR,Industrials,36.39,37.0,36.02,36.53
53,2021-02-25,CARR,Industrials,37.07,37.27,35.94,36.14
54,2021-02-24,CARR,Industrials,36.86,37.51,36.695,37.45
55,2021-02-23,CARR,Industrials,36.83,37.19,35.82,37.1
56,2021-02-22,CARR,Industrials,37.41,37.87,37.27,37.3
57,2021-02-19,CARR,Industrials,37.0,37.76,36.96,37.64
58,2021-02-18,CARR,Industrials,37.09,37.23,36.362,36.65
59,2021-02-17,CARR,Industrials,37.23,37.3689,36.7,37.24
60,2021-02-16,CARR,Industrials,37.46,37.525,36.775,37.41
61,2021-02-12,CARR,Industrials,37.0,37.4,36.76,37.28
62,2021-02-11,CARR,Industrials,37.3,37.475,36.63,37.2
63,2021-02-10,CARR,Industrials,37.66,37.95,36.8,37.19
64,2021-02-09,CARR,Industrials,37.1,38.28,36.95,37.25
65,2021-02-08,CARR,Industrials,39.53,40.12,39.34,39.7
