,date,symbol,sector,open,high,low,close
0,2021-05-12,CAT,Industrials,241.27,243.23,236.4447,237.32
1,2021-05-11,CAT,Industrials,238.78,242.9899,236.54,239.3
2,2021-05-10,CAT,Industrials,243.5,245.78,242.59,242.61
3,2021-05-07,CAT,Industrials,235.64,241.89,233.16,240.99
4,2021-05-06,CAT,Industrials,238.0,240.9828,236.0,237.07
5,2021-05-05,CAT,Industrials,234.62,239.33,236.05,237.88
6,2021-05-04,CAT,Industrials,227.0,234.0,225.35,233.41
7,2021-05-03,CAT,Industrials,230.0,230.9348,227.21,228.17
8,2021-04-30,CAT,Industrials,225.52,228.39,224.88,228.11
9,2021-04-29,CAT,Industrials,235.0,235.2,223.2,227.47
10,2021-04-28,CAT,Industrials,230.05,233.715,229.38,232.3
11,2021-04-27,CAT,Industrials,230.29,230.86,228.08,230.34
12,2021-04-26,CAT,Industrials,230.57,232.85,229.96,230.56
13,2021-04-23,CAT,Industrials,229.36,231.65,227.88,230.11
14,2021-04-22,CAT,Industrials,233.25,233.43,228.77,228.89
15,2021-04-21,CAT,Industrials,227.32,232.61,226.02,232.46
16,2021-04-20,CAT,Industrials,230.9,231.3,225.5959,227.63
17,2021-04-19,CAT,Industrials,232.9,233.1,229.91,232.39
18,2021-04-16,CAT,Industrials,234.62,235.94,232.27,233.36
19,2021-04-15,CAT,Industrials,233.15,233.4399,230.74,232.52
20,2021-04-14,CAT,Industrials,229.6,234.2199,229.55,232.58
21,2021-04-13,CAT,Industrials,233.41,233.5,228.045,229.35
22,2021-04-12,CAT,Industrials,230.3,231.3,228.9307,230.93
23,2021-04-09,CAT,Industrials,231.3,232.2,227.54,230.75
24,2021-04-08,CAT,Industrials,230.13,231.05,227.17,230.48
25,2021-04-07,CAT,Industrials,231.96,234.1856,229.35,230.41
26,2021-04-06,CAT,Industrials,232.5,236.68,230.23,230.64
27,2021-04-05,CAT,Industrials,235.0,235.661,232.37,233.71
28,2021-04-01,CAT,Industrials,231.3,235.0,227.59,232.74
29,2021-03-31,CAT,Industrials,234.35,237.01,228.85,231.87
30,2021-03-30,CAT,Industrials,231.2,234.72,231.14,233.08
31,2021-03-29,CAT,Industrials,228.1,231.85,227.7141,230.22
32,2021-03-26,CAT,Industrials,226.35,229.84,225.21,229.5
33,2021-03-25,CAT,Industrials,219.23,224.97,216.0358,224.25
34,2021-03-24,CAT,Industrials,220.51,227.11,220.51,221.23
35,2021-03-23,CAT,Industrials,222.06,225.24,216.65,218.25
36,2021-03-22,CAT,Industrials,226.62,227.18,223.57,226.02
37,2021-03-19,CAT,Industrials,228.75,229.65,224.05,225.29
38,2021-03-18,CAT,Industrials,234.0,237.78,229.735,230.68
39,2021-03-17,CAT,Industrials,228.13,234.3,227.13,233.63
40,2021-03-16,CAT,Industrials,227.72,231.21,224.77,226.46
