,date,symbol,sector,open,high,low,close
0,2021-05-12,CHRW,Industrials,98.15,98.75,97.03,97.15
1,2021-05-11,CHRW,Industrials,101.03,101.2,98.02,99.09
2,2021-05-10,CHRW,Industrials,100.0,102.65,99.94,101.73
3,2021-05-07,CHRW,Industrials,98.06,99.78,97.33,99.51
4,2021-05-06,CHRW,Industrials,98.92,99.41,97.15,98.02
5,2021-05-05,CHRW,Industrials,99.39,99.75,97.87,98.87
6,2021-05-04,CHRW,Industrials,99.942,99.942,98.38,99.3
7,2021-05-03,CHRW,Industrials,97.11,100.0,97.11,99.07
8,2021-04-30,CHRW,Industrials,97.47,98.52,96.26,97.08
9,2021-04-29,CHRW,Industrials,93.94,97.44,93.6,97.43
10,2021-04-28,CHRW,Industrials,93.9,95.0,92.0,93.63
11,2021-04-27,CHRW,Industrials,98.2,99.26,96.35,96.59
12,2021-04-26,CHRW,Industrials,100.62,100.7,97.75,98.14
13,2021-04-23,CHRW,Industrials,99.56,100.3,98.84,99.78
14,2021-04-22,CHRW,Industrials,98.78,100.04,98.43,99.17
15,2021-04-21,CHRW,Industrials,99.68,100.58,98.69,98.95
16,2021-04-20,CHRW,Industrials,98.97,99.67,98.33,99.48
17,2021-04-19,CHRW,Industrials,100.56,100.56,98.34,98.64
18,2021-04-16,CHRW,Industrials,101.37,104.35,100.3,100.76
19,2021-04-15,CHRW,Industrials,99.04,101.0299,98.19,100.76
20,2021-04-14,CHRW,Industrials,98.0,98.73,97.42,98.52
21,2021-04-13,CHRW,Industrials,98.8,99.32,97.45,98.21
22,2021-04-12,CHRW,Industrials,97.49,99.14,97.22,99.04
23,2021-04-09,CHRW,Industrials,96.86,97.81,96.54,97.45
24,2021-04-08,CHRW,Industrials,96.07,96.7,95.46,96.51
25,2021-04-07,CHRW,Industrials,97.27,97.76,96.03,96.27
26,2021-04-06,CHRW,Industrials,97.0,98.25,97.0,97.56
27,2021-04-05,CHRW,Industrials,97.97,98.65,97.045,97.68
28,2021-04-01,CHRW,Industrials,95.6,97.49,94.995,97.15
29,2021-03-31,CHRW,Industrials,98.14,98.26,95.08,95.43
30,2021-03-30,CHRW,Industrials,97.5,98.38,97.4,97.81
31,2021-03-29,CHRW,Industrials,97.7,98.9,96.73,97.41
32,2021-03-26,CHRW,Industrials,96.86,97.87,96.5,97.7
33,2021-03-25,CHRW,Industrials,95.62,96.74,94.6,96.28
34,2021-03-24,CHRW,Industrials,95.14,96.64,94.83,95.07
35,2021-03-23,CHRW,Industrials,95.39,96.05,94.66,95.11
36,2021-03-22,CHRW,Industrials,97.28,97.28,94.595,95.59
37,2021-03-19,CHRW,Industrials,96.31,97.37,95.46,96.7
38,2021-03-18,CHRW,Industrials,94.76,97.23,94.76,95.61
39,2021-03-17,CHRW,Industrials,96.68,96.68,94.5,95.18
40,2021-03-16,CHRW,Industrials,96.88,97.18,94.84,96.18
41,2021-03-15,CHRW,Industrials,96.05,97.26,95.97,97.22
42,2021-03-12,CHRW,Industrials,95.0,96.325,94.455,95.92
43,2021-03-11,CHRW,Industrials,94.21,95.06,93.34,94.53
44,2021-03-10,CHRW,Industrials,93.91,94.85,93.59,94.52
45,2021-03-09,CHRW,Industrials,92.77,95.16,92.095,93.61
46,2021-03-08,CHRW,Industrials,94.88,95.365,91.74,91.81
47,2021-03-05,CHRW,Industrials,92.0,94.59,91.43,94.03
48,2021-03-04,CHRW,Industrials,92.88,93.33,91.69,91.99
49,2021-03-03,CHRW,Industrials,92.95,94.93,91.98,92.97
50,2021-03-02,CHRW,Industrials,92.21,94.31,91.95,93.12
51,2021-03-01,CHRW,Industrials,91.47,93.09,91.35,92.22
52,2021-02-26,CHRW,Industrials,90.0,92.08,89.79,90.85
53,2021-02-25,CHRW,Industrials,90.33,91.23,89.755,90.0
54,2021-02-24,CHRW,Industrials,89.66,90.5,89.23,90.03
55,2021-02-23,CHRW,Industrials,89.78,90.73,88.36,89.78
56,2021-02-22,CHRW,Industrials,90.73,90.73,89.38,89.82
57,2021-02-19,CHRW,Industrials,91.42,92.19,90.54,90.78
58,2021-02-18,CHRW,Industrials,89.51,91.44,89.335,91.24
59,2021-02-17,CHRW,Industrials,88.2503,90.04,87.3321,89.95
60,2021-02-16,CHRW,Industrials,91.41,92.0,88.335,88.5
61,2021-02-12,CHRW,Industrials,90.2,91.47,90.14,91.3
62,2021-02-11,CHRW,Industrials,91.53,91.68,89.07,90.28
63,2021-02-10,CHRW,Industrials,92.0,92.3,89.92,90.96
64,2021-02-09,CHRW,Industrials,90.28,91.92,89.69,91.87
65,2021-02-08,CHRW,Industrials,89.2,90.09,88.85,89.97
66,2021-02-05,CHRW,Industrials,87.38,88.86,86.88,88.84
67,2021-02-04,CHRW,Industrials,87.4,87.99,86.24,87.31
68,2021-02-03,CHRW,Industrials,86.61,87.52,86.28,86.93
69,2021-02-02,CHRW,Industrials,87.54,88.8,86.39,86.62
70,2021-02-01,CHRW,Industrials,85.56,86.82,85.3,86.43
71,2021-01-29,CHRW,Industrials,88.98,89.41,84.765,85.56
72,2021-01-28,CHRW,Industrials,92.95,93.525,88.91,88.99
73,2021-01-27,CHRW,Industrials,91.66,95.3983,89.06,91.52
74,2021-01-26,CHRW,Industrials,99.17,100.46,96.6,97.5
75,2021-01-25,CHRW,Industrials,97.83,99.99,97.68,99.32
76,2021-01-22,CHRW,Industrials,96.55,98.37,96.51,97.8
77,2021-01-21,CHRW,Industrials,98.44,99.9,97.94,97.95
78,2021-01-20,CHRW,Industrials,97.5,100.5,96.58,98.8
79,2021-01-19,CHRW,Industrials,96.06,97.99,95.56,96.44
80,2021-01-15,CHRW,Industrials,97.34,97.895,94.69,95.21
81,2021-01-14,CHRW,Industrials,96.61,97.7129,95.84,97.37
82,2021-01-13,CHRW,Industrials,97.86,98.025,95.48,95.71
83,2021-01-12,CHRW,Industrials,96.36,98.18,95.25,97.9
84,2021-01-11,CHRW,Industrials,97.18,97.2,94.46,96.53
85,2021-01-08,CHRW,Industrials,96.27,98.65,96.11,97.36
86,2021-01-07,CHRW,Industrials,95.49,96.33,94.44,96.16
87,2021-01-06,CHRW,Industrials,92.15,95.4,92.15,95.24
88,2021-01-05,CHRW,Industrials,91.93,93.58,90.58,91.5
89,2021-01-04,CHRW,Industrials,93.65,93.97,91.8,92.37
90,2020-12-31,CHRW,Industrials,93.24,93.91,92.76,93.87
91,2020-12-30,CHRW,Industrials,93.82,94.4,92.77,93.04
92,2020-12-29,CHRW,Industrials,94.88,95.46,93.3,93.72
93,2020-12-28,CHRW,Industrials,94.43,95.565,94.26,94.67
94,2020-12-24,CHRW,Industrials,94.72,95.0,93.92,94.66
95,2020-12-23,CHRW,Industrials,94.19,95.2,93.26,93.79
96,2020-12-22,CHRW,Industrials,94.13,94.99,93.12,94.39
97,2020-12-21,CHRW,Industrials,91.95,94.42,91.22,93.48
98,2020-12-18,CHRW,Industrials,91.98,92.94,91.23,92.6
99,2020-12-17,CHRW,Industrials,91.94,92.84,91.35,92.29
100,2020-12-16,CHRW,Industrials,90.65,91.87,90.45,91.44
101,2020-12-15,CHRW,Industrials,92.02,92.86,90.21,90.25
102,2020-12-14,CHRW,Industrials,94.08,94.35,91.34,91.78
103,2020-12-11,CHRW,Industrials,92.63,93.66,92.21,93.17
104,2020-12-10,CHRW,Industrials,93.99,94.93,92.38,92.72
105,2020-12-09,CHRW,Industrials,94.31,95.14,93.95,95.08
106,2020-12-08,CHRW,Industrials,93.05,94.66,92.96,94.28
107,2020-12-07,CHRW,Industrials,92.85,93.26,92.53,93.22
108,2020-12-04,CHRW,Industrials,92.66,93.35,92.01,92.93
109,2020-12-03,CHRW,Industrials,92.11,93.53,92.11,92.53
110,2020-12-02,CHRW,Industrials,93.56,93.815,91.25,92.3
111,2020-12-01,CHRW,Industrials,94.02,95.4,93.56,93.83
112,2020-11-30,CHRW,Industrials,93.04,94.04,92.63,93.97
113,2020-11-27,CHRW,Industrials,92.84,93.25,91.8,92.72
114,2020-11-25,CHRW,Industrials,94.01,94.205,92.79,93.03
115,2020-11-24,CHRW,Industrials,92.87,95.06,92.17,94.42
116,2020-11-23,CHRW,Industrials,92.4,93.52,91.185,92.17
117,2020-11-20,CHRW,Industrials,94.69,94.86,91.97,92.59
118,2020-11-19,CHRW,Industrials,92.4,94.02,91.37,93.77
119,2020-11-18,CHRW,Industrials,93.22,93.97,92.24,92.88
120,2020-11-17,CHRW,Industrials,92.81,93.96,91.3,93.55
121,2020-11-16,CHRW,Industrials,93.15,93.9899,91.67,92.92
122,2020-11-13,CHRW,Industrials,91.19,92.62,91.18,91.97
123,2020-11-12,CHRW,Industrials,93.46,93.67,89.81,90.54
124,2020-11-11,CHRW,Industrials,93.8,94.545,91.99,93.33
125,2020-11-10,CHRW,Industrials,93.45,94.72,92.5,93.89
126,2020-11-09,CHRW,Industrials,95.23,95.99,91.4845,93.92
127,2020-11-06,CHRW,Industrials,88.84,90.97,88.03,90.62
128,2020-11-05,CHRW,Industrials,89.68,89.93,87.97,88.8
129,2020-11-04,CHRW,Industrials,89.13,90.76,88.01,88.11
130,2020-11-03,CHRW,Industrials,88.5,89.6,87.53,89.22
131,2020-11-02,CHRW,Industrials,89.97,90.04,86.78,87.34
132,2020-10-30,CHRW,Industrials,89.62,90.0,86.8,88.43
133,2020-10-29,CHRW,Industrials,88.01,91.37,88.0,90.08
134,2020-10-28,CHRW,Industrials,94.43,95.03,88.35,88.58
135,2020-10-27,CHRW,Industrials,99.41,101.6075,99.255,100.03
136,2020-10-26,CHRW,Industrials,100.32,100.43,98.09,99.59
137,2020-10-23,CHRW,Industrials,99.8,100.74,99.17,100.54
