,date,symbol,sector,open,high,low,close
0,2021-05-12,CI,Health Care,261.1,262.16,258.53,258.72
1,2021-05-11,CI,Health Care,265.68,266.11,257.93,260.86
2,2021-05-10,CI,Health Care,262.9,272.81,262.17,266.91
3,2021-05-07,CI,Health Care,256.93,263.67,256.02,261.18
4,2021-05-06,CI,Health Care,258.42,259.81,254.88,256.93
5,2021-05-05,CI,Health Care,258.83,259.98,257.63,258.42
6,2021-05-04,CI,Health Care,252.31,259.51,251.35,259.5
7,2021-05-03,CI,Health Care,250.5,254.31,250.0,252.05
8,2021-04-30,CI,Health Care,249.26,249.745,246.16,249.01
9,2021-04-29,CI,Health Care,249.11,251.42,248.1536,250.24
10,2021-04-28,CI,Health Care,251.08,252.36,246.675,247.14
11,2021-04-27,CI,Health Care,248.74,250.965,247.455,250.44
12,2021-04-26,CI,Health Care,252.3,253.39,248.75,249.38
13,2021-04-23,CI,Health Care,253.0,253.495,249.05,251.8
14,2021-04-22,CI,Health Care,252.0,252.97,248.01,252.54
15,2021-04-21,CI,Health Care,255.0,256.74,252.5188,253.0
16,2021-04-20,CI,Health Care,252.12,254.5,251.17,253.37
17,2021-04-19,CI,Health Care,253.5,254.56,251.27,252.49
18,2021-04-16,CI,Health Care,254.77,255.41,250.4,252.57
19,2021-04-15,CI,Health Care,249.54,255.89,249.44,254.36
20,2021-04-14,CI,Health Care,245.61,250.32,245.61,249.44
21,2021-04-13,CI,Health Care,246.07,247.66,245.2,245.26
22,2021-04-12,CI,Health Care,245.64,248.5,245.57,245.82
23,2021-04-09,CI,Health Care,239.77,246.15,238.35,246.1
24,2021-04-08,CI,Health Care,239.58,240.97,237.87,238.25
25,2021-04-07,CI,Health Care,240.24,241.99,239.15,240.22
26,2021-04-06,CI,Health Care,242.73,244.1899,238.71,239.13
27,2021-04-05,CI,Health Care,243.42,245.21,241.5301,243.34
28,2021-04-01,CI,Health Care,242.35,243.55,238.17,241.83
29,2021-03-31,CI,Health Care,244.59,246.305,241.355,241.74
30,2021-03-30,CI,Health Care,246.68,248.52,243.69,245.8
31,2021-03-29,CI,Health Care,242.16,248.84,242.02,247.55
32,2021-03-26,CI,Health Care,243.18,244.0,240.36,243.78
33,2021-03-25,CI,Health Care,240.28,241.75,235.66,241.39
34,2021-03-24,CI,Health Care,238.99,244.02,238.57,240.54
35,2021-03-23,CI,Health Care,242.6,244.133,237.4,238.44
36,2021-03-22,CI,Health Care,243.26,243.37,239.0,242.4
