,date,symbol,sector,open,high,low,close
0,2021-05-12,CMG,Consumer Discretionary,1380.3,1384.96,1338.01,1342.02
1,2021-05-11,CMG,Consumer Discretionary,1374.51,1401.0,1360.0101,1393.25
2,2021-05-10,CMG,Consumer Discretionary,1405.0,1410.0,1390.32,1391.84
3,2021-05-07,CMG,Consumer Discretionary,1422.98,1440.89,1420.94,1426.05
4,2021-05-06,CMG,Consumer Discretionary,1425.69,1427.83,1392.21,1411.41
5,2021-05-05,CMG,Consumer Discretionary,1459.29,1432.1048,1420.47,1426.5
6,2021-05-04,CMG,Consumer Discretionary,1466.0,1466.0,1432.3,1450.0
7,2021-05-03,CMG,Consumer Discretionary,1500.0,1500.0,1470.0,1471.04
8,2021-04-30,CMG,Consumer Discretionary,1480.0,1501.6499,1479.0,1492.03
9,2021-04-29,CMG,Consumer Discretionary,1470.95,1489.71,1459.11,1484.11
10,2021-04-28,CMG,Consumer Discretionary,1477.75,1481.9043,1459.921,1476.16
11,2021-04-27,CMG,Consumer Discretionary,1479.26,1494.61,1465.54,1468.87
12,2021-04-26,CMG,Consumer Discretionary,1468.26,1475.5,1453.49,1470.79
13,2021-04-23,CMG,Consumer Discretionary,1482.0,1485.05,1461.0,1468.53
14,2021-04-22,CMG,Consumer Discretionary,1527.74,1538.99,1464.0698,1480.0
15,2021-04-21,CMG,Consumer Discretionary,1533.05,1535.81,1497.05,1507.62
16,2021-04-20,CMG,Consumer Discretionary,1554.99,1554.99,1513.0,1532.09
17,2021-04-19,CMG,Consumer Discretionary,1525.81,1560.83,1523.35,1550.01
18,2021-04-16,CMG,Consumer Discretionary,1550.0,1558.8799,1526.795,1535.04
19,2021-04-15,CMG,Consumer Discretionary,1527.0,1542.39,1520.0,1542.39
20,2021-04-14,CMG,Consumer Discretionary,1535.95,1544.0,1510.35,1516.66
21,2021-04-13,CMG,Consumer Discretionary,1549.75,1559.33,1518.205,1537.74
22,2021-04-12,CMG,Consumer Discretionary,1555.31,1579.52,1529.16,1539.5
23,2021-04-09,CMG,Consumer Discretionary,1518.72,1533.76,1503.32,1531.42
24,2021-04-08,CMG,Consumer Discretionary,1514.83,1530.0,1501.0,1524.05
25,2021-04-07,CMG,Consumer Discretionary,1503.68,1546.74,1494.01,1500.02
26,2021-04-06,CMG,Consumer Discretionary,1459.05,1499.0,1457.05,1487.48
27,2021-04-05,CMG,Consumer Discretionary,1455.86,1459.99,1441.83,1452.09
28,2021-04-01,CMG,Consumer Discretionary,1438.15,1454.43,1432.4,1438.46
29,2021-03-31,CMG,Consumer Discretionary,1420.98,1440.775,1415.26,1420.82
30,2021-03-30,CMG,Consumer Discretionary,1412.0,1427.5,1401.72,1406.33
31,2021-03-29,CMG,Consumer Discretionary,1435.0,1449.56,1416.87,1424.61
32,2021-03-26,CMG,Consumer Discretionary,1436.38,1447.42,1407.5,1445.48
33,2021-03-25,CMG,Consumer Discretionary,1414.55,1436.72,1406.8,1431.83
34,2021-03-24,CMG,Consumer Discretionary,1458.17,1459.1299,1419.89,1422.96
35,2021-03-23,CMG,Consumer Discretionary,1444.51,1475.0,1444.51,1451.29
36,2021-03-22,CMG,Consumer Discretionary,1437.47,1460.34,1428.79,1444.33
37,2021-03-19,CMG,Consumer Discretionary,1437.96,1443.37,1419.64,1421.2
38,2021-03-18,CMG,Consumer Discretionary,1459.93,1466.0,1425.45,1429.36
39,2021-03-17,CMG,Consumer Discretionary,1470.0,1482.48,1445.25,1478.6
40,2021-03-16,CMG,Consumer Discretionary,1478.0,1511.0,1473.0291,1482.69
41,2021-03-15,CMG,Consumer Discretionary,1457.0,1491.38,1449.09,1485.61
42,2021-03-12,CMG,Consumer Discretionary,1448.8,1458.56,1432.0,1453.24
43,2021-03-11,CMG,Consumer Discretionary,1439.99,1468.43,1436.315,1462.06
44,2021-03-10,CMG,Consumer Discretionary,1429.9,1453.44,1404.46,1416.67
45,2021-03-09,CMG,Consumer Discretionary,1372.9,1433.96,1369.97,1427.61
46,2021-03-08,CMG,Consumer Discretionary,1332.0,1361.89,1306.24,1335.0
47,2021-03-05,CMG,Consumer Discretionary,1358.85,1358.85,1256.265,1332.28
48,2021-03-04,CMG,Consumer Discretionary,1402.71,1408.295,1322.4,1351.12
49,2021-03-03,CMG,Consumer Discretionary,1466.77,1477.625,1405.39,1408.22
50,2021-03-02,CMG,Consumer Discretionary,1493.41,1506.0,1472.34,1475.57
51,2021-03-01,CMG,Consumer Discretionary,1444.83,1489.99,1444.83,1484.95
52,2021-02-26,CMG,Consumer Discretionary,1429.43,1460.04,1411.85,1442.0
53,2021-02-25,CMG,Consumer Discretionary,1446.75,1447.96,1395.285,1410.74
54,2021-02-24,CMG,Consumer Discretionary,1417.73,1450.82,1398.9,1449.06
55,2021-02-23,CMG,Consumer Discretionary,1410.81,1422.99,1350.0,1416.24
56,2021-02-22,CMG,Consumer Discretionary,1457.4,1460.13,1429.17,1430.54
57,2021-02-19,CMG,Consumer Discretionary,1468.6,1483.77,1457.0101,1473.09
58,2021-02-18,CMG,Consumer Discretionary,1448.16,1466.04,1444.0,1456.31
59,2021-02-17,CMG,Consumer Discretionary,1476.46,1477.52,1442.94,1459.5
60,2021-02-16,CMG,Consumer Discretionary,1531.0,1531.0,1476.46,1484.0
61,2021-02-12,CMG,Consumer Discretionary,1540.19,1543.3568,1522.0,1527.7
62,2021-02-11,CMG,Consumer Discretionary,1543.3,1548.525,1531.9,1543.11
63,2021-02-10,CMG,Consumer Discretionary,1560.2,1560.92,1525.25,1544.66
64,2021-02-09,CMG,Consumer Discretionary,1501.25,1564.91,1501.25,1550.49
65,2021-02-08,CMG,Consumer Discretionary,1507.77,1511.9,1491.7,1504.0
66,2021-02-05,CMG,Consumer Discretionary,1487.22,1513.6,1477.22,1506.88
67,2021-02-04,CMG,Consumer Discretionary,1506.0,1510.51,1474.06,1479.55
68,2021-02-03,CMG,Consumer Discretionary,1495.02,1529.5,1461.295,1499.99
69,2021-02-02,CMG,Consumer Discretionary,1525.06,1553.55,1521.6,1523.05
70,2021-02-01,CMG,Consumer Discretionary,1495.1,1516.69,1479.54,1509.02
71,2021-01-29,CMG,Consumer Discretionary,1474.42,1502.4798,1471.14,1480.0
72,2021-01-28,CMG,Consumer Discretionary,1471.12,1501.73,1465.88,1480.54
73,2021-01-27,CMG,Consumer Discretionary,1480.0,1498.22,1460.0,1466.36
74,2021-01-26,CMG,Consumer Discretionary,1493.75,1497.05,1481.4438,1489.25
