,date,symbol,sector,open,high,low,close
0,2021-05-12,CMI,Industrials,265.86,266.8,257.14,257.67
1,2021-05-11,CMI,Industrials,268.74,269.0,261.79,264.78
2,2021-05-10,CMI,Industrials,268.63,273.65,268.05,270.74
3,2021-05-07,CMI,Industrials,264.59,266.96,261.61,266.39
4,2021-05-06,CMI,Industrials,262.57,265.93,261.62,265.93
5,2021-05-05,CMI,Industrials,256.25,262.42,259.46,260.97
6,2021-05-04,CMI,Industrials,252.74,256.77,247.03,255.61
7,2021-05-03,CMI,Industrials,254.0,255.56,251.7,253.62
8,2021-04-30,CMI,Industrials,255.55,255.55,251.82,252.04
9,2021-04-29,CMI,Industrials,256.13,256.86,253.62,256.78
10,2021-04-28,CMI,Industrials,257.89,259.09,254.37,255.38
11,2021-04-27,CMI,Industrials,258.71,260.07,255.71,257.83
12,2021-04-26,CMI,Industrials,263.25,264.81,258.93,259.05
13,2021-04-23,CMI,Industrials,261.36,263.95,261.36,262.47
14,2021-04-22,CMI,Industrials,264.23,264.67,260.91,261.12
15,2021-04-21,CMI,Industrials,259.1,263.67,257.11,263.07
16,2021-04-20,CMI,Industrials,262.81,262.81,258.39,259.98
17,2021-04-19,CMI,Industrials,263.76,264.43,260.45,262.81
18,2021-04-16,CMI,Industrials,264.61,266.05,261.57,264.35
19,2021-04-15,CMI,Industrials,262.34,264.41,260.38,261.96
20,2021-04-14,CMI,Industrials,262.0,264.3,260.29,261.42
21,2021-04-13,CMI,Industrials,261.23,261.23,256.95,260.42
22,2021-04-12,CMI,Industrials,260.22,261.51,258.11,261.23
23,2021-04-09,CMI,Industrials,258.78,259.93,256.34,259.38
24,2021-04-08,CMI,Industrials,257.53,258.4399,255.22,256.94
25,2021-04-07,CMI,Industrials,260.22,261.7148,256.35,258.17
26,2021-04-06,CMI,Industrials,261.82,265.96,259.685,260.16
27,2021-04-05,CMI,Industrials,260.29,262.13,258.8,261.52
28,2021-04-01,CMI,Industrials,259.4,260.07,256.2,257.72
29,2021-03-31,CMI,Industrials,264.64,265.96,259.08,259.11
30,2021-03-30,CMI,Industrials,260.87,265.9,260.87,263.52
31,2021-03-29,CMI,Industrials,260.0,265.0,260.0,260.84
32,2021-03-26,CMI,Industrials,262.99,263.41,259.4862,262.42
33,2021-03-25,CMI,Industrials,257.93,262.13,253.54,261.18
34,2021-03-24,CMI,Industrials,257.19,261.0,257.19,257.7
35,2021-03-23,CMI,Industrials,259.26,262.47,254.64,255.5
36,2021-03-22,CMI,Industrials,266.42,266.78,261.03,263.48
37,2021-03-19,CMI,Industrials,267.2,268.94,262.54,265.9
38,2021-03-18,CMI,Industrials,269.7,274.76,267.25,268.26
39,2021-03-17,CMI,Industrials,268.32,270.67,265.95,269.64
40,2021-03-16,CMI,Industrials,276.06,277.09,265.27,266.92
41,2021-03-15,CMI,Industrials,273.37,276.0,271.94,275.99
42,2021-03-12,CMI,Industrials,270.39,274.48,269.98,273.92
43,2021-03-11,CMI,Industrials,272.81,273.81,269.43,269.8
