,date,symbol,sector,open,high,low,close
0,2021-05-12,CNC,Health Care,67.85,70.14,67.66,69.64
1,2021-05-11,CNC,Health Care,70.01,70.4,67.735,68.06
2,2021-05-10,CNC,Health Care,70.11,71.04,69.42,69.56
3,2021-05-07,CNC,Health Care,65.28,70.51,65.04,70.45
4,2021-05-06,CNC,Health Care,65.65,65.87,64.13,65.19
5,2021-05-05,CNC,Health Care,64.17,65.62,64.75,65.29
6,2021-05-04,CNC,Health Care,62.13,64.58,62.1,64.56
7,2021-05-03,CNC,Health Care,61.45,63.225,61.45,62.42
8,2021-04-30,CNC,Health Care,60.42,61.87,60.13,61.74
9,2021-04-29,CNC,Health Care,59.9,60.92,59.57,60.59
10,2021-04-28,CNC,Health Care,61.46,61.46,59.33,59.49
11,2021-04-27,CNC,Health Care,63.93,64.49,61.0,61.31
12,2021-04-26,CNC,Health Care,65.5,66.68,65.37,66.0
13,2021-04-23,CNC,Health Care,64.53,65.555,64.28,65.37
14,2021-04-22,CNC,Health Care,65.24,65.31,63.87,64.64
15,2021-04-21,CNC,Health Care,65.7,66.1,65.02,65.49
16,2021-04-20,CNC,Health Care,65.35,66.1195,65.24,65.43
17,2021-04-19,CNC,Health Care,64.99,65.75,64.62,65.38
18,2021-04-16,CNC,Health Care,64.47,65.15,64.065,64.96
19,2021-04-15,CNC,Health Care,62.64,64.47,62.49,64.24
20,2021-04-14,CNC,Health Care,62.4,62.885,62.07,62.58
21,2021-04-13,CNC,Health Care,61.71,62.925,61.71,62.23
22,2021-04-12,CNC,Health Care,62.75,63.57,62.27,62.43
23,2021-04-09,CNC,Health Care,61.95,62.66,61.5,62.61
24,2021-04-08,CNC,Health Care,62.0,62.4,61.295,61.54
25,2021-04-07,CNC,Health Care,62.81,62.95,62.25,62.62
26,2021-04-06,CNC,Health Care,63.95,63.95,62.4,62.64
27,2021-04-05,CNC,Health Care,63.84,64.607,63.67,63.96
28,2021-04-01,CNC,Health Care,63.84,64.03,62.38,63.25
29,2021-03-31,CNC,Health Care,64.81,65.3,63.79,63.91
