,date,symbol,sector,open,high,low,close
0,2021-05-12,COO,Health Care,388.6,390.11,384.52,384.72
1,2021-05-11,COO,Health Care,397.66,399.91,387.79,388.31
2,2021-05-10,COO,Health Care,404.34,407.79,401.82,401.82
3,2021-05-07,COO,Health Care,404.9,411.76,404.3,404.34
4,2021-05-06,COO,Health Care,399.2,405.82,397.0825,405.5
5,2021-05-05,COO,Health Care,411.82,402.3,398.55,400.88
6,2021-05-04,COO,Health Care,411.48,413.7,408.37,411.6
7,2021-05-03,COO,Health Care,412.78,415.96,408.22,412.07
8,2021-04-30,COO,Health Care,407.61,413.81,407.11,410.89
9,2021-04-29,COO,Health Care,409.19,410.13,405.01,407.59
10,2021-04-28,COO,Health Care,407.99,410.73,403.51,407.06
11,2021-04-27,COO,Health Care,408.0,412.44,404.76,407.42
12,2021-04-26,COO,Health Care,411.19,414.09,408.255,409.65
13,2021-04-23,COO,Health Care,407.69,414.37,406.095,411.31
14,2021-04-22,COO,Health Care,405.59,410.755,403.62,405.28
15,2021-04-21,COO,Health Care,402.19,405.45,399.23,404.02
16,2021-04-20,COO,Health Care,399.04,403.45,396.925,400.48
17,2021-04-19,COO,Health Care,398.5,401.48,397.2,399.33
18,2021-04-16,COO,Health Care,400.73,403.19,396.745,399.52
19,2021-04-15,COO,Health Care,391.9,400.65,391.39,400.0
20,2021-04-14,COO,Health Care,390.55,393.89,387.75,391.05
21,2021-04-13,COO,Health Care,387.11,392.0,385.6435,390.89
22,2021-04-12,COO,Health Care,386.06,388.79,385.67,388.02
23,2021-04-09,COO,Health Care,382.88,386.05,380.11,386.05
24,2021-04-08,COO,Health Care,384.09,387.9,380.46,381.02
25,2021-04-07,COO,Health Care,386.44,388.96,381.07,382.69
26,2021-04-06,COO,Health Care,388.92,390.845,387.21,389.29
27,2021-04-05,COO,Health Care,388.73,389.32,386.1926,387.74
28,2021-04-01,COO,Health Care,383.58,387.41,380.995,385.49
29,2021-03-31,COO,Health Care,386.09,390.14,381.02,384.09
30,2021-03-30,COO,Health Care,382.49,386.05,382.23,384.89
31,2021-03-29,COO,Health Care,381.28,386.446,379.5,384.62
32,2021-03-26,COO,Health Care,382.98,383.89,379.48,383.85
33,2021-03-25,COO,Health Care,378.63,383.05,375.68,382.42
34,2021-03-24,COO,Health Care,383.34,385.425,378.07,380.31
35,2021-03-23,COO,Health Care,387.26,389.84,382.13,383.34
36,2021-03-22,COO,Health Care,384.02,388.23,380.11,386.37
37,2021-03-19,COO,Health Care,377.68,386.29,377.68,384.02
38,2021-03-18,COO,Health Care,375.59,385.44,375.59,378.78
39,2021-03-17,COO,Health Care,379.14,381.54,374.49,375.72
40,2021-03-16,COO,Health Care,386.56,393.33,380.89,382.19
41,2021-03-15,COO,Health Care,376.3,387.54,376.3,387.03
42,2021-03-12,COO,Health Care,379.55,381.16,374.09,376.39
43,2021-03-11,COO,Health Care,383.5,390.985,378.8,379.62
44,2021-03-10,COO,Health Care,383.71,386.75,381.44,382.95
45,2021-03-09,COO,Health Care,386.0,391.69,382.12,382.38
46,2021-03-08,COO,Health Care,386.0,394.49,383.8,385.48
47,2021-03-05,COO,Health Care,393.86,401.92,376.55,388.17
48,2021-03-04,COO,Health Care,384.81,384.81,368.05,371.56
49,2021-03-03,COO,Health Care,386.13,387.52,380.215,381.11
50,2021-03-02,COO,Health Care,389.79,389.79,384.53,387.92
51,2021-03-01,COO,Health Care,387.76,396.05,386.5,390.85
52,2021-02-26,COO,Health Care,393.89,393.89,385.71,386.13
53,2021-02-25,COO,Health Care,392.91,394.86,387.71,392.13
54,2021-02-24,COO,Health Care,391.59,396.86,391.31,392.57
55,2021-02-23,COO,Health Care,391.67,394.41,388.745,391.44
56,2021-02-22,COO,Health Care,387.65,391.66,385.62,390.67
57,2021-02-19,COO,Health Care,389.86,393.43,383.04,388.51
58,2021-02-18,COO,Health Care,383.82,389.605,381.105,388.75
59,2021-02-17,COO,Health Care,384.53,387.33,380.25,384.65
60,2021-02-16,COO,Health Care,388.33,391.86,385.41,386.46
61,2021-02-12,COO,Health Care,382.11,386.5,380.65,385.4
