,date,symbol,sector,open,high,low,close
0,2021-05-12,CPRT,Industrials,118.83,120.13,117.6,118.1
1,2021-05-11,CPRT,Industrials,123.26,123.6,120.605,121.04
2,2021-05-10,CPRT,Industrials,123.98,125.23,121.66,123.11
3,2021-05-07,CPRT,Industrials,122.79,125.07,122.49,124.56
4,2021-05-06,CPRT,Industrials,123.05,123.05,120.73,122.54
5,2021-05-05,CPRT,Industrials,123.96,124.51,122.435,122.61
6,2021-05-04,CPRT,Industrials,123.99,124.03,121.67,123.51
7,2021-05-03,CPRT,Industrials,125.37,125.565,124.28,124.5
8,2021-04-30,CPRT,Industrials,124.65,125.3,124.14,124.51
9,2021-04-29,CPRT,Industrials,123.99,126.1773,123.48,125.67
10,2021-04-28,CPRT,Industrials,123.6,123.81,122.67,123.28
11,2021-04-27,CPRT,Industrials,123.25,124.54,122.92,123.97
12,2021-04-26,CPRT,Industrials,124.94,124.94,122.35,123.45
13,2021-04-23,CPRT,Industrials,123.63,125.435,123.625,124.68
14,2021-04-22,CPRT,Industrials,122.6,124.65,121.9,122.89
15,2021-04-21,CPRT,Industrials,121.25,123.15,120.83,122.55
16,2021-04-20,CPRT,Industrials,122.0,122.97,120.7743,121.29
17,2021-04-19,CPRT,Industrials,122.82,123.01,121.53,121.76
18,2021-04-16,CPRT,Industrials,122.38,123.92,121.55,123.48
19,2021-04-15,CPRT,Industrials,119.77,122.55,119.52,121.68
20,2021-04-14,CPRT,Industrials,117.63,119.98,117.4097,118.97
21,2021-04-13,CPRT,Industrials,117.9,119.24,117.04,117.53
22,2021-04-12,CPRT,Industrials,117.6,118.6,117.37,118.31
23,2021-04-09,CPRT,Industrials,115.09,118.31,114.8,118.03
24,2021-04-08,CPRT,Industrials,114.13,115.27,114.0,114.94
25,2021-04-07,CPRT,Industrials,112.61,113.75,111.34,113.42
26,2021-04-06,CPRT,Industrials,113.55,114.42,112.61,112.85
27,2021-04-05,CPRT,Industrials,113.37,113.85,112.32,113.75
28,2021-04-01,CPRT,Industrials,109.72,112.81,108.86,112.61
29,2021-03-31,CPRT,Industrials,106.65,109.765,105.9,108.61
30,2021-03-30,CPRT,Industrials,105.74,106.54,104.79,106.25
31,2021-03-29,CPRT,Industrials,107.49,107.99,105.354,106.12
32,2021-03-26,CPRT,Industrials,104.75,107.57,104.75,107.43
33,2021-03-25,CPRT,Industrials,106.07,106.325,104.085,105.51
34,2021-03-24,CPRT,Industrials,108.21,108.35,105.88,105.9
35,2021-03-23,CPRT,Industrials,108.96,110.5,107.15,107.39
36,2021-03-22,CPRT,Industrials,106.4,110.145,106.34,109.79
37,2021-03-19,CPRT,Industrials,109.0,109.36,105.87,106.595
38,2021-03-18,CPRT,Industrials,109.07,111.6,108.7,109.01
39,2021-03-17,CPRT,Industrials,108.73,111.04,107.51,110.53
40,2021-03-16,CPRT,Industrials,111.94,112.32,108.65,109.03
41,2021-03-15,CPRT,Industrials,109.87,110.865,109.52,110.84
42,2021-03-12,CPRT,Industrials,109.78,110.66,108.47,109.95
43,2021-03-11,CPRT,Industrials,109.05,110.6496,109.05,110.32
44,2021-03-10,CPRT,Industrials,107.5492,109.29,107.29,108.67
45,2021-03-09,CPRT,Industrials,105.89,107.3557,105.19,106.31
46,2021-03-08,CPRT,Industrials,105.3,107.32,103.9,103.99
47,2021-03-05,CPRT,Industrials,104.98,106.62,101.92,106.39
48,2021-03-04,CPRT,Industrials,106.65,108.39,103.89,104.11
49,2021-03-03,CPRT,Industrials,108.8,109.47,106.79,107.01
50,2021-03-02,CPRT,Industrials,110.13,110.78,108.38,109.57
51,2021-03-01,CPRT,Industrials,110.09,110.745,108.73,109.82
52,2021-02-26,CPRT,Industrials,107.47,110.13,106.84,109.16
53,2021-02-25,CPRT,Industrials,109.79,111.09,106.28,106.92
54,2021-02-24,CPRT,Industrials,109.96,112.42,108.855,110.56
55,2021-02-23,CPRT,Industrials,112.16,113.1,109.11,111.21
56,2021-02-22,CPRT,Industrials,116.22,116.23,111.875,112.53
57,2021-02-19,CPRT,Industrials,116.39,118.955,116.1,117.07
58,2021-02-18,CPRT,Industrials,117.63,119.04,116.92,118.77
