,date,symbol,sector,open,high,low,close
0,2021-05-12,CSX,Industrials,100.94,101.5,99.49,99.64
1,2021-05-11,CSX,Industrials,102.83,102.88,101.32,101.54
2,2021-05-10,CSX,Industrials,103.63,104.87,103.1,103.16
3,2021-05-07,CSX,Industrials,102.34,103.53,101.86,103.13
4,2021-05-06,CSX,Industrials,101.83,102.61,101.565,102.56
5,2021-05-05,CSX,Industrials,101.95,102.36,101.0,101.2
6,2021-05-04,CSX,Industrials,101.08,102.04,100.88,101.65
7,2021-05-03,CSX,Industrials,101.54,102.08,101.24,101.38
8,2021-04-30,CSX,Industrials,101.07,101.77,100.545,100.75
9,2021-04-29,CSX,Industrials,102.0,102.0,99.89,101.19
10,2021-04-28,CSX,Industrials,101.59,102.495,101.35,101.5
11,2021-04-27,CSX,Industrials,102.1,102.29,101.4,101.92
12,2021-04-26,CSX,Industrials,103.03,103.64,102.2,102.32
13,2021-04-23,CSX,Industrials,101.8,103.615,101.46,103.11
14,2021-04-22,CSX,Industrials,101.72,103.74,101.3001,101.82
15,2021-04-21,CSX,Industrials,98.933,103.36,98.77,102.69
16,2021-04-20,CSX,Industrials,100.17,101.35,98.07,98.45
17,2021-04-19,CSX,Industrials,98.4,98.85,97.97,98.71
18,2021-04-16,CSX,Industrials,99.65,99.75,98.18,98.64
19,2021-04-15,CSX,Industrials,98.71,99.34,98.31,98.87
20,2021-04-14,CSX,Industrials,98.0,98.57,97.64,98.36
21,2021-04-13,CSX,Industrials,98.08,98.46,97.19,97.8
22,2021-04-12,CSX,Industrials,97.64,98.78,97.1,98.61
23,2021-04-09,CSX,Industrials,96.85,98.49,96.65,98.29
24,2021-04-08,CSX,Industrials,97.2,97.2,96.34,96.48
25,2021-04-07,CSX,Industrials,97.59,97.63,96.4788,96.95
26,2021-04-06,CSX,Industrials,98.32,98.52,97.07,97.11
27,2021-04-05,CSX,Industrials,98.14,98.85,97.64,98.57
28,2021-04-01,CSX,Industrials,97.09,97.34,96.35,97.26
29,2021-03-31,CSX,Industrials,95.66,97.09,95.66,96.42
30,2021-03-30,CSX,Industrials,96.01,97.3,95.96,96.37
31,2021-03-29,CSX,Industrials,97.93,98.085,96.04,96.61
32,2021-03-26,CSX,Industrials,95.73,97.73,95.39,97.66
33,2021-03-25,CSX,Industrials,93.97,95.83,93.02,95.54
34,2021-03-24,CSX,Industrials,93.1884,95.28,93.02,94.17
35,2021-03-23,CSX,Industrials,93.47,94.89,92.61,92.92
36,2021-03-22,CSX,Industrials,94.81,95.2,93.23,93.78
37,2021-03-19,CSX,Industrials,92.85,93.0,90.48,90.77
38,2021-03-18,CSX,Industrials,91.46,93.17,91.41,92.51
39,2021-03-17,CSX,Industrials,91.79,92.7,91.01,92.14
40,2021-03-16,CSX,Industrials,93.77,93.87,91.44,91.94
41,2021-03-15,CSX,Industrials,93.65,93.98,92.25,93.48
42,2021-03-12,CSX,Industrials,93.58,94.28,93.49,93.85
43,2021-03-11,CSX,Industrials,94.12,94.89,93.65,93.82
44,2021-03-10,CSX,Industrials,93.01,94.16,92.5,93.59
45,2021-03-09,CSX,Industrials,93.32,94.04,92.68,92.74
46,2021-03-08,CSX,Industrials,91.79,94.44,91.6,92.53
47,2021-03-05,CSX,Industrials,89.5442,91.86,87.93,91.63
48,2021-03-04,CSX,Industrials,91.08,91.48,87.15,88.26
49,2021-03-03,CSX,Industrials,92.06,92.23,91.05,91.09
50,2021-03-02,CSX,Industrials,92.94,93.02,91.59,92.16
51,2021-03-01,CSX,Industrials,92.99,93.54,92.4701,92.93
52,2021-02-26,CSX,Industrials,92.55,92.9,91.08,91.55
53,2021-02-25,CSX,Industrials,93.3164,93.34,91.7341,92.19
54,2021-02-24,CSX,Industrials,91.08,93.91,90.97,93.37
55,2021-02-23,CSX,Industrials,92.73,93.71,91.02,91.69
56,2021-02-22,CSX,Industrials,91.58,93.56,91.33,92.58
57,2021-02-19,CSX,Industrials,90.21,92.35,90.09,92.09
58,2021-02-18,CSX,Industrials,89.32,90.49,88.6,90.02
59,2021-02-17,CSX,Industrials,90.3,90.705,89.1,89.99
60,2021-02-16,CSX,Industrials,90.42,91.12,90.09,90.75
61,2021-02-12,CSX,Industrials,88.6,90.41,88.6,90.14
62,2021-02-11,CSX,Industrials,88.94,89.16,87.67,88.75
