,date,symbol,sector,open,high,low,close
0,2021-05-12,CTAS,Industrials,349.48,351.365,343.01,343.76
1,2021-05-11,CTAS,Industrials,356.64,357.59,351.71,354.68
2,2021-05-10,CTAS,Industrials,360.06,364.41,358.57,360.74
3,2021-05-07,CTAS,Industrials,350.26,362.91,350.26,360.67
4,2021-05-06,CTAS,Industrials,351.05,351.05,347.14,350.25
5,2021-05-05,CTAS,Industrials,352.99,354.85,347.02,348.59
6,2021-05-04,CTAS,Industrials,349.6,352.11,348.86,350.78
7,2021-05-03,CTAS,Industrials,348.65,352.55,347.39,350.62
8,2021-04-30,CTAS,Industrials,348.51,348.94,342.11,345.14
9,2021-04-29,CTAS,Industrials,346.36,352.75,346.22,351.06
10,2021-04-28,CTAS,Industrials,350.89,351.53,344.23,345.2
11,2021-04-27,CTAS,Industrials,348.76,352.24,346.95,350.15
12,2021-04-26,CTAS,Industrials,354.09,355.64,348.86,349.36
13,2021-04-23,CTAS,Industrials,350.31,355.65,349.9404,353.72
14,2021-04-22,CTAS,Industrials,346.03,353.0,344.52,348.56
15,2021-04-21,CTAS,Industrials,344.58,348.7,342.9408,347.65
16,2021-04-20,CTAS,Industrials,344.91,346.0,339.21,341.7
17,2021-04-19,CTAS,Industrials,348.9,349.11,341.8404,343.74
18,2021-04-16,CTAS,Industrials,353.18,354.5,349.39,350.52
19,2021-04-15,CTAS,Industrials,353.45,354.15,350.23,351.86
20,2021-04-14,CTAS,Industrials,355.54,356.69,348.69,350.08
21,2021-04-13,CTAS,Industrials,353.4,355.91,351.18,355.48
22,2021-04-12,CTAS,Industrials,353.08,357.13,350.8067,355.17
23,2021-04-09,CTAS,Industrials,346.4,353.34,345.49,352.48
24,2021-04-08,CTAS,Industrials,350.89,352.77,344.91,345.72
25,2021-04-07,CTAS,Industrials,346.81,350.69,345.3205,350.3
26,2021-04-06,CTAS,Industrials,351.59,354.33,347.985,348.87
27,2021-04-05,CTAS,Industrials,350.0,355.505,349.79,354.04
28,2021-04-01,CTAS,Industrials,344.41,351.045,342.775,348.31
29,2021-03-31,CTAS,Industrials,338.7,344.51,337.9,341.31
30,2021-03-30,CTAS,Industrials,339.81,341.04,334.615,337.31
