,date,symbol,sector,open,high,low,close
0,2021-05-12,CVS,Health Care,84.61,85.33,83.24,83.38
1,2021-05-11,CVS,Health Care,85.53,86.01,84.05,84.37
2,2021-05-10,CVS,Health Care,85.61,87.18,85.43,85.85
3,2021-05-07,CVS,Health Care,83.92,85.35,83.71,85.11
4,2021-05-06,CVS,Health Care,82.64,83.75,81.76,83.7
5,2021-05-05,CVS,Health Care,81.5,83.3,82.05,83.04
6,2021-05-04,CVS,Health Care,79.0,81.35,78.75,81.12
7,2021-05-03,CVS,Health Care,77.0,78.22,76.7,77.69
8,2021-04-30,CVS,Health Care,76.44,77.13,76.23,76.4
9,2021-04-29,CVS,Health Care,75.79,76.49,75.67,76.37
10,2021-04-28,CVS,Health Care,75.41,75.9299,75.22,75.4
11,2021-04-27,CVS,Health Care,75.48,75.7,74.97,75.11
12,2021-04-26,CVS,Health Care,76.2,76.3,75.6001,75.75
13,2021-04-23,CVS,Health Care,75.93,76.42,75.27,76.05
14,2021-04-22,CVS,Health Care,76.31,76.44,75.24,76.18
15,2021-04-21,CVS,Health Care,76.22,77.44,76.145,76.7
16,2021-04-20,CVS,Health Care,75.73,76.2,75.343,75.91
17,2021-04-19,CVS,Health Care,76.18,76.72,75.41,75.75
18,2021-04-16,CVS,Health Care,76.15,76.2,75.56,75.88
19,2021-04-15,CVS,Health Care,75.26,76.0,74.64,75.78
20,2021-04-14,CVS,Health Care,74.0,75.18,73.98,75.08
21,2021-04-13,CVS,Health Care,74.06,74.35,73.3,74.02
22,2021-04-12,CVS,Health Care,74.33,74.93,74.25,74.46
23,2021-04-09,CVS,Health Care,74.0,74.1999,73.59,74.07
24,2021-04-08,CVS,Health Care,74.3,74.36,73.61,73.79
25,2021-04-07,CVS,Health Care,74.87,74.92,74.1416,74.49
26,2021-04-06,CVS,Health Care,75.18,75.18,74.38,74.62
27,2021-04-05,CVS,Health Care,74.17,75.4,74.13,75.04
28,2021-04-01,CVS,Health Care,75.23,75.3,73.91,74.3
29,2021-03-31,CVS,Health Care,75.96,76.17,75.2,75.23
30,2021-03-30,CVS,Health Care,76.17,76.81,75.73,76.08
31,2021-03-29,CVS,Health Care,75.7,76.87,75.51,76.3
32,2021-03-26,CVS,Health Care,74.36,76.0,74.12,75.96
33,2021-03-25,CVS,Health Care,73.25,74.25,72.29,74.07
34,2021-03-24,CVS,Health Care,72.12,74.3,71.7,73.21
35,2021-03-23,CVS,Health Care,73.11,73.44,71.8,71.9
36,2021-03-22,CVS,Health Care,72.92,73.57,72.35,73.47
37,2021-03-19,CVS,Health Care,74.5,74.65,73.17,73.18
38,2021-03-18,CVS,Health Care,74.01,75.29,73.81,74.48
39,2021-03-17,CVS,Health Care,73.74,74.39,72.88,74.01
40,2021-03-16,CVS,Health Care,75.0,75.25,74.15,75.07
41,2021-03-15,CVS,Health Care,73.89,75.21,73.58,74.97
42,2021-03-12,CVS,Health Care,72.69,74.05,72.498,73.92
43,2021-03-11,CVS,Health Care,72.95,73.43,72.32,72.35
44,2021-03-10,CVS,Health Care,71.71,73.09,71.13,72.7
45,2021-03-09,CVS,Health Care,72.35,73.05,71.18,71.23
46,2021-03-08,CVS,Health Care,71.29,72.54,70.78,71.73
47,2021-03-05,CVS,Health Care,69.4,70.95,69.16,70.63
48,2021-03-04,CVS,Health Care,68.96,70.04,68.415,69.17
49,2021-03-03,CVS,Health Care,68.97,69.51,68.28,69.03
50,2021-03-02,CVS,Health Care,69.49,69.6399,68.87,68.94
51,2021-03-01,CVS,Health Care,68.42,69.57,68.26,69.28
52,2021-02-26,CVS,Health Care,69.27,69.325,68.02,68.13
53,2021-02-25,CVS,Health Care,69.98,70.65,69.16,69.33
54,2021-02-24,CVS,Health Care,69.89,70.54,69.39,70.4
55,2021-02-23,CVS,Health Care,69.72,70.8,69.46,69.64
56,2021-02-22,CVS,Health Care,70.3,70.6396,69.373,70.48
57,2021-02-19,CVS,Health Care,71.4,71.42,70.29,70.42
58,2021-02-18,CVS,Health Care,72.65,72.97,71.32,71.52
59,2021-02-17,CVS,Health Care,70.25,72.85,70.12,72.71
60,2021-02-16,CVS,Health Care,75.27,75.394,70.185,70.53
61,2021-02-12,CVS,Health Care,73.57,74.56,73.5401,74.21
62,2021-02-11,CVS,Health Care,74.0,74.08,72.92,73.6
63,2021-02-10,CVS,Health Care,73.95,74.16,72.81,73.83
64,2021-02-09,CVS,Health Care,73.24,74.14,72.85,73.49
65,2021-02-08,CVS,Health Care,72.47,72.99,72.17,72.98
66,2021-02-05,CVS,Health Care,73.23,73.3639,71.93,72.18
67,2021-02-04,CVS,Health Care,73.4,74.04,72.79,73.0
68,2021-02-03,CVS,Health Care,71.74,73.67,71.34,73.24
69,2021-02-02,CVS,Health Care,71.7,72.645,71.2,71.83
70,2021-02-01,CVS,Health Care,72.08,72.47,71.34,71.46
71,2021-01-29,CVS,Health Care,72.52,73.3,71.04,71.65
72,2021-01-28,CVS,Health Care,72.44,73.79,72.22,72.61
73,2021-01-27,CVS,Health Care,73.53,74.19,72.19,72.42
74,2021-01-26,CVS,Health Care,73.37,74.38,73.28,74.23
75,2021-01-25,CVS,Health Care,73.5,73.53,72.16,73.21
76,2021-01-22,CVS,Health Care,73.73,74.3,73.0215,74.12
77,2021-01-21,CVS,Health Care,74.7,74.86,73.5443,74.08
78,2021-01-20,CVS,Health Care,75.42,75.4607,74.59,75.25
79,2021-01-19,CVS,Health Care,77.0,77.0,75.305,75.4
80,2021-01-15,CVS,Health Care,75.02,76.45,74.85,76.26
81,2021-01-14,CVS,Health Care,75.0,75.68,74.34,75.05
82,2021-01-13,CVS,Health Care,75.95,76.12,74.52,74.92
83,2021-01-12,CVS,Health Care,76.04,77.2302,75.535,76.26
84,2021-01-11,CVS,Health Care,74.25,76.48,74.25,76.07
85,2021-01-08,CVS,Health Care,75.0,76.33,74.416,74.86
86,2021-01-07,CVS,Health Care,73.05,74.42,72.2801,73.99
87,2021-01-06,CVS,Health Care,70.0,73.03,69.95,72.56
88,2021-01-05,CVS,Health Care,70.33,71.02,69.38,70.46
89,2021-01-04,CVS,Health Care,68.68,70.29,68.13,69.99
90,2020-12-31,CVS,Health Care,67.7,68.41,67.08,68.3
91,2020-12-30,CVS,Health Care,68.08,68.09,67.43,67.75
92,2020-12-29,CVS,Health Care,68.4,69.3126,67.72,67.9
93,2020-12-28,CVS,Health Care,68.24,68.99,67.715,68.08
94,2020-12-24,CVS,Health Care,68.17,68.17,67.4867,67.97
95,2020-12-23,CVS,Health Care,67.53,68.48,67.49,68.01
96,2020-12-22,CVS,Health Care,68.43,68.55,67.06,67.22
97,2020-12-21,CVS,Health Care,68.7,68.96,67.96,68.71
98,2020-12-18,CVS,Health Care,69.74,69.79,68.82,69.55
99,2020-12-17,CVS,Health Care,69.45,69.89,68.69,69.59
100,2020-12-16,CVS,Health Care,69.15,69.6299,68.35,69.32
101,2020-12-15,CVS,Health Care,70.08,70.19,68.8,69.89
102,2020-12-14,CVS,Health Care,72.31,72.33,69.6815,69.72
103,2020-12-11,CVS,Health Care,72.0,72.11,70.65,71.58
104,2020-12-10,CVS,Health Care,72.77,73.16,72.08,72.21
105,2020-12-09,CVS,Health Care,74.38,74.44,72.86,73.53
106,2020-12-08,CVS,Health Care,72.73,73.94,72.6233,73.86
107,2020-12-07,CVS,Health Care,74.23,74.64,72.43,73.63
108,2020-12-04,CVS,Health Care,72.72,74.52,72.57,74.5
109,2020-12-03,CVS,Health Care,69.71,72.63,69.23,72.52
110,2020-12-02,CVS,Health Care,67.55,70.2938,67.45,69.63
111,2020-12-01,CVS,Health Care,68.39,69.33,67.355,67.54
112,2020-11-30,CVS,Health Care,67.81,68.0884,67.2,67.79
113,2020-11-27,CVS,Health Care,67.71,68.16,67.48,67.87
114,2020-11-25,CVS,Health Care,68.33,68.4,67.08,67.63
115,2020-11-24,CVS,Health Care,67.26,68.83,66.73,68.43
116,2020-11-23,CVS,Health Care,66.87,67.4799,66.4,66.78
117,2020-11-20,CVS,Health Care,65.9,66.87,65.82,66.39
118,2020-11-19,CVS,Health Care,66.02,66.49,65.18,66.06
119,2020-11-18,CVS,Health Care,67.5,68.27,66.29,66.35
120,2020-11-17,CVS,Health Care,68.25,68.72,66.65,67.14
121,2020-11-16,CVS,Health Care,73.59,74.06,72.47,73.47
122,2020-11-13,CVS,Health Care,69.71,71.18,69.08,71.0
123,2020-11-12,CVS,Health Care,69.0,69.9,68.445,69.39
124,2020-11-11,CVS,Health Care,70.1,71.01,69.45,69.51
125,2020-11-10,CVS,Health Care,68.45,70.65,68.0,70.23
126,2020-11-09,CVS,Health Care,69.0,69.63,65.775,67.53
127,2020-11-06,CVS,Health Care,63.05,67.33,63.02,64.95
128,2020-11-05,CVS,Health Care,61.36,62.6104,61.03,61.41
129,2020-11-04,CVS,Health Care,61.25,61.96,60.225,60.37
130,2020-11-03,CVS,Health Care,58.46,60.08,58.4,59.45
131,2020-11-02,CVS,Health Care,56.87,58.23,56.1897,58.08
132,2020-10-30,CVS,Health Care,55.93,56.305,55.4,56.09
133,2020-10-29,CVS,Health Care,56.46,56.67,55.36,55.93
134,2020-10-28,CVS,Health Care,57.36,57.94,56.44,56.57
135,2020-10-27,CVS,Health Care,59.12,59.264,58.11,58.15
136,2020-10-26,CVS,Health Care,59.91,59.98,58.67,59.56
137,2020-10-23,CVS,Health Care,59.78,60.6,59.69,60.25
138,2020-10-22,CVS,Health Care,59.14,59.525,58.6243,59.48
139,2020-10-21,CVS,Health Care,58.62,59.62,58.61,59.23
140,2020-10-20,CVS,Health Care,59.04,59.865,58.46,59.43
141,2020-10-19,CVS,Health Care,60.06,60.44,58.71,58.78
142,2020-10-16,CVS,Health Care,59.37,59.86,58.9,59.59
143,2020-10-15,CVS,Health Care,58.08,59.33,57.91,59.32
144,2020-10-14,CVS,Health Care,58.94,59.34,58.44,58.51
145,2020-10-13,CVS,Health Care,59.4,59.95,58.95,59.12
146,2020-10-12,CVS,Health Care,59.5,60.22,59.2717,59.72
147,2020-10-09,CVS,Health Care,60.8,60.8,59.21,59.4
148,2020-10-08,CVS,Health Care,59.63,60.5,59.328,60.47
149,2020-10-07,CVS,Health Care,58.6,59.9789,58.56,59.42
150,2020-10-06,CVS,Health Care,59.11,59.5176,58.16,58.23
151,2020-10-05,CVS,Health Care,58.26,58.97,58.19,58.95
152,2020-10-02,CVS,Health Care,57.09,58.69,56.92,57.83
153,2020-10-01,CVS,Health Care,58.43,58.67,57.355,57.84
154,2020-09-30,CVS,Health Care,57.64,59.095,57.6,58.4
155,2020-09-29,CVS,Health Care,57.95,57.95,57.05,57.54
156,2020-09-28,CVS,Health Care,57.6,58.595,57.6,57.94
157,2020-09-25,CVS,Health Care,56.31,57.43,56.11,57.32
