,date,symbol,sector,open,high,low,close
0,2021-05-12,CZR,Consumer Discretionary,99.29,102.18,91.74,92.41
1,2021-05-11,CZR,Consumer Discretionary,100.58,103.54,97.41,100.77
2,2021-05-10,CZR,Consumer Discretionary,106.42,106.85,103.22,104.68
3,2021-05-07,CZR,Consumer Discretionary,101.94,105.88,101.47,105.75
4,2021-05-06,CZR,Consumer Discretionary,102.95,103.88,99.4504,102.22
5,2021-05-05,CZR,Consumer Discretionary,104.38,105.5,100.1404,102.98
6,2021-05-04,CZR,Consumer Discretionary,94.83,95.8,90.9,95.53
7,2021-05-03,CZR,Consumer Discretionary,98.68,98.96,96.44,96.91
8,2021-04-30,CZR,Consumer Discretionary,98.19,99.55,96.6,97.84
9,2021-04-29,CZR,Consumer Discretionary,103.25,103.4,98.0,99.47
10,2021-04-28,CZR,Consumer Discretionary,103.13,104.48,101.57,102.6
11,2021-04-27,CZR,Consumer Discretionary,98.88,102.14,98.35,101.77
12,2021-04-26,CZR,Consumer Discretionary,96.43,98.265,95.46,96.98
13,2021-04-23,CZR,Consumer Discretionary,94.83,96.04,94.0,95.74
14,2021-04-22,CZR,Consumer Discretionary,93.9,96.69,93.14,94.12
15,2021-04-21,CZR,Consumer Discretionary,88.4,94.36,87.8,94.28
16,2021-04-20,CZR,Consumer Discretionary,90.75,92.07,85.92,89.88
17,2021-04-19,CZR,Consumer Discretionary,92.61,93.0342,87.98,88.75
18,2021-04-16,CZR,Consumer Discretionary,93.55,96.2,92.06,93.64
19,2021-04-15,CZR,Consumer Discretionary,93.5,94.0,91.61,93.16
20,2021-04-14,CZR,Consumer Discretionary,95.84,97.97,92.76,93.27
21,2021-04-13,CZR,Consumer Discretionary,94.284,95.78,90.5,95.73
22,2021-04-12,CZR,Consumer Discretionary,96.1,96.1,92.1598,94.33
23,2021-04-09,CZR,Consumer Discretionary,94.86,96.65,93.4,96.33
24,2021-04-08,CZR,Consumer Discretionary,92.79,97.65,91.57,96.15
25,2021-04-07,CZR,Consumer Discretionary,93.35,94.09,91.61,92.59
26,2021-04-06,CZR,Consumer Discretionary,90.86,94.68,90.43,92.5
27,2021-04-05,CZR,Consumer Discretionary,92.6704,93.58,90.07,90.18
28,2021-04-01,CZR,Consumer Discretionary,88.54,89.55,86.41,88.94
29,2021-03-31,CZR,Consumer Discretionary,87.52,88.83,85.98,87.45
30,2021-03-30,CZR,Consumer Discretionary,82.21,87.59,81.76,87.13
31,2021-03-29,CZR,Consumer Discretionary,86.0,87.32,82.02,82.44
