,date,symbol,sector,open,high,low,close
0,2021-05-12,DAL,Industrials,44.14,44.74,42.935,43.03
1,2021-05-11,DAL,Industrials,44.25,45.05,43.61,44.52
2,2021-05-10,DAL,Industrials,46.3,46.77,45.41,45.43
3,2021-05-07,DAL,Industrials,44.87,46.345,44.77,46.11
4,2021-05-06,DAL,Industrials,45.16,45.51,44.16,44.93
5,2021-05-05,DAL,Industrials,44.7,45.81,45.165,45.2
6,2021-05-04,DAL,Industrials,46.25,46.41,44.08,44.66
7,2021-05-03,DAL,Industrials,47.19,47.23,46.08,46.57
8,2021-04-30,DAL,Industrials,46.03,47.08,45.9,46.92
9,2021-04-29,DAL,Industrials,46.91,47.01,46.0601,46.38
10,2021-04-28,DAL,Industrials,46.25,46.75,46.09,46.44
11,2021-04-27,DAL,Industrials,46.66,46.74,46.085,46.34
12,2021-04-26,DAL,Industrials,46.5,47.1,46.12,46.61
13,2021-04-23,DAL,Industrials,44.81,45.94,44.45,45.8
14,2021-04-22,DAL,Industrials,46.06,46.33,44.63,44.65
15,2021-04-21,DAL,Industrials,44.0,45.735,43.34,45.7
16,2021-04-20,DAL,Industrials,45.5,45.52,43.76,44.45
17,2021-04-19,DAL,Industrials,46.43,46.47,45.63,46.15
18,2021-04-16,DAL,Industrials,47.0,47.43,46.34,46.64
19,2021-04-15,DAL,Industrials,48.86,49.05,46.15,46.82
20,2021-04-14,DAL,Industrials,49.07,49.5,47.92,48.17
21,2021-04-13,DAL,Industrials,47.45,48.4999,46.57,48.26
22,2021-04-12,DAL,Industrials,49.06,49.14,48.17,48.82
23,2021-04-09,DAL,Industrials,49.81,49.81,48.83,49.27
24,2021-04-08,DAL,Industrials,49.75,50.21,49.14,49.81
25,2021-04-07,DAL,Industrials,51.8,51.82,50.03,50.2
26,2021-04-06,DAL,Industrials,50.7,51.81,50.54,51.65
27,2021-04-05,DAL,Industrials,49.58,50.98,49.47,50.25
28,2021-04-01,DAL,Industrials,48.59,49.21,48.28,48.83
29,2021-03-31,DAL,Industrials,48.8,49.02,48.11,48.28
30,2021-03-30,DAL,Industrials,47.7,49.04,47.42,48.9
31,2021-03-29,DAL,Industrials,47.66,48.1,46.71,47.32
32,2021-03-26,DAL,Industrials,47.5,47.94,46.56,47.66
33,2021-03-25,DAL,Industrials,44.79,47.215,44.52,47.01
34,2021-03-24,DAL,Industrials,46.54,47.3999,45.56,45.61
35,2021-03-23,DAL,Industrials,47.02,47.83,45.45,45.64
36,2021-03-22,DAL,Industrials,48.53,48.62,47.745,47.97
37,2021-03-19,DAL,Industrials,49.04,49.21,47.83,49.0
38,2021-03-18,DAL,Industrials,50.0799,50.98,48.93,49.18
39,2021-03-17,DAL,Industrials,49.03,50.64,49.01,50.44
40,2021-03-16,DAL,Industrials,51.04,51.14,49.03,49.39
41,2021-03-15,DAL,Industrials,50.86,52.28,50.75,50.99
42,2021-03-12,DAL,Industrials,48.35,49.86,48.08,49.83
43,2021-03-11,DAL,Industrials,48.21,48.96,47.58,48.32
44,2021-03-10,DAL,Industrials,47.65,48.575,47.16,47.8
45,2021-03-09,DAL,Industrials,47.96,48.08,46.34,47.62
46,2021-03-08,DAL,Industrials,46.93,48.22,46.7,47.88
47,2021-03-05,DAL,Industrials,46.91,47.0,43.01,46.21
48,2021-03-04,DAL,Industrials,48.32,48.41,45.32,46.96
49,2021-03-03,DAL,Industrials,48.62,49.085,48.14,48.35
50,2021-03-02,DAL,Industrials,48.1,48.6799,47.38,48.23
51,2021-03-01,DAL,Industrials,49.47,49.959,48.06,48.06
52,2021-02-26,DAL,Industrials,47.7,49.14,47.28,47.94
53,2021-02-25,DAL,Industrials,49.97,50.0,47.225,48.25
54,2021-02-24,DAL,Industrials,48.93,50.2,48.62,49.6
55,2021-02-23,DAL,Industrials,48.13,48.875,45.7,48.34
56,2021-02-22,DAL,Industrials,46.75,48.93,46.47,47.74
57,2021-02-19,DAL,Industrials,44.62,46.22,44.55,45.67
58,2021-02-18,DAL,Industrials,43.8,44.545,43.37,44.38
59,2021-02-17,DAL,Industrials,44.28,44.5,43.535,44.39
60,2021-02-16,DAL,Industrials,43.99,44.81,43.78,44.65
61,2021-02-12,DAL,Industrials,42.51,43.94,42.41,43.29
62,2021-02-11,DAL,Industrials,42.7,43.135,41.995,42.72
63,2021-02-10,DAL,Industrials,42.84,43.22,42.16,42.9
64,2021-02-09,DAL,Industrials,42.96,42.96,41.81,42.51
65,2021-02-08,DAL,Industrials,41.55,43.4597,41.36,43.24
66,2021-02-05,DAL,Industrials,41.38,41.4,40.75,41.15
67,2021-02-04,DAL,Industrials,39.95,41.07,39.94,40.93
68,2021-02-03,DAL,Industrials,38.87,39.9,38.7,39.78
69,2021-02-02,DAL,Industrials,38.55,38.88,37.99,38.8
70,2021-02-01,DAL,Industrials,38.35,38.4448,37.415,37.82
71,2021-01-29,DAL,Industrials,39.27,39.83,37.74,37.96
72,2021-01-28,DAL,Industrials,39.55,40.37,38.99,40.08
73,2021-01-27,DAL,Industrials,38.63,39.2254,38.1609,38.52
74,2021-01-26,DAL,Industrials,39.26,39.64,38.98,39.32
75,2021-01-25,DAL,Industrials,39.63,39.75,38.42,38.9
76,2021-01-22,DAL,Industrials,40.0,40.27,39.81,40.0
77,2021-01-21,DAL,Industrials,41.31,41.43,40.17,40.67
78,2021-01-20,DAL,Industrials,40.69,41.77,40.5,41.62
79,2021-01-19,DAL,Industrials,40.31,40.65,39.8007,40.31
80,2021-01-15,DAL,Industrials,41.67,41.67,39.96,39.98
81,2021-01-14,DAL,Industrials,41.21,42.64,41.12,41.47
82,2021-01-13,DAL,Industrials,40.01,40.74,39.6299,40.45
83,2021-01-12,DAL,Industrials,39.69,40.41,39.16,40.3
84,2021-01-11,DAL,Industrials,39.08,39.99,38.9,39.41
85,2021-01-08,DAL,Industrials,40.41,40.6911,39.765,40.02
86,2021-01-07,DAL,Industrials,40.45,40.945,40.21,40.23
87,2021-01-06,DAL,Industrials,39.64,40.9,39.54,40.38
88,2021-01-05,DAL,Industrials,38.49,40.085,38.45,39.55
89,2021-01-04,DAL,Industrials,40.17,40.34,38.3306,38.73
90,2020-12-31,DAL,Industrials,40.3,40.74,39.76,40.21
91,2020-12-30,DAL,Industrials,40.0,40.905,39.89,40.56
92,2020-12-29,DAL,Industrials,40.84,40.84,39.9,40.03
93,2020-12-28,DAL,Industrials,40.27,40.7758,40.01,40.15
94,2020-12-24,DAL,Industrials,40.42,40.44,39.605,39.73
95,2020-12-23,DAL,Industrials,39.295,40.47,39.18,40.24
96,2020-12-22,DAL,Industrials,40.43,40.49,38.84,38.94
97,2020-12-21,DAL,Industrials,39.56,40.35,39.16,40.14
98,2020-12-18,DAL,Industrials,40.88,41.03,40.28,40.68
99,2020-12-17,DAL,Industrials,41.3,41.42,40.61,41.11
100,2020-12-16,DAL,Industrials,41.75,41.81,40.66,41.08
101,2020-12-15,DAL,Industrials,41.2,41.93,40.1576,41.85
102,2020-12-14,DAL,Industrials,42.25,42.38,40.67,40.69
103,2020-12-11,DAL,Industrials,42.01,42.43,41.14,41.74
104,2020-12-10,DAL,Industrials,41.16,42.75,41.07,42.62
105,2020-12-09,DAL,Industrials,43.05,43.48,41.3348,42.11
106,2020-12-08,DAL,Industrials,41.95,42.88,41.77,42.41
107,2020-12-07,DAL,Industrials,42.4,42.83,41.74,42.35
108,2020-12-04,DAL,Industrials,43.2,43.49,42.0701,42.36
109,2020-12-03,DAL,Industrials,41.7,43.76,41.56,42.95
110,2020-12-02,DAL,Industrials,39.81,41.275,39.0582,41.07
111,2020-12-01,DAL,Industrials,40.79,41.06,39.92,39.96
112,2020-11-30,DAL,Industrials,40.53,41.05,39.35,40.25
113,2020-11-27,DAL,Industrials,41.79,42.19,40.775,41.06
114,2020-11-25,DAL,Industrials,40.8,41.487,40.05,41.29
115,2020-11-24,DAL,Industrials,40.05,41.29,39.41,41.26
116,2020-11-23,DAL,Industrials,37.8,38.85,37.43,38.79
117,2020-11-20,DAL,Industrials,37.99,38.09,36.97,37.13
118,2020-11-19,DAL,Industrials,37.59,38.13,37.48,37.91
119,2020-11-18,DAL,Industrials,38.09,39.3,37.89,37.91
120,2020-11-17,DAL,Industrials,37.4,38.05,36.66,37.6
121,2020-11-16,DAL,Industrials,38.43,38.65,37.24,38.0
122,2020-11-13,DAL,Industrials,34.95,36.675,34.85,36.46
123,2020-11-12,DAL,Industrials,34.09,35.55,34.02,34.38
124,2020-11-11,DAL,Industrials,36.64,36.79,34.73,35.02
125,2020-11-10,DAL,Industrials,36.1,37.17,35.69,37.04
126,2020-11-09,DAL,Industrials,37.4,38.69,34.68,36.77
127,2020-11-06,DAL,Industrials,31.67,31.8435,31.03,31.42
128,2020-11-05,DAL,Industrials,30.85,32.26,30.8,31.98
129,2020-11-04,DAL,Industrials,30.91,31.31,30.11,30.43
130,2020-11-03,DAL,Industrials,30.94,31.36,30.64,30.9
131,2020-11-02,DAL,Industrials,30.62,30.63,29.67,30.22
132,2020-10-30,DAL,Industrials,30.52,30.99,29.99,30.64
133,2020-10-29,DAL,Industrials,29.46,30.91,29.3402,30.76
134,2020-10-28,DAL,Industrials,29.76,30.15,28.74,29.65
135,2020-10-27,DAL,Industrials,31.75,32.06,30.69,30.71
136,2020-10-26,DAL,Industrials,33.5,33.5,31.53,31.93
137,2020-10-23,DAL,Industrials,33.52,34.04,32.9,34.0
138,2020-10-22,DAL,Industrials,31.87,33.805,31.72,33.72
139,2020-10-21,DAL,Industrials,31.89,31.94,31.37,31.5
140,2020-10-20,DAL,Industrials,31.97,32.41,31.59,31.98
141,2020-10-19,DAL,Industrials,31.7,32.27,31.31,31.5
142,2020-10-16,DAL,Industrials,31.4,31.76,31.24,31.47
143,2020-10-15,DAL,Industrials,31.38,31.455,30.685,31.34
144,2020-10-14,DAL,Industrials,31.77,32.32,31.65,31.76
145,2020-10-13,DAL,Industrials,31.9,32.39,31.48,31.77
146,2020-10-12,DAL,Industrials,32.68,32.805,32.3,32.64
147,2020-10-09,DAL,Industrials,32.71,33.2742,32.29,32.81
148,2020-10-08,DAL,Industrials,32.69,33.0,31.915,32.68
149,2020-10-07,DAL,Industrials,32.22,32.36,31.64,32.15
150,2020-10-06,DAL,Industrials,32.63,32.72,30.91,31.06
151,2020-10-05,DAL,Industrials,32.35,32.43,31.52,32.0
152,2020-10-02,DAL,Industrials,29.75,32.3,29.61,31.75
153,2020-10-01,DAL,Industrials,30.99,31.36,30.575,31.1
154,2020-09-30,DAL,Industrials,30.99,31.85,30.48,30.58
155,2020-09-29,DAL,Industrials,31.1,31.11,30.3,30.61
156,2020-09-28,DAL,Industrials,30.6,31.96,30.1389,31.34
157,2020-09-25,DAL,Industrials,28.82,29.7901,28.78,29.78
158,2020-09-24,DAL,Industrials,29.12,29.51,27.92,29.01
159,2020-09-23,DAL,Industrials,30.44,31.03,29.49,29.56
160,2020-09-22,DAL,Industrials,29.81,30.54,29.7201,30.22
161,2020-09-21,DAL,Industrials,31.16,31.2,29.42,29.82
162,2020-09-18,DAL,Industrials,33.22,34.02,32.575,32.84
163,2020-09-17,DAL,Industrials,33.97,35.07,33.635,33.96
164,2020-09-16,DAL,Industrials,33.8,34.99,33.19,34.57
165,2020-09-15,DAL,Industrials,33.2,34.4781,33.1,33.51
