,date,symbol,sector,open,high,low,close
0,2021-05-12,DE,Industrials,384.78,388.53,372.4168,373.63
1,2021-05-11,DE,Industrials,386.22,389.1799,377.51,383.2
2,2021-05-10,DE,Industrials,398.0,400.3399,391.28,391.4
3,2021-05-07,DE,Industrials,387.81,396.896,384.33,394.22
4,2021-05-06,DE,Industrials,379.84,391.0,378.62,389.91
5,2021-05-05,DE,Industrials,382.66,383.335,378.51,378.86
6,2021-05-04,DE,Industrials,371.85,381.0,367.875,379.58
7,2021-05-03,DE,Industrials,376.5,377.745,371.88,373.77
8,2021-04-30,DE,Industrials,372.55,373.53,368.605,370.85
9,2021-04-29,DE,Industrials,382.84,382.84,372.07,376.39
10,2021-04-28,DE,Industrials,381.18,384.51,379.55,379.8
11,2021-04-27,DE,Industrials,381.5,383.5,378.53,382.36
12,2021-04-26,DE,Industrials,377.02,383.8,377.02,380.45
13,2021-04-23,DE,Industrials,368.89,377.69,368.89,376.27
14,2021-04-22,DE,Industrials,375.87,377.24,365.6,368.36
15,2021-04-21,DE,Industrials,370.71,375.83,367.35,375.6
16,2021-04-20,DE,Industrials,378.35,380.74,366.63,370.27
17,2021-04-19,DE,Industrials,382.82,383.68,378.535,380.72
18,2021-04-16,DE,Industrials,386.06,386.06,380.82,383.07
19,2021-04-15,DE,Industrials,384.28,385.95,378.6773,382.14
20,2021-04-14,DE,Industrials,377.85,382.9799,377.85,381.5
21,2021-04-13,DE,Industrials,383.54,384.4,376.63,378.67
22,2021-04-12,DE,Industrials,377.83,379.15,375.8,378.26
23,2021-04-09,DE,Industrials,375.64,378.08,372.52,377.0
24,2021-04-08,DE,Industrials,372.29,374.5275,368.63,374.07
25,2021-04-07,DE,Industrials,375.75,378.88,372.41,374.79
26,2021-04-06,DE,Industrials,375.79,381.84,375.02,375.61
27,2021-04-05,DE,Industrials,375.6,377.94,373.91,374.81
28,2021-04-01,DE,Industrials,375.63,376.0,369.29,372.12
29,2021-03-31,DE,Industrials,374.97,379.5,368.32,374.14
30,2021-03-30,DE,Industrials,367.0,375.31,366.45,373.92
31,2021-03-29,DE,Industrials,370.49,372.49,367.5,367.97
32,2021-03-26,DE,Industrials,371.03,372.9,367.73,372.29
33,2021-03-25,DE,Industrials,357.27,367.79,353.462,366.8
34,2021-03-24,DE,Industrials,361.51,368.0,360.81,360.91
35,2021-03-23,DE,Industrials,367.27,371.53,355.9,357.49
36,2021-03-22,DE,Industrials,373.72,373.72,368.66,371.59
37,2021-03-19,DE,Industrials,377.5,379.84,371.91,372.48
38,2021-03-18,DE,Industrials,381.0,392.42,379.1334,380.41
39,2021-03-17,DE,Industrials,376.08,380.79,372.23,379.26
40,2021-03-16,DE,Industrials,376.57,376.57,371.0,373.52
41,2021-03-15,DE,Industrials,369.09,374.73,366.0603,374.37
42,2021-03-12,DE,Industrials,363.55,370.76,363.34,369.49
43,2021-03-11,DE,Industrials,365.0,366.82,360.78,364.46
44,2021-03-10,DE,Industrials,351.22,361.6939,351.01,361.22
45,2021-03-09,DE,Industrials,354.72,357.39,351.87,352.69
46,2021-03-08,DE,Industrials,354.43,359.91,349.2207,353.7
47,2021-03-05,DE,Industrials,343.3,351.84,334.14,349.83
48,2021-03-04,DE,Industrials,340.67,343.52,330.78,337.95
49,2021-03-03,DE,Industrials,349.94,351.3746,342.81,343.06
50,2021-03-02,DE,Industrials,359.87,359.87,349.97,351.44
51,2021-03-01,DE,Industrials,355.06,363.31,354.34,359.51
52,2021-02-26,DE,Industrials,346.2,354.408,344.06,349.12
53,2021-02-25,DE,Industrials,345.71,353.02,342.31,348.03
54,2021-02-24,DE,Industrials,339.43,346.59,338.21,345.66
55,2021-02-23,DE,Industrials,331.52,338.7699,328.0,337.41
56,2021-02-22,DE,Industrials,329.5,338.55,328.52,337.51
57,2021-02-19,DE,Industrials,320.0,335.21,315.87,330.0
58,2021-02-18,DE,Industrials,310.84,311.46,298.54,300.25
59,2021-02-17,DE,Industrials,314.16,317.5,311.39,312.08
60,2021-02-16,DE,Industrials,316.81,321.67,316.07,317.09
61,2021-02-12,DE,Industrials,314.05,315.79,312.28,313.0
62,2021-02-11,DE,Industrials,314.69,315.82,309.05,314.46
63,2021-02-10,DE,Industrials,317.55,317.8,311.37,313.64
64,2021-02-09,DE,Industrials,316.02,318.27,313.17,315.33
65,2021-02-08,DE,Industrials,312.0,317.19,312.0,317.04
66,2021-02-05,DE,Industrials,312.02,313.02,307.01,309.24
67,2021-02-04,DE,Industrials,302.85,309.56,301.95,309.27
68,2021-02-03,DE,Industrials,302.26,302.33,299.4616,301.14
69,2021-02-02,DE,Industrials,296.23,304.22,295.72,302.54
70,2021-02-01,DE,Industrials,292.12,294.02,289.65,292.21
71,2021-01-29,DE,Industrials,292.1,292.95,285.5,288.8
72,2021-01-28,DE,Industrials,287.28,297.28,282.735,292.96
73,2021-01-27,DE,Industrials,289.79,290.64,278.95,280.73
74,2021-01-26,DE,Industrials,300.94,302.16,295.4,296.01
75,2021-01-25,DE,Industrials,303.14,305.5,296.38,298.2
76,2021-01-22,DE,Industrials,302.89,306.9614,301.31,305.17
77,2021-01-21,DE,Industrials,302.0,306.1499,300.0,305.5
78,2021-01-20,DE,Industrials,296.87,302.19,296.01,300.94
79,2021-01-19,DE,Industrials,298.25,299.765,294.4,294.99
80,2021-01-15,DE,Industrials,300.16,301.13,293.01,295.4
81,2021-01-14,DE,Industrials,302.9,306.35,301.95,302.85
82,2021-01-13,DE,Industrials,301.63,304.0,300.61,301.22
83,2021-01-12,DE,Industrials,296.12,303.56,293.905,302.09
84,2021-01-11,DE,Industrials,289.48,295.18,289.0014,294.92
85,2021-01-08,DE,Industrials,297.55,300.48,290.385,293.91
86,2021-01-07,DE,Industrials,293.76,300.555,293.49,299.73
87,2021-01-06,DE,Industrials,275.0,292.84,274.65,290.36
88,2021-01-05,DE,Industrials,267.65,274.76,267.45,274.28
89,2021-01-04,DE,Industrials,271.81,273.75,263.85,267.64
90,2020-12-31,DE,Industrials,266.76,269.19,265.4529,269.05
91,2020-12-30,DE,Industrials,266.0,268.36,265.495,266.15
92,2020-12-29,DE,Industrials,269.17,269.54,262.848,265.34
93,2020-12-28,DE,Industrials,273.43,273.56,267.4,267.5
94,2020-12-24,DE,Industrials,267.93,269.58,267.315,269.21
95,2020-12-23,DE,Industrials,270.68,271.38,267.83,267.94
96,2020-12-22,DE,Industrials,267.58,270.58,265.23,269.26
97,2020-12-21,DE,Industrials,265.92,272.0,265.58,267.75
98,2020-12-18,DE,Industrials,265.0,271.45,264.56,270.7
99,2020-12-17,DE,Industrials,263.03,264.64,261.5424,264.53
100,2020-12-16,DE,Industrials,261.84,262.38,259.635,261.12
101,2020-12-15,DE,Industrials,256.33,264.11,255.98,261.99
102,2020-12-14,DE,Industrials,258.0,258.75,252.51,252.72
103,2020-12-11,DE,Industrials,251.44,256.0,250.82,255.77
104,2020-12-10,DE,Industrials,253.59,254.24,250.615,253.45
105,2020-12-09,DE,Industrials,252.5,255.5,251.6,254.83
106,2020-12-08,DE,Industrials,253.12,254.84,251.27,252.6
107,2020-12-07,DE,Industrials,253.13,253.5,250.5425,252.01
108,2020-12-04,DE,Industrials,253.86,255.75,252.79,253.39
109,2020-12-03,DE,Industrials,258.49,259.81,251.93,252.68
110,2020-12-02,DE,Industrials,255.13,260.435,254.39,259.0
111,2020-12-01,DE,Industrials,263.22,265.35,255.12,255.13
112,2020-11-30,DE,Industrials,262.94,264.2292,258.1083,261.62
113,2020-11-27,DE,Industrials,258.62,262.2,258.15,261.95
114,2020-11-25,DE,Industrials,263.01,265.8673,254.51,256.43
115,2020-11-24,DE,Industrials,263.65,264.17,260.01,261.51
116,2020-11-23,DE,Industrials,260.7,262.76,260.16,261.11
117,2020-11-20,DE,Industrials,256.64,259.66,255.5,258.56
118,2020-11-19,DE,Industrials,257.29,259.53,255.0,255.59
119,2020-11-18,DE,Industrials,258.44,260.6,257.25,257.33
120,2020-11-17,DE,Industrials,256.5,259.72,253.5,258.21
121,2020-11-16,DE,Industrials,255.0,260.34,253.61,259.1
122,2020-11-13,DE,Industrials,250.82,252.5904,249.08,251.79
123,2020-11-12,DE,Industrials,250.85,252.203,246.87,248.01
124,2020-11-11,DE,Industrials,253.96,254.27,245.955,249.35
125,2020-11-10,DE,Industrials,249.49,256.9,249.49,253.97
126,2020-11-09,DE,Industrials,260.59,265.87,248.35,248.87
127,2020-11-06,DE,Industrials,246.58,250.365,246.11,247.64
128,2020-11-05,DE,Industrials,237.82,247.09,237.33,246.02
129,2020-11-04,DE,Industrials,237.4,240.0,233.2,233.3
130,2020-11-03,DE,Industrials,235.61,241.62,234.42,239.96
131,2020-11-02,DE,Industrials,228.49,232.24,227.5,231.7
132,2020-10-30,DE,Industrials,227.63,228.59,222.61,225.91
133,2020-10-29,DE,Industrials,222.07,229.81,221.73,228.02
134,2020-10-28,DE,Industrials,225.0,227.5,222.51,223.37
135,2020-10-27,DE,Industrials,234.2,234.59,228.0,228.51
136,2020-10-26,DE,Industrials,237.1,237.49,231.745,234.25
137,2020-10-23,DE,Industrials,237.12,240.0,237.12,239.53
138,2020-10-22,DE,Industrials,236.06,238.0,234.88,236.88
139,2020-10-21,DE,Industrials,239.52,241.92,236.06,236.4
140,2020-10-20,DE,Industrials,239.8,242.035,237.76,238.87
141,2020-10-19,DE,Industrials,240.25,242.9,237.11,238.17
142,2020-10-16,DE,Industrials,240.0,243.4,239.71,240.06
143,2020-10-15,DE,Industrials,234.66,239.35,234.365,238.24
144,2020-10-14,DE,Industrials,237.39,240.66,237.09,238.47
145,2020-10-13,DE,Industrials,236.14,237.58,234.49,237.22
146,2020-10-12,DE,Industrials,237.14,237.61,235.0725,236.52
147,2020-10-09,DE,Industrials,235.02,237.01,233.58,234.81
148,2020-10-08,DE,Industrials,230.99,234.81,230.71,234.24
149,2020-10-07,DE,Industrials,229.27,232.53,228.105,230.57
150,2020-10-06,DE,Industrials,227.27,230.64,226.0101,226.12
151,2020-10-05,DE,Industrials,227.26,231.12,224.85,226.96
152,2020-10-02,DE,Industrials,215.25,226.52,215.02,224.79
153,2020-10-01,DE,Industrials,223.5,223.78,218.57,219.04
154,2020-09-30,DE,Industrials,221.38,226.06,220.235,221.63
155,2020-09-29,DE,Industrials,221.65,222.39,218.07,220.18
156,2020-09-28,DE,Industrials,222.06,224.3565,221.5,221.9
157,2020-09-25,DE,Industrials,214.95,220.93,214.83,219.25
158,2020-09-24,DE,Industrials,213.7,219.38,211.38,216.52
159,2020-09-23,DE,Industrials,217.58,220.67,214.38,214.55
160,2020-09-22,DE,Industrials,215.09,219.06,214.53,217.58
161,2020-09-21,DE,Industrials,216.25,217.45,210.175,214.21
162,2020-09-18,DE,Industrials,219.47,225.38,219.45,221.97
163,2020-09-17,DE,Industrials,213.8,221.6,212.0105,219.94
164,2020-09-16,DE,Industrials,217.16,218.92,214.86,215.4
165,2020-09-15,DE,Industrials,219.81,220.96,215.19,215.77
