,date,symbol,sector,open,high,low,close
0,2021-05-12,DG,Consumer Discretionary,210.6,211.88,205.8,205.87
1,2021-05-11,DG,Consumer Discretionary,217.68,217.94,212.16,213.9
2,2021-05-10,DG,Consumer Discretionary,221.0,222.53,218.75,218.86
3,2021-05-07,DG,Consumer Discretionary,219.29,220.95,216.77,220.2
4,2021-05-06,DG,Consumer Discretionary,216.55,218.79,215.56,218.5
5,2021-05-05,DG,Consumer Discretionary,216.96,216.66,215.33,215.88
6,2021-05-04,DG,Consumer Discretionary,214.55,216.35,213.6,216.24
7,2021-05-03,DG,Consumer Discretionary,216.02,217.84,215.78,216.57
8,2021-04-30,DG,Consumer Discretionary,214.06,215.45,213.535,214.75
9,2021-04-29,DG,Consumer Discretionary,213.04,215.47,212.46,214.87
10,2021-04-28,DG,Consumer Discretionary,212.08,213.465,211.17,212.08
11,2021-04-27,DG,Consumer Discretionary,211.66,213.7689,210.265,212.4
12,2021-04-26,DG,Consumer Discretionary,212.73,212.75,209.83,211.73
13,2021-04-23,DG,Consumer Discretionary,215.29,215.29,211.2522,213.31
14,2021-04-22,DG,Consumer Discretionary,216.92,217.28,213.42,215.16
15,2021-04-21,DG,Consumer Discretionary,218.58,219.845,216.69,216.84
16,2021-04-20,DG,Consumer Discretionary,217.57,218.96,216.9371,218.29
17,2021-04-19,DG,Consumer Discretionary,217.09,217.48,215.5,216.73
18,2021-04-16,DG,Consumer Discretionary,216.35,218.77,214.75,216.74
19,2021-04-15,DG,Consumer Discretionary,213.97,216.87,213.27,215.75
20,2021-04-14,DG,Consumer Discretionary,211.88,214.68,211.62,213.55
21,2021-04-13,DG,Consumer Discretionary,209.86,212.59,209.08,212.04
22,2021-04-12,DG,Consumer Discretionary,207.25,210.03,206.87,209.04
23,2021-04-09,DG,Consumer Discretionary,207.52,208.42,206.6,206.66
24,2021-04-08,DG,Consumer Discretionary,206.02,208.85,205.83,207.19
25,2021-04-07,DG,Consumer Discretionary,206.08,207.345,205.23,205.73
26,2021-04-06,DG,Consumer Discretionary,205.6,207.95,204.97,205.63
27,2021-04-05,DG,Consumer Discretionary,202.35,208.07,202.05,207.78
28,2021-04-01,DG,Consumer Discretionary,201.99,204.42,200.91,202.4
29,2021-03-31,DG,Consumer Discretionary,201.75,204.93,200.69,202.62
30,2021-03-30,DG,Consumer Discretionary,204.0,205.41,201.41,201.75
31,2021-03-29,DG,Consumer Discretionary,202.9,204.55,199.11,203.39
32,2021-03-26,DG,Consumer Discretionary,198.18,203.1,197.84,203.08
33,2021-03-25,DG,Consumer Discretionary,197.0,199.38,195.39,197.78
34,2021-03-24,DG,Consumer Discretionary,197.1,200.01,196.125,197.08
35,2021-03-23,DG,Consumer Discretionary,193.74,200.34,193.5633,197.09
36,2021-03-22,DG,Consumer Discretionary,188.3,196.54,188.13,193.96
37,2021-03-19,DG,Consumer Discretionary,179.4,189.99,178.66,187.78
38,2021-03-18,DG,Consumer Discretionary,176.34,181.55,173.5,178.8
39,2021-03-17,DG,Consumer Discretionary,193.01,193.22,187.21,187.51
40,2021-03-16,DG,Consumer Discretionary,193.21,195.27,192.84,193.55
41,2021-03-15,DG,Consumer Discretionary,194.48,195.07,192.465,194.1
42,2021-03-12,DG,Consumer Discretionary,189.35,192.4,187.89,191.96
43,2021-03-11,DG,Consumer Discretionary,188.39,190.52,187.4,189.67
44,2021-03-10,DG,Consumer Discretionary,187.42,189.19,185.905,187.55
45,2021-03-09,DG,Consumer Discretionary,183.76,187.3,182.66,186.7
46,2021-03-08,DG,Consumer Discretionary,179.985,184.73,178.64,181.98
47,2021-03-05,DG,Consumer Discretionary,178.85,179.36,174.35,178.71
48,2021-03-04,DG,Consumer Discretionary,182.31,182.7,176.64,178.14
49,2021-03-03,DG,Consumer Discretionary,185.48,187.0,182.86,182.89
50,2021-03-02,DG,Consumer Discretionary,193.27,193.55,186.32,186.5
51,2021-03-01,DG,Consumer Discretionary,189.26,193.18,188.97,192.9
52,2021-02-26,DG,Consumer Discretionary,189.6,189.83,187.26,188.99
53,2021-02-25,DG,Consumer Discretionary,190.0,191.3975,186.91,188.68
54,2021-02-24,DG,Consumer Discretionary,194.82,194.82,190.4234,192.61
55,2021-02-23,DG,Consumer Discretionary,199.33,199.33,195.16,195.18
56,2021-02-22,DG,Consumer Discretionary,201.05,201.31,198.58,198.77
57,2021-02-19,DG,Consumer Discretionary,203.82,203.82,200.61,201.16
58,2021-02-18,DG,Consumer Discretionary,199.03,203.05,198.5,202.83
59,2021-02-17,DG,Consumer Discretionary,199.66,201.93,198.82,201.5
60,2021-02-16,DG,Consumer Discretionary,198.52,201.41,197.76,200.23
61,2021-02-12,DG,Consumer Discretionary,200.0,200.89,197.965,198.6
62,2021-02-11,DG,Consumer Discretionary,200.92,202.74,199.9,200.04
63,2021-02-10,DG,Consumer Discretionary,205.5,205.76,200.96,201.32
64,2021-02-09,DG,Consumer Discretionary,200.7,203.89,198.63,203.49
65,2021-02-08,DG,Consumer Discretionary,195.32,198.77,194.92,198.38
66,2021-02-05,DG,Consumer Discretionary,196.25,199.155,193.02,193.82
67,2021-02-04,DG,Consumer Discretionary,196.07,196.92,193.93,195.72
68,2021-02-03,DG,Consumer Discretionary,195.63,196.9,195.01,195.78
69,2021-02-02,DG,Consumer Discretionary,193.59,198.0,193.31,195.35
70,2021-02-01,DG,Consumer Discretionary,194.61,195.79,192.34,192.75
71,2021-01-29,DG,Consumer Discretionary,199.54,200.0,194.37,194.61
72,2021-01-28,DG,Consumer Discretionary,199.01,201.51,198.25,199.05
73,2021-01-27,DG,Consumer Discretionary,205.35,207.75,198.51,199.63
74,2021-01-26,DG,Consumer Discretionary,207.15,207.555,205.26,206.12
75,2021-01-25,DG,Consumer Discretionary,206.76,207.99,205.11,206.57
76,2021-01-22,DG,Consumer Discretionary,207.72,208.2921,205.76,206.21
77,2021-01-21,DG,Consumer Discretionary,205.68,209.39,204.51,207.72
78,2021-01-20,DG,Consumer Discretionary,206.89,207.12,203.93,205.12
79,2021-01-19,DG,Consumer Discretionary,211.5,212.44,205.96,206.06
80,2021-01-15,DG,Consumer Discretionary,213.24,213.76,210.45,211.44
81,2021-01-14,DG,Consumer Discretionary,217.1,217.86,213.11,213.24
82,2021-01-13,DG,Consumer Discretionary,217.21,219.58,216.04,218.22
83,2021-01-12,DG,Consumer Discretionary,214.79,218.765,213.645,218.38
84,2021-01-11,DG,Consumer Discretionary,215.37,217.65,214.62,215.26
85,2021-01-08,DG,Consumer Discretionary,218.64,219.0,214.46,215.81
86,2021-01-07,DG,Consumer Discretionary,215.0,218.48,214.6,217.72
87,2021-01-06,DG,Consumer Discretionary,206.57,216.06,205.81,215.31
88,2021-01-05,DG,Consumer Discretionary,209.43,210.0,206.4,206.73
89,2021-01-04,DG,Consumer Discretionary,210.25,211.6032,207.795,209.71
90,2020-12-31,DG,Consumer Discretionary,209.87,210.62,208.15,210.3
91,2020-12-30,DG,Consumer Discretionary,211.28,212.07,209.9,209.93
92,2020-12-29,DG,Consumer Discretionary,210.76,211.8394,210.085,211.34
93,2020-12-28,DG,Consumer Discretionary,213.14,213.16,209.605,210.39
94,2020-12-24,DG,Consumer Discretionary,211.35,212.35,210.64,211.28
95,2020-12-23,DG,Consumer Discretionary,211.86,213.34,211.02,211.17
96,2020-12-22,DG,Consumer Discretionary,212.04,213.5,210.825,213.07
97,2020-12-21,DG,Consumer Discretionary,209.0,212.2,206.82,210.96
98,2020-12-18,DG,Consumer Discretionary,212.87,213.26,209.96,210.48
99,2020-12-17,DG,Consumer Discretionary,212.01,213.37,211.47,212.55
100,2020-12-16,DG,Consumer Discretionary,207.95,212.25,207.76,211.02
101,2020-12-15,DG,Consumer Discretionary,206.6,208.97,205.88,207.78
102,2020-12-14,DG,Consumer Discretionary,206.8,207.7,205.62,205.9
103,2020-12-11,DG,Consumer Discretionary,206.15,207.815,205.685,206.61
104,2020-12-10,DG,Consumer Discretionary,208.44,208.93,205.26,205.87
105,2020-12-09,DG,Consumer Discretionary,211.5,212.2099,206.11,208.98
106,2020-12-08,DG,Consumer Discretionary,212.15,212.85,210.19,211.37
107,2020-12-07,DG,Consumer Discretionary,214.01,217.21,211.93,213.36
108,2020-12-04,DG,Consumer Discretionary,214.2,215.87,212.19,213.43
109,2020-12-03,DG,Consumer Discretionary,213.48,216.0,211.5,214.49
110,2020-12-02,DG,Consumer Discretionary,219.09,219.48,216.55,217.54
111,2020-12-01,DG,Consumer Discretionary,218.89,221.67,218.08,219.84
112,2020-11-30,DG,Consumer Discretionary,218.51,218.94,214.321,218.58
113,2020-11-27,DG,Consumer Discretionary,216.93,218.255,216.33,218.01
114,2020-11-25,DG,Consumer Discretionary,213.75,217.49,213.04,217.0
115,2020-11-24,DG,Consumer Discretionary,212.01,214.44,211.71,212.98
116,2020-11-23,DG,Consumer Discretionary,211.36,212.73,210.265,211.04
117,2020-11-20,DG,Consumer Discretionary,211.01,213.29,210.07,210.23
118,2020-11-19,DG,Consumer Discretionary,209.01,211.89,207.5,211.21
119,2020-11-18,DG,Consumer Discretionary,208.93,211.57,206.3,208.57
120,2020-11-17,DG,Consumer Discretionary,212.0,212.42,208.42,208.75
121,2020-11-16,DG,Consumer Discretionary,214.3,215.5,212.5,213.09
122,2020-11-13,DG,Consumer Discretionary,213.85,215.22,211.68,213.9
123,2020-11-12,DG,Consumer Discretionary,214.0,214.02,209.7227,212.78
124,2020-11-11,DG,Consumer Discretionary,211.5,216.57,211.5,213.57
125,2020-11-10,DG,Consumer Discretionary,210.98,213.99,208.25,210.56
126,2020-11-09,DG,Consumer Discretionary,224.87,225.25,210.24,210.49
127,2020-11-06,DG,Consumer Discretionary,218.33,222.07,216.62,221.4
128,2020-11-05,DG,Consumer Discretionary,219.0,220.6,216.07,218.01
129,2020-11-04,DG,Consumer Discretionary,216.77,219.48,214.66,216.23
130,2020-11-03,DG,Consumer Discretionary,211.3,216.905,211.1629,214.1
131,2020-11-02,DG,Consumer Discretionary,209.75,212.11,207.09,209.52
132,2020-10-30,DG,Consumer Discretionary,210.0,211.24,206.14,208.71
133,2020-10-29,DG,Consumer Discretionary,210.81,212.8,209.62,210.73
134,2020-10-28,DG,Consumer Discretionary,212.18,215.33,210.04,211.02
135,2020-10-27,DG,Consumer Discretionary,212.5,214.72,211.7,213.71
136,2020-10-26,DG,Consumer Discretionary,214.02,214.83,209.64,212.04
137,2020-10-23,DG,Consumer Discretionary,214.07,215.825,212.7101,215.44
138,2020-10-22,DG,Consumer Discretionary,218.88,219.48,213.8,214.32
139,2020-10-21,DG,Consumer Discretionary,217.83,221.715,217.83,219.86
140,2020-10-20,DG,Consumer Discretionary,218.07,220.26,217.41,217.78
141,2020-10-19,DG,Consumer Discretionary,222.43,224.07,217.38,218.07
142,2020-10-16,DG,Consumer Discretionary,224.03,224.815,221.71,221.71
143,2020-10-15,DG,Consumer Discretionary,219.94,223.65,219.14,222.87
144,2020-10-14,DG,Consumer Discretionary,222.7,222.775,219.75,220.1
145,2020-10-13,DG,Consumer Discretionary,220.7,223.94,220.7,223.0
146,2020-10-12,DG,Consumer Discretionary,222.12,222.505,220.0,220.56
147,2020-10-09,DG,Consumer Discretionary,219.85,222.78,219.72,220.98
148,2020-10-08,DG,Consumer Discretionary,216.66,219.4,215.9,218.88
149,2020-10-07,DG,Consumer Discretionary,213.87,215.73,213.6,214.53
150,2020-10-06,DG,Consumer Discretionary,214.5,216.48,211.57,212.29
151,2020-10-05,DG,Consumer Discretionary,212.0,213.58,210.82,213.19
152,2020-10-02,DG,Consumer Discretionary,209.79,212.68,209.555,211.52
153,2020-10-01,DG,Consumer Discretionary,211.26,213.92,210.97,211.52
154,2020-09-30,DG,Consumer Discretionary,210.33,211.64,208.35,209.62
155,2020-09-29,DG,Consumer Discretionary,209.5,211.98,209.25,209.64
156,2020-09-28,DG,Consumer Discretionary,208.72,210.89,206.1901,209.8
157,2020-09-25,DG,Consumer Discretionary,205.11,209.34,204.35,208.39
158,2020-09-24,DG,Consumer Discretionary,204.22,206.29,202.58,205.02
159,2020-09-23,DG,Consumer Discretionary,208.44,209.86,203.83,204.22
160,2020-09-22,DG,Consumer Discretionary,202.31,208.96,202.31,208.34
161,2020-09-21,DG,Consumer Discretionary,206.92,207.36,202.31,202.94
162,2020-09-18,DG,Consumer Discretionary,204.32,208.99,203.74,208.1
163,2020-09-17,DG,Consumer Discretionary,200.62,204.13,200.5,203.5
164,2020-09-16,DG,Consumer Discretionary,203.9,204.88,202.4,202.75
165,2020-09-15,DG,Consumer Discretionary,202.57,203.93,201.7947,202.87
166,2020-09-14,DG,Consumer Discretionary,201.13,203.75,200.81,202.11
167,2020-09-11,DG,Consumer Discretionary,197.98,200.94,197.91,200.5
168,2020-09-10,DG,Consumer Discretionary,197.45,200.35,196.73,197.12
169,2020-09-09,DG,Consumer Discretionary,193.35,198.91,193.2,197.45
170,2020-09-08,DG,Consumer Discretionary,194.13,195.705,190.76,192.4
171,2020-09-04,DG,Consumer Discretionary,196.97,198.17,191.47,195.72
172,2020-09-03,DG,Consumer Discretionary,203.39,203.688,196.04,196.8
173,2020-09-02,DG,Consumer Discretionary,200.0,204.99,197.76,204.1
174,2020-09-01,DG,Consumer Discretionary,201.6,203.0825,199.79,199.9
175,2020-08-31,DG,Consumer Discretionary,200.93,203.49,199.85,201.88
176,2020-08-28,DG,Consumer Discretionary,202.25,202.96,198.56,200.39
177,2020-08-27,DG,Consumer Discretionary,206.0001,206.98,199.55,201.34
178,2020-08-26,DG,Consumer Discretionary,198.74,204.66,198.56,204.09
179,2020-08-25,DG,Consumer Discretionary,199.13,199.57,197.51,198.66
180,2020-08-24,DG,Consumer Discretionary,201.0,201.18,198.01,198.32
181,2020-08-21,DG,Consumer Discretionary,198.5,200.3421,197.72,198.93
182,2020-08-20,DG,Consumer Discretionary,199.42,200.0,197.47,197.8
183,2020-08-19,DG,Consumer Discretionary,199.61,201.4,198.14,200.13
184,2020-08-18,DG,Consumer Discretionary,200.95,200.95,196.17,197.98
185,2020-08-17,DG,Consumer Discretionary,199.29,202.275,198.31,200.73
186,2020-08-14,DG,Consumer Discretionary,196.41,198.91,196.125,198.55
187,2020-08-13,DG,Consumer Discretionary,197.24,197.92,195.27,196.08
188,2020-08-12,DG,Consumer Discretionary,193.0,197.38,191.59,196.83
189,2020-08-11,DG,Consumer Discretionary,192.88,192.97,190.79,191.09
190,2020-08-10,DG,Consumer Discretionary,195.3,195.31,192.19,193.29
191,2020-08-07,DG,Consumer Discretionary,193.19,195.575,192.7586,195.29
192,2020-08-06,DG,Consumer Discretionary,194.24,194.78,190.27,192.55
193,2020-08-05,DG,Consumer Discretionary,196.14,197.35,194.0737,195.28
194,2020-08-04,DG,Consumer Discretionary,192.09,195.6,191.5654,195.43
195,2020-08-03,DG,Consumer Discretionary,190.7,193.28,190.7,192.89
196,2020-07-31,DG,Consumer Discretionary,191.38,191.75,187.76,190.4
197,2020-07-30,DG,Consumer Discretionary,191.05,192.08,190.09,191.32
198,2020-07-29,DG,Consumer Discretionary,190.95,192.43,190.6,191.38
199,2020-07-28,DG,Consumer Discretionary,190.13,191.83,189.27,190.03
200,2020-07-27,DG,Consumer Discretionary,191.79,192.29,189.5254,189.95
201,2020-07-24,DG,Consumer Discretionary,190.83,192.94,190.51,191.7
202,2020-07-23,DG,Consumer Discretionary,195.5,195.82,191.27,191.65
203,2020-07-22,DG,Consumer Discretionary,191.81,195.4399,190.76,195.15
204,2020-07-21,DG,Consumer Discretionary,192.54,193.5,190.11,191.86
205,2020-07-20,DG,Consumer Discretionary,189.62,193.09,189.095,192.77
206,2020-07-17,DG,Consumer Discretionary,190.16,190.33,188.06,188.48
207,2020-07-16,DG,Consumer Discretionary,189.36,191.375,187.3101,188.92
208,2020-07-15,DG,Consumer Discretionary,190.39,190.895,188.12,189.43
209,2020-07-14,DG,Consumer Discretionary,186.03,189.85,185.54,189.73
210,2020-07-13,DG,Consumer Discretionary,188.57,191.15,185.82,186.46
211,2020-07-10,DG,Consumer Discretionary,189.91,190.49,186.84,188.24
212,2020-07-09,DG,Consumer Discretionary,186.65,190.55,186.55,189.74
213,2020-07-08,DG,Consumer Discretionary,188.0,188.39,185.6,186.53
214,2020-07-07,DG,Consumer Discretionary,185.92,188.91,185.72,187.82
215,2020-07-06,DG,Consumer Discretionary,190.54,190.82,186.085,187.14
216,2020-07-02,DG,Consumer Discretionary,191.79,191.895,188.94,189.48
217,2020-07-01,DG,Consumer Discretionary,189.79,191.44,188.07,190.9
218,2020-06-30,DG,Consumer Discretionary,190.03,191.05,188.13,190.51
219,2020-06-29,DG,Consumer Discretionary,190.08,191.31,188.12,190.02
220,2020-06-26,DG,Consumer Discretionary,190.76,193.63,189.25,189.39
221,2020-06-25,DG,Consumer Discretionary,190.75,191.76,187.67,190.67
222,2020-06-24,DG,Consumer Discretionary,189.53,192.45,188.61,191.85
223,2020-06-23,DG,Consumer Discretionary,192.76,193.0,189.4,189.97
