,date,symbol,sector,open,high,low,close
0,2021-05-12,DGX,Health Care,137.95,139.32,136.01,136.01
1,2021-05-11,DGX,Health Care,140.51,140.83,137.5,137.85
2,2021-05-10,DGX,Health Care,139.75,142.8,139.11,141.48
3,2021-05-07,DGX,Health Care,138.65,140.64,138.65,138.95
4,2021-05-06,DGX,Health Care,136.25,138.49,135.71,138.39
5,2021-05-05,DGX,Health Care,137.0,137.19,135.245,136.57
6,2021-05-04,DGX,Health Care,134.01,136.52,133.02,136.39
7,2021-05-03,DGX,Health Care,132.61,134.75,132.55,132.71
8,2021-04-30,DGX,Health Care,131.05,132.66,130.85,131.88
9,2021-04-29,DGX,Health Care,131.95,132.59,130.05,131.46
10,2021-04-28,DGX,Health Care,132.48,132.85,131.07,131.68
11,2021-04-27,DGX,Health Care,131.93,133.05,131.91,132.3
12,2021-04-26,DGX,Health Care,131.64,133.05,130.1738,132.27
13,2021-04-23,DGX,Health Care,131.1,132.78,130.01,131.21
14,2021-04-22,DGX,Health Care,131.11,133.9,128.33,133.69
15,2021-04-21,DGX,Health Care,129.47,130.67,129.22,130.02
16,2021-04-20,DGX,Health Care,130.5,131.4,128.17,129.37
17,2021-04-19,DGX,Health Care,130.6,131.09,129.47,131.09
18,2021-04-16,DGX,Health Care,130.14,130.57,128.7613,130.11
19,2021-04-15,DGX,Health Care,127.8,129.79,127.8,129.15
20,2021-04-14,DGX,Health Care,128.36,128.76,126.65,127.34
21,2021-04-13,DGX,Health Care,129.06,130.77,128.12,128.39
22,2021-04-12,DGX,Health Care,127.32,128.89,127.05,128.86
23,2021-04-09,DGX,Health Care,126.91,127.3,125.69,126.69
24,2021-04-08,DGX,Health Care,127.96,128.02,126.61,126.66
25,2021-04-07,DGX,Health Care,128.45,129.355,127.72,127.74
26,2021-04-06,DGX,Health Care,129.26,129.47,127.94,128.31
27,2021-04-05,DGX,Health Care,129.5,132.24,129.39,130.13
28,2021-04-01,DGX,Health Care,129.99,129.99,126.94,129.44
29,2021-03-31,DGX,Health Care,129.21,129.65,127.24,128.34
30,2021-03-30,DGX,Health Care,128.0,128.8,126.4,128.49
31,2021-03-29,DGX,Health Care,128.48,128.97,126.885,128.04
32,2021-03-26,DGX,Health Care,127.44,129.34,126.97,129.24
33,2021-03-25,DGX,Health Care,126.59,127.33,125.16,127.15
34,2021-03-24,DGX,Health Care,125.19,128.67,124.985,126.89
35,2021-03-23,DGX,Health Care,126.41,127.485,124.99,125.21
36,2021-03-22,DGX,Health Care,124.89,126.1,123.81,125.91
37,2021-03-19,DGX,Health Care,124.15,126.31,124.15,125.28
38,2021-03-18,DGX,Health Care,123.21,124.67,122.03,124.26
39,2021-03-17,DGX,Health Care,122.16,125.35,122.16,123.12
40,2021-03-16,DGX,Health Care,123.62,124.16,122.31,122.68
41,2021-03-15,DGX,Health Care,121.61,123.62,121.55,123.36
42,2021-03-12,DGX,Health Care,121.6,122.08,120.07,121.87
43,2021-03-11,DGX,Health Care,119.01,121.98,117.52,121.86
44,2021-03-10,DGX,Health Care,120.47,122.61,116.66,116.87
45,2021-03-09,DGX,Health Care,121.79,123.37,119.69,119.88
46,2021-03-08,DGX,Health Care,117.85,122.54,117.82,121.09
47,2021-03-05,DGX,Health Care,117.88,118.32,115.75,117.96
48,2021-03-04,DGX,Health Care,116.39,119.15,116.09,117.28
49,2021-03-03,DGX,Health Care,119.1,119.1,116.1,116.88
50,2021-03-02,DGX,Health Care,117.24,119.3,116.835,118.56
51,2021-03-01,DGX,Health Care,116.63,118.72,115.6,116.57
52,2021-02-26,DGX,Health Care,115.1,116.63,114.2,115.59
53,2021-02-25,DGX,Health Care,115.49,116.84,113.69,114.63
54,2021-02-24,DGX,Health Care,116.95,117.96,114.95,115.74
55,2021-02-23,DGX,Health Care,116.37,117.6,113.36,117.49
56,2021-02-22,DGX,Health Care,118.5,118.7,114.4581,116.21
57,2021-02-19,DGX,Health Care,122.0,123.36,119.02,119.23
58,2021-02-18,DGX,Health Care,121.18,122.79,119.5,121.85
59,2021-02-17,DGX,Health Care,121.13,123.32,120.29,121.85
60,2021-02-16,DGX,Health Care,126.59,126.59,121.7702,122.08
61,2021-02-12,DGX,Health Care,125.0,126.88,124.975,126.02
62,2021-02-11,DGX,Health Care,124.0,125.555,122.86,125.06
63,2021-02-10,DGX,Health Care,122.91,123.955,121.82,123.55
64,2021-02-09,DGX,Health Care,121.4,122.83,121.4,121.79
65,2021-02-08,DGX,Health Care,123.0,123.65,121.4,121.64
66,2021-02-05,DGX,Health Care,121.37,123.15,119.6,121.79
