,date,symbol,sector,open,high,low,close
0,2021-05-12,DHR,Health Care,255.12,256.4,249.86,250.28
1,2021-05-11,DHR,Health Care,256.81,258.55,255.26,257.91
2,2021-05-10,DHR,Health Care,258.61,260.66,257.33,259.03
3,2021-05-07,DHR,Health Care,258.77,261.4267,258.07,258.48
4,2021-05-06,DHR,Health Care,253.66,257.19,252.53,256.99
5,2021-05-05,DHR,Health Care,257.13,256.26,254.17,254.5
6,2021-05-04,DHR,Health Care,253.99,256.25,251.89,256.03
7,2021-05-03,DHR,Health Care,256.73,256.9,254.0,254.67
8,2021-04-30,DHR,Health Care,255.33,257.38,252.79,253.94
9,2021-04-29,DHR,Health Care,259.76,259.84,255.61,256.58
10,2021-04-28,DHR,Health Care,255.8,258.94,255.31,258.39
11,2021-04-27,DHR,Health Care,257.8,259.379,255.3,258.02
12,2021-04-26,DHR,Health Care,259.55,260.37,257.73,258.1
13,2021-04-23,DHR,Health Care,252.97,259.98,252.72,259.78
14,2021-04-22,DHR,Health Care,248.05,256.1,248.05,252.92
15,2021-04-21,DHR,Health Care,242.55,245.32,240.96,244.4
16,2021-04-20,DHR,Health Care,240.17,243.17,240.17,241.85
17,2021-04-19,DHR,Health Care,241.84,242.7171,239.95,241.99
18,2021-04-16,DHR,Health Care,243.38,243.88,241.52,243.06
19,2021-04-15,DHR,Health Care,238.12,243.36,237.01,242.59
20,2021-04-14,DHR,Health Care,241.67,242.0,236.9,237.3
21,2021-04-13,DHR,Health Care,238.42,247.9,237.2,242.84
22,2021-04-12,DHR,Health Care,231.56,235.23,231.09,234.84
23,2021-04-09,DHR,Health Care,230.14,232.37,229.03,232.36
24,2021-04-08,DHR,Health Care,227.93,231.25,227.72,229.94
25,2021-04-07,DHR,Health Care,226.12,227.91,224.77,226.07
26,2021-04-06,DHR,Health Care,229.34,230.91,226.13,227.05
27,2021-04-05,DHR,Health Care,227.63,228.15,225.59,226.53
28,2021-04-01,DHR,Health Care,225.52,227.14,224.142,225.08
29,2021-03-31,DHR,Health Care,224.5,227.36,223.79,225.08
30,2021-03-30,DHR,Health Care,225.66,225.94,222.22,223.0
31,2021-03-29,DHR,Health Care,224.83,228.4,222.3,226.88
32,2021-03-26,DHR,Health Care,219.89,226.5,217.99,226.27
33,2021-03-25,DHR,Health Care,220.45,220.45,215.38,218.69
34,2021-03-24,DHR,Health Care,219.11,220.61,217.89,219.47
35,2021-03-23,DHR,Health Care,222.92,224.54,219.26,220.32
36,2021-03-22,DHR,Health Care,220.41,223.91,218.73,223.55
37,2021-03-19,DHR,Health Care,216.8,221.51,216.05,221.06
38,2021-03-18,DHR,Health Care,214.19,218.355,212.71,215.95
39,2021-03-17,DHR,Health Care,214.43,215.78,212.8,214.14
40,2021-03-16,DHR,Health Care,217.23,218.0399,214.66,215.9
41,2021-03-15,DHR,Health Care,215.2,218.425,214.6,217.0
42,2021-03-12,DHR,Health Care,217.63,218.6,213.84,214.68
43,2021-03-11,DHR,Health Care,215.84,220.0,214.57,219.22
44,2021-03-10,DHR,Health Care,216.87,219.27,211.22,212.93
45,2021-03-09,DHR,Health Care,216.18,219.0,215.7,216.34
46,2021-03-08,DHR,Health Care,218.01,219.39,212.0927,212.38
47,2021-03-05,DHR,Health Care,216.0,219.32,212.55,218.35
48,2021-03-04,DHR,Health Care,218.76,220.07,212.66,214.41
49,2021-03-03,DHR,Health Care,225.0,225.955,219.46,219.68
50,2021-03-02,DHR,Health Care,225.08,226.74,222.13,224.09
51,2021-03-01,DHR,Health Care,220.92,226.73,220.92,225.67
52,2021-02-26,DHR,Health Care,222.13,222.8,219.56,219.67
53,2021-02-25,DHR,Health Care,222.0,224.1345,218.065,219.26
54,2021-02-24,DHR,Health Care,224.5,226.24,222.5,223.0
55,2021-02-23,DHR,Health Care,225.35,226.64,222.86,223.85
56,2021-02-22,DHR,Health Care,231.7,231.7,225.0,225.5
57,2021-02-19,DHR,Health Care,237.32,238.5354,231.12,231.24
58,2021-02-18,DHR,Health Care,238.07,238.6,235.5,237.4
59,2021-02-17,DHR,Health Care,241.06,242.57,239.3,239.91
60,2021-02-16,DHR,Health Care,247.82,248.86,241.595,242.27
61,2021-02-12,DHR,Health Care,240.24,247.08,240.19,245.9
62,2021-02-11,DHR,Health Care,239.27,240.95,237.41,240.66
63,2021-02-10,DHR,Health Care,238.85,238.85,236.22,237.49
64,2021-02-09,DHR,Health Care,236.51,238.43,234.75,237.0
65,2021-02-08,DHR,Health Care,236.16,238.755,234.08,235.65
66,2021-02-05,DHR,Health Care,236.25,238.35,234.56,235.59
67,2021-02-04,DHR,Health Care,237.62,239.88,234.6101,235.53
68,2021-02-03,DHR,Health Care,244.02,244.5,238.12,238.23
69,2021-02-02,DHR,Health Care,244.75,246.12,242.84,245.09
70,2021-02-01,DHR,Health Care,239.5,244.4386,239.06,241.75
71,2021-01-29,DHR,Health Care,227.94,239.1,225.95,237.84
72,2021-01-28,DHR,Health Care,225.6,232.0,225.2414,228.57
73,2021-01-27,DHR,Health Care,230.4,230.4,217.83,222.2
74,2021-01-26,DHR,Health Care,238.86,238.86,233.98,233.98
75,2021-01-25,DHR,Health Care,237.91,239.3,233.57,238.15
76,2021-01-22,DHR,Health Care,234.35,239.45,233.85,238.04
77,2021-01-21,DHR,Health Care,236.75,238.53,232.71,233.1
78,2021-01-20,DHR,Health Care,235.87,237.54,234.61,237.05
79,2021-01-19,DHR,Health Care,239.16,239.65,235.45,236.11
80,2021-01-15,DHR,Health Care,236.7,238.98,234.94,236.75
81,2021-01-14,DHR,Health Care,240.32,241.3662,236.33,236.7
82,2021-01-13,DHR,Health Care,239.97,241.31,235.71,239.84
83,2021-01-12,DHR,Health Care,244.57,245.25,239.26,240.69
84,2021-01-11,DHR,Health Care,243.01,244.22,241.84,244.12
85,2021-01-08,DHR,Health Care,241.04,244.96,240.5,243.49
86,2021-01-07,DHR,Health Care,238.45,243.05,237.89,239.71
87,2021-01-06,DHR,Health Care,223.88,237.64,222.4603,236.35
88,2021-01-05,DHR,Health Care,222.73,229.365,222.73,228.77
89,2021-01-04,DHR,Health Care,224.99,225.66,219.68,223.23
90,2020-12-31,DHR,Health Care,220.83,222.35,219.67,222.14
91,2020-12-30,DHR,Health Care,223.8,224.85,220.29,220.68
92,2020-12-29,DHR,Health Care,225.39,225.6475,222.66,222.86
93,2020-12-28,DHR,Health Care,223.28,225.35,221.46,222.75
94,2020-12-24,DHR,Health Care,220.75,223.57,220.57,221.49
95,2020-12-23,DHR,Health Care,223.46,224.92,220.47,220.57
