,date,symbol,sector,open,high,low,close
0,2021-05-12,DLTR,Consumer Discretionary,111.95,112.44,109.47,109.83
1,2021-05-11,DLTR,Consumer Discretionary,116.11,116.14,112.115,112.81
2,2021-05-10,DLTR,Consumer Discretionary,116.71,117.5,115.96,116.04
3,2021-05-07,DLTR,Consumer Discretionary,115.89,116.94,115.38,116.25
4,2021-05-06,DLTR,Consumer Discretionary,115.25,115.74,114.43,115.7
5,2021-05-05,DLTR,Consumer Discretionary,115.34,115.48,113.97,114.68
6,2021-05-04,DLTR,Consumer Discretionary,115.07,115.62,113.8,114.83
7,2021-05-03,DLTR,Consumer Discretionary,115.61,116.88,115.26,116.23
8,2021-04-30,DLTR,Consumer Discretionary,115.49,115.89,113.5,114.9
9,2021-04-29,DLTR,Consumer Discretionary,114.38,115.715,114.22,115.43
10,2021-04-28,DLTR,Consumer Discretionary,114.75,115.32,113.65,114.04
11,2021-04-27,DLTR,Consumer Discretionary,114.24,115.51,114.11,115.01
12,2021-04-26,DLTR,Consumer Discretionary,115.3,115.3,113.38,113.98
13,2021-04-23,DLTR,Consumer Discretionary,115.19,116.24,114.08,115.56
14,2021-04-22,DLTR,Consumer Discretionary,116.71,116.97,114.33,115.15
15,2021-04-21,DLTR,Consumer Discretionary,116.44,117.24,116.43,116.67
16,2021-04-20,DLTR,Consumer Discretionary,116.87,117.05,116.02,116.34
17,2021-04-19,DLTR,Consumer Discretionary,117.79,118.05,116.24,116.95
18,2021-04-16,DLTR,Consumer Discretionary,117.18,118.57,116.58,117.36
19,2021-04-15,DLTR,Consumer Discretionary,115.99,117.35,115.4,117.02
20,2021-04-14,DLTR,Consumer Discretionary,117.05,117.7,114.78,114.9
21,2021-04-13,DLTR,Consumer Discretionary,117.34,118.225,116.14,117.65
22,2021-04-12,DLTR,Consumer Discretionary,117.17,117.81,115.94,117.04
23,2021-04-09,DLTR,Consumer Discretionary,117.17,117.6999,116.08,117.55
24,2021-04-08,DLTR,Consumer Discretionary,117.2,117.25,116.16,116.88
25,2021-04-07,DLTR,Consumer Discretionary,117.89,118.33,116.65,117.16
26,2021-04-06,DLTR,Consumer Discretionary,118.11,120.37,117.47,117.61
27,2021-04-05,DLTR,Consumer Discretionary,116.44,119.65,116.03,119.26
28,2021-04-01,DLTR,Consumer Discretionary,114.59,116.07,113.3901,115.93
29,2021-03-31,DLTR,Consumer Discretionary,116.0,117.26,114.2,114.46
30,2021-03-30,DLTR,Consumer Discretionary,115.6,116.65,114.5,116.23
31,2021-03-29,DLTR,Consumer Discretionary,115.06,116.23,114.2,115.75
32,2021-03-26,DLTR,Consumer Discretionary,110.89,114.43,110.58,114.39
33,2021-03-25,DLTR,Consumer Discretionary,110.17,111.42,109.51,111.08
34,2021-03-24,DLTR,Consumer Discretionary,109.715,112.2,109.48,110.5
35,2021-03-23,DLTR,Consumer Discretionary,109.98,111.31,109.63,109.86
36,2021-03-22,DLTR,Consumer Discretionary,108.2,110.75,107.4501,110.25
37,2021-03-19,DLTR,Consumer Discretionary,104.71,108.63,104.565,108.12
38,2021-03-18,DLTR,Consumer Discretionary,106.0,107.13,104.575,105.25
39,2021-03-17,DLTR,Consumer Discretionary,108.85,108.96,107.29,107.7
40,2021-03-16,DLTR,Consumer Discretionary,109.42,110.29,108.2,109.04
41,2021-03-15,DLTR,Consumer Discretionary,108.56,109.37,107.26,109.3
42,2021-03-12,DLTR,Consumer Discretionary,108.56,109.34,107.37,108.61
43,2021-03-11,DLTR,Consumer Discretionary,107.72,108.82,107.02,108.57
44,2021-03-10,DLTR,Consumer Discretionary,109.0,109.11,107.535,107.83
45,2021-03-09,DLTR,Consumer Discretionary,108.63,109.87,106.45,107.59
46,2021-03-08,DLTR,Consumer Discretionary,104.49,109.32,103.24,108.07
47,2021-03-05,DLTR,Consumer Discretionary,102.47,104.535,100.21,104.08
48,2021-03-04,DLTR,Consumer Discretionary,101.8,103.94,100.295,101.81
49,2021-03-03,DLTR,Consumer Discretionary,96.18,104.69,95.86,101.88
50,2021-03-02,DLTR,Consumer Discretionary,99.9506,99.9506,96.54,98.95
51,2021-03-01,DLTR,Consumer Discretionary,98.8,100.38,98.5,99.23
52,2021-02-26,DLTR,Consumer Discretionary,99.59,100.715,98.07,98.2
53,2021-02-25,DLTR,Consumer Discretionary,98.75,99.86,97.69,98.88
54,2021-02-24,DLTR,Consumer Discretionary,102.14,102.5,99.73,101.13
55,2021-02-23,DLTR,Consumer Discretionary,104.79,105.05,102.095,102.98
56,2021-02-22,DLTR,Consumer Discretionary,107.42,107.5,104.87,104.88
57,2021-02-19,DLTR,Consumer Discretionary,108.32,108.42,106.98,107.9
58,2021-02-18,DLTR,Consumer Discretionary,105.9635,108.47,105.04,107.76
59,2021-02-17,DLTR,Consumer Discretionary,107.19,108.61,106.2792,108.32
60,2021-02-16,DLTR,Consumer Discretionary,108.43,108.63,106.705,107.65
61,2021-02-12,DLTR,Consumer Discretionary,108.6827,109.89,107.5,108.375
62,2021-02-11,DLTR,Consumer Discretionary,110.59,111.94,108.36,109.09
63,2021-02-10,DLTR,Consumer Discretionary,109.82,111.09,109.72,110.25
64,2021-02-09,DLTR,Consumer Discretionary,107.29,109.88,106.69,109.82
65,2021-02-08,DLTR,Consumer Discretionary,106.07,107.3,105.66,107.07
66,2021-02-05,DLTR,Consumer Discretionary,106.75,107.52,105.145,105.645
67,2021-02-04,DLTR,Consumer Discretionary,105.11,106.21,104.52,106.14
68,2021-02-03,DLTR,Consumer Discretionary,103.76,105.29,103.26,104.94
