,date,symbol,sector,open,high,low,close
0,2021-05-12,DOV,Industrials,150.35,150.76,146.28,146.4
1,2021-05-11,DOV,Industrials,152.5,152.5,149.59,150.19
2,2021-05-10,DOV,Industrials,154.0,155.77,153.4,153.45
3,2021-05-07,DOV,Industrials,152.05,153.63,151.59,152.91
4,2021-05-06,DOV,Industrials,151.71,152.82,150.88,152.67
5,2021-05-05,DOV,Industrials,151.55,151.71,150.09,150.84
6,2021-05-04,DOV,Industrials,149.52,151.915,148.98,151.54
7,2021-05-03,DOV,Industrials,150.4,151.04,148.5,149.77
8,2021-04-30,DOV,Industrials,150.24,151.03,148.66,149.19
9,2021-04-29,DOV,Industrials,149.01,151.72,148.61,151.33
10,2021-04-28,DOV,Industrials,148.4,149.75,147.63,148.1
11,2021-04-27,DOV,Industrials,146.4,148.1,145.27,147.94
12,2021-04-26,DOV,Industrials,148.69,149.23,146.16,146.39
13,2021-04-23,DOV,Industrials,147.35,148.73,147.02,148.14
14,2021-04-22,DOV,Industrials,149.33,149.4,147.05,147.55
15,2021-04-21,DOV,Industrials,145.23,148.85,145.16,148.83
16,2021-04-20,DOV,Industrials,144.74,146.9,143.78,144.86
17,2021-04-19,DOV,Industrials,140.57,140.82,138.87,140.43
18,2021-04-16,DOV,Industrials,140.83,141.2127,139.5,140.57
19,2021-04-15,DOV,Industrials,138.47,139.45,137.65,139.38
20,2021-04-14,DOV,Industrials,138.17,139.48,137.92,138.3
21,2021-04-13,DOV,Industrials,139.66,139.835,138.32,138.66
22,2021-04-12,DOV,Industrials,139.95,140.755,139.42,140.49
23,2021-04-09,DOV,Industrials,139.41,140.1,138.41,139.96
24,2021-04-08,DOV,Industrials,138.52,139.21,137.84,138.52
25,2021-04-07,DOV,Industrials,139.25,139.79,138.38,139.08
26,2021-04-06,DOV,Industrials,140.04,141.12,139.25,139.53
27,2021-04-05,DOV,Industrials,139.22,140.71,138.37,140.17
28,2021-04-01,DOV,Industrials,137.76,138.04,135.68,137.93
29,2021-03-31,DOV,Industrials,138.15,138.9,136.57,137.13
30,2021-03-30,DOV,Industrials,138.5,139.09,137.75,138.38
31,2021-03-29,DOV,Industrials,139.33,140.17,137.72,138.23
32,2021-03-26,DOV,Industrials,138.58,140.1,137.56,139.9
33,2021-03-25,DOV,Industrials,135.65,138.26,134.08,137.7
34,2021-03-24,DOV,Industrials,134.59,137.07,134.5,135.67
35,2021-03-23,DOV,Industrials,135.33,136.53,133.01,133.62
36,2021-03-22,DOV,Industrials,135.57,136.78,134.735,136.44
37,2021-03-19,DOV,Industrials,136.8,137.31,134.51,135.55
38,2021-03-18,DOV,Industrials,136.93,138.19,136.45,137.2
39,2021-03-17,DOV,Industrials,136.46,137.44,135.1,136.92
40,2021-03-16,DOV,Industrials,135.23,135.72,132.46,135.56
41,2021-03-15,DOV,Industrials,135.25,135.88,133.39,135.76
42,2021-03-12,DOV,Industrials,134.78,136.05,134.52,135.83
43,2021-03-11,DOV,Industrials,132.96,134.88,132.5,133.86
44,2021-03-10,DOV,Industrials,130.77,134.67,130.17,133.07
45,2021-03-09,DOV,Industrials,132.44,132.44,130.78,130.92
46,2021-03-08,DOV,Industrials,130.73,133.31,130.41,131.78
47,2021-03-05,DOV,Industrials,126.71,130.64,126.005,130.06
48,2021-03-04,DOV,Industrials,127.02,127.54,123.58,125.36
49,2021-03-03,DOV,Industrials,127.25,129.08,126.87,126.99
50,2021-03-02,DOV,Industrials,127.34,128.14,126.43,127.15
51,2021-03-01,DOV,Industrials,124.41,129.45,124.41,127.37
52,2021-02-26,DOV,Industrials,124.52,124.82,122.605,123.26
53,2021-02-25,DOV,Industrials,125.42,125.74,123.86,124.28
54,2021-02-24,DOV,Industrials,121.74,125.76,121.14,125.5
55,2021-02-23,DOV,Industrials,122.67,123.62,120.3,121.98
56,2021-02-22,DOV,Industrials,121.42,122.34,120.86,122.14
57,2021-02-19,DOV,Industrials,121.35,122.91,121.26,122.25
58,2021-02-18,DOV,Industrials,120.39,121.39,118.94,120.94
59,2021-02-17,DOV,Industrials,121.18,121.99,119.67,120.63
60,2021-02-16,DOV,Industrials,123.45,123.74,121.63,121.65
61,2021-02-12,DOV,Industrials,121.94,122.8725,121.375,122.73
62,2021-02-11,DOV,Industrials,123.16,123.31,119.96,122.1
63,2021-02-10,DOV,Industrials,120.88,123.12,120.35,122.78
64,2021-02-09,DOV,Industrials,120.89,120.96,119.57,120.35
65,2021-02-08,DOV,Industrials,121.61,122.47,120.205,120.89
66,2021-02-05,DOV,Industrials,120.74,122.39,120.57,121.06
67,2021-02-04,DOV,Industrials,121.03,121.47,119.28,119.83
68,2021-02-03,DOV,Industrials,118.76,121.17,118.27,120.83
69,2021-02-02,DOV,Industrials,118.65,120.86,117.88,119.34
70,2021-02-01,DOV,Industrials,117.48,117.81,115.88,117.58
71,2021-01-29,DOV,Industrials,117.38,118.48,116.07,116.49
72,2021-01-28,DOV,Industrials,120.08,122.45,117.44,118.0
73,2021-01-27,DOV,Industrials,122.58,123.2,118.61,118.94
74,2021-01-26,DOV,Industrials,126.43,126.5,123.45,124.25
75,2021-01-25,DOV,Industrials,124.94,126.89,123.9837,125.07
76,2021-01-22,DOV,Industrials,124.29,125.8445,123.43,125.32
