,date,symbol,sector,open,high,low,close
0,2021-05-12,DPZ,Consumer Discretionary,420.0,447.5,419.24,425.44
1,2021-05-11,DPZ,Consumer Discretionary,428.62,430.01,419.49,422.34
2,2021-05-10,DPZ,Consumer Discretionary,432.58,435.5,428.34,431.07
3,2021-05-07,DPZ,Consumer Discretionary,430.6,434.26,430.6,432.47
4,2021-05-06,DPZ,Consumer Discretionary,434.48,436.52,428.44,430.03
5,2021-05-05,DPZ,Consumer Discretionary,436.0,434.77,428.1,431.89
6,2021-05-04,DPZ,Consumer Discretionary,430.82,436.63,430.0,433.99
7,2021-05-03,DPZ,Consumer Discretionary,426.8,435.67,424.64,433.59
8,2021-04-30,DPZ,Consumer Discretionary,415.98,428.78,415.74,422.34
9,2021-04-29,DPZ,Consumer Discretionary,401.44,419.36,391.2636,415.98
10,2021-04-28,DPZ,Consumer Discretionary,401.03,408.74,399.47,403.95
11,2021-04-27,DPZ,Consumer Discretionary,400.02,403.38,399.49,401.03
12,2021-04-26,DPZ,Consumer Discretionary,398.94,402.67,395.61,400.21
13,2021-04-23,DPZ,Consumer Discretionary,399.55,401.02,395.5,397.71
14,2021-04-22,DPZ,Consumer Discretionary,396.05,400.58,393.5,398.76
15,2021-04-21,DPZ,Consumer Discretionary,398.14,398.14,393.588,394.8
16,2021-04-20,DPZ,Consumer Discretionary,398.28,402.16,396.51,398.05
17,2021-04-19,DPZ,Consumer Discretionary,393.58,399.39,393.58,397.96
18,2021-04-16,DPZ,Consumer Discretionary,395.0,396.01,392.31,394.83
19,2021-04-15,DPZ,Consumer Discretionary,392.0,393.43,388.4,392.99
20,2021-04-14,DPZ,Consumer Discretionary,394.61,396.27,387.62,390.64
21,2021-04-13,DPZ,Consumer Discretionary,392.22,397.33,391.08,394.93
22,2021-04-12,DPZ,Consumer Discretionary,391.07,392.57,387.345,390.62
23,2021-04-09,DPZ,Consumer Discretionary,382.87,390.4325,382.68,390.35
24,2021-04-08,DPZ,Consumer Discretionary,385.5,387.01,381.15,383.92
25,2021-04-07,DPZ,Consumer Discretionary,380.25,383.97,377.35,382.3
26,2021-04-06,DPZ,Consumer Discretionary,374.37,384.0,372.81,380.68
27,2021-04-05,DPZ,Consumer Discretionary,373.0,373.75,367.29,371.64
28,2021-04-01,DPZ,Consumer Discretionary,370.0,376.73,367.48,373.38
29,2021-03-31,DPZ,Consumer Discretionary,369.53,372.34,366.77,367.79
30,2021-03-30,DPZ,Consumer Discretionary,370.6,370.98,365.58,368.13
31,2021-03-29,DPZ,Consumer Discretionary,372.41,377.975,370.03,372.08
32,2021-03-26,DPZ,Consumer Discretionary,366.25,372.05,365.05,371.84
33,2021-03-25,DPZ,Consumer Discretionary,366.12,368.45,364.01,367.6
34,2021-03-24,DPZ,Consumer Discretionary,374.01,374.025,363.57,366.22
35,2021-03-23,DPZ,Consumer Discretionary,369.71,374.94,367.68,374.42
36,2021-03-22,DPZ,Consumer Discretionary,363.71,370.32,363.5,369.32
37,2021-03-19,DPZ,Consumer Discretionary,365.4,366.58,361.74,363.7
38,2021-03-18,DPZ,Consumer Discretionary,360.76,364.46,355.27,363.82
39,2021-03-17,DPZ,Consumer Discretionary,363.22,364.38,359.308,363.25
40,2021-03-16,DPZ,Consumer Discretionary,365.07,367.62,362.34,366.01
41,2021-03-15,DPZ,Consumer Discretionary,361.75,363.17,357.5,362.97
42,2021-03-12,DPZ,Consumer Discretionary,353.73,361.63,353.23,361.11
43,2021-03-11,DPZ,Consumer Discretionary,358.75,362.45,355.09,358.37
44,2021-03-10,DPZ,Consumer Discretionary,356.63,360.74,352.46,357.93
45,2021-03-09,DPZ,Consumer Discretionary,339.36,354.61,337.08,354.08
46,2021-03-08,DPZ,Consumer Discretionary,330.0,336.6,325.63,333.51
47,2021-03-05,DPZ,Consumer Discretionary,330.19,331.39,319.71,330.24
48,2021-03-04,DPZ,Consumer Discretionary,332.93,338.92,326.66,330.53
49,2021-03-03,DPZ,Consumer Discretionary,340.98,342.64,332.2795,332.73
50,2021-03-02,DPZ,Consumer Discretionary,345.57,347.5,340.94,343.01
51,2021-03-01,DPZ,Consumer Discretionary,349.56,349.6,344.515,345.06
52,2021-02-26,DPZ,Consumer Discretionary,339.26,348.64,337.1,346.51
53,2021-02-25,DPZ,Consumer Discretionary,340.0,344.185,331.22,339.0
54,2021-02-24,DPZ,Consumer Discretionary,367.35,368.47,360.01,364.59
55,2021-02-23,DPZ,Consumer Discretionary,364.0,369.03,358.36,366.74
56,2021-02-22,DPZ,Consumer Discretionary,371.0,371.99,361.19,365.16
57,2021-02-19,DPZ,Consumer Discretionary,378.08,378.24,371.0,371.46
58,2021-02-18,DPZ,Consumer Discretionary,375.67,378.9,374.46,377.14
59,2021-02-17,DPZ,Consumer Discretionary,377.1,377.1,370.67,376.49
60,2021-02-16,DPZ,Consumer Discretionary,386.17,387.46,377.68,377.92
61,2021-02-12,DPZ,Consumer Discretionary,385.07,388.05,382.31,385.17
62,2021-02-11,DPZ,Consumer Discretionary,383.27,385.9427,380.99,385.2
63,2021-02-10,DPZ,Consumer Discretionary,384.02,386.48,381.09,382.06
64,2021-02-09,DPZ,Consumer Discretionary,380.3,384.3,379.04,382.96
65,2021-02-08,DPZ,Consumer Discretionary,375.29,380.4899,374.51,380.06
66,2021-02-05,DPZ,Consumer Discretionary,374.07,382.1,373.49,377.23
67,2021-02-04,DPZ,Consumer Discretionary,373.77,374.465,371.0,373.0
68,2021-02-03,DPZ,Consumer Discretionary,376.68,379.85,372.0,373.33
69,2021-02-02,DPZ,Consumer Discretionary,374.6,382.87,373.64,377.22
70,2021-02-01,DPZ,Consumer Discretionary,370.0,375.99,368.2512,371.42
71,2021-01-29,DPZ,Consumer Discretionary,371.33,376.98,369.71,370.76
72,2021-01-28,DPZ,Consumer Discretionary,378.24,378.24,366.5,371.6
73,2021-01-27,DPZ,Consumer Discretionary,376.87,381.0,371.04,376.91
74,2021-01-26,DPZ,Consumer Discretionary,378.5,380.99,374.0,378.84
75,2021-01-25,DPZ,Consumer Discretionary,381.24,384.0,376.65,378.49
76,2021-01-22,DPZ,Consumer Discretionary,381.57,381.57,375.86,380.37
77,2021-01-21,DPZ,Consumer Discretionary,379.0,382.74,376.0,381.12
78,2021-01-20,DPZ,Consumer Discretionary,373.5,379.225,371.0,379.0
79,2021-01-19,DPZ,Consumer Discretionary,377.9,379.615,372.58,372.65
80,2021-01-15,DPZ,Consumer Discretionary,374.8,377.23,371.34,375.23
81,2021-01-14,DPZ,Consumer Discretionary,385.43,385.43,373.64,373.8
82,2021-01-13,DPZ,Consumer Discretionary,385.0,387.89,381.82,381.86
83,2021-01-12,DPZ,Consumer Discretionary,391.91,394.31,384.2,385.5
