,date,symbol,sector,open,high,low,close
0,2021-05-12,DRI,Consumer Discretionary,136.36,136.99,131.28,131.88
1,2021-05-11,DRI,Consumer Discretionary,139.53,139.53,135.87,137.42
2,2021-05-10,DRI,Consumer Discretionary,142.5,143.1,140.53,140.69
3,2021-05-07,DRI,Consumer Discretionary,141.12,143.88,140.75,142.38
4,2021-05-06,DRI,Consumer Discretionary,143.91,144.2,139.94,141.75
5,2021-05-05,DRI,Consumer Discretionary,143.97,143.2,140.86,142.23
6,2021-05-04,DRI,Consumer Discretionary,144.3,144.3,142.07,143.75
7,2021-05-03,DRI,Consumer Discretionary,147.51,148.2,144.44,144.61
8,2021-04-30,DRI,Consumer Discretionary,146.36,147.64,144.95,146.72
9,2021-04-29,DRI,Consumer Discretionary,145.0,147.1,144.05,146.22
10,2021-04-28,DRI,Consumer Discretionary,143.2,144.71,141.83,143.87
11,2021-04-27,DRI,Consumer Discretionary,142.01,144.19,142.0,142.66
12,2021-04-26,DRI,Consumer Discretionary,145.17,145.78,141.76,142.14
13,2021-04-23,DRI,Consumer Discretionary,144.98,145.35,142.63,143.97
14,2021-04-22,DRI,Consumer Discretionary,142.81,146.06,142.81,145.09
15,2021-04-21,DRI,Consumer Discretionary,143.28,144.0,141.835,142.9
16,2021-04-20,DRI,Consumer Discretionary,145.19,145.64,141.7782,142.94
17,2021-04-19,DRI,Consumer Discretionary,147.26,147.6,145.27,145.96
18,2021-04-16,DRI,Consumer Discretionary,144.44,146.62,143.78,146.33
19,2021-04-15,DRI,Consumer Discretionary,145.04,145.135,142.53,143.17
20,2021-04-14,DRI,Consumer Discretionary,142.99,146.22,142.99,144.15
21,2021-04-13,DRI,Consumer Discretionary,143.0,143.98,141.2,143.05
22,2021-04-12,DRI,Consumer Discretionary,143.36,145.05,142.44,143.69
23,2021-04-09,DRI,Consumer Discretionary,146.2,146.46,142.14,143.1
24,2021-04-08,DRI,Consumer Discretionary,145.4,145.94,143.46,145.74
25,2021-04-07,DRI,Consumer Discretionary,143.55,146.49,143.55,145.75
26,2021-04-06,DRI,Consumer Discretionary,143.75,147.1,143.75,144.46
27,2021-04-05,DRI,Consumer Discretionary,146.0,147.12,143.655,144.11
28,2021-04-01,DRI,Consumer Discretionary,142.52,144.84,141.2564,144.28
29,2021-03-31,DRI,Consumer Discretionary,146.0,146.33,141.85,142.0
30,2021-03-30,DRI,Consumer Discretionary,142.37,146.31,142.37,145.07
31,2021-03-29,DRI,Consumer Discretionary,148.09,149.73,142.09,143.72
32,2021-03-26,DRI,Consumer Discretionary,146.06,149.12,143.76,148.98
33,2021-03-25,DRI,Consumer Discretionary,140.0,146.19,134.19,144.9
34,2021-03-24,DRI,Consumer Discretionary,137.7,139.19,133.77,133.93
35,2021-03-23,DRI,Consumer Discretionary,135.45,138.18,135.0,136.75
36,2021-03-22,DRI,Consumer Discretionary,141.1,141.35,136.41,136.74
37,2021-03-19,DRI,Consumer Discretionary,140.2,140.87,138.16,139.79
38,2021-03-18,DRI,Consumer Discretionary,141.08,143.17,139.42,139.97
39,2021-03-17,DRI,Consumer Discretionary,140.5,141.82,139.72,141.25
40,2021-03-16,DRI,Consumer Discretionary,144.25,144.45,139.9222,140.54
41,2021-03-15,DRI,Consumer Discretionary,146.57,147.93,143.9,146.24
42,2021-03-12,DRI,Consumer Discretionary,141.99,145.83,141.34,145.41
43,2021-03-11,DRI,Consumer Discretionary,143.07,144.22,140.48,141.04
44,2021-03-10,DRI,Consumer Discretionary,139.37,144.135,138.14,142.09
45,2021-03-09,DRI,Consumer Discretionary,143.99,144.25,138.97,139.32
46,2021-03-08,DRI,Consumer Discretionary,141.92,144.8399,141.15,143.03
47,2021-03-05,DRI,Consumer Discretionary,137.94,140.98,134.04,140.66
48,2021-03-04,DRI,Consumer Discretionary,137.71,139.81,133.9,136.64
49,2021-03-03,DRI,Consumer Discretionary,139.11,141.76,137.85,138.03
50,2021-03-02,DRI,Consumer Discretionary,139.26,140.09,137.01,138.96
51,2021-03-01,DRI,Consumer Discretionary,139.12,140.5,137.51,139.02
52,2021-02-26,DRI,Consumer Discretionary,135.83,138.78,133.465,137.33
53,2021-02-25,DRI,Consumer Discretionary,139.09,139.32,134.1948,136.0
54,2021-02-24,DRI,Consumer Discretionary,134.42,139.23,134.0337,138.78
55,2021-02-23,DRI,Consumer Discretionary,134.85,135.7,131.06,134.31
56,2021-02-22,DRI,Consumer Discretionary,132.7,137.91,132.13,135.0
57,2021-02-19,DRI,Consumer Discretionary,130.99,134.39,129.3,134.01
58,2021-02-18,DRI,Consumer Discretionary,126.52,130.91,126.4,129.98
59,2021-02-17,DRI,Consumer Discretionary,128.11,128.92,126.815,128.27
60,2021-02-16,DRI,Consumer Discretionary,129.89,129.89,126.8601,128.93
61,2021-02-12,DRI,Consumer Discretionary,129.23,129.48,127.36,128.45
62,2021-02-11,DRI,Consumer Discretionary,129.13,129.86,127.455,128.92
63,2021-02-10,DRI,Consumer Discretionary,129.27,131.02,128.18,128.98
64,2021-02-09,DRI,Consumer Discretionary,129.72,131.25,128.95,129.36
65,2021-02-08,DRI,Consumer Discretionary,132.54,132.97,128.86,130.27
66,2021-02-05,DRI,Consumer Discretionary,130.0,133.33,129.8,131.98
67,2021-02-04,DRI,Consumer Discretionary,126.47,129.635,126.09,128.69
68,2021-02-03,DRI,Consumer Discretionary,122.32,126.96,122.32,125.54
69,2021-02-02,DRI,Consumer Discretionary,120.52,123.69,120.05,122.82
70,2021-02-01,DRI,Consumer Discretionary,118.24,120.0,117.2993,119.36
71,2021-01-29,DRI,Consumer Discretionary,118.08,120.96,116.62,116.89
72,2021-01-28,DRI,Consumer Discretionary,113.92,121.29,113.827,118.78
73,2021-01-27,DRI,Consumer Discretionary,116.63,117.225,110.89,112.1
74,2021-01-26,DRI,Consumer Discretionary,121.1,121.1,117.94,118.58
75,2021-01-25,DRI,Consumer Discretionary,121.66,122.255,118.825,120.0
76,2021-01-22,DRI,Consumer Discretionary,124.02,124.94,121.85,121.98
77,2021-01-21,DRI,Consumer Discretionary,124.73,125.39,123.14,124.96
78,2021-01-20,DRI,Consumer Discretionary,123.68,126.0,123.575,124.56
79,2021-01-19,DRI,Consumer Discretionary,126.05,126.25,122.56,124.12
80,2021-01-15,DRI,Consumer Discretionary,122.0,123.11,119.0,121.08
81,2021-01-14,DRI,Consumer Discretionary,126.47,126.925,122.97,123.1
82,2021-01-13,DRI,Consumer Discretionary,126.51,127.3,124.275,124.86
83,2021-01-12,DRI,Consumer Discretionary,125.79,128.44,125.52,127.33
84,2021-01-11,DRI,Consumer Discretionary,122.55,126.0,121.75,125.26
85,2021-01-08,DRI,Consumer Discretionary,125.0,126.22,123.19,124.35
86,2021-01-07,DRI,Consumer Discretionary,121.21,124.57,120.63,123.95
87,2021-01-06,DRI,Consumer Discretionary,118.7,122.27,118.7,120.9
88,2021-01-05,DRI,Consumer Discretionary,115.95,118.2,115.56,118.1
89,2021-01-04,DRI,Consumer Discretionary,119.88,120.28,114.39,116.24
90,2020-12-31,DRI,Consumer Discretionary,117.22,120.0,116.4001,119.12
91,2020-12-30,DRI,Consumer Discretionary,118.33,119.8,117.01,117.55
92,2020-12-29,DRI,Consumer Discretionary,117.69,118.61,116.62,118.56
93,2020-12-28,DRI,Consumer Discretionary,118.87,119.0,116.87,117.74
94,2020-12-24,DRI,Consumer Discretionary,119.09,119.94,117.31,117.89
95,2020-12-23,DRI,Consumer Discretionary,118.86,121.29,118.5,119.58
96,2020-12-22,DRI,Consumer Discretionary,116.79,119.94,115.43,119.64
97,2020-12-21,DRI,Consumer Discretionary,113.5,117.88,112.34,116.92
98,2020-12-18,DRI,Consumer Discretionary,117.9,120.97,115.25,116.16
99,2020-12-17,DRI,Consumer Discretionary,118.52,119.36,115.35,118.62
100,2020-12-16,DRI,Consumer Discretionary,113.57,118.2,113.42,116.49
101,2020-12-15,DRI,Consumer Discretionary,113.86,114.96,112.37,114.43
102,2020-12-14,DRI,Consumer Discretionary,114.35,115.68,111.15,112.51
103,2020-12-11,DRI,Consumer Discretionary,113.99,115.46,110.7484,112.72
104,2020-12-10,DRI,Consumer Discretionary,114.05,115.9,112.16,115.44
105,2020-12-09,DRI,Consumer Discretionary,112.5,115.17,111.64,114.39
106,2020-12-08,DRI,Consumer Discretionary,111.45,112.42,110.2426,111.65
107,2020-12-07,DRI,Consumer Discretionary,113.48,113.5766,110.4669,112.12
108,2020-12-04,DRI,Consumer Discretionary,113.38,114.93,112.82,114.82
109,2020-12-03,DRI,Consumer Discretionary,109.6,113.81,108.62,112.79
110,2020-12-02,DRI,Consumer Discretionary,109.46,110.2548,107.72,109.63
111,2020-12-01,DRI,Consumer Discretionary,109.2,111.17,107.675,110.51
112,2020-11-30,DRI,Consumer Discretionary,109.11,109.25,105.49,107.98
113,2020-11-27,DRI,Consumer Discretionary,110.14,111.64,109.12,109.95
114,2020-11-25,DRI,Consumer Discretionary,110.37,111.01,108.54,110.58
115,2020-11-24,DRI,Consumer Discretionary,110.85,114.42,110.65,113.46
116,2020-11-23,DRI,Consumer Discretionary,111.45,111.96,108.78,109.58
117,2020-11-20,DRI,Consumer Discretionary,109.85,109.86,106.89,108.45
