,date,symbol,sector,open,high,low,close
0,2021-05-12,DVA,Health Care,124.65,125.65,122.68,122.78
1,2021-05-11,DVA,Health Care,127.31,127.31,124.32,124.61
2,2021-05-10,DVA,Health Care,127.51,129.59,127.06,127.98
3,2021-05-07,DVA,Health Care,124.3,126.83,124.08,126.8
4,2021-05-06,DVA,Health Care,122.61,124.55,121.12,124.3
5,2021-05-05,DVA,Health Care,123.45,122.98,121.89,122.52
6,2021-05-04,DVA,Health Care,120.9,123.51,120.68,123.36
7,2021-05-03,DVA,Health Care,117.29,120.99,117.14,120.92
8,2021-04-30,DVA,Health Care,113.71,117.53,112.99,116.53
9,2021-04-29,DVA,Health Care,113.82,114.78,113.33,114.47
10,2021-04-28,DVA,Health Care,112.9,114.37,112.545,113.31
11,2021-04-27,DVA,Health Care,112.51,113.74,112.12,112.36
12,2021-04-26,DVA,Health Care,113.79,114.77,113.14,113.35
13,2021-04-23,DVA,Health Care,112.38,113.93,110.95,113.6
14,2021-04-22,DVA,Health Care,113.55,113.945,112.08,112.45
15,2021-04-21,DVA,Health Care,112.9,114.37,112.67,113.54
16,2021-04-20,DVA,Health Care,110.36,112.55,110.17,112.2
17,2021-04-19,DVA,Health Care,113.48,113.69,110.19,110.78
18,2021-04-16,DVA,Health Care,110.44,113.5,110.1,113.11
19,2021-04-15,DVA,Health Care,108.94,110.535,108.58,109.85
20,2021-04-14,DVA,Health Care,108.34,109.16,107.37,108.23
21,2021-04-13,DVA,Health Care,108.89,109.16,106.685,107.46
22,2021-04-12,DVA,Health Care,109.0,110.915,108.78,109.88
23,2021-04-09,DVA,Health Care,107.24,109.08,106.895,109.0
24,2021-04-08,DVA,Health Care,106.5,108.2,106.29,106.86
25,2021-04-07,DVA,Health Care,107.05,108.09,106.46,106.69
26,2021-04-06,DVA,Health Care,107.16,107.97,106.53,106.95
27,2021-04-05,DVA,Health Care,106.0,107.38,105.47,106.8
28,2021-04-01,DVA,Health Care,107.51,107.66,105.08,105.44
29,2021-03-31,DVA,Health Care,109.29,109.965,107.6,107.77
30,2021-03-30,DVA,Health Care,110.12,110.36,108.49,109.48
31,2021-03-29,DVA,Health Care,108.8,110.64,108.69,110.05
32,2021-03-26,DVA,Health Care,108.33,109.51,107.6,108.77
33,2021-03-25,DVA,Health Care,108.95,111.41,107.5518,110.86
34,2021-03-24,DVA,Health Care,107.2,109.83,106.95,109.03
35,2021-03-23,DVA,Health Care,110.05,110.32,106.885,107.02
36,2021-03-22,DVA,Health Care,109.51,110.34,108.02,110.04
37,2021-03-19,DVA,Health Care,108.75,110.69,108.7,109.83
38,2021-03-18,DVA,Health Care,107.94,109.949,107.56,109.19
39,2021-03-17,DVA,Health Care,107.42,108.53,106.66,107.73
40,2021-03-16,DVA,Health Care,109.0,109.3,107.58,107.64
41,2021-03-15,DVA,Health Care,107.88,109.24,107.68,108.93
42,2021-03-12,DVA,Health Care,108.65,108.84,107.78,108.44
43,2021-03-11,DVA,Health Care,107.15,108.35,107.09,107.68
44,2021-03-10,DVA,Health Care,108.87,109.09,107.11,107.11
45,2021-03-09,DVA,Health Care,108.13,110.31,107.4,107.63
46,2021-03-08,DVA,Health Care,105.5,108.2,105.395,107.61
47,2021-03-05,DVA,Health Care,104.72,106.04,103.78,105.54
48,2021-03-04,DVA,Health Care,102.29,104.64,101.85,103.82
49,2021-03-03,DVA,Health Care,102.99,103.3561,101.55,102.78
50,2021-03-02,DVA,Health Care,103.49,104.01,102.5,103.52
51,2021-03-01,DVA,Health Care,103.22,104.48,102.74,102.85
52,2021-02-26,DVA,Health Care,101.91,103.76,101.75,102.13
53,2021-02-25,DVA,Health Care,103.17,103.8681,101.23,102.14
54,2021-02-24,DVA,Health Care,101.18,103.53,101.18,102.89
55,2021-02-23,DVA,Health Care,99.69,101.58,98.55,101.28
56,2021-02-22,DVA,Health Care,100.99,101.69,99.39,99.98
57,2021-02-19,DVA,Health Care,99.82,102.34,99.5,102.07
58,2021-02-18,DVA,Health Care,102.62,102.93,99.65,100.12
59,2021-02-17,DVA,Health Care,103.09,104.72,101.83,103.11
60,2021-02-16,DVA,Health Care,105.43,110.69,103.28,104.18
61,2021-02-12,DVA,Health Care,112.5,114.58,104.7801,104.99
62,2021-02-11,DVA,Health Care,113.93,114.31,112.33,113.33
63,2021-02-10,DVA,Health Care,111.9,113.45,110.77,113.39
64,2021-02-09,DVA,Health Care,110.62,112.3,110.29,111.0
65,2021-02-08,DVA,Health Care,109.47,110.59,109.02,110.2
66,2021-02-05,DVA,Health Care,110.31,110.58,108.38,109.18
67,2021-02-04,DVA,Health Care,110.53,110.8,108.59,109.54
68,2021-02-03,DVA,Health Care,111.28,111.69,108.04,110.49
69,2021-02-02,DVA,Health Care,114.0,116.17,111.64,111.64
70,2021-02-01,DVA,Health Care,118.02,120.0,116.92,118.81
71,2021-01-29,DVA,Health Care,117.5,118.55,116.01,117.37
72,2021-01-28,DVA,Health Care,119.19,122.39,117.85,117.89
73,2021-01-27,DVA,Health Care,117.76,118.96,116.9,117.85
74,2021-01-26,DVA,Health Care,118.7,119.95,117.86,119.26
75,2021-01-25,DVA,Health Care,119.1,119.95,117.92,118.56
76,2021-01-22,DVA,Health Care,118.9,120.1,118.85,119.59
77,2021-01-21,DVA,Health Care,120.25,120.47,119.05,119.32
78,2021-01-20,DVA,Health Care,118.1,120.7,117.59,120.32
79,2021-01-19,DVA,Health Care,119.69,119.91,118.03,118.1
80,2021-01-15,DVA,Health Care,119.19,119.84,117.65,118.75
81,2021-01-14,DVA,Health Care,121.41,121.41,119.49,119.64
82,2021-01-13,DVA,Health Care,123.82,124.4775,120.73,120.76
83,2021-01-12,DVA,Health Care,123.5,125.28,123.03,123.8
84,2021-01-11,DVA,Health Care,123.28,124.54,121.89,123.12
85,2021-01-08,DVA,Health Care,122.37,124.665,122.08,123.89
86,2021-01-07,DVA,Health Care,121.29,122.87,120.48,122.21
87,2021-01-06,DVA,Health Care,116.09,121.15,116.0004,120.55
88,2021-01-05,DVA,Health Care,114.63,117.39,114.0,116.55
89,2021-01-04,DVA,Health Care,117.56,118.68,114.35,116.5
90,2020-12-31,DVA,Health Care,115.07,117.59,115.0,117.4
91,2020-12-30,DVA,Health Care,116.3,117.65,115.4,115.5
92,2020-12-29,DVA,Health Care,116.03,116.51,115.46,116.0
93,2020-12-28,DVA,Health Care,116.0,116.18,115.03,115.45
94,2020-12-24,DVA,Health Care,114.99,115.68,114.62,115.13
95,2020-12-23,DVA,Health Care,115.86,115.94,114.85,115.0
96,2020-12-22,DVA,Health Care,116.0,116.395,114.95,115.18
97,2020-12-21,DVA,Health Care,113.5,115.77,112.6901,115.75
98,2020-12-18,DVA,Health Care,115.54,115.73,114.53,115.36
99,2020-12-17,DVA,Health Care,113.2,115.74,113.2,115.73
100,2020-12-16,DVA,Health Care,112.94,114.15,111.91,113.04
101,2020-12-15,DVA,Health Care,109.81,113.04,109.67,112.39
102,2020-12-14,DVA,Health Care,109.41,111.56,108.98,109.19
103,2020-12-11,DVA,Health Care,111.68,112.075,108.18,108.32
104,2020-12-10,DVA,Health Care,110.51,112.37,110.39,111.91
105,2020-12-09,DVA,Health Care,110.72,111.9391,110.3418,111.3
106,2020-12-08,DVA,Health Care,108.05,110.67,108.05,110.38
107,2020-12-07,DVA,Health Care,109.34,109.55,107.67,108.46
108,2020-12-04,DVA,Health Care,106.12,109.3,106.0,109.3
109,2020-12-03,DVA,Health Care,108.05,108.05,104.51,105.42
110,2020-12-02,DVA,Health Care,108.81,109.65,108.07,108.36
111,2020-12-01,DVA,Health Care,110.7,111.06,108.49,108.59
112,2020-11-30,DVA,Health Care,109.58,110.51,109.5,109.85
113,2020-11-27,DVA,Health Care,110.04,111.47,109.76,109.88
114,2020-11-25,DVA,Health Care,109.61,110.32,108.71,109.6
115,2020-11-24,DVA,Health Care,110.57,110.65,108.7,109.67
116,2020-11-23,DVA,Health Care,109.79,110.49,108.92,110.02
117,2020-11-20,DVA,Health Care,107.88,110.4925,107.88,109.85
118,2020-11-19,DVA,Health Care,108.39,108.94,106.0,107.63
119,2020-11-18,DVA,Health Care,113.67,113.96,108.27,108.32
120,2020-11-17,DVA,Health Care,111.84,114.13,110.43,113.39
121,2020-11-16,DVA,Health Care,111.63,113.39,110.4,113.14
122,2020-11-13,DVA,Health Care,107.48,110.98,107.255,110.55
123,2020-11-12,DVA,Health Care,105.71,109.9,105.53,107.18
124,2020-11-11,DVA,Health Care,107.25,108.06,106.16,106.32
125,2020-11-10,DVA,Health Care,102.0,108.1,101.5,107.17
126,2020-11-09,DVA,Health Care,101.22,104.0,100.61,102.33
127,2020-11-06,DVA,Health Care,97.99,99.45,97.5,98.62
128,2020-11-05,DVA,Health Care,98.53,99.86,97.5,98.15
129,2020-11-04,DVA,Health Care,95.65,97.9,95.27,96.04
130,2020-11-03,DVA,Health Care,90.04,93.83,90.04,92.95
131,2020-11-02,DVA,Health Care,87.46,90.16,87.145,89.07
132,2020-10-30,DVA,Health Care,85.8,88.4,85.0,86.25
133,2020-10-29,DVA,Health Care,85.97,86.45,84.14,85.77
134,2020-10-28,DVA,Health Care,87.93,88.6725,86.14,86.27
135,2020-10-27,DVA,Health Care,90.1,90.3,89.03,89.15
136,2020-10-26,DVA,Health Care,90.2,90.82,89.215,89.71
137,2020-10-23,DVA,Health Care,90.76,91.62,90.365,91.05
138,2020-10-22,DVA,Health Care,90.1,91.29,89.65,90.68
139,2020-10-21,DVA,Health Care,89.62,90.5093,89.03,89.61
140,2020-10-20,DVA,Health Care,89.87,90.68,89.415,89.7
141,2020-10-19,DVA,Health Care,90.8,91.605,89.19,89.56
142,2020-10-16,DVA,Health Care,89.19,91.7,89.19,90.78
143,2020-10-15,DVA,Health Care,87.74,89.145,87.28,88.91
144,2020-10-14,DVA,Health Care,88.54,90.4701,88.44,88.87
145,2020-10-13,DVA,Health Care,88.16,89.23,87.45,88.35
146,2020-10-12,DVA,Health Care,87.89,89.5,87.89,88.91
147,2020-10-09,DVA,Health Care,89.46,89.74,86.56,87.86
148,2020-10-08,DVA,Health Care,87.65,88.84,87.48,88.6
149,2020-10-07,DVA,Health Care,85.55,87.9,85.55,87.19
150,2020-10-06,DVA,Health Care,86.71,87.11,84.81,85.31
151,2020-10-05,DVA,Health Care,84.67,87.23,84.67,86.63
152,2020-10-02,DVA,Health Care,81.66,84.9,81.02,84.29
153,2020-10-01,DVA,Health Care,86.48,86.87,80.85,82.82
154,2020-09-30,DVA,Health Care,83.82,86.61,83.76,85.65
155,2020-09-29,DVA,Health Care,84.63,85.16,83.38,84.14
156,2020-09-28,DVA,Health Care,84.41,85.86,84.06,84.5
157,2020-09-25,DVA,Health Care,82.62,84.21,82.06,83.9
158,2020-09-24,DVA,Health Care,81.91,82.56,81.03,81.56
159,2020-09-23,DVA,Health Care,84.66,84.67,81.74,82.41
160,2020-09-22,DVA,Health Care,84.54,85.23,82.58,84.64
161,2020-09-21,DVA,Health Care,86.31,86.46,82.52,85.12
162,2020-09-18,DVA,Health Care,90.4,90.4,86.5372,87.32
163,2020-09-17,DVA,Health Care,91.83,91.99,88.95,90.14
164,2020-09-16,DVA,Health Care,90.97,92.67,90.27,91.84
165,2020-09-15,DVA,Health Care,88.35,90.81,88.35,89.84
166,2020-09-14,DVA,Health Care,88.12,88.525,87.14,87.79
