,date,symbol,sector,open,high,low,close
0,2021-05-12,DXCM,Health Care,344.0,344.0,329.56,333.48
1,2021-05-11,DXCM,Health Care,337.52,354.98,336.18,348.0
2,2021-05-10,DXCM,Health Care,359.27,359.27,342.42,342.69
3,2021-05-07,DXCM,Health Care,362.57,370.38,358.5,358.74
4,2021-05-06,DXCM,Health Care,360.75,362.88,350.645,357.34
5,2021-05-05,DXCM,Health Care,371.99,374.135,360.75,365.94
6,2021-05-04,DXCM,Health Care,378.63,378.97,366.225,371.42
7,2021-05-03,DXCM,Health Care,386.1,386.545,375.5,380.57
8,2021-04-30,DXCM,Health Care,400.0,403.16,384.82,386.1
9,2021-04-29,DXCM,Health Care,428.0,428.94,418.65,421.7
10,2021-04-28,DXCM,Health Care,418.27,426.62,417.17,425.77
11,2021-04-27,DXCM,Health Care,416.84,422.9999,416.84,421.7
12,2021-04-26,DXCM,Health Care,415.83,419.0,410.415,418.77
13,2021-04-23,DXCM,Health Care,408.55,416.59,408.0,415.0
14,2021-04-22,DXCM,Health Care,403.14,413.62,403.14,410.38
15,2021-04-21,DXCM,Health Care,391.33,403.6,388.75,401.62
16,2021-04-20,DXCM,Health Care,389.81,395.58,383.265,388.91
17,2021-04-19,DXCM,Health Care,396.6,399.01,391.645,393.04
18,2021-04-16,DXCM,Health Care,400.57,401.65,393.64,400.04
19,2021-04-15,DXCM,Health Care,394.31,401.06,392.93,399.49
20,2021-04-14,DXCM,Health Care,389.04,393.48,385.98,391.1
21,2021-04-13,DXCM,Health Care,384.3,390.19,382.74,388.1
22,2021-04-12,DXCM,Health Care,380.27,388.64,376.875,387.15
23,2021-04-09,DXCM,Health Care,378.4,383.17,373.1,382.89
24,2021-04-08,DXCM,Health Care,377.32,382.27,372.18,378.38
25,2021-04-07,DXCM,Health Care,373.57,373.685,366.59,369.4
26,2021-04-06,DXCM,Health Care,363.49,378.7,363.49,373.0
27,2021-04-05,DXCM,Health Care,367.5,369.17,361.54,368.16
28,2021-04-01,DXCM,Health Care,362.41,370.6459,361.01,365.5
29,2021-03-31,DXCM,Health Care,350.0,363.5,348.0,359.39
30,2021-03-30,DXCM,Health Care,346.58,350.415,341.27,347.2
31,2021-03-29,DXCM,Health Care,352.88,354.85,345.3,349.37
32,2021-03-26,DXCM,Health Care,346.93,353.45,340.445,352.73
33,2021-03-25,DXCM,Health Care,355.79,357.41,340.335,348.19
34,2021-03-24,DXCM,Health Care,362.67,362.67,354.45,355.73
35,2021-03-23,DXCM,Health Care,352.88,366.7,352.88,364.17
36,2021-03-22,DXCM,Health Care,343.52,362.12,342.8274,359.82
37,2021-03-19,DXCM,Health Care,339.69,347.72,337.88,344.63
38,2021-03-18,DXCM,Health Care,348.0,349.16,337.14,339.15
39,2021-03-17,DXCM,Health Care,353.56,353.56,341.16,351.7
40,2021-03-16,DXCM,Health Care,366.97,367.54,353.0,354.65
41,2021-03-15,DXCM,Health Care,353.76,362.98,351.04,361.93
42,2021-03-12,DXCM,Health Care,359.23,360.564,352.59,357.73
43,2021-03-11,DXCM,Health Care,355.86,367.105,354.97,366.78
44,2021-03-10,DXCM,Health Care,369.76,371.88,356.38,356.39
45,2021-03-09,DXCM,Health Care,356.94,365.39,356.94,362.94
46,2021-03-08,DXCM,Health Care,361.63,366.96,348.77,352.06
47,2021-03-05,DXCM,Health Care,361.51,367.45,347.23,364.09
48,2021-03-04,DXCM,Health Care,367.88,371.78,352.14,356.27
49,2021-03-03,DXCM,Health Care,386.79,386.79,364.6,368.7
50,2021-03-02,DXCM,Health Care,396.0,398.46,387.16,391.91
51,2021-03-01,DXCM,Health Care,400.4,401.99,392.985,396.67
52,2021-02-26,DXCM,Health Care,396.79,402.49,386.12,397.78
53,2021-02-25,DXCM,Health Care,405.64,405.815,390.67,395.47
54,2021-02-24,DXCM,Health Care,403.18,407.325,399.73,405.64
55,2021-02-23,DXCM,Health Care,406.98,411.73,396.49,406.78
56,2021-02-22,DXCM,Health Care,416.75,422.26,408.8,412.06
57,2021-02-19,DXCM,Health Care,411.86,423.4,406.54,418.94
58,2021-02-18,DXCM,Health Care,412.42,413.42,402.64,410.84
59,2021-02-17,DXCM,Health Care,406.28,417.29,400.19,414.12
60,2021-02-16,DXCM,Health Care,411.0,412.6,400.31,404.38
61,2021-02-12,DXCM,Health Care,387.98,414.34,381.05,412.56
62,2021-02-11,DXCM,Health Care,404.62,411.06,399.15,410.2
63,2021-02-10,DXCM,Health Care,406.43,406.43,396.18,399.44
64,2021-02-09,DXCM,Health Care,405.75,408.0,397.81,401.03
65,2021-02-08,DXCM,Health Care,414.78,415.0,402.615,403.3
66,2021-02-05,DXCM,Health Care,408.02,412.24,404.0,411.03
67,2021-02-04,DXCM,Health Care,395.48,408.0994,392.84,403.25
68,2021-02-03,DXCM,Health Care,392.47,395.0,383.059,391.69
69,2021-02-02,DXCM,Health Care,387.23,401.65,385.2,394.63
70,2021-02-01,DXCM,Health Care,376.35,386.59,373.0,382.62
71,2021-01-29,DXCM,Health Care,362.57,379.06,359.8,374.85
72,2021-01-28,DXCM,Health Care,353.29,368.97,350.5,366.89
73,2021-01-27,DXCM,Health Care,359.7,361.21,349.0,349.64
74,2021-01-26,DXCM,Health Care,377.69,377.84,360.26,361.42
75,2021-01-25,DXCM,Health Care,373.55,378.0,364.46,376.39
76,2021-01-22,DXCM,Health Care,367.63,373.99,365.28,370.12
77,2021-01-21,DXCM,Health Care,366.7,370.79,361.7,367.5
78,2021-01-20,DXCM,Health Care,359.43,367.29,357.96,364.12
79,2021-01-19,DXCM,Health Care,358.49,360.05,348.025,357.64
80,2021-01-15,DXCM,Health Care,352.23,356.75,347.59,354.2
81,2021-01-14,DXCM,Health Care,362.18,364.2739,350.0396,352.08
82,2021-01-13,DXCM,Health Care,359.92,364.44,347.8799,362.55
83,2021-01-12,DXCM,Health Care,371.37,371.51,356.26,360.17
84,2021-01-11,DXCM,Health Care,373.99,375.5,363.17,370.64
85,2021-01-08,DXCM,Health Care,389.27,396.98,381.27,388.09
86,2021-01-07,DXCM,Health Care,376.7,389.6,376.7,387.16
87,2021-01-06,DXCM,Health Care,370.97,384.51,366.69,375.92
88,2021-01-05,DXCM,Health Care,358.04,370.59,355.22,368.75
89,2021-01-04,DXCM,Health Care,366.07,369.47,351.84,357.74
90,2020-12-31,DXCM,Health Care,364.95,370.64,361.5473,369.72
91,2020-12-30,DXCM,Health Care,359.76,363.15,354.04,362.77
92,2020-12-29,DXCM,Health Care,367.665,368.69,352.55,356.9
93,2020-12-28,DXCM,Health Care,355.39,365.38,352.37,362.31
94,2020-12-24,DXCM,Health Care,356.54,358.279,351.72,355.02
95,2020-12-23,DXCM,Health Care,357.17,364.99,355.98,355.99
96,2020-12-22,DXCM,Health Care,348.95,354.25,345.43,354.23
97,2020-12-21,DXCM,Health Care,352.67,354.93,346.64,348.85
98,2020-12-18,DXCM,Health Care,361.4558,365.5,353.48,358.57
99,2020-12-17,DXCM,Health Care,355.37,359.55,352.54,357.91
100,2020-12-16,DXCM,Health Care,352.2,356.82,348.88,352.35
101,2020-12-15,DXCM,Health Care,356.65,357.38,345.0,354.21
102,2020-12-14,DXCM,Health Care,349.15,358.94,348.035,353.59
103,2020-12-11,DXCM,Health Care,342.45,351.5,341.735,347.71
104,2020-12-10,DXCM,Health Care,332.0,349.4294,330.09,347.19
105,2020-12-09,DXCM,Health Care,347.81,349.5,329.6,333.39
106,2020-12-08,DXCM,Health Care,338.45,348.28,333.33,348.16
107,2020-12-07,DXCM,Health Care,350.74,353.827,335.935,337.4
108,2020-12-04,DXCM,Health Care,343.52,349.96,338.16,348.03
109,2020-12-03,DXCM,Health Care,333.4,349.07,331.2589,344.63
110,2020-12-02,DXCM,Health Care,326.68,333.858,322.62,333.2
111,2020-12-01,DXCM,Health Care,321.35,329.11,319.17,327.72
112,2020-11-30,DXCM,Health Care,317.57,321.93,313.3805,319.68
113,2020-11-27,DXCM,Health Care,317.63,319.66,312.01,318.21
114,2020-11-25,DXCM,Health Care,315.08,320.14,311.0107,312.55
115,2020-11-24,DXCM,Health Care,322.9965,322.9965,312.52,313.32
116,2020-11-23,DXCM,Health Care,318.99,325.0,314.6261,321.09
117,2020-11-20,DXCM,Health Care,331.15,332.2788,315.54,315.87
118,2020-11-19,DXCM,Health Care,326.9,334.4,324.27,330.64
119,2020-11-18,DXCM,Health Care,335.245,335.8251,327.57,329.21
120,2020-11-17,DXCM,Health Care,336.85,338.65,333.24,334.35
121,2020-11-16,DXCM,Health Care,336.4,344.46,332.95,340.03
122,2020-11-13,DXCM,Health Care,342.82,346.59,334.67,336.4
123,2020-11-12,DXCM,Health Care,348.47,359.28,334.02,336.7
124,2020-11-11,DXCM,Health Care,342.85,352.48,340.5,347.5
125,2020-11-10,DXCM,Health Care,336.21,341.26,326.86,339.53
126,2020-11-09,DXCM,Health Care,361.33,366.04,343.1,343.84
127,2020-11-06,DXCM,Health Care,356.38,365.06,349.1026,361.32
128,2020-11-05,DXCM,Health Care,353.82,366.245,349.81,355.11
129,2020-11-04,DXCM,Health Care,346.01,350.36,335.3,344.5
130,2020-11-03,DXCM,Health Care,315.01,333.5,315.01,331.77
