,date,symbol,sector,open,high,low,close
0,2021-05-12,EBAY,Consumer Discretionary,59.69,60.43,58.24,58.28
1,2021-05-11,EBAY,Consumer Discretionary,60.0443,60.99,59.142,60.43
2,2021-05-10,EBAY,Consumer Discretionary,59.56,62.3,59.26,61.44
3,2021-05-07,EBAY,Consumer Discretionary,59.1,60.01,58.395,59.78
4,2021-05-06,EBAY,Consumer Discretionary,58.15,58.885,57.76,58.82
5,2021-05-05,EBAY,Consumer Discretionary,57.4,58.88,57.39,58.24
6,2021-05-04,EBAY,Consumer Discretionary,57.51,58.34,56.82,57.69
7,2021-05-03,EBAY,Consumer Discretionary,56.17,58.85,56.12,58.15
8,2021-04-30,EBAY,Consumer Discretionary,55.73,56.89,55.655,55.79
9,2021-04-29,EBAY,Consumer Discretionary,57.29,57.34,54.95,56.07
10,2021-04-28,EBAY,Consumer Discretionary,62.08,62.87,61.8201,62.32
11,2021-04-27,EBAY,Consumer Discretionary,61.715,62.31,61.38,61.7
12,2021-04-26,EBAY,Consumer Discretionary,61.0,61.61,60.77,61.58
13,2021-04-23,EBAY,Consumer Discretionary,60.88,61.17,60.44,60.91
14,2021-04-22,EBAY,Consumer Discretionary,61.85,61.9,60.53,60.74
15,2021-04-21,EBAY,Consumer Discretionary,61.44,61.865,60.88,61.78
16,2021-04-20,EBAY,Consumer Discretionary,63.63,63.8,61.205,61.79
17,2021-04-19,EBAY,Consumer Discretionary,64.63,65.11,63.6,63.79
18,2021-04-16,EBAY,Consumer Discretionary,64.52,64.99,64.29,64.93
19,2021-04-15,EBAY,Consumer Discretionary,63.33,64.535,63.03,64.36
20,2021-04-14,EBAY,Consumer Discretionary,63.94,64.39,62.35,62.79
21,2021-04-13,EBAY,Consumer Discretionary,63.02,64.08,62.92,63.82
22,2021-04-12,EBAY,Consumer Discretionary,62.47,62.88,62.13,62.64
23,2021-04-09,EBAY,Consumer Discretionary,62.08,62.6,61.845,62.47
24,2021-04-08,EBAY,Consumer Discretionary,62.3,62.65,61.76,62.19
25,2021-04-07,EBAY,Consumer Discretionary,62.69,62.69,61.43,61.76
26,2021-04-06,EBAY,Consumer Discretionary,63.63,63.72,62.235,62.52
27,2021-04-05,EBAY,Consumer Discretionary,63.35,63.98,62.5504,63.69
28,2021-04-01,EBAY,Consumer Discretionary,61.4,63.2356,61.39,63.11
29,2021-03-31,EBAY,Consumer Discretionary,60.84,62.67,60.75,61.24
30,2021-03-30,EBAY,Consumer Discretionary,59.53,60.63,59.05,60.32
