,date,symbol,sector,open,high,low,close
0,2021-05-12,EFX,Industrials,237.48,237.97,232.91,233.22
1,2021-05-11,EFX,Industrials,237.96,238.895,235.12,238.6
2,2021-05-10,EFX,Industrials,240.55,242.13,239.04,239.17
3,2021-05-07,EFX,Industrials,236.91,240.45,236.44,239.56
4,2021-05-06,EFX,Industrials,239.89,239.89,233.82,237.16
5,2021-05-05,EFX,Industrials,237.01,241.09,236.96,239.85
6,2021-05-04,EFX,Industrials,232.24,237.08,231.1901,237.01
7,2021-05-03,EFX,Industrials,230.5,235.48,229.69,233.89
8,2021-04-30,EFX,Industrials,228.03,229.25,224.15,229.23
9,2021-04-29,EFX,Industrials,229.34,229.34,224.55,228.0
10,2021-04-28,EFX,Industrials,234.75,234.85,227.04,227.3
11,2021-04-27,EFX,Industrials,227.49,234.97,227.05,234.34
12,2021-04-26,EFX,Industrials,230.17,231.71,225.01,225.53
13,2021-04-23,EFX,Industrials,222.47,231.16,221.16,229.72
14,2021-04-22,EFX,Industrials,217.8965,226.93,212.69,221.41
15,2021-04-21,EFX,Industrials,192.21,194.44,191.7,192.63
16,2021-04-20,EFX,Industrials,189.6,193.82,189.38,192.2
17,2021-04-19,EFX,Industrials,189.47,190.25,188.5,189.59
18,2021-04-16,EFX,Industrials,189.09,191.6,188.25,190.98
19,2021-04-15,EFX,Industrials,187.62,188.995,186.965,188.35
20,2021-04-14,EFX,Industrials,186.76,188.0,185.0,185.53
21,2021-04-13,EFX,Industrials,186.51,189.09,186.11,187.99
22,2021-04-12,EFX,Industrials,186.18,187.42,185.1,187.22
23,2021-04-09,EFX,Industrials,183.49,185.84,182.81,185.81
24,2021-04-08,EFX,Industrials,182.7,185.39,182.7,183.74
25,2021-04-07,EFX,Industrials,185.41,185.41,180.85,181.59
26,2021-04-06,EFX,Industrials,186.54,186.735,184.41,185.02
27,2021-04-05,EFX,Industrials,184.14,187.345,183.605,186.74
28,2021-04-01,EFX,Industrials,181.27,182.81,177.91,182.61
29,2021-03-31,EFX,Industrials,181.5,183.75,181.1,181.13
30,2021-03-30,EFX,Industrials,183.07,183.97,181.235,183.28
31,2021-03-29,EFX,Industrials,181.57,185.0,181.06,183.69
32,2021-03-26,EFX,Industrials,177.01,182.56,176.8,182.5
33,2021-03-25,EFX,Industrials,175.37,177.59,173.02,177.0
34,2021-03-24,EFX,Industrials,174.62,176.115,174.01,174.41
35,2021-03-23,EFX,Industrials,175.31,178.16,174.01,175.48
36,2021-03-22,EFX,Industrials,174.07,176.21,172.54,175.13
37,2021-03-19,EFX,Industrials,172.07,175.51,171.44,174.18
38,2021-03-18,EFX,Industrials,170.71,174.0,169.43,172.7
39,2021-03-17,EFX,Industrials,171.77,172.91,169.93,171.99
40,2021-03-16,EFX,Industrials,173.7,175.19,171.17,172.57
41,2021-03-15,EFX,Industrials,170.65,173.98,170.24,173.65
42,2021-03-12,EFX,Industrials,171.6,173.31,169.79,170.53
43,2021-03-11,EFX,Industrials,172.28,172.95,169.59,170.72
44,2021-03-10,EFX,Industrials,175.87,176.77,172.54,172.55
45,2021-03-09,EFX,Industrials,174.76,178.0,173.01,174.9
46,2021-03-08,EFX,Industrials,170.28,176.01,170.0,173.14
47,2021-03-05,EFX,Industrials,165.17,169.97,162.81,169.75
48,2021-03-04,EFX,Industrials,167.41,170.32,162.87,163.83
49,2021-03-03,EFX,Industrials,166.94,168.525,165.1,167.04
50,2021-03-02,EFX,Industrials,166.92,168.42,165.275,166.09
51,2021-03-01,EFX,Industrials,163.25,169.05,163.25,166.61
52,2021-02-26,EFX,Industrials,164.83,167.64,161.87,161.88
53,2021-02-25,EFX,Industrials,169.78,170.95,162.43,163.5
54,2021-02-24,EFX,Industrials,172.8,173.095,169.34,170.7
55,2021-02-23,EFX,Industrials,170.04,172.46,168.1,171.87
56,2021-02-22,EFX,Industrials,177.5,177.75,169.33,169.93
57,2021-02-19,EFX,Industrials,177.17,178.49,175.49,176.54
58,2021-02-18,EFX,Industrials,176.05,178.905,175.9,177.56
59,2021-02-17,EFX,Industrials,173.58,176.82,171.395,176.59
60,2021-02-16,EFX,Industrials,176.72,177.21,172.77,174.83
61,2021-02-12,EFX,Industrials,176.93,179.3,176.07,177.19
62,2021-02-11,EFX,Industrials,181.01,181.49,173.61,176.95
63,2021-02-10,EFX,Industrials,184.42,184.5487,182.36,183.0
64,2021-02-09,EFX,Industrials,180.0,183.45,179.59,183.21
65,2021-02-08,EFX,Industrials,179.15,180.11,177.845,179.41
66,2021-02-05,EFX,Industrials,182.33,182.33,177.9,178.64
67,2021-02-04,EFX,Industrials,179.74,182.6,179.44,180.89
68,2021-02-03,EFX,Industrials,180.31,180.31,177.07,178.79
69,2021-02-02,EFX,Industrials,181.65,182.39,180.41,180.46
70,2021-02-01,EFX,Industrials,178.28,180.53,177.82,180.31
71,2021-01-29,EFX,Industrials,180.46,181.82,176.74,177.11
72,2021-01-28,EFX,Industrials,180.25,184.86,178.885,181.14
73,2021-01-27,EFX,Industrials,178.08,181.73,176.36,178.71
74,2021-01-26,EFX,Industrials,180.36,181.92,178.25,180.49
75,2021-01-25,EFX,Industrials,177.63,179.98,175.925,178.75
76,2021-01-22,EFX,Industrials,178.2,180.05,177.315,178.74
77,2021-01-21,EFX,Industrials,177.14,180.23,177.14,178.49
78,2021-01-20,EFX,Industrials,176.4,179.3,176.02,178.14
79,2021-01-19,EFX,Industrials,177.19,177.6053,175.3,176.02
80,2021-01-15,EFX,Industrials,177.68,178.865,175.78,177.0
81,2021-01-14,EFX,Industrials,182.33,182.42,176.55,177.63
82,2021-01-13,EFX,Industrials,184.56,185.335,181.96,182.15
83,2021-01-12,EFX,Industrials,183.72,185.43,182.2,183.91
84,2021-01-11,EFX,Industrials,184.43,187.29,183.31,184.69
85,2021-01-08,EFX,Industrials,181.04,186.79,180.5083,186.06
86,2021-01-07,EFX,Industrials,183.14,184.0,180.43,181.29
87,2021-01-06,EFX,Industrials,187.92,188.815,181.89,181.96
88,2021-01-05,EFX,Industrials,188.42,190.36,186.94,189.88
89,2021-01-04,EFX,Industrials,193.46,194.41,185.175,187.96
90,2020-12-31,EFX,Industrials,191.87,193.22,189.98,192.84
91,2020-12-30,EFX,Industrials,190.85,192.37,190.13,191.17
92,2020-12-29,EFX,Industrials,194.91,195.84,189.55,190.75
93,2020-12-28,EFX,Industrials,195.92,195.92,193.23,193.66
94,2020-12-24,EFX,Industrials,193.41,194.48,193.04,193.96
95,2020-12-23,EFX,Industrials,194.17,194.85,192.75,192.87
96,2020-12-22,EFX,Industrials,193.95,194.63,192.82,194.03
97,2020-12-21,EFX,Industrials,192.13,194.9,189.305,194.55
98,2020-12-18,EFX,Industrials,193.51,195.63,192.7,195.17
99,2020-12-17,EFX,Industrials,193.45,196.47,192.99,193.75
100,2020-12-16,EFX,Industrials,192.6,195.15,192.59,193.25
101,2020-12-15,EFX,Industrials,191.55,194.04,190.6,193.58
102,2020-12-14,EFX,Industrials,187.47,191.16,187.47,189.12
103,2020-12-11,EFX,Industrials,185.07,189.54,184.86,188.14
104,2020-12-10,EFX,Industrials,178.96,183.48,178.37,183.39
105,2020-12-09,EFX,Industrials,183.37,183.77,179.33,179.98
106,2020-12-08,EFX,Industrials,175.98,190.157,175.87,184.23
107,2020-12-07,EFX,Industrials,166.95,171.32,166.64,170.83
108,2020-12-04,EFX,Industrials,166.01,167.32,165.69,166.5
109,2020-12-03,EFX,Industrials,164.85,167.14,164.48,165.25
110,2020-12-02,EFX,Industrials,166.38,166.83,163.335,164.61
111,2020-12-01,EFX,Industrials,168.44,170.6856,166.86,166.94
112,2020-11-30,EFX,Industrials,165.33,167.95,165.06,166.9
113,2020-11-27,EFX,Industrials,165.83,167.04,164.235,164.74
114,2020-11-25,EFX,Industrials,165.78,169.06,165.68,166.0
115,2020-11-24,EFX,Industrials,173.61,173.695,165.68,165.8
116,2020-11-23,EFX,Industrials,172.18,172.68,169.68,172.59
117,2020-11-20,EFX,Industrials,173.72,174.555,171.27,171.64
118,2020-11-19,EFX,Industrials,170.49,174.28,170.02,173.61
119,2020-11-18,EFX,Industrials,172.61,174.23,171.69,171.95
120,2020-11-17,EFX,Industrials,170.04,172.03,168.3,171.95
121,2020-11-16,EFX,Industrials,166.3,171.71,165.965,171.51
122,2020-11-13,EFX,Industrials,164.31,165.14,161.77,165.09
123,2020-11-12,EFX,Industrials,159.03,162.91,158.24,162.52
124,2020-11-11,EFX,Industrials,155.68,159.44,155.17,159.19
125,2020-11-10,EFX,Industrials,151.51,155.78,149.51,154.61
126,2020-11-09,EFX,Industrials,158.01,160.28,151.755,151.9
127,2020-11-06,EFX,Industrials,152.0,153.17,150.03,150.07
128,2020-11-05,EFX,Industrials,154.17,154.87,151.55,151.65
129,2020-11-04,EFX,Industrials,150.44,155.9312,150.44,151.95
130,2020-11-03,EFX,Industrials,143.71,151.08,143.21,150.0
131,2020-11-02,EFX,Industrials,138.62,142.27,137.44,141.85
132,2020-10-30,EFX,Industrials,138.77,140.28,135.98,136.6
133,2020-10-29,EFX,Industrials,140.36,141.92,139.11,139.56
134,2020-10-28,EFX,Industrials,145.51,147.24,140.1,140.89
135,2020-10-27,EFX,Industrials,150.9,152.16,147.74,147.81
136,2020-10-26,EFX,Industrials,151.43,152.06,149.11,150.91
137,2020-10-23,EFX,Industrials,157.36,157.36,149.78,152.95
138,2020-10-22,EFX,Industrials,158.15,162.3,153.59,155.9
139,2020-10-21,EFX,Industrials,160.14,163.2,159.89,162.35
140,2020-10-20,EFX,Industrials,159.49,161.11,158.73,159.71
141,2020-10-19,EFX,Industrials,163.35,164.16,157.88,158.58
142,2020-10-16,EFX,Industrials,163.33,164.0,161.47,163.34
143,2020-10-15,EFX,Industrials,163.41,163.6,160.39,162.38
144,2020-10-14,EFX,Industrials,165.49,166.61,163.905,164.17
145,2020-10-13,EFX,Industrials,163.15,165.44,163.11,164.89
146,2020-10-12,EFX,Industrials,165.29,166.42,164.12,164.56
147,2020-10-09,EFX,Industrials,163.21,165.34,161.69,164.28
148,2020-10-08,EFX,Industrials,162.44,165.555,161.79,161.79
149,2020-10-07,EFX,Industrials,159.03,161.465,158.25,161.07
150,2020-10-06,EFX,Industrials,161.19,161.46,156.7,157.27
151,2020-10-05,EFX,Industrials,159.23,160.36,158.24,159.87
152,2020-10-02,EFX,Industrials,156.7,160.71,155.79,158.96
153,2020-10-01,EFX,Industrials,157.57,158.94,157.02,158.01
154,2020-09-30,EFX,Industrials,158.26,159.185,156.11,156.9
155,2020-09-29,EFX,Industrials,158.6,161.18,157.61,157.84
