,date,symbol,sector,open,high,low,close
0,2021-05-12,EMR,Industrials,95.19,95.45,93.19,93.35
1,2021-05-11,EMR,Industrials,94.5,95.65,93.77,95.26
2,2021-05-10,EMR,Industrials,95.6,96.9,95.37,95.38
3,2021-05-07,EMR,Industrials,93.66,95.26,92.61,95.05
4,2021-05-06,EMR,Industrials,91.52,93.86,91.01,93.72
5,2021-05-05,EMR,Industrials,89.77,91.39,90.59,90.89
6,2021-05-04,EMR,Industrials,90.51,91.27,89.58,91.11
7,2021-05-03,EMR,Industrials,91.67,91.93,90.69,90.93
8,2021-04-30,EMR,Industrials,92.12,92.45,90.13,90.49
9,2021-04-29,EMR,Industrials,92.85,92.91,91.88,92.79
10,2021-04-28,EMR,Industrials,92.11,92.6911,91.78,92.08
11,2021-04-27,EMR,Industrials,92.29,92.41,91.39,92.16
12,2021-04-26,EMR,Industrials,92.77,93.57,92.09,92.13
13,2021-04-23,EMR,Industrials,91.91,92.88,91.345,92.46
14,2021-04-22,EMR,Industrials,92.47,92.47,91.42,91.52
15,2021-04-21,EMR,Industrials,90.6,92.25,90.43,92.11
16,2021-04-20,EMR,Industrials,91.41,91.7,89.91,90.83
17,2021-04-19,EMR,Industrials,92.2,92.66,91.11,91.79
18,2021-04-16,EMR,Industrials,92.69,93.27,91.8097,92.2
19,2021-04-15,EMR,Industrials,92.17,92.3,90.84,91.72
20,2021-04-14,EMR,Industrials,90.54,91.825,90.48,91.54
21,2021-04-13,EMR,Industrials,91.49,91.65,89.96,90.63
22,2021-04-12,EMR,Industrials,91.9,92.37,91.58,92.01
23,2021-04-09,EMR,Industrials,91.47,92.63,90.93,91.94
24,2021-04-08,EMR,Industrials,91.03,91.2085,90.04,91.04
25,2021-04-07,EMR,Industrials,91.32,91.94,90.58,91.09
26,2021-04-06,EMR,Industrials,91.83,92.63,91.13,91.47
27,2021-04-05,EMR,Industrials,91.16,92.55,91.15,91.61
28,2021-04-01,EMR,Industrials,90.17,90.615,89.55,90.41
29,2021-03-31,EMR,Industrials,91.14,91.65,90.01,90.22
30,2021-03-30,EMR,Industrials,91.52,91.91,90.65,91.14
31,2021-03-29,EMR,Industrials,91.03,92.25,90.76,91.23
32,2021-03-26,EMR,Industrials,90.09,91.7,89.57,91.57
33,2021-03-25,EMR,Industrials,87.62,89.44,86.745,89.19
34,2021-03-24,EMR,Industrials,88.0,89.915,88.0,88.06
35,2021-03-23,EMR,Industrials,88.45,89.72,86.85,87.22
36,2021-03-22,EMR,Industrials,88.68,89.88,87.79,89.35
37,2021-03-19,EMR,Industrials,88.97,89.42,87.26,88.49
38,2021-03-18,EMR,Industrials,90.39,91.81,89.22,89.46
39,2021-03-17,EMR,Industrials,89.11,90.69,89.0,90.52
40,2021-03-16,EMR,Industrials,90.55,90.75,88.5442,89.06
41,2021-03-15,EMR,Industrials,91.75,92.38,89.64,90.92
42,2021-03-12,EMR,Industrials,91.45,92.25,91.13,92.2
43,2021-03-11,EMR,Industrials,92.04,92.75,91.02,91.31
44,2021-03-10,EMR,Industrials,90.35,92.14,90.08,91.72
45,2021-03-09,EMR,Industrials,92.65,92.94,89.98,90.0
46,2021-03-08,EMR,Industrials,92.0,93.38,91.08,92.13
47,2021-03-05,EMR,Industrials,89.79,91.27,88.06,91.04
48,2021-03-04,EMR,Industrials,88.46,89.92,86.76,88.49
49,2021-03-03,EMR,Industrials,87.83,89.53,87.39,88.53
50,2021-03-02,EMR,Industrials,88.33,88.87,87.45,87.63
51,2021-03-01,EMR,Industrials,87.07,89.17,86.92,88.44
52,2021-02-26,EMR,Industrials,87.36,87.88,85.87,85.9
53,2021-02-25,EMR,Industrials,88.47,88.63,86.89,87.33
54,2021-02-24,EMR,Industrials,87.05,89.1,86.94,88.97
55,2021-02-23,EMR,Industrials,85.96,87.16,85.5,86.8
56,2021-02-22,EMR,Industrials,85.44,86.89,84.33,86.17
57,2021-02-19,EMR,Industrials,84.75,86.12,84.63,85.45
58,2021-02-18,EMR,Industrials,84.45,84.63,83.65,84.38
59,2021-02-17,EMR,Industrials,84.93,85.41,84.205,84.87
60,2021-02-16,EMR,Industrials,86.0,86.2,84.92,85.07
61,2021-02-12,EMR,Industrials,84.58,85.5783,84.56,85.33
62,2021-02-11,EMR,Industrials,85.29,85.715,83.64,85.16
63,2021-02-10,EMR,Industrials,86.28,86.43,84.96,85.06
64,2021-02-09,EMR,Industrials,86.42,86.52,85.45,85.9
