,date,symbol,sector,open,high,low,close
0,2021-05-12,ETN,Industrials,145.02,146.0916,143.3,143.69
1,2021-05-11,ETN,Industrials,146.52,146.92,144.38,145.76
2,2021-05-10,ETN,Industrials,148.04,149.375,147.39,147.42
3,2021-05-07,ETN,Industrials,145.65,148.34,144.46,147.52
4,2021-05-06,ETN,Industrials,145.75,146.5,144.59,146.44
5,2021-05-05,ETN,Industrials,145.31,146.5,144.66,145.48
6,2021-05-04,ETN,Industrials,143.19,145.09,141.2321,144.67
7,2021-05-03,ETN,Industrials,144.93,145.37,143.08,144.36
8,2021-04-30,ETN,Industrials,143.91,144.42,142.66,142.93
9,2021-04-29,ETN,Industrials,145.91,145.95,143.595,145.02
10,2021-04-28,ETN,Industrials,144.13,145.8871,143.8,144.53
11,2021-04-27,ETN,Industrials,143.37,145.01,142.52,144.59
12,2021-04-26,ETN,Industrials,143.33,144.55,143.07,143.37
13,2021-04-23,ETN,Industrials,141.89,143.68,141.3254,142.97
14,2021-04-22,ETN,Industrials,142.14,142.57,140.8967,141.4
15,2021-04-21,ETN,Industrials,138.53,141.59,138.2,141.51
16,2021-04-20,ETN,Industrials,140.02,140.28,137.56,138.46
17,2021-04-19,ETN,Industrials,141.4,141.4,140.01,140.78
18,2021-04-16,ETN,Industrials,142.46,143.09,140.41,141.15
19,2021-04-15,ETN,Industrials,140.87,141.215,139.91,140.8
20,2021-04-14,ETN,Industrials,139.85,141.24,139.705,140.24
21,2021-04-13,ETN,Industrials,140.5,140.77,138.35,139.8
22,2021-04-12,ETN,Industrials,140.2,141.6,140.2,141.29
23,2021-04-09,ETN,Industrials,140.7,141.05,139.035,140.45
24,2021-04-08,ETN,Industrials,139.98,140.56,138.78,139.9
25,2021-04-07,ETN,Industrials,140.71,141.49,139.67,140.38
26,2021-04-06,ETN,Industrials,142.17,143.29,140.87,141.12
27,2021-04-05,ETN,Industrials,141.39,143.24,140.43,142.36
28,2021-04-01,ETN,Industrials,139.03,139.775,137.96,139.49
29,2021-03-31,ETN,Industrials,140.06,141.29,138.25,138.28
30,2021-03-30,ETN,Industrials,138.58,140.18,138.4593,139.66
31,2021-03-29,ETN,Industrials,138.0,139.595,137.755,138.55
32,2021-03-26,ETN,Industrials,136.97,138.86,136.31,138.69
33,2021-03-25,ETN,Industrials,133.73,136.455,131.86,135.82
34,2021-03-24,ETN,Industrials,134.01,136.19,133.85,134.45
35,2021-03-23,ETN,Industrials,133.92,135.88,132.33,132.93
36,2021-03-22,ETN,Industrials,133.47,135.34,132.24,134.86
37,2021-03-19,ETN,Industrials,136.64,136.68,133.18,133.26
38,2021-03-18,ETN,Industrials,138.2,139.76,136.68,136.96
39,2021-03-17,ETN,Industrials,137.3,138.53,136.06,138.0
40,2021-03-16,ETN,Industrials,139.55,139.55,135.815,136.83
41,2021-03-15,ETN,Industrials,137.89,139.59,136.56,139.55
42,2021-03-12,ETN,Industrials,140.32,141.0,139.46,140.77
43,2021-03-11,ETN,Industrials,139.58,141.3703,138.96,139.21
44,2021-03-10,ETN,Industrials,136.78,140.35,136.22,139.25
45,2021-03-09,ETN,Industrials,139.9,139.9,136.2,136.25
46,2021-03-08,ETN,Industrials,138.69,141.05,137.6,139.44
47,2021-03-05,ETN,Industrials,136.34,137.92,132.21,137.39
48,2021-03-04,ETN,Industrials,134.46,136.55,131.46,134.45
49,2021-03-03,ETN,Industrials,137.04,138.18,135.021,135.53
50,2021-03-02,ETN,Industrials,134.26,134.92,133.34,133.97
51,2021-03-01,ETN,Industrials,132.01,135.84,131.3,134.24
52,2021-02-26,ETN,Industrials,130.48,132.04,128.5816,130.19
53,2021-02-25,ETN,Industrials,132.8,133.5726,129.69,130.16
54,2021-02-24,ETN,Industrials,131.31,133.9191,131.03,132.68
55,2021-02-23,ETN,Industrials,130.77,131.5,127.4,130.86
56,2021-02-22,ETN,Industrials,127.22,131.72,126.7,130.85
57,2021-02-19,ETN,Industrials,126.37,128.665,126.0349,127.8
58,2021-02-18,ETN,Industrials,124.24,125.73,124.105,125.19
59,2021-02-17,ETN,Industrials,123.3,125.34,123.3,125.03
60,2021-02-16,ETN,Industrials,126.0,126.3748,124.95,125.0
61,2021-02-12,ETN,Industrials,122.59,124.2,122.32,123.98
62,2021-02-11,ETN,Industrials,122.34,123.98,121.46,123.53
63,2021-02-10,ETN,Industrials,121.59,122.79,120.87,121.76
64,2021-02-09,ETN,Industrials,120.45,120.61,118.6,119.83
65,2021-02-08,ETN,Industrials,122.7,123.0345,119.42,120.22
66,2021-02-05,ETN,Industrials,122.04,122.69,120.06,121.94
67,2021-02-04,ETN,Industrials,119.74,120.89,119.01,120.54
68,2021-02-03,ETN,Industrials,120.89,121.55,119.0,119.54
69,2021-02-02,ETN,Industrials,121.75,123.43,118.655,120.44
70,2021-02-01,ETN,Industrials,119.0,122.17,118.33,121.54
71,2021-01-29,ETN,Industrials,117.83,121.75,116.74,117.7
72,2021-01-28,ETN,Industrials,115.92,119.71,115.52,118.29
73,2021-01-27,ETN,Industrials,118.68,118.91,114.01,114.86
74,2021-01-26,ETN,Industrials,122.53,122.61,120.5,120.74
75,2021-01-25,ETN,Industrials,123.96,124.23,121.29,121.82
76,2021-01-22,ETN,Industrials,124.43,125.22,122.93,124.43
77,2021-01-21,ETN,Industrials,125.93,126.87,124.9,125.13
78,2021-01-20,ETN,Industrials,125.55,126.49,124.365,125.98
79,2021-01-19,ETN,Industrials,124.5,126.955,124.01,125.5
80,2021-01-15,ETN,Industrials,122.88,123.4,121.0,123.17
81,2021-01-14,ETN,Industrials,126.23,126.6,124.19,124.62
82,2021-01-13,ETN,Industrials,127.91,128.34,125.3,125.41
83,2021-01-12,ETN,Industrials,126.99,128.61,126.16,128.34
84,2021-01-11,ETN,Industrials,125.2,127.77,125.1323,126.96
85,2021-01-08,ETN,Industrials,129.28,129.9,125.14,126.88
86,2021-01-07,ETN,Industrials,127.79,130.0,126.43,129.09
87,2021-01-06,ETN,Industrials,122.31,128.36,122.16,126.45
88,2021-01-05,ETN,Industrials,118.32,120.54,118.18,120.01
89,2021-01-04,ETN,Industrials,120.3,121.58,117.87,118.75
90,2020-12-31,ETN,Industrials,119.27,120.4,118.73,120.14
91,2020-12-30,ETN,Industrials,117.87,119.595,117.55,119.3
92,2020-12-29,ETN,Industrials,118.24,118.5312,116.04,117.16
93,2020-12-28,ETN,Industrials,119.07,119.96,117.66,117.72
94,2020-12-24,ETN,Industrials,117.2,118.075,116.01,118.07
95,2020-12-23,ETN,Industrials,117.51,118.6557,116.98,117.02
96,2020-12-22,ETN,Industrials,117.18,117.63,115.725,116.61
97,2020-12-21,ETN,Industrials,115.18,117.545,113.95,116.98
98,2020-12-18,ETN,Industrials,115.03,116.48,114.3,116.08
99,2020-12-17,ETN,Industrials,115.81,116.14,114.13,115.29
100,2020-12-16,ETN,Industrials,116.6,116.69,115.07,115.37
101,2020-12-15,ETN,Industrials,115.06,117.13,113.79,116.54
102,2020-12-14,ETN,Industrials,115.97,116.47,113.83,113.84
103,2020-12-11,ETN,Industrials,114.31,115.97,114.1,115.6
104,2020-12-10,ETN,Industrials,117.13,117.13,114.77,115.15
105,2020-12-09,ETN,Industrials,118.42,118.99,116.8,117.89
106,2020-12-08,ETN,Industrials,116.83,118.535,116.27,117.86
107,2020-12-07,ETN,Industrials,118.45,118.59,116.97,117.4
108,2020-12-04,ETN,Industrials,116.94,119.655,116.94,118.82
109,2020-12-03,ETN,Industrials,118.79,119.435,116.4,116.73
110,2020-12-02,ETN,Industrials,119.61,120.99,117.99,118.92
111,2020-12-01,ETN,Industrials,122.58,123.43,120.61,120.7
112,2020-11-30,ETN,Industrials,121.8,122.15,120.01,121.11
113,2020-11-27,ETN,Industrials,122.7,122.85,121.2569,121.9
114,2020-11-25,ETN,Industrials,122.64,122.64,120.7082,122.19
115,2020-11-24,ETN,Industrials,121.58,123.67,120.685,123.25
116,2020-11-23,ETN,Industrials,118.3,120.34,118.06,120.26
117,2020-11-20,ETN,Industrials,118.23,118.725,117.01,117.4
118,2020-11-19,ETN,Industrials,117.58,118.93,114.91,118.12
119,2020-11-18,ETN,Industrials,116.14,118.045,115.66,116.75
120,2020-11-17,ETN,Industrials,116.19,116.91,114.45,116.07
121,2020-11-16,ETN,Industrials,116.8,117.91,114.67,117.5
122,2020-11-13,ETN,Industrials,114.0,115.24,113.49,114.45
123,2020-11-12,ETN,Industrials,113.61,114.16,112.37,113.32
124,2020-11-11,ETN,Industrials,116.99,117.0,113.2,114.07
125,2020-11-10,ETN,Industrials,113.66,115.82,113.23,114.86
126,2020-11-09,ETN,Industrials,116.12,119.48,113.42,113.5
127,2020-11-06,ETN,Industrials,109.84,111.175,109.25,109.96
128,2020-11-05,ETN,Industrials,107.78,110.49,107.366,109.81
129,2020-11-04,ETN,Industrials,110.2,110.2,104.34,105.9
130,2020-11-03,ETN,Industrials,109.26,111.99,106.92,111.25
131,2020-11-02,ETN,Industrials,105.76,107.71,105.25,107.34
132,2020-10-30,ETN,Industrials,103.86,104.68,102.28,103.79
133,2020-10-29,ETN,Industrials,101.79,105.145,101.52,104.22
134,2020-10-28,ETN,Industrials,103.14,104.91,101.84,102.31
135,2020-10-27,ETN,Industrials,107.43,107.7099,105.18,105.42
136,2020-10-26,ETN,Industrials,108.25,108.709,105.7701,107.42
137,2020-10-23,ETN,Industrials,110.8,111.65,109.7,109.81
138,2020-10-22,ETN,Industrials,108.74,110.45,108.74,109.88
139,2020-10-21,ETN,Industrials,108.31,110.06,108.24,108.28
