,date,symbol,sector,open,high,low,close
0,2021-05-12,ETSY,Consumer Discretionary,165.33,169.07,158.41,159.34
1,2021-05-11,ETSY,Consumer Discretionary,159.55,170.75,158.71,169.84
2,2021-05-10,ETSY,Consumer Discretionary,163.01,170.98,161.78,167.13
3,2021-05-07,ETSY,Consumer Discretionary,163.93,165.6166,158.65,165.51
4,2021-05-06,ETSY,Consumer Discretionary,167.01,170.648,154.0,157.68
5,2021-05-05,ETSY,Consumer Discretionary,190.99,194.99,181.51,184.57
6,2021-05-04,ETSY,Consumer Discretionary,185.11,191.29,183.2,188.45
7,2021-05-03,ETSY,Consumer Discretionary,200.4,200.91,189.27,190.71
8,2021-04-30,ETSY,Consumer Discretionary,206.34,207.95,198.08,198.79
9,2021-04-29,ETSY,Consumer Discretionary,212.28,212.34,201.801,208.8
10,2021-04-28,ETSY,Consumer Discretionary,206.26,212.97,202.5,211.35
11,2021-04-27,ETSY,Consumer Discretionary,206.16,210.8,206.0,207.49
12,2021-04-26,ETSY,Consumer Discretionary,211.0,212.0,203.8,205.18
13,2021-04-23,ETSY,Consumer Discretionary,212.6,216.75,211.0,214.59
14,2021-04-22,ETSY,Consumer Discretionary,209.83,215.46,207.503,210.28
15,2021-04-21,ETSY,Consumer Discretionary,204.34,210.82,202.33,209.76
16,2021-04-20,ETSY,Consumer Discretionary,212.0,212.5,200.88,206.86
17,2021-04-19,ETSY,Consumer Discretionary,216.875,219.19,211.87,213.19
18,2021-04-16,ETSY,Consumer Discretionary,220.3,221.1365,213.6,219.99
19,2021-04-15,ETSY,Consumer Discretionary,221.37,223.5,216.31,219.29
20,2021-04-14,ETSY,Consumer Discretionary,225.04,227.0,216.19,218.07
21,2021-04-13,ETSY,Consumer Discretionary,222.445,225.84,220.292,224.03
22,2021-04-12,ETSY,Consumer Discretionary,216.8725,220.51,214.1,218.13
23,2021-04-09,ETSY,Consumer Discretionary,214.24,221.67,212.86,218.57
24,2021-04-08,ETSY,Consumer Discretionary,206.0,216.29,205.795,215.39
25,2021-04-07,ETSY,Consumer Discretionary,204.5,205.75,199.275,204.02
26,2021-04-06,ETSY,Consumer Discretionary,199.4358,208.57,197.3132,206.01
27,2021-04-05,ETSY,Consumer Discretionary,211.99,211.99,196.13,197.2
28,2021-04-01,ETSY,Consumer Discretionary,206.4381,212.14,205.4,208.2
29,2021-03-31,ETSY,Consumer Discretionary,202.9,208.49,201.34,201.67
30,2021-03-30,ETSY,Consumer Discretionary,192.8,203.66,191.0,198.87
31,2021-03-29,ETSY,Consumer Discretionary,203.42,204.0,195.155,196.31
32,2021-03-26,ETSY,Consumer Discretionary,197.4944,202.55,193.65,202.32
33,2021-03-25,ETSY,Consumer Discretionary,193.33,201.095,190.5,196.2
34,2021-03-24,ETSY,Consumer Discretionary,220.85,221.0,197.87,199.18
35,2021-03-23,ETSY,Consumer Discretionary,222.6163,231.34,218.09,219.67
36,2021-03-22,ETSY,Consumer Discretionary,219.5531,223.1881,217.0,219.77
37,2021-03-19,ETSY,Consumer Discretionary,210.3119,224.107,209.4,215.41
38,2021-03-18,ETSY,Consumer Discretionary,211.395,219.7179,208.87,209.51
39,2021-03-17,ETSY,Consumer Discretionary,208.5,221.19,204.53,218.44
40,2021-03-16,ETSY,Consumer Discretionary,226.89,228.0,210.75,215.98
41,2021-03-15,ETSY,Consumer Discretionary,220.53,223.5,216.01,223.23
42,2021-03-12,ETSY,Consumer Discretionary,212.28,222.67,205.0,221.14
43,2021-03-11,ETSY,Consumer Discretionary,214.97,224.0,212.725,220.84
44,2021-03-10,ETSY,Consumer Discretionary,212.96,215.485,203.25,205.93
45,2021-03-09,ETSY,Consumer Discretionary,202.97,210.13,198.8613,206.79
46,2021-03-08,ETSY,Consumer Discretionary,199.535,209.56,189.8,190.26
47,2021-03-05,ETSY,Consumer Discretionary,201.01,203.435,179.23,200.3
48,2021-03-04,ETSY,Consumer Discretionary,207.51,212.9699,186.99,198.1
49,2021-03-03,ETSY,Consumer Discretionary,235.2,238.29,206.79,208.61
50,2021-03-02,ETSY,Consumer Discretionary,243.5,251.86,236.78,238.43
51,2021-03-01,ETSY,Consumer Discretionary,224.57,248.45,223.65,244.58
52,2021-02-26,ETSY,Consumer Discretionary,224.0,232.29,206.37,220.27
53,2021-02-25,ETSY,Consumer Discretionary,205.085,214.0,194.77,197.58
54,2021-02-24,ETSY,Consumer Discretionary,209.99,212.8781,202.2647,209.1
55,2021-02-23,ETSY,Consumer Discretionary,203.07,211.9193,191.0,210.75
56,2021-02-22,ETSY,Consumer Discretionary,222.86,225.66,211.75,213.12
57,2021-02-19,ETSY,Consumer Discretionary,224.09,230.43,223.61,227.27
58,2021-02-18,ETSY,Consumer Discretionary,216.05,225.31,215.1041,220.82
59,2021-02-17,ETSY,Consumer Discretionary,224.92,225.0,214.07,222.41
60,2021-02-16,ETSY,Consumer Discretionary,238.95,239.25,226.095,228.32
61,2021-02-12,ETSY,Consumer Discretionary,227.71,235.1,224.57,233.86
62,2021-02-11,ETSY,Consumer Discretionary,227.1015,230.04,223.7302,226.05
63,2021-02-10,ETSY,Consumer Discretionary,232.19,232.2438,220.52,225.65
64,2021-02-09,ETSY,Consumer Discretionary,229.26,231.65,226.65,229.87
65,2021-02-08,ETSY,Consumer Discretionary,233.14,238.95,226.35,231.69
66,2021-02-05,ETSY,Consumer Discretionary,222.0,239.47,220.32,231.12
67,2021-02-04,ETSY,Consumer Discretionary,211.7,221.9577,211.7,220.84
68,2021-02-03,ETSY,Consumer Discretionary,211.76,215.1599,208.0186,210.07
