,date,symbol,sector,open,high,low,close
0,2021-05-12,EW,Health Care,88.56,88.88,87.32,87.47
1,2021-05-11,EW,Health Care,89.41,90.2,88.66,89.51
2,2021-05-10,EW,Health Care,92.22,92.395,90.25,90.4
3,2021-05-07,EW,Health Care,91.87,93.67,91.8,92.17
4,2021-05-06,EW,Health Care,91.48,91.87,90.36,91.75
5,2021-05-05,EW,Health Care,93.61,92.87,90.24,91.77
6,2021-05-04,EW,Health Care,94.13,94.13,92.48,93.31
7,2021-05-03,EW,Health Care,95.85,95.99,94.2,94.63
8,2021-04-30,EW,Health Care,95.92,96.42,94.85,95.52
9,2021-04-29,EW,Health Care,97.3,97.39,96.01,96.26
10,2021-04-28,EW,Health Care,96.33,97.01,95.86,96.78
11,2021-04-27,EW,Health Care,95.93,96.62,95.66,96.15
12,2021-04-26,EW,Health Care,97.28,97.55,95.51,96.03
13,2021-04-23,EW,Health Care,96.27,98.11,96.05,97.45
14,2021-04-22,EW,Health Care,94.4,96.39,93.7601,96.15
15,2021-04-21,EW,Health Care,90.31,95.96,90.31,95.24
16,2021-04-20,EW,Health Care,88.76,91.03,88.73,89.63
17,2021-04-19,EW,Health Care,88.37,89.03,87.81,88.56
18,2021-04-16,EW,Health Care,88.57,89.13,87.66,89.02
19,2021-04-15,EW,Health Care,86.45,88.395,86.45,88.0
20,2021-04-14,EW,Health Care,86.36,87.66,86.14,86.25
21,2021-04-13,EW,Health Care,85.54,86.81,85.39,86.44
22,2021-04-12,EW,Health Care,85.75,86.53,85.43,85.82
23,2021-04-09,EW,Health Care,84.51,86.0,83.8,85.99
24,2021-04-08,EW,Health Care,84.88,85.14,84.03,84.16
25,2021-04-07,EW,Health Care,85.44,85.99,84.02,84.12
26,2021-04-06,EW,Health Care,85.2,86.55,85.19,85.41
27,2021-04-05,EW,Health Care,84.91,86.24,84.48,85.74
28,2021-04-01,EW,Health Care,83.98,84.44,83.12,83.84
29,2021-03-31,EW,Health Care,83.35,84.33,83.17,83.64
30,2021-03-30,EW,Health Care,82.09,83.215,81.97,82.85
31,2021-03-29,EW,Health Care,82.14,83.18,81.2,82.43
32,2021-03-26,EW,Health Care,80.75,82.41,80.21,82.3
33,2021-03-25,EW,Health Care,80.33,80.8,79.3,80.55
34,2021-03-24,EW,Health Care,80.0,80.93,79.66,80.21
35,2021-03-23,EW,Health Care,79.69,80.81,79.31,79.77
36,2021-03-22,EW,Health Care,78.99,80.42,78.8,79.66
37,2021-03-19,EW,Health Care,78.67,80.14,78.4402,79.41
38,2021-03-18,EW,Health Care,80.0,80.2,78.58,78.68
39,2021-03-17,EW,Health Care,81.01,81.21,79.72,80.38
40,2021-03-16,EW,Health Care,81.31,82.18,80.62,81.26
41,2021-03-15,EW,Health Care,81.66,82.095,80.79,81.14
42,2021-03-12,EW,Health Care,83.07,83.24,81.96,82.07
43,2021-03-11,EW,Health Care,83.64,84.39,82.59,82.97
44,2021-03-10,EW,Health Care,82.58,84.96,82.25,82.98
45,2021-03-09,EW,Health Care,81.12,83.42,80.9,82.02
46,2021-03-08,EW,Health Care,81.37,82.38,80.29,80.32
47,2021-03-05,EW,Health Care,82.29,82.49,78.86,81.72
48,2021-03-04,EW,Health Care,84.25,84.88,81.23,81.88
49,2021-03-03,EW,Health Care,85.78,86.41,84.24,84.25
50,2021-03-02,EW,Health Care,86.0,86.88,85.48,86.28
51,2021-03-01,EW,Health Care,83.99,85.79,83.99,85.77
52,2021-02-26,EW,Health Care,84.35,84.35,82.71,83.1
53,2021-02-25,EW,Health Care,84.15,85.09,82.92,83.97
54,2021-02-24,EW,Health Care,85.28,86.08,84.44,84.45
55,2021-02-23,EW,Health Care,83.63,85.63,82.44,85.22
56,2021-02-22,EW,Health Care,83.81,84.0,82.76,83.34
57,2021-02-19,EW,Health Care,85.59,85.815,83.99,84.31
58,2021-02-18,EW,Health Care,84.44,86.1,83.26,85.24
59,2021-02-17,EW,Health Care,86.43,86.85,84.78,85.07
60,2021-02-16,EW,Health Care,88.2,88.2,86.13,86.98
61,2021-02-12,EW,Health Care,87.27,87.82,86.68,87.65
62,2021-02-11,EW,Health Care,86.81,88.11,86.22,88.07
63,2021-02-10,EW,Health Care,86.01,86.74,85.62,86.39
64,2021-02-09,EW,Health Care,86.3,86.93,85.37,85.8
65,2021-02-08,EW,Health Care,85.15,86.3172,84.61,86.08
66,2021-02-05,EW,Health Care,85.96,86.19,85.02,85.1
67,2021-02-04,EW,Health Care,84.54,86.16,84.0234,85.43
68,2021-02-03,EW,Health Care,83.51,84.12,82.45,83.86
69,2021-02-02,EW,Health Care,82.22,84.72,82.01,83.97
70,2021-02-01,EW,Health Care,83.54,83.87,81.85,81.92
71,2021-01-29,EW,Health Care,83.01,83.5,81.62,82.58
72,2021-01-28,EW,Health Care,82.06,85.6,82.01,83.38
73,2021-01-27,EW,Health Care,85.8,85.99,84.23,84.84
74,2021-01-26,EW,Health Care,84.6,87.84,84.03,86.54
75,2021-01-25,EW,Health Care,85.39,86.31,84.6,85.89
76,2021-01-22,EW,Health Care,86.98,87.375,85.21,85.52
77,2021-01-21,EW,Health Care,88.17,88.89,86.55,87.23
78,2021-01-20,EW,Health Care,88.32,88.64,87.37,88.1
79,2021-01-19,EW,Health Care,88.67,89.43,87.8,87.91
80,2021-01-15,EW,Health Care,87.27,88.15,86.84,87.87
81,2021-01-14,EW,Health Care,89.31,89.65,87.3,87.49
82,2021-01-13,EW,Health Care,87.55,89.52,87.35,89.26
83,2021-01-12,EW,Health Care,89.28,89.66,87.6,87.85
84,2021-01-11,EW,Health Care,90.21,90.33,89.14,89.37
85,2021-01-08,EW,Health Care,90.04,91.37,89.62,90.67
86,2021-01-07,EW,Health Care,87.53,89.6,86.785,89.44
87,2021-01-06,EW,Health Care,87.68,88.45,86.6,87.2
88,2021-01-05,EW,Health Care,88.85,89.42,88.01,88.44
89,2021-01-04,EW,Health Care,91.5,91.73,87.876,88.92
90,2020-12-31,EW,Health Care,89.76,91.3328,89.37,91.23
91,2020-12-30,EW,Health Care,90.5,90.76,89.29,89.64
92,2020-12-29,EW,Health Care,91.39,92.08,89.93,90.0
93,2020-12-28,EW,Health Care,88.89,90.78,88.89,90.58
94,2020-12-24,EW,Health Care,88.52,88.99,88.15,88.63
95,2020-12-23,EW,Health Care,88.5,90.06,88.27,88.28
96,2020-12-22,EW,Health Care,85.79,88.44,85.2801,88.0
97,2020-12-21,EW,Health Care,85.19,85.75,83.215,85.64
98,2020-12-18,EW,Health Care,86.44,87.2,85.7717,86.82
99,2020-12-17,EW,Health Care,85.0,86.59,84.66,86.52
100,2020-12-16,EW,Health Care,83.88,86.08,83.72,85.09
101,2020-12-15,EW,Health Care,84.77,85.48,83.69,85.15
102,2020-12-14,EW,Health Care,84.53,85.8,83.51,83.57
103,2020-12-11,EW,Health Care,86.2,86.27,83.65,84.18
104,2020-12-10,EW,Health Care,85.03,87.77,84.82,86.74
105,2020-12-09,EW,Health Care,85.5,86.0,83.9,85.03
106,2020-12-08,EW,Health Care,85.98,86.07,84.32,85.4
107,2020-12-07,EW,Health Care,85.7,86.54,85.14,86.06
108,2020-12-04,EW,Health Care,84.23,85.955,83.71,85.76
109,2020-12-03,EW,Health Care,83.9,84.78,83.38,83.65
110,2020-12-02,EW,Health Care,83.67,84.81,83.17,84.47
111,2020-12-01,EW,Health Care,84.56,84.93,83.565,83.88
112,2020-11-30,EW,Health Care,84.98,84.98,83.12,83.89
113,2020-11-27,EW,Health Care,84.87,85.355,83.83,85.26
114,2020-11-25,EW,Health Care,85.27,85.535,83.83,84.21
115,2020-11-24,EW,Health Care,85.5,86.15,85.01,85.61
116,2020-11-23,EW,Health Care,84.95,85.81,83.86,84.7
