,date,symbol,sector,open,high,low,close
0,2021-05-12,EXPD,Industrials,116.93,117.4,115.29,115.53
1,2021-05-11,EXPD,Industrials,119.6,119.99,116.85,117.67
2,2021-05-10,EXPD,Industrials,118.26,121.04,118.26,120.05
3,2021-05-07,EXPD,Industrials,115.7,118.8,115.3,118.67
4,2021-05-06,EXPD,Industrials,114.28,115.67,113.85,115.64
5,2021-05-05,EXPD,Industrials,113.85,114.66,112.12,113.48
6,2021-05-04,EXPD,Industrials,112.95,115.77,112.07,113.82
7,2021-05-03,EXPD,Industrials,110.46,113.84,110.28,113.08
8,2021-04-30,EXPD,Industrials,110.7,111.115,109.04,109.86
9,2021-04-29,EXPD,Industrials,109.86,111.28,109.59,110.86
10,2021-04-28,EXPD,Industrials,109.89,109.89,108.73,109.09
11,2021-04-27,EXPD,Industrials,110.3,110.99,109.23,109.45
12,2021-04-26,EXPD,Industrials,111.0,111.18,109.23,109.62
13,2021-04-23,EXPD,Industrials,111.04,111.52,110.15,110.84
14,2021-04-22,EXPD,Industrials,109.78,111.6,109.55,110.29
15,2021-04-21,EXPD,Industrials,111.05,111.76,110.1,110.23
16,2021-04-20,EXPD,Industrials,110.87,110.91,109.84,110.45
17,2021-04-19,EXPD,Industrials,111.19,111.19,109.56,110.22
18,2021-04-16,EXPD,Industrials,111.67,112.71,110.94,111.23
19,2021-04-15,EXPD,Industrials,109.84,111.27,109.03,111.1
20,2021-04-14,EXPD,Industrials,108.87,109.65,108.01,109.22
21,2021-04-13,EXPD,Industrials,109.65,109.855,108.28,109.42
22,2021-04-12,EXPD,Industrials,109.1,109.68,108.55,109.52
23,2021-04-09,EXPD,Industrials,108.81,109.75,108.2,108.92
24,2021-04-08,EXPD,Industrials,107.81,108.9,107.14,108.49
25,2021-04-07,EXPD,Industrials,109.58,109.615,107.31,107.61
26,2021-04-06,EXPD,Industrials,109.83,110.55,109.65,109.94
27,2021-04-05,EXPD,Industrials,109.0,110.63,108.94,110.56
28,2021-04-01,EXPD,Industrials,107.48,108.938,106.73,108.76
29,2021-03-31,EXPD,Industrials,107.63,108.655,107.0968,107.69
