,date,symbol,sector,open,high,low,close
0,2021-05-12,EXPE,Consumer Discretionary,171.21,171.99,161.64,161.99
1,2021-05-11,EXPE,Consumer Discretionary,170.0,173.38,167.82,172.4
2,2021-05-10,EXPE,Consumer Discretionary,173.56,177.425,170.73,173.09
3,2021-05-07,EXPE,Consumer Discretionary,175.44,180.05,172.01,173.46
4,2021-05-06,EXPE,Consumer Discretionary,170.04,170.92,162.62,164.82
5,2021-05-05,EXPE,Consumer Discretionary,174.09,176.23,170.0,170.92
6,2021-05-04,EXPE,Consumer Discretionary,175.46,175.555,170.44,173.45
7,2021-05-03,EXPE,Consumer Discretionary,178.25,179.63,174.47,174.82
8,2021-04-30,EXPE,Consumer Discretionary,177.48,178.45,174.666,176.23
9,2021-04-29,EXPE,Consumer Discretionary,179.03,180.64,175.1019,177.87
10,2021-04-28,EXPE,Consumer Discretionary,176.75,179.66,176.2,177.6
11,2021-04-27,EXPE,Consumer Discretionary,177.03,179.579,176.03,177.08
12,2021-04-26,EXPE,Consumer Discretionary,179.33,181.52,176.34,176.68
13,2021-04-23,EXPE,Consumer Discretionary,176.66,178.67,175.07,177.56
14,2021-04-22,EXPE,Consumer Discretionary,176.4608,180.0889,174.89,175.65
15,2021-04-21,EXPE,Consumer Discretionary,170.49,176.76,168.53,176.26
16,2021-04-20,EXPE,Consumer Discretionary,174.08,174.9399,166.75,170.46
17,2021-04-19,EXPE,Consumer Discretionary,172.51,177.88,172.06,175.62
18,2021-04-16,EXPE,Consumer Discretionary,172.1,174.77,170.98,173.91
19,2021-04-15,EXPE,Consumer Discretionary,171.96,172.51,169.2,170.55
20,2021-04-14,EXPE,Consumer Discretionary,171.92,174.95,171.27,171.72
21,2021-04-13,EXPE,Consumer Discretionary,171.41,172.7,167.55,170.93
22,2021-04-12,EXPE,Consumer Discretionary,173.21,175.25,169.55,171.71
23,2021-04-09,EXPE,Consumer Discretionary,175.49,175.59,170.84,174.98
24,2021-04-08,EXPE,Consumer Discretionary,171.4,175.42,170.41,174.57
25,2021-04-07,EXPE,Consumer Discretionary,175.0,175.5,170.38,172.04
26,2021-04-06,EXPE,Consumer Discretionary,174.44,177.63,174.18,174.7
27,2021-04-05,EXPE,Consumer Discretionary,177.66,178.33,174.5,176.02
28,2021-04-01,EXPE,Consumer Discretionary,172.89,176.0,170.68,175.93
29,2021-03-31,EXPE,Consumer Discretionary,176.63,177.2,171.92,172.12
30,2021-03-30,EXPE,Consumer Discretionary,177.0,177.4,173.41,175.87
31,2021-03-29,EXPE,Consumer Discretionary,176.45,179.8448,173.22,176.13
32,2021-03-26,EXPE,Consumer Discretionary,176.98,177.73,170.99,176.45
33,2021-03-25,EXPE,Consumer Discretionary,163.61,175.1,162.73,174.66
34,2021-03-24,EXPE,Consumer Discretionary,169.2,172.58,165.9,166.14
35,2021-03-23,EXPE,Consumer Discretionary,170.235,172.6,165.73,168.42
36,2021-03-22,EXPE,Consumer Discretionary,179.0,179.98,172.44,173.09
37,2021-03-19,EXPE,Consumer Discretionary,179.6,180.94,175.0935,179.98
38,2021-03-18,EXPE,Consumer Discretionary,184.0,187.93,180.61,180.8
39,2021-03-17,EXPE,Consumer Discretionary,176.42,185.48,175.48,185.27
40,2021-03-16,EXPE,Consumer Discretionary,177.5603,178.5459,174.79,176.38
41,2021-03-15,EXPE,Consumer Discretionary,176.78,177.3,171.36,177.1
42,2021-03-12,EXPE,Consumer Discretionary,170.72,176.25,169.7,174.59
43,2021-03-11,EXPE,Consumer Discretionary,168.72,175.245,168.72,171.08
44,2021-03-10,EXPE,Consumer Discretionary,170.03,173.22,165.51,167.58
45,2021-03-09,EXPE,Consumer Discretionary,168.95,169.57,163.0,165.77
46,2021-03-08,EXPE,Consumer Discretionary,166.54,171.72,165.34,167.9
47,2021-03-05,EXPE,Consumer Discretionary,160.93,167.739,156.13,166.45
48,2021-03-04,EXPE,Consumer Discretionary,162.82,163.94,154.8325,158.41
49,2021-03-03,EXPE,Consumer Discretionary,161.12,166.19,158.31,163.43
50,2021-03-02,EXPE,Consumer Discretionary,161.55,164.42,160.0,160.27
51,2021-03-01,EXPE,Consumer Discretionary,164.0,165.75,159.45,161.24
52,2021-02-26,EXPE,Consumer Discretionary,158.41,164.91,154.61,161.0
53,2021-02-25,EXPE,Consumer Discretionary,164.61,165.0,156.1,157.18
54,2021-02-24,EXPE,Consumer Discretionary,160.55,164.58,159.6081,162.78
55,2021-02-23,EXPE,Consumer Discretionary,160.37,160.915,153.1,159.69
56,2021-02-22,EXPE,Consumer Discretionary,158.5,166.57,157.56,160.61
57,2021-02-19,EXPE,Consumer Discretionary,157.64,162.1,157.13,158.92
58,2021-02-18,EXPE,Consumer Discretionary,150.84,157.41,150.28,156.73
59,2021-02-17,EXPE,Consumer Discretionary,146.5,155.53,145.0,154.04
60,2021-02-16,EXPE,Consumer Discretionary,146.41,148.88,143.23,147.84
61,2021-02-12,EXPE,Consumer Discretionary,148.37,151.7,145.58,146.51
62,2021-02-11,EXPE,Consumer Discretionary,149.3,153.26,146.885,149.91
63,2021-02-10,EXPE,Consumer Discretionary,145.55,151.86,145.3,148.9
64,2021-02-09,EXPE,Consumer Discretionary,144.98,145.91,143.07,144.48
65,2021-02-08,EXPE,Consumer Discretionary,142.1,146.32,142.1,145.42
66,2021-02-05,EXPE,Consumer Discretionary,143.33,145.67,140.29,141.4
67,2021-02-04,EXPE,Consumer Discretionary,141.66,142.92,140.01,141.91
68,2021-02-03,EXPE,Consumer Discretionary,137.98,141.15,137.06,138.48
69,2021-02-02,EXPE,Consumer Discretionary,129.06,136.78,128.83,136.13
70,2021-02-01,EXPE,Consumer Discretionary,126.15,129.6,125.645,127.3
71,2021-01-29,EXPE,Consumer Discretionary,124.94,126.34,120.4201,124.1
72,2021-01-28,EXPE,Consumer Discretionary,126.375,130.16,124.6,126.74
73,2021-01-27,EXPE,Consumer Discretionary,128.37,130.49,118.3,123.21
74,2021-01-26,EXPE,Consumer Discretionary,137.59,137.59,130.01,131.5
75,2021-01-25,EXPE,Consumer Discretionary,135.69,138.55,126.19,135.99
76,2021-01-22,EXPE,Consumer Discretionary,139.82,140.33,136.44,136.52
77,2021-01-21,EXPE,Consumer Discretionary,142.88,142.88,136.01,138.88
78,2021-01-20,EXPE,Consumer Discretionary,141.66,144.1,138.4,141.75
79,2021-01-19,EXPE,Consumer Discretionary,142.54,143.6899,140.23,142.82
80,2021-01-15,EXPE,Consumer Discretionary,144.0,144.35,140.11,140.69
81,2021-01-14,EXPE,Consumer Discretionary,141.12,146.41,141.12,144.17
82,2021-01-13,EXPE,Consumer Discretionary,140.2,141.09,138.35,140.61
83,2021-01-12,EXPE,Consumer Discretionary,142.85,144.05,140.86,140.95
84,2021-01-11,EXPE,Consumer Discretionary,140.31,144.5,140.11,142.96
85,2021-01-08,EXPE,Consumer Discretionary,143.4,144.75,141.05,144.02
86,2021-01-07,EXPE,Consumer Discretionary,144.11,144.67,139.84,142.29
87,2021-01-06,EXPE,Consumer Discretionary,138.1085,147.55,136.84,143.42
88,2021-01-05,EXPE,Consumer Discretionary,131.47,137.94,131.46,137.14
89,2021-01-04,EXPE,Consumer Discretionary,134.57,135.87,128.31,131.37
90,2020-12-31,EXPE,Consumer Discretionary,132.11,133.69,130.28,132.4
91,2020-12-30,EXPE,Consumer Discretionary,132.0,133.05,130.88,132.12
92,2020-12-29,EXPE,Consumer Discretionary,128.82,132.285,128.28,131.3
93,2020-12-28,EXPE,Consumer Discretionary,127.79,130.3,127.1293,128.48
94,2020-12-24,EXPE,Consumer Discretionary,126.94,127.43,125.75,126.96
95,2020-12-23,EXPE,Consumer Discretionary,123.99,128.155,123.17,126.49
96,2020-12-22,EXPE,Consumer Discretionary,124.08,126.11,122.5,123.15
97,2020-12-21,EXPE,Consumer Discretionary,121.78,124.69,120.15,123.36
98,2020-12-18,EXPE,Consumer Discretionary,125.2,127.46,122.4,125.54
99,2020-12-17,EXPE,Consumer Discretionary,125.66,125.66,122.34,124.48
100,2020-12-16,EXPE,Consumer Discretionary,126.49,126.49,122.82,124.98
101,2020-12-15,EXPE,Consumer Discretionary,124.5,126.66,123.36,126.0
102,2020-12-14,EXPE,Consumer Discretionary,124.45,125.0,122.2,123.33
103,2020-12-11,EXPE,Consumer Discretionary,129.525,129.6599,122.74,123.02
104,2020-12-10,EXPE,Consumer Discretionary,125.69,134.085,125.69,130.47
105,2020-12-09,EXPE,Consumer Discretionary,128.24,132.92,125.75,128.84
106,2020-12-08,EXPE,Consumer Discretionary,125.82,127.4,124.05,126.28
107,2020-12-07,EXPE,Consumer Discretionary,128.51,128.78,124.62,126.52
108,2020-12-04,EXPE,Consumer Discretionary,128.19,128.78,125.25,128.58
109,2020-12-03,EXPE,Consumer Discretionary,129.11,129.9299,126.7,127.35
110,2020-12-02,EXPE,Consumer Discretionary,124.7,129.42,124.49,127.87
111,2020-12-01,EXPE,Consumer Discretionary,126.79,128.31,125.17,126.22
112,2020-11-30,EXPE,Consumer Discretionary,123.71,125.31,121.36,124.49
113,2020-11-27,EXPE,Consumer Discretionary,124.0,125.68,122.46,123.73
114,2020-11-25,EXPE,Consumer Discretionary,124.25,124.3799,121.8,123.18
115,2020-11-24,EXPE,Consumer Discretionary,125.7,125.745,122.8,125.05
116,2020-11-23,EXPE,Consumer Discretionary,121.1834,124.95,120.12,122.8
117,2020-11-20,EXPE,Consumer Discretionary,123.45,123.66,119.77,119.9
118,2020-11-19,EXPE,Consumer Discretionary,121.61,124.16,120.03,123.96
119,2020-11-18,EXPE,Consumer Discretionary,123.1,126.08,122.01,122.52
120,2020-11-17,EXPE,Consumer Discretionary,122.58,123.78,121.13,123.03
121,2020-11-16,EXPE,Consumer Discretionary,128.77,128.98,122.32,123.56
122,2020-11-13,EXPE,Consumer Discretionary,119.1,124.975,118.3,123.45
123,2020-11-12,EXPE,Consumer Discretionary,118.3,119.9,115.6,117.5
124,2020-11-11,EXPE,Consumer Discretionary,120.3,123.39,118.64,119.7
125,2020-11-10,EXPE,Consumer Discretionary,122.2807,126.81,119.74,122.75
126,2020-11-09,EXPE,Consumer Discretionary,119.2,130.57,119.19,128.64
127,2020-11-06,EXPE,Consumer Discretionary,102.0,104.32,100.8,103.27
128,2020-11-05,EXPE,Consumer Discretionary,102.01,106.74,100.52,103.1
129,2020-11-04,EXPE,Consumer Discretionary,99.24,100.72,97.17,98.5
130,2020-11-03,EXPE,Consumer Discretionary,95.95,99.745,95.51,98.8
131,2020-11-02,EXPE,Consumer Discretionary,95.05,95.23,92.555,94.72
132,2020-10-30,EXPE,Consumer Discretionary,94.88,95.26,92.7075,94.15
133,2020-10-29,EXPE,Consumer Discretionary,91.19,95.91,90.52,95.22
134,2020-10-28,EXPE,Consumer Discretionary,92.8,93.85,90.77,91.83
135,2020-10-27,EXPE,Consumer Discretionary,98.96,98.96,94.47,95.07
136,2020-10-26,EXPE,Consumer Discretionary,101.56,101.64,96.16,99.01
137,2020-10-23,EXPE,Consumer Discretionary,101.0,103.06,100.26,102.72
138,2020-10-22,EXPE,Consumer Discretionary,93.05,102.11,92.58,101.04
139,2020-10-21,EXPE,Consumer Discretionary,92.56,93.32,91.5,92.7
140,2020-10-20,EXPE,Consumer Discretionary,92.92,95.42,92.55,92.96
141,2020-10-19,EXPE,Consumer Discretionary,91.87,93.13,91.45,92.14
142,2020-10-16,EXPE,Consumer Discretionary,91.06,91.76,89.95,90.71
143,2020-10-15,EXPE,Consumer Discretionary,91.15,91.22,87.9,90.23
144,2020-10-14,EXPE,Consumer Discretionary,94.57,95.69,92.35,92.4
145,2020-10-13,EXPE,Consumer Discretionary,97.36,97.36,93.68,94.32
146,2020-10-12,EXPE,Consumer Discretionary,98.005,98.48,96.77,97.34
147,2020-10-09,EXPE,Consumer Discretionary,97.22,97.49,95.095,96.3
148,2020-10-08,EXPE,Consumer Discretionary,94.06,96.05,93.022,95.95
149,2020-10-07,EXPE,Consumer Discretionary,93.73,94.27,92.43,93.49
150,2020-10-06,EXPE,Consumer Discretionary,92.89,95.57,91.4866,91.87
151,2020-10-05,EXPE,Consumer Discretionary,93.1,93.47,90.9,92.16
152,2020-10-02,EXPE,Consumer Discretionary,89.215,92.51,88.42,92.09
153,2020-10-01,EXPE,Consumer Discretionary,92.55,94.725,91.95,92.06
154,2020-09-30,EXPE,Consumer Discretionary,92.3,93.8653,90.42,91.69
155,2020-09-29,EXPE,Consumer Discretionary,94.04,94.05,91.06,91.78
156,2020-09-28,EXPE,Consumer Discretionary,92.99,95.2587,91.67,94.29
157,2020-09-25,EXPE,Consumer Discretionary,91.04,93.89,90.38,93.57
158,2020-09-24,EXPE,Consumer Discretionary,91.23,93.96,89.72,92.05
159,2020-09-23,EXPE,Consumer Discretionary,93.38,95.3,91.68,91.92
160,2020-09-22,EXPE,Consumer Discretionary,91.94,94.19,90.67,93.95
161,2020-09-21,EXPE,Consumer Discretionary,91.17,92.3799,89.83,91.29
