,date,symbol,sector,open,high,low,close
0,2021-05-12,F,Consumer Discretionary,11.54,11.68,11.28,11.33
1,2021-05-11,F,Consumer Discretionary,11.45,11.76,11.42,11.58
2,2021-05-10,F,Consumer Discretionary,11.78,11.93,11.7,11.71
3,2021-05-07,F,Consumer Discretionary,11.65,11.83,11.52,11.82
4,2021-05-06,F,Consumer Discretionary,11.55,11.76,11.48,11.74
5,2021-05-05,F,Consumer Discretionary,11.5,11.64,11.5,11.61
6,2021-05-04,F,Consumer Discretionary,11.53,11.55,11.23,11.41
7,2021-05-03,F,Consumer Discretionary,11.56,11.68,11.43,11.63
8,2021-04-30,F,Consumer Discretionary,11.36,11.54,11.33,11.54
9,2021-04-29,F,Consumer Discretionary,11.91,11.91,11.14,11.26
10,2021-04-28,F,Consumer Discretionary,12.6,12.6,12.385,12.43
11,2021-04-27,F,Consumer Discretionary,12.29,12.5,12.27,12.49
12,2021-04-26,F,Consumer Discretionary,12.28,12.4414,12.23,12.27
13,2021-04-23,F,Consumer Discretionary,11.97,12.24,11.87,12.22
14,2021-04-22,F,Consumer Discretionary,12.06,12.15,11.83,11.94
15,2021-04-21,F,Consumer Discretionary,11.36,11.74,11.18,11.73
16,2021-04-20,F,Consumer Discretionary,12.06,12.06,11.35,11.45
17,2021-04-19,F,Consumer Discretionary,12.22,12.25,12.02,12.11
18,2021-04-16,F,Consumer Discretionary,12.32,12.36,12.19,12.23
19,2021-04-15,F,Consumer Discretionary,12.3,12.32,12.125,12.24
20,2021-04-14,F,Consumer Discretionary,12.2,12.49,12.2,12.24
21,2021-04-13,F,Consumer Discretionary,12.39,12.445,12.1,12.2
22,2021-04-12,F,Consumer Discretionary,12.5,12.55,12.32,12.38
23,2021-04-09,F,Consumer Discretionary,12.49,12.62,12.39,12.51
24,2021-04-08,F,Consumer Discretionary,12.67,12.76,12.43,12.51
25,2021-04-07,F,Consumer Discretionary,12.87,12.93,12.66,12.73
26,2021-04-06,F,Consumer Discretionary,12.7,12.99,12.64,12.92
27,2021-04-05,F,Consumer Discretionary,12.39,12.78,12.33,12.7
28,2021-04-01,F,Consumer Discretionary,12.28,12.29,12.02,12.17
29,2021-03-31,F,Consumer Discretionary,12.46,12.54,12.21,12.25
30,2021-03-30,F,Consumer Discretionary,12.16,12.48,12.11,12.46
31,2021-03-29,F,Consumer Discretionary,12.2,12.36,12.065,12.15
32,2021-03-26,F,Consumer Discretionary,12.43,12.49,12.06,12.3
33,2021-03-25,F,Consumer Discretionary,11.94,12.35,11.72,12.32
34,2021-03-24,F,Consumer Discretionary,12.36,12.53,12.12,12.14
35,2021-03-23,F,Consumer Discretionary,12.57,12.68,12.12,12.21
36,2021-03-22,F,Consumer Discretionary,12.85,12.93,12.51,12.85
37,2021-03-19,F,Consumer Discretionary,12.85,12.95,12.55,12.83
38,2021-03-18,F,Consumer Discretionary,12.7,13.01,12.44,12.49
39,2021-03-17,F,Consumer Discretionary,12.34,12.7,12.22,12.69
40,2021-03-16,F,Consumer Discretionary,13.06,13.15,12.43,12.49
41,2021-03-15,F,Consumer Discretionary,13.39,13.62,13.0501,13.2
42,2021-03-12,F,Consumer Discretionary,12.78,13.43,12.77,13.37
43,2021-03-11,F,Consumer Discretionary,12.94,13.0594,12.75,12.81
44,2021-03-10,F,Consumer Discretionary,12.72,12.98,12.62,12.91
45,2021-03-09,F,Consumer Discretionary,12.76,12.76,12.375,12.57
46,2021-03-08,F,Consumer Discretionary,12.39,12.88,12.3,12.65
47,2021-03-05,F,Consumer Discretionary,12.06,12.29,11.67,12.27
48,2021-03-04,F,Consumer Discretionary,12.235,12.46,11.63,11.93
49,2021-03-03,F,Consumer Discretionary,12.61,12.61,12.14,12.17
50,2021-03-02,F,Consumer Discretionary,12.04,12.8,11.94,12.55
51,2021-03-01,F,Consumer Discretionary,11.87,12.08,11.78,11.98
52,2021-02-26,F,Consumer Discretionary,11.89,11.98,11.54,11.7
53,2021-02-25,F,Consumer Discretionary,12.22,12.4,11.72,11.76
54,2021-02-24,F,Consumer Discretionary,11.67,12.4,11.64,12.27
55,2021-02-23,F,Consumer Discretionary,11.59,11.65,11.13,11.62
56,2021-02-22,F,Consumer Discretionary,11.52,11.94,11.5,11.7
57,2021-02-19,F,Consumer Discretionary,11.52,11.59,11.46,11.58
58,2021-02-18,F,Consumer Discretionary,11.37,11.48,11.3,11.43
59,2021-02-17,F,Consumer Discretionary,11.61,11.61,11.37,11.48
60,2021-02-16,F,Consumer Discretionary,11.5,11.7,11.38,11.54
61,2021-02-12,F,Consumer Discretionary,11.42,11.62,11.37,11.45
62,2021-02-11,F,Consumer Discretionary,11.66,11.74,11.31,11.45
63,2021-02-10,F,Consumer Discretionary,12.0,12.02,11.53,11.76
64,2021-02-09,F,Consumer Discretionary,11.54,12.04,11.49,11.93
65,2021-02-08,F,Consumer Discretionary,11.52,11.58,11.31,11.56
66,2021-02-05,F,Consumer Discretionary,11.8,11.9,11.3,11.51
67,2021-02-04,F,Consumer Discretionary,11.4,11.6192,11.17,11.37
