,date,symbol,sector,open,high,low,close
0,2021-05-12,FAST,Industrials,52.4,53.04,51.96,52.0
1,2021-05-11,FAST,Industrials,53.5,53.7,52.75,52.89
2,2021-05-10,FAST,Industrials,53.22,54.3203,53.08,53.75
3,2021-05-07,FAST,Industrials,53.25,53.49,52.67,53.25
4,2021-05-06,FAST,Industrials,53.24,53.56,52.565,52.88
5,2021-05-05,FAST,Industrials,53.52,54.22,52.95,54.18
6,2021-05-04,FAST,Industrials,52.94,53.58,52.63,53.29
7,2021-05-03,FAST,Industrials,52.5,53.145,52.21,53.0
8,2021-04-30,FAST,Industrials,52.75,53.36,52.19,52.28
9,2021-04-29,FAST,Industrials,51.98,53.075,51.77,52.87
10,2021-04-28,FAST,Industrials,51.78,51.92,51.37,51.685
11,2021-04-27,FAST,Industrials,51.67,51.98,51.475,51.91
12,2021-04-26,FAST,Industrials,52.17,52.37,51.7,51.92
13,2021-04-23,FAST,Industrials,51.78,52.495,51.54,52.18
14,2021-04-22,FAST,Industrials,52.0,52.3984,51.69,51.75
15,2021-04-21,FAST,Industrials,51.32,52.12,51.23,52.06
16,2021-04-20,FAST,Industrials,51.31,51.31,50.7401,51.13
17,2021-04-19,FAST,Industrials,50.61,50.875,50.0,50.8
18,2021-04-16,FAST,Industrials,50.2758,50.66,49.925,50.54
19,2021-04-15,FAST,Industrials,50.33,50.44,49.8001,50.39
20,2021-04-14,FAST,Industrials,49.9916,50.935,49.64,50.06
21,2021-04-13,FAST,Industrials,49.11,50.01,48.57,49.98
22,2021-04-12,FAST,Industrials,50.0,50.85,49.84,50.71
23,2021-04-09,FAST,Industrials,50.12,50.23,49.225,50.06
24,2021-04-08,FAST,Industrials,50.04,50.37,49.83,50.22
25,2021-04-07,FAST,Industrials,51.16,51.2,49.875,49.93
26,2021-04-06,FAST,Industrials,51.23,51.67,51.08,51.27
27,2021-04-05,FAST,Industrials,51.41,51.54,50.9,51.44
28,2021-04-01,FAST,Industrials,50.37,51.16,50.25,51.11
29,2021-03-31,FAST,Industrials,50.77,50.96,50.22,50.28
30,2021-03-30,FAST,Industrials,50.37,50.765,50.02,50.62
31,2021-03-29,FAST,Industrials,50.61,51.1,50.37,50.68
32,2021-03-26,FAST,Industrials,49.24,50.61,49.2,50.56
33,2021-03-25,FAST,Industrials,48.41,49.41,47.96,49.22
34,2021-03-24,FAST,Industrials,47.6988,48.63,47.6988,48.23
35,2021-03-23,FAST,Industrials,47.9,48.37,47.535,47.7
36,2021-03-22,FAST,Industrials,47.52,48.095,47.23,47.98
37,2021-03-19,FAST,Industrials,47.52,47.95,46.93,47.63
38,2021-03-18,FAST,Industrials,48.02,48.35,47.4,47.5
39,2021-03-17,FAST,Industrials,47.8,48.55,47.61,48.41
40,2021-03-16,FAST,Industrials,48.03,48.535,47.71,47.72
41,2021-03-15,FAST,Industrials,47.575,48.34,47.44,48.13
42,2021-03-12,FAST,Industrials,46.56,47.22,46.32,47.15
43,2021-03-11,FAST,Industrials,46.3,46.79,46.05,46.37
44,2021-03-10,FAST,Industrials,45.82,46.475,45.65,46.15
45,2021-03-09,FAST,Industrials,45.38,45.98,45.225,45.69
46,2021-03-08,FAST,Industrials,45.07,45.54,44.59,44.66
47,2021-03-05,FAST,Industrials,44.53,45.33,43.61,45.18
48,2021-03-04,FAST,Industrials,46.145,46.21,43.37,44.17
49,2021-03-03,FAST,Industrials,47.21,47.65,46.44,46.45
50,2021-03-02,FAST,Industrials,48.485,48.485,47.27,47.48
51,2021-03-01,FAST,Industrials,46.4416,48.79,46.4416,48.47
52,2021-02-26,FAST,Industrials,46.39,46.92,46.01,46.37
53,2021-02-25,FAST,Industrials,46.8,47.29,46.14,46.28
54,2021-02-24,FAST,Industrials,46.46,47.095,45.96,46.9
55,2021-02-23,FAST,Industrials,46.29,46.915,45.72,46.8
56,2021-02-22,FAST,Industrials,47.04,47.15,46.27,46.32
57,2021-02-19,FAST,Industrials,47.24,47.95,47.13,47.23
58,2021-02-18,FAST,Industrials,46.59,47.61,46.4,47.29
59,2021-02-17,FAST,Industrials,46.48,47.04,46.34,46.95
60,2021-02-16,FAST,Industrials,47.5,47.63,46.565,46.63
61,2021-02-12,FAST,Industrials,47.07,47.43,46.945,47.39
62,2021-02-11,FAST,Industrials,47.83,47.95,46.75,47.07
63,2021-02-10,FAST,Industrials,47.65,47.85,47.07,47.66
64,2021-02-09,FAST,Industrials,47.41,47.435,46.61,47.31
65,2021-02-08,FAST,Industrials,47.51,47.99,47.31,47.47
66,2021-02-05,FAST,Industrials,47.39,47.62,46.94,47.3
67,2021-02-04,FAST,Industrials,46.62,47.17,45.88,47.12
68,2021-02-03,FAST,Industrials,46.35,47.23,46.1,47.0
69,2021-02-02,FAST,Industrials,46.58,46.92,45.84,46.47
70,2021-02-01,FAST,Industrials,46.22,46.78,46.01,46.42
71,2021-01-29,FAST,Industrials,46.41,46.99,45.53,45.59
72,2021-01-28,FAST,Industrials,47.7447,48.5,46.64,46.65
73,2021-01-27,FAST,Industrials,47.08,47.95,46.45,47.82
74,2021-01-26,FAST,Industrials,48.43,48.5619,47.36,47.605
75,2021-01-25,FAST,Industrials,47.61,48.245,46.9,48.13
76,2021-01-22,FAST,Industrials,48.17,48.25,47.55,47.72
77,2021-01-21,FAST,Industrials,48.8,49.12,47.84,48.165
78,2021-01-20,FAST,Industrials,50.0,50.49,47.72,48.7
79,2021-01-19,FAST,Industrials,50.8,51.15,49.9,50.42
80,2021-01-15,FAST,Industrials,50.25,50.6,49.53,50.48
81,2021-01-14,FAST,Industrials,50.98,51.03,49.94,50.32
82,2021-01-13,FAST,Industrials,51.53,51.62,50.67,50.7
83,2021-01-12,FAST,Industrials,50.4,51.89,50.31,51.62
84,2021-01-11,FAST,Industrials,50.31,50.89,50.25,50.48
85,2021-01-08,FAST,Industrials,49.58,50.91,49.58,50.75
86,2021-01-07,FAST,Industrials,49.26,49.8,48.36,49.71
87,2021-01-06,FAST,Industrials,48.04,49.39,47.94,49.1
88,2021-01-05,FAST,Industrials,47.59,48.38,47.34,48.28
89,2021-01-04,FAST,Industrials,49.03,49.36,47.19,47.65
90,2020-12-31,FAST,Industrials,48.89,49.1,48.33,48.83
91,2020-12-30,FAST,Industrials,49.99,49.99,48.71,49.07
92,2020-12-29,FAST,Industrials,50.15,50.47,49.29,49.72
93,2020-12-28,FAST,Industrials,49.88,50.13,49.55,50.05
94,2020-12-24,FAST,Industrials,49.37,49.52,49.15,49.52
95,2020-12-23,FAST,Industrials,49.78,49.7887,48.9,49.09
96,2020-12-22,FAST,Industrials,49.7,49.75,49.18,49.47
97,2020-12-21,FAST,Industrials,48.8,49.71,48.34,49.61
98,2020-12-18,FAST,Industrials,49.69,49.82,48.82,49.34
99,2020-12-17,FAST,Industrials,49.65,49.74,49.3,49.57
100,2020-12-16,FAST,Industrials,48.91,49.64,48.73,49.47
101,2020-12-15,FAST,Industrials,49.42,50.18,49.28,49.83
102,2020-12-14,FAST,Industrials,49.35,49.86,49.19,49.22
103,2020-12-11,FAST,Industrials,48.3,49.58,47.6,49.21
104,2020-12-10,FAST,Industrials,49.27,49.54,48.33,48.39
105,2020-12-09,FAST,Industrials,49.03,49.845,49.02,49.63
106,2020-12-08,FAST,Industrials,48.37,49.3484,48.16,49.095
107,2020-12-07,FAST,Industrials,48.0,48.995,47.72,48.68
108,2020-12-04,FAST,Industrials,47.58,48.46,47.53,48.05
109,2020-12-03,FAST,Industrials,47.47,48.01,47.23,47.37
110,2020-12-02,FAST,Industrials,48.311,48.675,47.405,47.58
111,2020-12-01,FAST,Industrials,49.51,49.6,48.42,48.52
112,2020-11-30,FAST,Industrials,48.53,49.53,48.31,49.45
113,2020-11-27,FAST,Industrials,48.25,48.8,48.13,48.58
114,2020-11-25,FAST,Industrials,48.78,48.95,47.84,48.19
115,2020-11-24,FAST,Industrials,48.13,49.14,47.63,48.94
116,2020-11-23,FAST,Industrials,47.38,47.97,47.06,47.91
117,2020-11-20,FAST,Industrials,47.83,48.11,47.2,47.3
118,2020-11-19,FAST,Industrials,47.5,48.08,46.93,47.98
119,2020-11-18,FAST,Industrials,47.71,48.15,47.43,47.61
120,2020-11-17,FAST,Industrials,48.06,48.29,47.46,47.655
121,2020-11-16,FAST,Industrials,47.75,48.61,47.36,48.61
122,2020-11-13,FAST,Industrials,46.79,47.67,46.67,47.53
123,2020-11-12,FAST,Industrials,47.02,47.12,46.01,46.33
124,2020-11-11,FAST,Industrials,47.12,47.36,46.42,47.24
125,2020-11-10,FAST,Industrials,45.55,47.17,45.47,46.76
126,2020-11-09,FAST,Industrials,48.66,49.36,45.91,45.99
127,2020-11-06,FAST,Industrials,46.41,47.13,46.04,46.98
128,2020-11-05,FAST,Industrials,47.41,47.65,46.29,46.34
