,date,symbol,sector,open,high,low,close
0,2021-05-12,FBHS,Industrials,108.37,108.76,103.52,103.72
1,2021-05-11,FBHS,Industrials,111.18,111.92,108.5,108.74
2,2021-05-10,FBHS,Industrials,111.86,114.005,111.4,111.96
3,2021-05-07,FBHS,Industrials,109.81,111.79,108.955,111.56
4,2021-05-06,FBHS,Industrials,109.2,109.67,108.3,109.63
5,2021-05-05,FBHS,Industrials,109.0,109.84,108.08,109.01
6,2021-05-04,FBHS,Industrials,107.19,109.39,106.8101,108.7
7,2021-05-03,FBHS,Industrials,106.0,108.32,105.3433,107.73
8,2021-04-30,FBHS,Industrials,106.0,107.29,103.73,104.98
9,2021-04-29,FBHS,Industrials,104.49,105.35,103.73,104.92
10,2021-04-28,FBHS,Industrials,105.12,105.218,103.65,103.78
11,2021-04-27,FBHS,Industrials,104.94,106.15,104.91,105.11
12,2021-04-26,FBHS,Industrials,105.46,106.38,104.43,104.88
13,2021-04-23,FBHS,Industrials,102.81,105.14,102.49,104.9
14,2021-04-22,FBHS,Industrials,102.31,103.4,101.6,102.53
15,2021-04-21,FBHS,Industrials,100.59,102.335,100.59,101.99
16,2021-04-20,FBHS,Industrials,102.07,102.72,99.28,100.64
17,2021-04-19,FBHS,Industrials,103.47,103.56,101.7,102.51
18,2021-04-16,FBHS,Industrials,102.16,103.73,102.01,103.22
19,2021-04-15,FBHS,Industrials,100.6,101.63,100.46,101.3
20,2021-04-14,FBHS,Industrials,99.58,100.67,99.275,99.98
21,2021-04-13,FBHS,Industrials,100.85,100.85,98.71,99.91
22,2021-04-12,FBHS,Industrials,100.67,101.76,100.67,101.02
23,2021-04-09,FBHS,Industrials,99.0,101.6,98.29,100.69
24,2021-04-08,FBHS,Industrials,98.4,98.8,97.77,98.44
25,2021-04-07,FBHS,Industrials,98.68,98.81,97.7401,98.36
26,2021-04-06,FBHS,Industrials,97.9,98.66,97.22,98.55
27,2021-04-05,FBHS,Industrials,98.26,98.75,96.7,97.78
28,2021-04-01,FBHS,Industrials,96.22,97.28,95.8218,97.15
29,2021-03-31,FBHS,Industrials,96.08,97.13,95.8,95.82
30,2021-03-30,FBHS,Industrials,93.66,96.25,93.62,96.0
31,2021-03-29,FBHS,Industrials,94.0,94.97,93.511,94.06
32,2021-03-26,FBHS,Industrials,91.0,94.12,90.65,93.99
33,2021-03-25,FBHS,Industrials,88.28,90.94,87.2,90.73
34,2021-03-24,FBHS,Industrials,88.2,90.17,88.04,88.37
35,2021-03-23,FBHS,Industrials,89.78,91.25,87.213,87.52
36,2021-03-22,FBHS,Industrials,91.5,91.585,88.7,90.71
37,2021-03-19,FBHS,Industrials,91.84,92.355,90.52,91.5
38,2021-03-18,FBHS,Industrials,91.1,93.32,90.765,91.64
39,2021-03-17,FBHS,Industrials,89.87,91.37,88.69,91.35
40,2021-03-16,FBHS,Industrials,90.67,90.86,89.04,89.49
41,2021-03-15,FBHS,Industrials,89.26,90.69,87.79,90.59
42,2021-03-12,FBHS,Industrials,89.1,90.16,88.82,89.54
43,2021-03-11,FBHS,Industrials,90.72,91.34,89.13,89.45
44,2021-03-10,FBHS,Industrials,88.0,90.65,87.28,89.89
45,2021-03-09,FBHS,Industrials,87.28,88.46,87.02,87.5
46,2021-03-08,FBHS,Industrials,86.0,88.09,85.17,86.96
47,2021-03-05,FBHS,Industrials,83.18,86.16,81.64,85.76
48,2021-03-04,FBHS,Industrials,83.15,84.74,80.4,82.41
49,2021-03-03,FBHS,Industrials,84.91,85.42,83.25,83.42
50,2021-03-02,FBHS,Industrials,86.44,86.6253,84.43,85.22
51,2021-03-01,FBHS,Industrials,83.99,87.42,83.99,86.21
52,2021-02-26,FBHS,Industrials,83.83,84.78,83.08,83.14
53,2021-02-25,FBHS,Industrials,86.66,87.285,83.01,83.48
54,2021-02-24,FBHS,Industrials,86.89,88.4762,86.12,87.25
55,2021-02-23,FBHS,Industrials,86.31,87.75,84.5201,87.54
56,2021-02-22,FBHS,Industrials,86.57,88.31,86.08,86.94
57,2021-02-19,FBHS,Industrials,86.32,87.88,86.04,87.55
58,2021-02-18,FBHS,Industrials,85.76,86.7,85.08,85.83
59,2021-02-17,FBHS,Industrials,86.09,86.41,84.25,85.74
60,2021-02-16,FBHS,Industrials,89.79,89.87,85.94,86.0
