,date,symbol,sector,open,high,low,close
0,2021-05-12,FDX,Industrials,302.18,304.76,294.79,296.01
1,2021-05-11,FDX,Industrials,304.6,307.88,300.57,305.64
2,2021-05-10,FDX,Industrials,314.68,317.0,309.27,309.27
3,2021-05-07,FDX,Industrials,308.0,315.0995,308.0,314.69
4,2021-05-06,FDX,Industrials,305.29,311.96,303.48,310.96
5,2021-05-05,FDX,Industrials,305.89,309.99,306.34,306.53
6,2021-05-04,FDX,Industrials,302.7,305.2,299.32,304.28
7,2021-05-03,FDX,Industrials,294.89,305.3999,294.2,304.55
8,2021-04-30,FDX,Industrials,293.52,295.6,289.0,290.31
9,2021-04-29,FDX,Industrials,290.0,296.3,289.2301,296.06
10,2021-04-28,FDX,Industrials,286.65,289.15,285.4199,287.39
11,2021-04-27,FDX,Industrials,286.56,292.2,284.33,287.51
12,2021-04-26,FDX,Industrials,279.31,279.87,274.195,275.76
13,2021-04-23,FDX,Industrials,278.52,279.1905,276.97,277.74
14,2021-04-22,FDX,Industrials,277.33,281.07,276.38,276.54
15,2021-04-21,FDX,Industrials,279.05,281.07,277.09,278.26
16,2021-04-20,FDX,Industrials,282.42,283.8,277.34,280.34
17,2021-04-19,FDX,Industrials,286.06,286.67,282.09,283.25
18,2021-04-16,FDX,Industrials,292.9,292.9999,287.13,287.59
19,2021-04-15,FDX,Industrials,288.83,292.4,286.67,291.2
20,2021-04-14,FDX,Industrials,289.51,291.15,287.57,287.81
21,2021-04-13,FDX,Industrials,294.73,294.76,289.11,290.89
22,2021-04-12,FDX,Industrials,285.63,293.09,285.14,290.79
23,2021-04-09,FDX,Industrials,282.9,287.0,281.78,286.58
24,2021-04-08,FDX,Industrials,282.9,284.44,279.75,284.44
25,2021-04-07,FDX,Industrials,281.49,282.44,276.69,279.11
26,2021-04-06,FDX,Industrials,281.66,284.44,280.7,282.17
27,2021-04-05,FDX,Industrials,286.0,286.61,280.57,281.57
28,2021-04-01,FDX,Industrials,283.54,285.0,281.79,283.54
29,2021-03-31,FDX,Industrials,286.0,287.88,282.8346,284.04
30,2021-03-30,FDX,Industrials,279.37,288.1471,278.31,285.92
31,2021-03-29,FDX,Industrials,278.0,281.95,276.64,279.22
32,2021-03-26,FDX,Industrials,277.7,281.49,274.6,281.34
33,2021-03-25,FDX,Industrials,266.2,275.02,263.94,274.18
34,2021-03-24,FDX,Industrials,269.0,274.274,267.4,268.29
35,2021-03-23,FDX,Industrials,271.41,276.95,265.55,266.81
36,2021-03-22,FDX,Industrials,279.58,279.8,271.68,274.02
37,2021-03-19,FDX,Industrials,279.05,282.93,275.29,279.58
38,2021-03-18,FDX,Industrials,267.82,269.27,262.895,263.51
39,2021-03-17,FDX,Industrials,259.0,266.18,257.09,265.84
40,2021-03-16,FDX,Industrials,267.0,267.03,260.3,260.8
41,2021-03-15,FDX,Industrials,271.0,272.85,263.79,266.88
42,2021-03-12,FDX,Industrials,267.26,271.1895,265.2614,270.2
43,2021-03-11,FDX,Industrials,263.54,270.16,262.31,268.49
44,2021-03-10,FDX,Industrials,259.13,261.81,258.06,260.42
45,2021-03-09,FDX,Industrials,253.19,262.11,252.25,257.92
46,2021-03-08,FDX,Industrials,260.0,261.34,251.01,251.34
47,2021-03-05,FDX,Industrials,252.19,258.21,245.55,257.29
48,2021-03-04,FDX,Industrials,256.56,258.43,247.085,250.3
49,2021-03-03,FDX,Industrials,258.98,262.7,255.46,258.77
50,2021-03-02,FDX,Industrials,262.73,263.65,259.48,259.6
51,2021-03-01,FDX,Industrials,258.71,265.3,258.3,262.09
52,2021-02-26,FDX,Industrials,254.93,257.46,250.5,254.5
53,2021-02-25,FDX,Industrials,260.07,262.97,253.28,254.22
54,2021-02-24,FDX,Industrials,254.36,261.29,254.01,260.06
55,2021-02-23,FDX,Industrials,253.5,255.23,245.38,254.63
56,2021-02-22,FDX,Industrials,253.24,257.4,253.1,254.67
57,2021-02-19,FDX,Industrials,258.03,259.38,253.781,254.64
58,2021-02-18,FDX,Industrials,255.51,258.49,253.0001,255.63
