,date,symbol,sector,open,high,low,close
0,2021-05-12,FTV,Industrials,70.0,70.51,68.29,68.38
1,2021-05-11,FTV,Industrials,71.44,71.555,69.97,70.15
2,2021-05-10,FTV,Industrials,73.27,73.925,71.6,71.63
3,2021-05-07,FTV,Industrials,72.53,73.35,72.13,72.82
4,2021-05-06,FTV,Industrials,72.11,72.56,71.68,72.45
5,2021-05-05,FTV,Industrials,71.91,72.11,71.5601,71.69
6,2021-05-04,FTV,Industrials,71.14,71.97,70.93,71.84
7,2021-05-03,FTV,Industrials,71.35,72.38,70.85,71.25
8,2021-04-30,FTV,Industrials,72.485,73.71,70.71,70.82
9,2021-04-29,FTV,Industrials,74.69,75.0,73.92,74.86
10,2021-04-28,FTV,Industrials,74.21,74.83,73.92,74.23
11,2021-04-27,FTV,Industrials,73.6,74.42,73.195,74.2
12,2021-04-26,FTV,Industrials,74.1,74.3,73.54,73.68
13,2021-04-23,FTV,Industrials,73.83,74.11,73.59,73.96
14,2021-04-22,FTV,Industrials,73.73,74.4125,73.08,73.52
15,2021-04-21,FTV,Industrials,72.61,74.19,72.55,73.91
16,2021-04-20,FTV,Industrials,72.55,72.96,71.86,72.56
17,2021-04-19,FTV,Industrials,72.13,72.445,71.7,72.35
18,2021-04-16,FTV,Industrials,72.9,73.26,71.945,72.38
19,2021-04-15,FTV,Industrials,72.44,72.77,71.88,72.21
20,2021-04-14,FTV,Industrials,72.9,73.21,72.06,72.37
21,2021-04-13,FTV,Industrials,73.26,73.45,72.59,72.97
22,2021-04-12,FTV,Industrials,71.22,73.65,70.95,73.56
23,2021-04-09,FTV,Industrials,70.43,71.08,69.95,70.96
24,2021-04-08,FTV,Industrials,71.27,71.45,70.23,70.25
25,2021-04-07,FTV,Industrials,71.15,71.99,70.9301,71.4
26,2021-04-06,FTV,Industrials,71.81,72.31,70.88,71.2
27,2021-04-05,FTV,Industrials,71.56,72.47,71.26,71.94
28,2021-04-01,FTV,Industrials,71.43,71.43,69.42,70.9
29,2021-03-31,FTV,Industrials,71.2,71.75,70.61,70.64
30,2021-03-30,FTV,Industrials,70.41,72.06,70.41,71.41
31,2021-03-29,FTV,Industrials,71.01,71.3,70.03,70.42
32,2021-03-26,FTV,Industrials,70.55,71.39,70.11,71.26
33,2021-03-25,FTV,Industrials,69.54,70.45,68.5008,70.23
34,2021-03-24,FTV,Industrials,68.22,69.84,68.075,69.26
35,2021-03-23,FTV,Industrials,67.85,68.94,67.33,67.7
36,2021-03-22,FTV,Industrials,67.55,68.3,66.47,68.21
37,2021-03-19,FTV,Industrials,67.8,68.19,67.44,67.68
38,2021-03-18,FTV,Industrials,67.53,68.63,67.48,68.14
39,2021-03-17,FTV,Industrials,66.93,68.05,66.41,67.48
40,2021-03-16,FTV,Industrials,68.77,68.94,66.83,66.89
41,2021-03-15,FTV,Industrials,67.48,68.8,66.17,68.74
42,2021-03-12,FTV,Industrials,68.02,68.2,66.94,67.59
43,2021-03-11,FTV,Industrials,69.52,69.95,67.85,68.18
44,2021-03-10,FTV,Industrials,69.35,70.03,69.0,69.46
45,2021-03-09,FTV,Industrials,69.23,70.08,68.63,69.2
46,2021-03-08,FTV,Industrials,67.62,70.0,66.98,68.84
47,2021-03-05,FTV,Industrials,67.06,67.26,65.0,67.12
48,2021-03-04,FTV,Industrials,67.72,68.07,65.67,66.45
49,2021-03-03,FTV,Industrials,67.95,68.44,67.69,67.73
50,2021-03-02,FTV,Industrials,67.88,68.2,67.2666,68.09
51,2021-03-01,FTV,Industrials,66.74,68.695,66.62,67.98
52,2021-02-26,FTV,Industrials,66.53,66.62,65.6,65.82
53,2021-02-25,FTV,Industrials,67.38,67.73,65.86,66.31
54,2021-02-24,FTV,Industrials,67.5,68.42,67.19,67.64
55,2021-02-23,FTV,Industrials,67.23,67.56,66.0,67.44
56,2021-02-22,FTV,Industrials,66.54,67.94,66.29,67.09
57,2021-02-19,FTV,Industrials,67.04,67.86,67.0,67.19
58,2021-02-18,FTV,Industrials,67.2,67.69,66.075,66.69
59,2021-02-17,FTV,Industrials,68.73,69.15,66.84,67.6
60,2021-02-16,FTV,Industrials,71.26,71.89,69.66,69.8
61,2021-02-12,FTV,Industrials,70.3,71.64,70.0701,71.52
62,2021-02-11,FTV,Industrials,70.61,71.43,69.59,70.53
63,2021-02-10,FTV,Industrials,69.0,70.77,68.48,70.24
64,2021-02-09,FTV,Industrials,67.75,68.6,67.33,68.24
65,2021-02-08,FTV,Industrials,69.04,69.33,66.99,67.68
66,2021-02-05,FTV,Industrials,67.71,70.03,67.71,68.9
67,2021-02-04,FTV,Industrials,66.18,66.67,66.0,66.08
68,2021-02-03,FTV,Industrials,66.49,66.83,65.88,66.25
69,2021-02-02,FTV,Industrials,67.04,67.37,66.08,66.57
70,2021-02-01,FTV,Industrials,66.48,66.91,66.1,66.63
