,date,symbol,sector,open,high,low,close
0,2021-05-12,GE,Industrials,13.08,13.13,12.77,12.82
1,2021-05-11,GE,Industrials,13.19,13.29,12.94,13.09
2,2021-05-10,GE,Industrials,13.31,13.58,13.3,13.35
3,2021-05-07,GE,Industrials,13.16,13.34,13.07,13.3
4,2021-05-06,GE,Industrials,13.22,13.31,13.03,13.21
5,2021-05-05,GE,Industrials,13.16,13.29,13.18,13.21
6,2021-05-04,GE,Industrials,13.34,13.385,13.07,13.12
7,2021-05-03,GE,Industrials,13.24,13.53,13.17,13.45
8,2021-04-30,GE,Industrials,13.16,13.35,13.08,13.12
9,2021-04-29,GE,Industrials,13.18,13.29,13.08,13.21
10,2021-04-28,GE,Industrials,13.33,13.35,13.15,13.2
11,2021-04-27,GE,Industrials,13.5,13.54,12.91,13.49
12,2021-04-26,GE,Industrials,13.63,14.0,13.55,13.57
13,2021-04-23,GE,Industrials,13.5,13.61,13.36,13.55
14,2021-04-22,GE,Industrials,13.35,13.675,13.28,13.41
15,2021-04-21,GE,Industrials,12.93,13.38,12.77,13.35
16,2021-04-20,GE,Industrials,13.41,13.41,12.9,13.06
17,2021-04-19,GE,Industrials,13.32,13.47,13.17,13.46
18,2021-04-16,GE,Industrials,13.63,13.68,13.35,13.39
19,2021-04-15,GE,Industrials,13.73,13.75,13.44,13.55
20,2021-04-14,GE,Industrials,13.43,13.79,13.42,13.68
21,2021-04-13,GE,Industrials,13.51,13.54,13.26,13.44
22,2021-04-12,GE,Industrials,13.61,13.68,13.47,13.59
23,2021-04-09,GE,Industrials,13.5,13.83,13.42,13.6
24,2021-04-08,GE,Industrials,13.26,13.5,13.09,13.45
25,2021-04-07,GE,Industrials,13.4,13.53,13.26,13.39
26,2021-04-06,GE,Industrials,13.46,13.5,13.37,13.4
27,2021-04-05,GE,Industrials,13.47,13.565,13.37,13.46
28,2021-04-01,GE,Industrials,13.23,13.36,13.15,13.28
29,2021-03-31,GE,Industrials,13.38,13.425,13.13,13.13
30,2021-03-30,GE,Industrials,12.98,13.36,12.9,13.3
31,2021-03-29,GE,Industrials,12.92,13.05,12.78,12.95
32,2021-03-26,GE,Industrials,12.95,13.13,12.71,12.99
33,2021-03-25,GE,Industrials,12.4,12.93,12.23,12.85
34,2021-03-24,GE,Industrials,12.76,13.02,12.5,12.5
35,2021-03-23,GE,Industrials,12.96,13.18,12.55,12.66
36,2021-03-22,GE,Industrials,13.16,13.24,12.93,13.13
37,2021-03-19,GE,Industrials,13.2,13.35,12.98,13.22
38,2021-03-18,GE,Industrials,13.59,13.69,13.1926,13.25
39,2021-03-17,GE,Industrials,13.2,13.61,13.125,13.61
40,2021-03-16,GE,Industrials,13.33,13.35,13.07,13.15
41,2021-03-15,GE,Industrials,12.74,13.36,12.725,13.35
42,2021-03-12,GE,Industrials,12.24,12.6176,12.23,12.58
43,2021-03-11,GE,Industrials,12.69,12.86,11.95,12.27
44,2021-03-10,GE,Industrials,13.65,13.74,12.92,13.25
45,2021-03-09,GE,Industrials,14.1,14.415,13.83,14.0
