,date,symbol,sector,open,high,low,close
0,2021-05-12,GILD,Health Care,66.75,67.95,66.71,67.45
1,2021-05-11,GILD,Health Care,67.07,68.08,66.78,67.22
2,2021-05-10,GILD,Health Care,66.96,68.4001,66.77,67.48
3,2021-05-07,GILD,Health Care,66.47,67.54,66.3,66.54
4,2021-05-06,GILD,Health Care,66.04,66.68,65.135,66.54
5,2021-05-05,GILD,Health Care,65.74,67.0,65.52,66.51
6,2021-05-04,GILD,Health Care,65.79,66.63,65.37,65.64
7,2021-05-03,GILD,Health Care,63.9206,65.895,63.77,65.8
8,2021-04-30,GILD,Health Care,62.46,64.1,61.945,63.47
9,2021-04-29,GILD,Health Care,64.63,64.63,63.33,63.84
10,2021-04-28,GILD,Health Care,64.69,64.7,63.855,64.44
11,2021-04-27,GILD,Health Care,65.94,66.0,64.62,64.67
12,2021-04-26,GILD,Health Care,65.45,65.88,65.04,65.76
13,2021-04-23,GILD,Health Care,65.5,65.7,64.88,65.48
14,2021-04-22,GILD,Health Care,66.48,66.51,65.53,65.64
15,2021-04-21,GILD,Health Care,66.54,66.9053,66.375,66.79
16,2021-04-20,GILD,Health Care,65.8,66.605,65.31,66.38
17,2021-04-19,GILD,Health Care,66.7,67.0,65.59,65.95
18,2021-04-16,GILD,Health Care,66.02,67.09,65.86,66.87
19,2021-04-15,GILD,Health Care,64.7,66.38,64.7,65.77
20,2021-04-14,GILD,Health Care,64.97,66.17,64.835,65.3
21,2021-04-13,GILD,Health Care,64.45,65.22,64.15,64.89
22,2021-04-12,GILD,Health Care,65.06,65.11,64.35,64.66
23,2021-04-09,GILD,Health Care,64.82,65.25,64.235,65.11
24,2021-04-08,GILD,Health Care,66.1,66.25,64.825,65.02
25,2021-04-07,GILD,Health Care,66.08,66.33,65.225,65.6
26,2021-04-06,GILD,Health Care,66.0,66.505,65.77,66.23
27,2021-04-05,GILD,Health Care,66.2,66.52,65.53,66.34
28,2021-04-01,GILD,Health Care,65.75,66.84,65.43,66.44
29,2021-03-31,GILD,Health Care,65.34,65.34,64.46,64.63
30,2021-03-30,GILD,Health Care,66.49,66.49,65.125,65.5
31,2021-03-29,GILD,Health Care,65.0,66.44,64.88,66.19
32,2021-03-26,GILD,Health Care,64.03,65.29,63.9,65.24
33,2021-03-25,GILD,Health Care,64.78,64.88,63.535,63.99
34,2021-03-24,GILD,Health Care,64.36,65.06,64.0,64.35
35,2021-03-23,GILD,Health Care,65.34,65.455,64.275,64.5
36,2021-03-22,GILD,Health Care,64.0546,65.66,63.86,65.53
37,2021-03-19,GILD,Health Care,64.26,64.65,63.59,64.46
38,2021-03-18,GILD,Health Care,63.62,64.98,63.62,64.08
39,2021-03-17,GILD,Health Care,63.9735,64.64,63.45,64.42
40,2021-03-16,GILD,Health Care,63.24,64.2,63.15,64.01
41,2021-03-15,GILD,Health Care,62.35,63.17,61.87,63.07
42,2021-03-12,GILD,Health Care,62.49,62.59,61.49,61.56
43,2021-03-11,GILD,Health Care,63.51,64.04,63.01,63.09
44,2021-03-10,GILD,Health Care,64.68,64.8,63.6,63.91
45,2021-03-09,GILD,Health Care,65.5067,66.655,64.27,64.33
46,2021-03-08,GILD,Health Care,64.51,66.66,63.96,64.75
47,2021-03-05,GILD,Health Care,63.42,64.745,63.3,64.62
48,2021-03-04,GILD,Health Care,62.8,64.54,62.53,63.23
49,2021-03-03,GILD,Health Care,62.7889,63.32,62.17,62.75
50,2021-03-02,GILD,Health Care,62.495,63.59,62.35,63.01
51,2021-03-01,GILD,Health Care,61.76,62.63,61.65,62.46
52,2021-02-26,GILD,Health Care,62.78,62.79,61.39,61.4
53,2021-02-25,GILD,Health Care,63.77,63.97,62.51,62.79
54,2021-02-24,GILD,Health Care,63.56,64.23,62.81,63.71
55,2021-02-23,GILD,Health Care,63.85,64.16,62.78,63.68
56,2021-02-22,GILD,Health Care,63.93,64.47,63.525,64.11
57,2021-02-19,GILD,Health Care,65.08,65.22,64.27,64.37
58,2021-02-18,GILD,Health Care,64.86,65.46,64.33,65.23
59,2021-02-17,GILD,Health Care,64.3335,65.14,63.84,65.1
60,2021-02-16,GILD,Health Care,66.41,66.6,64.52,64.8
61,2021-02-12,GILD,Health Care,66.78,67.27,66.36,66.89
62,2021-02-11,GILD,Health Care,67.2,67.2,66.05,66.92
63,2021-02-10,GILD,Health Care,67.26,68.32,67.1,67.29
64,2021-02-09,GILD,Health Care,67.77,67.84,66.8504,67.3
65,2021-02-08,GILD,Health Care,68.5,68.76,67.31,67.97
66,2021-02-05,GILD,Health Care,67.25,69.36,66.71,68.46
67,2021-02-04,GILD,Health Care,64.89,65.99,64.44,65.83
68,2021-02-03,GILD,Health Care,65.21,65.69,64.51,64.52
